Ticker,Fund Name,Strategy,"Closing
Price","Price
Change",NAV,"Premium/
Discount","Distribution
Rate†","Distribution
Rate on NAV","1 Yr Rtn
on NAV"
IAF,Aberdeen Australia Equity Fund Inc,Equity-Single-Country Equity,$5.14,$0.01,$5.91,-13.03%,10.12%*,8.80%,9.79%
AEF,Aberdeen Emerging Markets Equity Inc,Equity-Emerging Market Equity,$7.96,$0.11,$9.26,-14.04%,2.20%,1.89%,12.14%
AGD,Aberdeen Global Dynamic Dividend,Equity-Global Equity,$10.23,$0.05,$11.80,-13.31%,7.62%,6.61%,9.28%
AWP,Aberdeen Global Premier Properties,Equity-Real Estate,$5.26,$0.04,$5.96,-11.74%,9.13%,8.05%,-12.84%
JEQ,Aberdeen Japan Equity Fund,Equity-Asia Equity,$9.55,-$0.02,$10.95,-12.79%,2.71%,2.37%,21.67%
AOD,Aberdeen Total Dynamic Dividend,Equity-Global Equity,$8.85,$0.05,$10.13,-12.64%,7.80%,6.81%,9.70%
ADX,Adams Diversified Equity Fund,Equity-U.S. Equity,$17.12,$0.12,$19.73,-13.23%,20.56%,17.84%,16.88%
PEO,Adams Natural Resources Fund,Equity-Sector Equity,$11.79,$0.00,$14.25,-17.26%,14.59%,12.07%,-21.77%
AIO,AllianzGI AI & Tech Opportunities Fund,Equity-Sector Equity,$24.99,$0.51,$27.88,-10.37%,5.20%,4.66%,40.12%
NFJ,AllianzGI Div Interest & Prem Common,Equity-Covered-Call Funds,$13.22,$0.16,$15.12,-12.57%,6.81%*,5.95%,11.76%
ASA,ASA Gold and Precious Metals Limited,Equity-Sector Equity,$21.07,$0.00,$25.28,-16.65%,0.09%,0.08%,62.44%
BGR,BlackRock Energy and Resources,Equity-Sector Equity,$7.62,$0.00,$8.55,-10.88%,7.40%*,6.60%,-28.16%
CII,BlackRock Enhanced Capital and Income,Equity-Covered-Call Funds,$17.29,$0.19,$19.01,-9.05%,6.07%*,5.52%,12.96%
BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,$8.47,$0.17,$9.33,-9.22%,7.08%*,6.43%,-0.62%
BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,$10.81,$0.13,$12.19,-11.32%,6.99%*,6.20%,6.84%
BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,$5.83,$0.06,$6.44,-9.47%,6.96%*,6.30%,8.52%
BME,BlackRock Health Sciences,Equity-Sector Equity,$46.62,-$0.21,$44.59,4.55%,5.15%*,5.38%,15.39%
BMEZ,BlackRock Health Sciences Trust II,Equity-Sector Equity,$28.30,$0.04,$28.98,-2.35%,4.24%,4.14%,--
BCX,BlackRock Resources&Commodities Strategy,Equity-Sector Equity,$7.17,$0.19,$8.45,-15.15%,6.69%*,5.68%,-0.85%
BSTZ,BlackRock Science & Technology Trust II,Equity-Sector Equity,$33.76,$0.47,$35.39,-4.61%,4.09%,3.90%,81.28%
BST,BlackRock Science and Technology Trust,Equity-Sector Equity,$49.87,$0.31,$48.57,2.68%,4.50%*,4.62%,61.11%
BUI,"BlackRock Util, Infra & Power Opp",Equity-Sector Equity,$24.29,-$0.07,$23.30,4.25%,5.98%*,6.23%,16.73%
BIF,Boulder Growth & Income,Equity-U.S. Equity,$11.15,$0.07,$13.58,-17.89%,3.66%*,3.00%,1.31%
CPZ,Calamos L/S Equity & Dynamic Inc Trust,Equity-Global Equity,$17.94,$0.36,$21.06,-14.81%,7.36%,6.27%,7.26%
IGR,CBRE Clarion Global Real Estate Income,Equity-Real Estate,$6.79,$0.11,$8.01,-15.23%,8.84%*,7.49%,-4.57%
CEN,Center Coast Brookfield MLP & NRG Inf Fd,Equity-MLP,$10.61,$0.42,$13.44,-21.06%,25.45%,20.09%,-74.53%
CET,Central Securities Corporation,Equity-U.S. Equity,$31.56,$0.37,$38.47,-17.96%,9.51%,7.80%,3.80%
CHN,China Fund,Equity-Asia Equity,$29.58,$0.00,$33.04,-10.47%,0.45%,0.40%,46.66%
EMO,ClearBridge Energy Midstream Opportunity,Equity-MLP,$15.07,$0.00,$19.74,-23.66%,8.63%,6.59%,-57.34%
CEM,ClearBridge MLP and Midstream,Equity-MLP,$18.67,$0.00,$23.47,-20.45%,10.18%,8.10%,-60.86%
CTR,ClearBridge MLP and Midstream TR,Equity-MLP,$16.29,$0.00,$20.83,-21.80%,9.82%,7.68%,-55.48%
GLQ,Clough Global Equity,Equity-Global Equity,$13.32,$0.18,$15.68,-15.05%,9.95%*,8.45%,24.33%
UTF,Cohen & Steers Infrastructure,Equity-Sector Equity,$25.78,$0.11,$24.78,4.04%,7.21%,7.51%,-0.67%
