,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,2330 TT Equity,1928000.0,4.639177665693213,44104.0,29004959.95,USD,393000.0,BGY US Equity,2330 TT Equity,Taiwan Semiconductor Manufactu,2330
2,NOVOB DC Equity,369975.0,4.099941875626781,44104.0,25633562.34,USD,46067.0,BGY US Equity,NOVOB DC Equity,Novo Nordisk A/S,NOVOB
3,T CN Equity,2001769.0,5.633749127658874,44104.0,35223196.78,USD,194741.0,BGY US Equity,T CN Equity,TELUS Corp,T
4,NOVN SW Equity,445973.0,6.193250535570604,44104.0,38721298.62,USD,91812.0,BGY US Equity,NOVN SW Equity,Novartis AG,NOVN
5,SAN FP Equity,357657.0,5.732636257524505,44104.0,35841456.62,USD,67712.0,BGY US Equity,SAN FP Equity,Sanofi,SAN
6,ULVR LN Equity,618912.0,6.103133688425082,44104.0,38157872.14,USD,-18239.0,BGY US Equity,ULVR LN Equity,Unilever PLC,ULVR
7,NESN SW Equity,266217.0,5.067516368422963,44104.0,31683009.34,USD,6629.0,BGY US Equity,NESN SW Equity,Nestle SA,NESN
8,RCI/B CN Equity,434250.0,2.755176844884527,44104.0,17225853.33,USD,-88782.0,BGY US Equity,RCI/B CN Equity,Rogers Communications Inc,RCI/B
9,HEIA NA Equity,291574.0,4.151817198325568,44104.0,25957896.04,USD,12796.0,BGY US Equity,HEIA NA Equity,Heineken NV,HEIA
10,DBS SP Equity,1013900.0,2.384079851624537,44104.0,14905689.24,USD,0.0,BGY US Equity,DBS SP Equity,DBS Group Holdings Ltd,DBS
11,BA/ LN Equity,4436901.0,4.407329992871533,44104.0,27555407.26,USD,587083.0,BGY US Equity,BA/ LN Equity,BAE Systems PLC,BA/
12,SHL AU Equity,726546.0,2.759586292978018,44104.0,17253421.98,USD,-331379.0,BGY US Equity,SHL AU Equity,Sonic Healthcare Ltd,SHL
13,UOB SP Equity,916400.0,2.06480096259377,44104.0,12909501.11,USD,0.0,BGY US Equity,UOB SP Equity,United Overseas Bank Ltd,UOB
14,DPW GR Equity,515086.0,3.738268124846838,44104.0,23372314.03,USD,-68336.0,BGY US Equity,DPW GR Equity,Deutsche Post AG,DPW
15,DGE LN Equity,706878.0,3.883498988983606,44104.0,24280323.1,USD,187052.0,BGY US Equity,DGE LN Equity,Diageo PLC,DGE
16,REL LN Equity,1133320.0,4.035431486795861,44104.0,25230231.97,USD,373103.0,BGY US Equity,REL LN Equity,RELX PLC,REL
17,BATS LN Equity,717913.0,4.118957994299769,44104.0,25752454.48,USD,0.0,BGY US Equity,BATS LN Equity,British American Tobacco PLC,BATS
