,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,MSFT US Equity,204963.0,6.943648747869428,44104.0,43109867.79,USD,-14258.0,EOI US Equity,MSFT US Equity,Microsoft Corp,MSFT
2,AAPL US Equity,350420.0,6.536511045644096,44104.0,40582140.2,USD,-29204.0,EOI US Equity,AAPL US Equity,Apple Inc,AAPL
3,AMZN US Equity,11901.0,6.035731746916611,44104.0,37473035.73,USD,-1466.0,EOI US Equity,AMZN US Equity,Amazon.com Inc,AMZN
4,GOOG US Equity,10578.0,2.503881425664037,44104.0,15545428.8,USD,-115.0,EOI US Equity,GOOG US Equity,Alphabet Inc,GOOG
5,DHR US Equity,79340.0,2.751742484670653,44104.0,17084282.2,USD,-862.0,EOI US Equity,DHR US Equity,Danaher Corp,DHR
6,JPM US Equity,144136.0,2.234984367663688,44104.0,13875972.72,USD,-1566.0,EOI US Equity,JPM US Equity,JPMorgan Chase & Co,JPM
7,VZ US Equity,280337.0,2.686182051401329,44104.0,16677248.13,USD,-3046.0,EOI US Equity,VZ US Equity,Verizon Communications Inc,VZ
8,V US Equity,80663.0,2.598066537093174,44104.0,16130180.11,USD,-877.0,EOI US Equity,V US Equity,Visa Inc,V
9,BAC US Equity,558026.0,2.165221280919686,44104.0,13442846.34,USD,-6064.0,EOI US Equity,BAC US Equity,Bank of America Corp,BAC
10,WMT US Equity,107110.0,2.413736336680995,44104.0,14985760.1,USD,-1164.0,EOI US Equity,WMT US Equity,Walmart Inc,WMT
11,ABT US Equity,146779.0,2.572904142583051,44104.0,15973958.57,USD,-1594.0,EOI US Equity,ABT US Equity,Abbott Laboratories,ABT
12,ACN US Equity,62150.0,2.262254223211163,44104.0,14045278.5,USD,-675.0,EOI US Equity,ACN US Equity,Accenture PLC,ACN
13,PG US Equity,108432.0,2.427459963356516,44104.0,15070963.68,USD,-1179.0,EOI US Equity,PG US Equity,Procter & Gamble Co/The,PG
14,FB US Equity,51571.0,2.175465015919327,44104.0,13506444.9,USD,-560.0,EOI US Equity,FB US Equity,Facebook Inc,FB
15,TXN US Equity,89920.0,2.068069569817814,44104.0,12839676.8,USD,-977.0,EOI US Equity,TXN US Equity,Texas Instruments Inc,TXN
16,ETN US Equity,117688.0,1.934065248860728,44104.0,12007706.64,USD,-1279.0,EOI US Equity,ETN US Equity,Eaton Corp PLC,ETN
17,CSX US Equity,153391.0,1.918952551543151,44104.0,11913878.97,USD,-1667.0,EOI US Equity,CSX US Equity,CSX Corp,CSX
18,UNH US Equity,39671.0,1.992133888985873,44104.0,12368227.67,USD,-431.0,EOI US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
19,NKE US Equity,100498.0,2.032125828547547,44104.0,12616518.92,USD,-985.0,EOI US Equity,NKE US Equity,NIKE Inc,NKE
20,LOW US Equity,84630.0,2.260877617672902,44104.0,14036731.8,USD,-920.0,EOI US Equity,LOW US Equity,Lowe's Cos Inc,LOW
