,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,CVX US Equity,603500.0,15.75531604041032,44104.0,43452000.0,USD,-145500.0,PEO US Equity,CVX US Equity,Chevron Corp,CVX
2,XOM US Equity,1247030.0,15.52272820549332,44104.0,42810539.9,USD,-244000.0,PEO US Equity,XOM US Equity,Exxon Mobil Corp,XOM
3,LIN US Equity,79000.0,6.82116494724132,44104.0,18812270.0,USD,-19700.0,PEO US Equity,LIN US Equity,Linde PLC,LIN
4,COP US Equity,373400.0,4.446259544132048,44104.0,12262456.0,USD,-133200.0,PEO US Equity,COP US Equity,ConocoPhillips,COP
5,SHW US Equity,13900.0,3.51158263560106,44104.0,9684686.0,USD,-3600.0,PEO US Equity,SHW US Equity,Sherwin-Williams Co/The,SHW
6,SLB US Equity,456400.0,2.574972390396789,44104.0,7101584.0,USD,-24900.0,PEO US Equity,SLB US Equity,Schlumberger NV,SLB
7,PSX US Equity,138375.0,2.600997741683646,44104.0,7173360.0,USD,-48400.0,PEO US Equity,PSX US Equity,Phillips 66,PSX
8,MPC US Equity,206485.0,2.196675801634103,44104.0,6058269.9,USD,-73600.0,PEO US Equity,MPC US Equity,Marathon Petroleum Corp,MPC
9,KMI US Equity,568100.0,2.539833307436461,44104.0,7004673.0,USD,-89900.0,PEO US Equity,KMI US Equity,Kinder Morgan Inc,KMI
10,VLO US Equity,129700.0,2.037256782792819,44104.0,5618604.0,USD,-46800.0,PEO US Equity,VLO US Equity,Valero Energy Corp,VLO
11,WMB US Equity,347700.0,2.477334174709464,44104.0,6832305.0,USD,-43800.0,PEO US Equity,WMB US Equity,Williams Cos Inc/The,WMB
12,DD US Equity,114945.0,2.31229843573737,44104.0,6377148.6,USD,27800.0,PEO US Equity,DD US Equity,DuPont de Nemours Inc,DD
13,FCX US Equity,293600.0,1.664984321716476,44104.0,4591904.0,USD,-89600.0,PEO US Equity,FCX US Equity,Freeport-McMoRan Inc,FCX
14,ECL US Equity,31600.0,2.289743590571041,44104.0,6314944.0,USD,-2800.0,PEO US Equity,ECL US Equity,Ecolab Inc,ECL
15,EOG US Equity,136400.0,1.777500745152262,44104.0,4902216.0,USD,-90400.0,PEO US Equity,EOG US Equity,EOG Resources Inc,EOG
16,PXD US Equity,62900.0,1.961173167983203,44104.0,5408771.0,USD,-9400.0,PEO US Equity,PXD US Equity,Pioneer Natural Resources Co,PXD
17,APD US Equity,23100.0,2.494833192186824,44104.0,6880566.0,USD,-5500.0,PEO US Equity,APD US Equity,Air Products and Chemicals Inc,APD
18,NEM US Equity,102300.0,2.353556391483953,44104.0,6490935.0,USD,-12200.0,PEO US Equity,NEM US Equity,Newmont Corp,NEM
19,LYB US Equity,60800.0,1.553990781631737,44104.0,4285792.0,USD,-17100.0,PEO US Equity,LYB US Equity,LyondellBasell Industries NV,LYB
20,CXO US Equity,83240.0,1.331634148435737,44104.0,3672548.8,USD,-7900.0,PEO US Equity,CXO US Equity,Concho Resources Inc,CXO
21,HAL US Equity,264970.0,1.15771350914323,44104.0,3192888.5,USD,-43000.0,PEO US Equity,HAL US Equity,Halliburton Co,HAL
22,OKE US Equity,111500.0,1.0503435249558,44104.0,2896770.0,USD,-69200.0,PEO US Equity,OKE US Equity,ONEOK Inc,OKE
23,OXY US Equity,258651.0,0.9387838022225301,44104.0,2589096.51,USD,-88400.0,PEO US Equity,OXY US Equity,Occidental Petroleum Corp,OXY
24,HES US Equity,83600.0,1.240695966828729,44104.0,3421748.0,USD,-23600.0,PEO US Equity,HES US Equity,Hess Corp,HES
25,PPG US Equity,27600.0,1.221717939544482,44104.0,3369408.0,USD,1700.0,PEO US Equity,PPG US Equity,PPG Industries Inc,PPG
26,BKR US Equity,202100.0,0.9738871663164512,44104.0,2685909.0,USD,-27200.0,PEO US Equity,BKR US Equity,Baker Hughes Co,BKR
27,CE US Equity,30000.0,1.168812971929087,44104.0,3223500.0,USD,20600.0,PEO US Equity,CE US Equity,Celanese Corp,CE
28,DOW US Equity,65745.0,1.121604403876975,44104.0,3093302.25,USD,-15600.0,PEO US Equity,DOW US Equity,Dow Inc,DOW
29,FANG US Equity,76400.0,0.8343834369437295,44104.0,2301168.0,USD,-4400.0,PEO US Equity,FANG US Equity,Diamondback Energy Inc,FANG
30,BLL US Equity,29100.0,0.8770328729636416,44104.0,2418792.0,USD,-28400.0,PEO US Equity,BLL US Equity,Ball Corp,BLL
31,COG US Equity,158700.0,0.9989505629532294,44104.0,2755032.0,USD,45300.0,PEO US Equity,COG US Equity,Cabot Oil & Gas Corp,COG
32,CTVA US Equity,66245.0,0.6920121363505487,44104.0,1908518.45,USD,-15700.0,PEO US Equity,CTVA US Equity,Corteva Inc,CTVA
33,XLU US Equity,39200.0,0.8440022582619657,44104.0,2327696.0,USD,-14700.0,PEO US Equity,XLU US Equity,Utilities Select Sector SPDR F,XLU
