,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,9502 JP Equity,1379800.0,0.5678886391580013,44104.0,16783138.33,USD,0.0,UTF US Equity,9502 JP Equity,Chubu Electric Power Co Inc,9502
2,9021 JP Equity,294800.0,0.4928528811104391,44104.0,14565563.58,USD,115500.0,UTF US Equity,9021 JP Equity,West Japan Railway Co,9021
3,AOT TB Equity,23767900.0,1.440958940190928,44104.0,42585485.17,USD,0.0,UTF US Equity,AOT TB Equity,Airports of Thailand PCL,AOT
4,9531 JP Equity,647700.0,0.5001368091924315,44104.0,14780829.68,USD,0.0,UTF US Equity,9531 JP Equity,Tokyo Gas Co Ltd,9531
5,9020 JP Equity,92000.0,0.1914449213240679,44104.0,5657881.45,USD,0.0,UTF US Equity,9020 JP Equity,East Japan Railway Co,9020
6,GAPB MM Equity,2660111.0,0.7221462754955478,44104.0,21342002.64,USD,950782.0,UTF US Equity,GAPB MM Equity,Grupo Aeroportuario del Pacifi,GAPB
7,IENOVA* MM Equity,4804786.0,0.4889534287444092,44104.0,14450320.83,USD,0.0,UTF US Equity,IENOVA* MM Equity,Infraestructura Energetica Nov,IENOVA*
8,2688 HK Equity,2344221.0,0.8704096731586316,44104.0,25723715.78,USD,0.0,UTF US Equity,2688 HK Equity,ENN Energy Holdings Ltd,2688
9,NEE US Equity,3096364.0,7.270075204014963,44104.0,214856697.96,USD,-221464.0,UTF US Equity,NEE US Equity,NextEra Energy Inc,NEE
10,6 HK Equity,4369500.0,0.7792822489474504,44104.0,23030574.8,USD,0.0,UTF US Equity,6 HK Equity,Power Assets Holdings Ltd,6
11,TCL AU Equity,12630198.0,4.363790914840621,44104.0,128965613.18,USD,0.0,UTF US Equity,TCL AU Equity,Transurban Group,TCL
12,177 HK Equity,15514000.0,0.5299317978125424,44104.0,15661378.05,USD,0.0,UTF US Equity,177 HK Equity,Jiangsu Expressway Co Ltd,177
13,CCI US Equity,783267.0,4.412798265728596,44104.0,130413955.5,USD,-214879.0,UTF US Equity,CCI US Equity,Crown Castle International Cor,CCI
14,270 HK Equity,8878425.0,0.4776591974018255,44104.0,14116535.94,USD,0.0,UTF US Equity,270 HK Equity,Guangdong Investment Ltd,270
15,NSC US Equity,461385.0,3.340772917259027,44104.0,98731776.15,USD,156423.0,UTF US Equity,NSC US Equity,Norfolk Southern Corp,NSC
16,ENB CN Equity,2424592.0,2.396739297073374,44104.0,70832209.68,USD,-109898.0,UTF US Equity,ENB CN Equity,Enbridge Inc,ENB
17,392 HK Equity,3899500.0,0.3977763232306649,44104.0,11755711.59,USD,0.0,UTF US Equity,392 HK Equity,Beijing Enterprises Holdings L,392
18,8801 JP Equity,42100.0,0.0247892307645468,44104.0,732610.34,USD,11000.0,UTF US Equity,8801 JP Equity,Mitsui Fudosan Co Ltd,8801
19,AMT US Equity,414894.0,3.393577039189045,44104.0,100292326.62,USD,-79362.0,UTF US Equity,AMT US Equity,American Tower Corp,AMT
20,DUK US Equity,840179.0,2.517673661420663,44104.0,74406252.24,USD,-252538.0,UTF US Equity,DUK US Equity,Duke Energy Corp,DUK
21,CNR CN Equity,556985.0,2.007164115556959,44104.0,59318871.13,USD,-70980.0,UTF US Equity,CNR CN Equity,Canadian National Railway Co,CNR
22,RAIL3 BZ Equity,3830516.0,0.4398968151157824,44104.0,13000522.62,USD,608188.0,UTF US Equity,RAIL3 BZ Equity,Rumo SA,RAIL3
23,8802 JP Equity,40000.0,0.0205018970409611,44104.0,605904.3100000002,USD,2000.0,UTF US Equity,8802 JP Equity,Mitsubishi Estate Co Ltd,8802
24,SAPR11 BZ Equity,2615636.0,0.4009267683605601,44104.0,11848818.5,USD,0.0,UTF US Equity,SAPR11 BZ Equity,Cia de Saneamento do Parana,SAPR11
25,AWK US Equity,424503.0,2.08103415194888,44104.0,61501994.64,USD,0.0,UTF US Equity,AWK US Equity,American Water Works Co Inc,AWK
26,TRP CN Equity,1069520.0,1.519263994987608,44104.0,44899679.32,USD,428860.0,UTF US Equity,TRP CN Equity,TC Energy Corp,TRP
27,CCRO3 BZ Equity,4219079.0,0.3220808567943073,44104.0,9518640.1,USD,0.0,UTF US Equity,CCRO3 BZ Equity,CCR SA,CCRO3
28,LNT US Equity,1054083.0,1.84219305819116,44104.0,54443386.95,USD,0.0,UTF US Equity,LNT US Equity,Alliant Energy Corp,LNT
29,XEL US Equity,800703.0,1.869706722313103,44104.0,55256514.03,USD,0.0,UTF US Equity,XEL US Equity,Xcel Energy Inc,XEL
30,FE US Equity,2007850.0,1.950538216809758,44104.0,57645373.5,USD,887697.0,UTF US Equity,FE US Equity,FirstEnergy Corp,FE
31,PEG US Equity,916946.0,1.703668958392275,44104.0,50349504.86,USD,684936.0,UTF US Equity,PEG US Equity,Public Service Enterprise Grou,PEG
32,576 HK Equity,8712000.0,0.2137903677076212,44104.0,6318269.23,USD,0.0,UTF US Equity,576 HK Equity,Zhejiang Expressway Co Ltd,576
33,AIA NZ Equity,6665359.0,1.094720511282141,44104.0,32352902.5,USD,0.0,UTF US Equity,AIA NZ Equity,Auckland International Airport,AIA
34,EVRG US Equity,879385.0,1.512180803378603,44104.0,44690345.7,USD,119113.0,UTF US Equity,EVRG US Equity,Evergy Inc,EVRG
35,AENA SM Equity,354268.0,1.668975251427673,44104.0,49324181.86,USD,0.0,UTF US Equity,AENA SM Equity,Aena SME SA,AENA
36,CMS US Equity,765293.0,1.590218657995767,44104.0,46996643.13,USD,0.0,UTF US Equity,CMS US Equity,CMS Energy Corp,CMS
37,WMB US Equity,2180743.0,1.44996342774877,44104.0,42851599.95,USD,1276824.0,UTF US Equity,WMB US Equity,Williams Cos Inc/The,WMB
