Ticker,Effective,Distribution,Discount,52W Discount
ADX,0.00%,20.55%,-13.27%,-13.74%
AEF,7.90%,2.64%,-12.89%,-14.09%
AGD,6.94%,7.51%,-12.70%,-13.11%
AIO,2.95%,5.05%,-6.89%,-10.25%
AOD,0.09%,7.84%,-13.81%,-13.28%
ASA,--,0.09%,-15.96%,-15.45%
AWP,7.68%,9.28%,-12.22%,-13.72%
BCX,1.20%,6.63%,-14.22%,-15.29%
BDJ,0.27%,7.19%,-9.53%,-9.34%
BGR,0.22%,7.88%,-13.84%,-9.02%
BGY,0.36%,6.99%,-10.08%,-11.68%
BIF,0.36%,3.68%,-17.19%,-16.86%
BME,0.00%,4.93%,7.65%,1.73%
BMEZ,0.06%,4.07%,-3.06%,--
BOE,0.00%,7.09%,-12.33%,-12.30%
BSTZ,0.26%,3.83%,-6.47%,-7.83%
BUI,0.13%,6.01%,3.42%,1.45%
CEM,29.27%,10.33%,-17.60%,-17.72%
CEN,60.97%,26.87%,-23.34%,-13.78%
CET,0.32%,9.43%,-18.61%,-17.49%
CHN,0.10%,0.44%,-9.55%,-13.63%
CII,0.10%,5.99%,-7.00%,-8.30%
CLM,0.00%,19.15%,18.47%,8.21%
CPZ,30.58%,8.17%,-14.01%,-12.27%
CRF,9.50%,18.94%,20.55%,9.89%
CTR,19.90%,10.09%,-20.54%,-19.16%
DNP,26.66%,7.52%,14.89%,19.66%
DPG,29.57%,12.15%,-12.46%,-10.69%
DSE,14.84%,113.21%,-19.21%,-8.29%
EMO,27.11%,8.92%,-22.75%,-20.25%
EOI,--,6.67%,-3.52%,-4.23%
EOS,--,5.50%,2.57%,-0.67%
ETJ,--,8.69%,4.37%,-0.48%
EXD,--,8.49%,-4.48%,-5.74%
GLQ,37.40%,9.68%,-14.17%,-13.15%
GRF,--,7.54%,-22.63%,-18.83%
IAF,--,9.77%,-12.21%,-11.10%
IGR,19.62%,8.93%,-15.15%,-15.43%
JEQ,--,2.72%,-14.25%,-16.11%
MIE,18.02%,7.44%,-18.24%,-12.00%
NFJ,--,6.77%,-12.68%,-12.63%
PEO,0.70%,14.84%,-17.04%,-13.88%
RFI,1.52%,7.23%,2.47%,-0.37%
RNP,23.99%,6.80%,-6.09%,-8.75%
RQI,22.75%,7.90%,-5.81%,-8.78%
SRV,3.13%,6.37%,-22.75%,-20.32%
STK,--,6.70%,0.80%,2.16%
SZC,3.02%,6.89%,-23.32%,-21.58%
UTF,27.11%,7.21%,5.61%,-3.19%
