,,Weights
"1,49",STK,0.01
"1,49",ADX,0.85
"1,49",CHN,0.003
"1,49",MIE,0.003
"1,49",SZC,0.133
"1,49",CII,0.0
"1,49",GRF,0.0
"1,49",BCX,0.0
"1,49",CRF,0.0
"1,49",CEN,0.0
"1,49",ASA,0.0
"1,49",AGD,0.0
"1,49",AIO,0.0
"1,49",RFI,0.0
"1,49",BME,0.0
"1,49",CPZ,0.0
"1,49",CEM,0.0
"1,49",BSTZ,0.0
"1,49",NFJ,0.0
"1,49",RNP,0.0
"1,49",EXD,0.0
"1,49",EOI,0.0
"1,49",CTR,0.0
"1,49",GLQ,0.0
"1,49",BGR,0.0
"1,49",JEQ,0.0
"1,49",DSE,0.0
"1,49",BDJ,0.0
"1,49",SRV,0.0
"1,49",CLM,0.0
"1,49",EMO,0.0
"1,49",DPG,0.0
"1,49",AWP,0.0
"1,49",EOS,0.0
"1,49",BIF,0.0
"1,49",ETJ,0.0
"1,49",IAF,0.0
"1,49",AOD,0.0
"1,49",BGY,0.0
"1,49",BMEZ,0.0
"1,49",CET,0.0
"1,49",UTF,0.0
"1,49",BOE,0.0
"1,49",IGR,0.0
"1,49",PEO,0.0
"1,49",DNP,0.0
"1,49",RQI,0.0
"1,49",AEF,0.0
"1,49",BUI,0.0
"1,48",CLM,0.0
"1,48",DNP,0.0
"1,48",BME,0.0
"1,48",UTF,0.001
"1,48",ETJ,0.001
"1,48",BUI,0.001
"1,48",EOS,0.001
"1,48",RFI,0.0
"1,48",STK,0.0
"1,48",BMEZ,0.0
"1,48",EOI,0.101
"1,48",EXD,0.008
"1,48",RQI,0.008
"1,48",RNP,0.0
"1,48",BSTZ,0.0
"1,48",AIO,0.001
"1,48",CII,0.031
"1,48",BDJ,0.039
"1,48",CHN,0.0
"1,48",BGY,0.0
"1,48",IAF,0.0
"1,48",AWP,0.001
"1,48",BOE,0.012
"1,48",DPG,0.001
"1,48",NFJ,0.073
"1,48",AGD,0.005
"1,48",AEF,0.005
"1,48",ADX,0.487
"1,48",AOD,0.005
"1,48",BGR,0.003
"1,48",CPZ,0.002
"1,48",GLQ,0.001
"1,48",BCX,0.001
"1,48",JEQ,0.001
"1,48",IGR,0.001
"1,48",ASA,0.002
"1,48",PEO,0.034
"1,48",BIF,0.0
"1,48",CEM,0.0
"1,48",MIE,0.001
"1,48",CET,0.053
"1,48",DSE,0.0
"1,48",CTR,0.005
"1,48",GRF,0.055
"1,48",EMO,0.0
"1,48",SRV,0.0
"1,48",SZC,0.055
"1,48",CEN,0.006
"1,47",DNP,0.0
"1,47",BME,0.0
"1,47",UTF,0.001
"1,47",ETJ,0.001
"1,47",BUI,0.001
"1,47",EOS,0.011
"1,47",RFI,0.0
"1,47",STK,0.0
"1,47",BMEZ,0.0
"1,47",EOI,0.101
"1,47",EXD,0.008
"1,47",RQI,0.008
"1,47",RNP,0.0
"1,47",BSTZ,0.0
"1,47",AIO,0.001
"1,47",CII,0.031
"1,47",BDJ,0.039
"1,47",CHN,0.0
"1,47",BGY,0.0
"1,47",IAF,0.0
"1,47",AWP,0.001
"1,47",BOE,0.022
"1,47",DPG,0.001
"1,47",NFJ,0.003
"1,47",AGD,0.005
"1,47",AEF,0.005
"1,47",ADX,0.467
"1,47",AOD,0.005
"1,47",BGR,0.003
"1,47",CPZ,0.002
"1,47",GLQ,0.0
"1,47",BCX,0.001
"1,47",JEQ,0.0
"1,47",IGR,0.001
"1,47",ASA,0.003
"1,47",PEO,0.033
"1,47",BIF,0.0
"1,47",CEM,0.0
"1,47",MIE,0.002
"1,47",CET,0.104
"1,47",DSE,0.003
"1,47",CTR,0.004
"1,47",GRF,0.074
"1,47",EMO,0.0
"1,47",SRV,0.0
"1,47",SZC,0.054
"1,47",CEN,0.006
"1,46",BME,0.002
"1,46",UTF,0.002
"1,46",ETJ,0.003
"1,46",BUI,0.002
"1,46",EOS,0.023
"1,46",RFI,0.001
"1,46",STK,0.002
"1,46",BMEZ,0.002
"1,46",EOI,0.102
"1,46",EXD,0.01
"1,46",RQI,0.01
"1,46",RNP,0.001
"1,46",BSTZ,0.002
"1,46",AIO,0.002
"1,46",CII,0.032
"1,46",BDJ,0.041
"1,46",CHN,0.0
"1,46",BGY,0.001
"1,46",IAF,0.002
"1,46",AWP,0.002
"1,46",BOE,0.023
"1,46",DPG,0.002
"1,46",NFJ,0.014
"1,46",AGD,0.006
"1,46",AEF,0.007
"1,46",ADX,0.468
"1,46",AOD,0.006
"1,46",BGR,0.004
"1,46",CPZ,0.003
"1,46",GLQ,0.002
"1,46",BCX,0.001
"1,46",JEQ,0.001
"1,46",IGR,0.002
"1,46",ASA,0.004
"1,46",PEO,0.034
"1,46",BIF,0.001
"1,46",CEM,0.001
"1,46",MIE,0.002
"1,46",CET,0.096
"1,46",DSE,0.003
"1,46",CTR,0.006
"1,46",GRF,0.044
"1,46",EMO,0.002
"1,46",SRV,0.002
"1,46",SZC,0.022
"1,46",CEN,0.002
"1,45",UTF,0.002
"1,45",ETJ,0.003
"1,45",BUI,0.002
"1,45",EOS,0.013
"1,45",RFI,0.001
"1,45",STK,0.002
"1,45",BMEZ,0.002
"1,45",EOI,0.112
"1,45",EXD,0.01
"1,45",RQI,0.01
"1,45",RNP,0.001
"1,45",BSTZ,0.002
"1,45",AIO,0.002
"1,45",CII,0.032
"1,45",BDJ,0.041
"1,45",CHN,0.0
"1,45",BGY,0.001
"1,45",IAF,0.002
"1,45",AWP,0.002
"1,45",BOE,0.024
"1,45",DPG,0.002
"1,45",NFJ,0.004
"1,45",AGD,0.006
"1,45",AEF,0.007
"1,45",ADX,0.467
"1,45",AOD,0.007
"1,45",BGR,0.005
"1,45",CPZ,0.003
"1,45",GLQ,0.002
"1,45",BCX,0.002
"1,45",JEQ,0.002
"1,45",IGR,0.002
"1,45",ASA,0.003
"1,45",PEO,0.035
"1,45",BIF,0.0
"1,45",CEM,0.0
"1,45",MIE,0.002
"1,45",CET,0.105
"1,45",DSE,0.003
"1,45",CTR,0.005
"1,45",GRF,0.047
"1,45",EMO,0.002
"1,45",SRV,0.002
"1,45",SZC,0.022
"1,45",CEN,0.002
"1,44",ETJ,0.002
"1,44",BUI,0.002
"1,44",EOS,0.012
"1,44",RFI,0.001
"1,44",STK,0.001
"1,44",BMEZ,0.001
"1,44",EOI,0.102
"1,44",EXD,0.009
"1,44",RQI,0.009
"1,44",RNP,0.0
"1,44",BSTZ,0.001
"1,44",AIO,0.002
"1,44",CII,0.032
"1,44",BDJ,0.04
"1,44",CHN,0.0
"1,44",BGY,0.0
"1,44",IAF,0.001
"1,44",AWP,0.002
"1,44",BOE,0.013
"1,44",DPG,0.002
"1,44",NFJ,0.034
"1,44",AGD,0.006
"1,44",AEF,0.005
"1,44",ADX,0.467
"1,44",AOD,0.006
"1,44",BGR,0.004
"1,44",CPZ,0.003
"1,44",GLQ,0.001
"1,44",BCX,0.001
"1,44",JEQ,0.002
"1,44",IGR,0.002
"1,44",ASA,0.004
"1,44",PEO,0.034
"1,44",BIF,0.0
"1,44",CEM,0.0
"1,44",MIE,0.003
"1,44",CET,0.084
"1,44",DSE,0.003
"1,44",CTR,0.004
"1,44",GRF,0.044
"1,44",EMO,0.002
"1,44",SRV,0.002
"1,44",SZC,0.047
"1,44",CEN,0.007
"1,43",BUI,0.003
"1,43",EOS,0.013
"1,43",RFI,0.001
"1,43",STK,0.001
"1,43",BMEZ,0.002
"1,43",EOI,0.102
"1,43",EXD,0.009
"1,43",RQI,0.01
"1,43",RNP,0.0
"1,43",BSTZ,0.001
"1,43",AIO,0.002
"1,43",CII,0.032
"1,43",BDJ,0.04
"1,43",CHN,0.0
"1,43",BGY,0.001
"1,43",IAF,0.001
"1,43",AWP,0.002
"1,43",BOE,0.013
"1,43",DPG,0.002
"1,43",NFJ,0.073
"1,43",AGD,0.006
"1,43",AEF,0.006
"1,43",ADX,0.478
"1,43",AOD,0.005
"1,43",BGR,0.004
"1,43",CPZ,0.003
"1,43",GLQ,0.002
"1,43",BCX,0.002
"1,43",JEQ,0.002
"1,43",IGR,0.003
"1,43",ASA,0.004
"1,43",PEO,0.035
"1,43",BIF,0.0
"1,43",CEM,0.0
"1,43",MIE,0.002
"1,43",CET,0.035
"1,43",DSE,0.003
"1,43",CTR,0.005
"1,43",GRF,0.047
"1,43",EMO,0.002
"1,43",SRV,0.002
"1,43",SZC,0.037
"1,43",CEN,0.007
"1,42",EOS,0.012
"1,42",RFI,0.0
"1,42",STK,0.0
"1,42",BMEZ,0.0
"1,42",EOI,0.101
"1,42",EXD,0.008
"1,42",RQI,0.008
"1,42",RNP,0.0
"1,42",BSTZ,0.0
"1,42",AIO,0.001
"1,42",CII,0.031
"1,42",BDJ,0.039
"1,42",CHN,0.008
"1,42",BGY,0.0
"1,42",IAF,0.0
"1,42",AWP,0.001
"1,42",BOE,0.012
"1,42",DPG,0.001
"1,42",NFJ,0.073
"1,42",AGD,0.004
"1,42",AEF,0.004
"1,42",ADX,0.476
"1,42",AOD,0.004
"1,42",BGR,0.003
"1,42",CPZ,0.001
"1,42",GLQ,0.0
"1,42",BCX,0.0
"1,42",JEQ,0.0
"1,42",IGR,0.001
"1,42",ASA,0.002
"1,42",PEO,0.033
"1,42",BIF,0.0
"1,42",CEM,0.0
"1,42",MIE,0.002
"1,42",CET,0.033
"1,42",DSE,0.001
"1,42",CTR,0.003
"1,42",GRF,0.075
"1,42",EMO,0.0
"1,42",SRV,0.0
"1,42",SZC,0.055
