,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,TBIG IJ Equity,40000000.0,1.613143899919684,44134.0,4102563.88,USD,0.0,AGD US Equity,TBIG IJ Equity,Tower Bersama Infrastructure T,TBIG
2,TLKM IJ Equity,14795000.0,1.042168929123002,44134.0,2650454.56,USD,0.0,AGD US Equity,TLKM IJ Equity,Telkom Indonesia Persero Tbk P,TLKM
3,005935 KS Equity,105400.0,1.829848039771458,44134.0,4653688.04,USD,16800.0,AGD US Equity,005935 KS Equity,Samsung Electronics Co Ltd,005935
4,051910 KS Equity,4600.0,0.9739479122620177,44134.0,2476954.18,USD,-3400.0,AGD US Equity,051910 KS Equity,LG Chem Ltd,051910
5,3281 JP Equity,2600.0,1.574469997398913,44134.0,4004208.02,USD,0.0,AGD US Equity,3281 JP Equity,GLP J-Reit,3281
6,4507 JP Equity,47000.0,0.8704645080970547,44134.0,2213774.14,USD,0.0,AGD US Equity,4507 JP Equity,Shionogi & Co Ltd,4507
7,8306 JP Equity,462400.0,0.7134255289114604,44134.0,1814391.02,USD,0.0,AGD US Equity,8306 JP Equity,Mitsubishi UFJ Financial Group,8306
8,IENOVA* MM Equity,831000.0,1.090019572441044,44134.0,2772148.8,USD,0.0,AGD US Equity,IENOVA* MM Equity,Infraestructura Energetica Nov,IENOVA*
9,2318 HK Equity,281000.0,1.133422348891077,44134.0,2882531.18,USD,0.0,AGD US Equity,2318 HK Equity,Ping An Insurance Group Co of,2318
10,2313 HK Equity,196800.0,1.336136838490151,44134.0,3398076.72,USD,-19200.0,AGD US Equity,2313 HK Equity,Shenzhou International Group H,2313
11,TEL NO Equity,172400.0,1.043895290612978,44134.0,2654845.06,USD,0.0,AGD US Equity,TEL NO Equity,Telenor ASA,TEL
12,388 HK Equity,67000.0,1.257640414235015,44134.0,3198443.82,USD,0.0,AGD US Equity,388 HK Equity,Hong Kong Exchanges & Clearing,388
13,700 HK Equity,38200.0,1.144711671724939,44134.0,2911242.3,USD,0.0,AGD US Equity,700 HK Equity,Tencent Holdings Ltd,700
14,ESSITYB SS Equity,74600.0,0.8498872542820844,44134.0,2161441.86,USD,0.0,AGD US Equity,ESSITYB SS Equity,Essity AB,ESSITYB
15,CCRO3 BZ Equity,1358400.0,1.033794670192867,44134.0,2629157.06,USD,0.0,AGD US Equity,CCRO3 BZ Equity,CCR SA,CCRO3
16,ATCOA SS Equity,27800.0,0.4825007236828331,44134.0,1227100.72,USD,0.0,AGD US Equity,ATCOA SS Equity,Atlas Copco AB,ATCOA
17,ARZZ3 BZ Equity,146800.0,0.6036508081469713,44134.0,1535210.84,USD,0.0,AGD US Equity,ARZZ3 BZ Equity,Arezzo Industria e Comercio SA,ARZZ3
18,AAPL US Equity,71800.0,3.073339461826841,44134.0,7816148.0,USD,-5000.0,AGD US Equity,AAPL US Equity,Apple Inc,AAPL
19,RLOG3 BZ Equity,480000.0,0.5364912136144844,44134.0,1364409.88,USD,0.0,AGD US Equity,RLOG3 BZ Equity,Cosan Logistica SA,RLOG3
20,MSFT US Equity,26800.0,2.133601141432705,44134.0,5426196.0,USD,0.0,AGD US Equity,MSFT US Equity,Microsoft Corp,MSFT
21,ENB CN Equity,138800.0,1.504133685394794,44134.0,3825328.0,USD,138800.0,AGD US Equity,ENB CN Equity,Enbridge Inc,ENB
22,FDX US Equity,17600.0,1.795632998098258,44134.0,4566672.0,USD,-3600.0,AGD US Equity,FDX US Equity,FedEx Corp,FDX
23,ABBV US Equity,46592.0,1.559045074464125,44134.0,3964979.2,USD,5800.0,AGD US Equity,ABBV US Equity,AbbVie Inc,ABBV
24,APTV US Equity,37000.0,1.403788850064234,44134.0,3570130.0,USD,0.0,AGD US Equity,APTV US Equity,Aptiv PLC,APTV
25,TSM US Equity,44600.0,1.470819096259232,44134.0,3740602.0,USD,0.0,AGD US Equity,TSM US Equity,Taiwan Semiconductor Manufactu,TSM
26,GOOG US Equity,2400.0,1.529729683014987,44134.0,3890424.0,USD,0.0,AGD US Equity,GOOG US Equity,Alphabet Inc,GOOG
27,TGT US Equity,24800.0,1.48436654160159,44134.0,3775056.0,USD,0.0,AGD US Equity,TGT US Equity,Target Corp,TGT
28,AVGO US Equity,10800.0,1.484739298848486,44134.0,3776004.0,USD,-600.0,AGD US Equity,AVGO US Equity,Broadcom Inc,AVGO
29,LOW US Equity,27800.0,1.728201683979384,44134.0,4395180.0,USD,-1600.0,AGD US Equity,LOW US Equity,Lowe's Cos Inc,LOW
30,VOD US Equity,240400.0,1.277049026896505,44134.0,3247804.0,USD,0.0,AGD US Equity,VOD US Equity,Vodafone Group PLC,VOD
31,OCBC SP Equity,389164.0,0.9435582407185873,44134.0,2399666.86,USD,7764.0,AGD US Equity,OCBC SP Equity,Oversea-Chinese Banking Corp L,OCBC
32,ABX CN Equity,122500.0,1.287516506505807,44134.0,3274425.0,USD,122500.0,AGD US Equity,ABX CN Equity,Barrick Gold Corp,ABX
33,RWE GR Equity,106400.0,1.54926411304342,44134.0,3940104.16,USD,0.0,AGD US Equity,RWE GR Equity,RWE AG,RWE
34,MDLZ US Equity,62600.0,1.307525470664877,44134.0,3325312.0,USD,0.0,AGD US Equity,MDLZ US Equity,Mondelez International Inc,MDLZ
35,NEE US Equity,48800.0,1.40477893735082,44134.0,3572648.0,USD,0.0,AGD US Equity,NEE US Equity,NextEra Energy Inc,NEE
36,LVS US Equity,62000.0,1.171637366794318,44134.0,2979720.0,USD,0.0,AGD US Equity,LVS US Equity,Las Vegas Sands Corp,LVS
37,VALE US Equity,232000.0,0.9642302016121308,44134.0,2452240.0,USD,0.0,AGD US Equity,VALE US Equity,Vale SA,VALE
38,MDT US Equity,31200.0,1.233788739656525,44134.0,3137784.0,USD,0.0,AGD US Equity,MDT US Equity,Medtronic PLC,MDT
39,ATVI US Equity,44000.0,1.310202402454822,44134.0,3332120.0,USD,0.0,AGD US Equity,ATVI US Equity,Activision Blizzard Inc,ATVI
40,UNH US Equity,10000.0,1.199822218542743,44134.0,3051400.0,USD,0.0,AGD US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
41,BMY US Equity,55000.0,1.264052066939858,44134.0,3214750.0,USD,0.0,AGD US Equity,BMY US Equity,Bristol-Myers Squibb Co,BMY
42,CS FP Equity,172000.0,1.087178454452772,44134.0,2764923.24,USD,0.0,AGD US Equity,CS FP Equity,AXA SA,CS
43,TOT US Equity,76600.0,0.9135218471034761,44134.0,2323278.0,USD,0.0,AGD US Equity,TOT US Equity,TOTAL SE,TOT
44,NSC US Equity,14000.0,1.15117503859973,44134.0,2927680.0,USD,0.0,AGD US Equity,NSC US Equity,Norfolk Southern Corp,NSC
45,ZURN SW Equity,9000.0,1.173754793102303,44134.0,2985105.06,USD,0.0,AGD US Equity,ZURN SW Equity,Zurich Insurance Group AG,ZURN
46,TJX US Equity,50000.0,0.9987377712192984,44134.0,2540000.0,USD,0.0,AGD US Equity,TJX US Equity,TJX Cos Inc/The,TJX
47,HEIA NA Equity,36000.0,1.256466103082062,44134.0,3195457.3,USD,0.0,AGD US Equity,HEIA NA Equity,Heineken NV,HEIA
48,AZN US Equity,59600.0,1.175497055755849,44134.0,2989536.0,USD,0.0,AGD US Equity,AZN US Equity,AstraZeneca PLC,AZN
49,NESN SW Equity,31800.0,1.406523747965294,44134.0,3577085.42,USD,0.0,AGD US Equity,NESN SW Equity,Nestle SA,NESN
50,SCHW US Equity,61800.0,0.9989729071197665,44134.0,2540598.0,USD,0.0,AGD US Equity,SCHW US Equity,Charles Schwab Corp/The,SCHW
51,ENEL IM Equity,378200.0,1.183831255078058,44134.0,3010731.62,USD,0.0,AGD US Equity,ENEL IM Equity,Enel SpA,ENEL
52,RIO US Equity,44430.0,0.9917745636142805,44134.0,2522291.1,USD,0.0,AGD US Equity,RIO US Equity,Rio Tinto PLC,RIO
53,GS US Equity,13000.0,0.9663063179239567,44134.0,2457520.0,USD,0.0,AGD US Equity,GS US Equity,Goldman Sachs Group Inc/The,GS
54,WMB US Equity,141200.0,1.065436153367482,44134.0,2709628.0,USD,-48000.0,AGD US Equity,WMB US Equity,Williams Cos Inc/The,WMB
55,MC FP Equity,6000.0,1.105591239051509,44134.0,2811750.82,USD,0.0,AGD US Equity,MC FP Equity,LVMH Moet Hennessy Louis Vuitt,MC
56,ROG SW Equity,9800.0,1.239199342551529,44134.0,3151544.3,USD,0.0,AGD US Equity,ROG SW Equity,Roche Holding AG,ROG
57,BAC US Equity,100600.0,0.9374844759434943,44134.0,2384220.0,USD,0.0,AGD US Equity,BAC US Equity,Bank of America Corp,BAC
58,CSCO US Equity,66600.0,0.940126805794909,44134.0,2390940.0,USD,0.0,AGD US Equity,CSCO US Equity,Cisco Systems Inc,CSCO
59,EN FP Equity,83800.0,1.08047749022143,44134.0,2747881.28,USD,0.0,AGD US Equity,EN FP Equity,Bouygues SA,EN
60,LIN US Equity,11400.0,0.9826928051382753,44134.0,2499194.28,USD,0.0,AGD US Equity,LIN US Equity,Linde PLC,LIN
61,ASML NA Equity,7600.0,1.086079182321968,44134.0,2762127.56,USD,0.0,AGD US Equity,ASML NA Equity,ASML Holding NV,ASML
62,KHC US Equity,86800.0,1.044039572832573,44134.0,2655212.0,USD,21800.0,AGD US Equity,KHC US Equity,Kraft Heinz Co/The,KHC
63,DB1 GR Equity,20200.0,1.169014555581865,44134.0,2973049.64,USD,0.0,AGD US Equity,DB1 GR Equity,Deutsche Boerse AG,DB1
