,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,ROKU US Equity,65375.0,1.42272915739428,44104.0,12342800.0,USD,-9920.0,AIO US Equity,ROKU US Equity,Roku Inc,ROKU
2,NXPI US Equity,109650.0,1.577489798557441,44104.0,13685416.5,USD,6435.0,AIO US Equity,NXPI US Equity,NXP Semiconductors NV,NXPI
3,DE US Equity,67895.0,1.734502296949875,44104.0,15047568.85,USD,0.0,AIO US Equity,DE US Equity,Deere & Co,DE
4,AMZN US Equity,5345.0,1.939955070310496,44104.0,16829961.85,USD,0.0,AIO US Equity,AMZN US Equity,Amazon.com Inc,AMZN
5,MSFT US Equity,78925.0,1.913481873928831,44104.0,16600295.25,USD,0.0,AIO US Equity,MSFT US Equity,Microsoft Corp,MSFT
6,UNH US Equity,48675.0,1.749237678086387,44104.0,15175404.75,USD,0.0,AIO US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
7,AM849668     Corp,10650.0,1.624272993114878,44104.0,14091281.25,USD,0.0,AIO US Equity,AM849668     Corp,ON 1 ⅝ 10/15/23,ON
8,EK098924     Corp,2045.0,1.40374669204045,44104.0,12178118.78,USD,-940.0,AIO US Equity,EK098924     Corp,TSLA 1 ¼ 03/01/21,TSLA
9,MRVL US Equity,350515.0,1.604004768041371,44104.0,13915445.5,USD,0.0,AIO US Equity,MRVL US Equity,Marvell Technology Group Ltd,MRVL
10,AM464129     Corp,7700.0,1.369659946638502,44104.0,11882401.3,USD,0.0,AIO US Equity,AM464129     Corp,MCHP 1 ⅝ 02/15/27,MCHP
11,EP057815     Pfd,11250.0,1.616740953514586,44104.0,14025937.5,USD,0.0,AIO US Equity,EP057815     Pfd,AVGO 8 09/30/22,AVGO
12,EP056812     Pfd,9400.0,1.599111009919895,44104.0,13872990.0,USD,0.0,AIO US Equity,EP056812     Pfd,DHR 4 ¾ 04/15/22,DHR
13,FB US Equity,47895.0,1.445886544622874,44104.0,12543700.5,USD,0.0,AIO US Equity,FB US Equity,Facebook Inc,FB
14,CRWD US Equity,93200.0,1.475224944717832,44104.0,12798224.0,USD,5015.0,AIO US Equity,CRWD US Equity,Crowdstrike Holdings Inc,CRWD
15,BG481415     Corp,7295.0,1.281972613335837,44104.0,11121675.19,USD,0.0,AIO US Equity,BG481415     Corp,SQ 0 ⅛ 03/01/25,SQ
16,BJ159515     Corp,3500.0,0.7392238501832483,44104.0,6413091.41,USD,-500.0,AIO US Equity,BJ159515     Corp,FTCH 3 ¾ 05/01/27,FTCH
17,EQIX US Equity,18060.0,1.582392293988938,44104.0,13727947.8,USD,0.0,AIO US Equity,EQIX US Equity,Equinix Inc,EQIX
18,SWKS US Equity,83360.0,1.398071039191783,44104.0,12128880.0,USD,8835.0,AIO US Equity,SWKS US Equity,Skyworks Solutions Inc,SWKS
