,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,TLKM IJ Equity,107305200.0,1.045480164637588,44134.0,19223221.14,USD,0.0,AOD US Equity,TLKM IJ Equity,Telkom Indonesia Persero Tbk P,TLKM
2,005935 KS Equity,764600.0,1.836033434065169,44134.0,33759106.98,USD,124000.0,AOD US Equity,005935 KS Equity,Samsung Electronics Co Ltd,005935
3,051910 KS Equity,34000.0,0.9957004268702153,44134.0,18307922.18,USD,-24800.0,AOD US Equity,051910 KS Equity,LG Chem Ltd,051910
4,3281 JP Equity,18000.0,1.507666984232458,44134.0,27721440.18,USD,0.0,AOD US Equity,3281 JP Equity,GLP J-Reit,3281
5,4507 JP Equity,340600.0,0.8725086300256674,44134.0,16042797.28,USD,0.0,AOD US Equity,4507 JP Equity,Shionogi & Co Ltd,4507
6,8306 JP Equity,3444800.0,0.7351343429858127,44134.0,13516899.24,USD,0.0,AOD US Equity,8306 JP Equity,Mitsubishi UFJ Financial Group,8306
7,2318 HK Equity,2036000.0,1.135886932375196,44134.0,20885528.42,USD,0.0,AOD US Equity,2318 HK Equity,Ping An Insurance Group Co of,2318
8,2313 HK Equity,1428000.0,1.340991206208273,44134.0,24656776.26,USD,-143400.0,AOD US Equity,2313 HK Equity,Shenzhou International Group H,2313
9,388 HK Equity,490200.0,1.272702410903335,44134.0,23401151.66,USD,0.0,AOD US Equity,388 HK Equity,Hong Kong Exchanges & Clearing,388
10,TEL NO Equity,1246200.0,1.0437086957534,44134.0,19190649.18,USD,0.0,AOD US Equity,TEL NO Equity,Telenor ASA,TEL
11,700 HK Equity,277200.0,1.148941329655032,44134.0,21125559.34,USD,0.0,AOD US Equity,700 HK Equity,Tencent Holdings Ltd,700
12,ESSITYB SS Equity,544400.0,0.8578522250935391,44134.0,15773310.28,USD,0.0,AOD US Equity,ESSITYB SS Equity,Essity AB,ESSITYB
13,CCRO3 BZ Equity,9858676.0,1.037760382877327,44134.0,19081277.68,USD,0.0,AOD US Equity,CCRO3 BZ Equity,CCR SA,CCRO3
14,83 HK Equity,12000000.0,0.7708925794895882,44134.0,14174385.16,USD,0.0,AOD US Equity,83 HK Equity,Sino Land Co Ltd,83
15,ATCOA SS Equity,202200.0,0.4854071884967923,44134.0,8925171.46,USD,0.0,AOD US Equity,ATCOA SS Equity,Atlas Copco AB,ATCOA
16,AAPL US Equity,520600.0,3.08220931999882,44134.0,56672516.0,USD,-42600.0,AOD US Equity,AAPL US Equity,Apple Inc,AAPL
17,MSFT US Equity,195200.0,2.149463782111516,44134.0,39522144.0,USD,0.0,AOD US Equity,MSFT US Equity,Microsoft Corp,MSFT
18,ENB CN Equity,1007000.0,1.509379055646332,44134.0,27752920.0,USD,1007000.0,AOD US Equity,ENB CN Equity,Enbridge Inc,ENB
19,FDX US Equity,127600.0,1.800642356312325,44134.0,33108372.0,USD,-26000.0,AOD US Equity,FDX US Equity,FedEx Corp,FDX
20,ABBV US Equity,338408.0,1.566245430358868,44134.0,28798520.8,USD,39600.0,AOD US Equity,ABBV US Equity,AbbVie Inc,ABBV
21,TSM US Equity,326200.0,1.48792224024428,44134.0,27358394.0,USD,0.0,AOD US Equity,TSM US Equity,Taiwan Semiconductor Manufactu,TSM
22,APTV US Equity,266800.0,1.400095846460881,44134.0,25743532.0,USD,0.0,AOD US Equity,APTV US Equity,Aptiv PLC,APTV
23,TGT US Equity,182600.0,1.511687863500435,44134.0,27795372.0,USD,0.0,AOD US Equity,TGT US Equity,Target Corp,TGT
24,AVGO US Equity,78200.0,1.486979834173991,44134.0,27341066.0,USD,-4800.0,AOD US Equity,AVGO US Equity,Broadcom Inc,AVGO
25,GOOG US Equity,17200.0,1.516365086610133,44134.0,27881372.0,USD,0.0,AOD US Equity,GOOG US Equity,Alphabet Inc,GOOG
26,LOW US Equity,201800.0,1.735172545130129,44134.0,31904580.0,USD,-10600.0,AOD US Equity,LOW US Equity,Lowe's Cos Inc,LOW
