,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,LUNE SS Equity,213522.0,2.100819417348814,44104.0,4234314.89,USD,-4518.0,BGR US Equity,LUNE SS Equity,Lundin Energy AB,LUNE
2,CVX US Equity,379973.0,13.57346743423615,44104.0,27358056.0,USD,15998.0,BGR US Equity,CVX US Equity,Chevron Corp,CVX
3,AKERBP NO Equity,132921.0,1.030905817518543,44104.0,2077846.3,USD,-79.0,BGR US Equity,AKERBP NO Equity,Aker BP ASA,AKERBP
4,RDS/A US Equity,700803.0,8.751545175453565,44104.0,17639211.51,USD,-37747.0,BGR US Equity,RDS/A US Equity,Royal Dutch Shell PLC,RDS/A
5,883 HK Equity,3159000.0,1.507562310175598,44104.0,3038573.18,USD,152000.0,BGR US Equity,883 HK Equity,CNOOC Ltd,883
6,FP FP Equity,570080.0,9.713460068912115,44104.0,19578002.88,USD,-3573.0,BGR US Equity,FP FP Equity,TOTAL SE,FP
7,TRP CN Equity,226316.0,4.7138434900541,44104.0,9501005.9,USD,-15034.0,BGR US Equity,TRP CN Equity,TC Energy Corp,TRP
8,BP/ LN Equity,4704350.0,6.749945151009426,44104.0,13604878.66,USD,10270.0,BGR US Equity,BP/ LN Equity,BP PLC,BP/
9,COP US Equity,288489.0,4.700434203786444,44104.0,9473978.76,USD,-9211.0,BGR US Equity,COP US Equity,ConocoPhillips,COP
10,KMI US Equity,682614.0,4.175839892518854,44104.0,8416630.62,USD,34375.0,BGR US Equity,KMI US Equity,Kinder Morgan Inc,KMI
11,WMB US Equity,439351.0,4.283312346543814,44104.0,8633247.15,USD,-62139.0,BGR US Equity,WMB US Equity,Williams Cos Inc/The,WMB
12,SU US Equity,567269.0,3.436827104159055,44104.0,6927110.47,USD,28529.0,BGR US Equity,SU US Equity,Suncor Energy Inc,SU
13,EOG US Equity,157184.0,2.80279917082837,44104.0,5649192.96,USD,27994.0,BGR US Equity,EOG US Equity,EOG Resources Inc,EOG
14,PXD US Equity,72358.0,3.087024486629804,44104.0,6222064.42,USD,-4288.0,BGR US Equity,PXD US Equity,Pioneer Natural Resources Co,PXD
15,SLB US Equity,335317.0,2.588634504852541,44104.0,5217532.52,USD,-8713.0,BGR US Equity,SLB US Equity,Schlumberger NV,SLB
16,HES US Equity,141550.0,2.874466088741432,44104.0,5793641.5,USD,4560.0,BGR US Equity,HES US Equity,Hess Corp,HES
17,MPC US Equity,169138.0,2.462106708814632,44104.0,4962508.92,USD,14663.0,BGR US Equity,MPC US Equity,Marathon Petroleum Corp,MPC
18,ENB CN Equity,165100.0,2.393011396579247,44104.0,4823243.59,USD,9150.0,BGR US Equity,ENB CN Equity,Enbridge Inc,ENB
19,VLO US Equity,108422.0,2.33029784353917,44104.0,4696841.04,USD,13354.0,BGR US Equity,VLO US Equity,Valero Energy Corp,VLO
20,PBR US Equity,500251.0,1.767150468622543,44104.0,3561787.12,USD,211430.0,BGR US Equity,PBR US Equity,Petroleo Brasileiro SA,PBR
21,XOM US Equity,120661.0,2.055163105508947,44104.0,4142292.13,USD,33099.0,BGR US Equity,XOM US Equity,Exxon Mobil Corp,XOM
22,BRIXX US Equity,4806251.119999997,2.384580726718339,44104.0,4806251.12,USD,-2609149.52,BGR US Equity,BRIXX US Equity,BlackRock Cash Funds - Treasur,BRIXX
23,STO AU Equity,755530.0,1.325386929214777,44104.0,2671388.87,USD,53400.0,BGR US Equity,STO AU Equity,Santos Ltd,STO
24,BKR US Equity,214622.0,1.415157540095052,44104.0,2852326.38,USD,-9578.0,BGR US Equity,BKR US Equity,Baker Hughes Co,BKR
25,CXO US Equity,70197.0,1.536595747752875,44104.0,3097091.64,USD,-1502.0,BGR US Equity,CXO US Equity,Concho Resources Inc,CXO
26,GALP PL Equity,422898.0,1.946156740675521,44104.0,3922583.92,USD,48163.0,BGR US Equity,GALP PL Equity,Galp Energia SGPS SA,GALP
27,OSH AU Equity,984713.0,0.934478327048381,44104.0,1883491.49,USD,-40405.0,BGR US Equity,OSH AU Equity,Oil Search Ltd,OSH
28,CNQ CN Equity,111474.0,0.8863721328908715,44104.0,1786530.86,USD,-936.0,BGR US Equity,CNQ CN Equity,Canadian Natural Resources Ltd,CNQ
29,KOS US Equity,1821665.0,0.8817508276825804,44104.0,1777216.37,USD,520437.0,BGR US Equity,KOS US Equity,Kosmos Energy Ltd,KOS
30,LKOD LI Equity,32091.0,0.9199689958069459,44104.0,1854247.15,USD,1281.0,BGR US Equity,LKOD LI Equity,LUKOIL PJSC,LKOD
31,CNE LN Equity,1179626.0,1.086134733421465,44104.0,2189163.16,USD,-97065.0,BGR US Equity,CNE LN Equity,Cairn Energy PLC,CNE
32,BRW8YQWK4 NOV20 FP FP CALL NOV20 29.2968 CALL,-49400.0,-0.03781863032130987,44104.0,-76225.49,USD,0.0,BGR US Equity,BRW8YQWK4 NOV20 FP FP CALL NOV20 29.2968 CALL,42,42
33,BRW8PZQL9 NOV20 FP FP CALL NOV20 30.94 CALL,-75800.0,-0.03040058033728932,44104.0,-61274.01,USD,0.0,BGR US Equity,BRW8PZQL9 NOV20 FP FP CALL NOV20 30.94 CALL,42,42
34,HESS CORP OCT20 42.5 CALL,-24700.0,-0.02095552929710474,44104.0,-42237.0,USD,0.0,BGR US Equity,HESS CORP OCT20 42.5 CALL,42,42
35,VALERO ENERGY CORP OCT20 51.5 CALL,-4200.0,-0.0006459762564772682,44104.0,-1302.0,USD,0.0,BGR US Equity,VALERO ENERGY CORP OCT20 51.5 CALL,42,42
36,BRW82YYT1 OCT20 LUNE SS CALL OCT20 215.3627 CALL,-22400.0,-0.0005418808045790381,44104.0,-1092.19,USD,0.0,BGR US Equity,BRW82YYT1 OCT20 LUNE SS CALL OCT20 215.3627 CALL,42,42
37,BRW8713T2 OCT20 883 HK CALL OCT20 8.4162 CALL,-380000.0,-0.0004606525152468888,44104.0,-928.47,USD,0.0,BGR US Equity,BRW8713T2 OCT20 883 HK CALL OCT20 8.4162 CALL,42,42
38,CHEVRON CORP NOV20 75.5 CALL,-26300.0,-0.03216460654323584,44104.0,-64829.5,USD,0.0,BGR US Equity,CHEVRON CORP NOV20 75.5 CALL,42,42
39,MARATHON PETROLEUM CORP OCT20 35 CALL,-4000.0,-0.0003969132144253568,44104.0,-800.0,USD,0.0,BGR US Equity,MARATHON PETROLEUM CORP OCT20 35 CALL,42,42
40,BAKER HUGHES CO OCT20 17 CALL,-39200.0,-0.002917312126026373,44104.0,-5880.0,USD,0.0,BGR US Equity,BAKER HUGHES CO OCT20 17 CALL,42,42
41,CONCHO RESOURCES INC OCT20 53.5 CALL,-12000.0,-0.0008930547324570527,44104.0,-1800.0,USD,0.0,BGR US Equity,CONCHO RESOURCES INC OCT20 53.5 CALL,42,42
42,CHEVRON CORP OCT20 85 CALL,-3000.0,-0.0002976849108190176,44104.0,-600.0,USD,0.0,BGR US Equity,CHEVRON CORP OCT20 85 CALL,42,42
43,VALERO ENERGY CORP OCT20 50 CALL,-9000.0,-0.0006474646810313633,44104.0,-1305.0,USD,0.0,BGR US Equity,VALERO ENERGY CORP OCT20 50 CALL,42,42
44,VALERO ENERGY CORP OCT20 50 CALL,-16500.0,-0.00482993767803856,44104.0,-9735.0,USD,0.0,BGR US Equity,VALERO ENERGY CORP OCT20 50 CALL,42,42
45,BRW7UDFL6 OCT20 WMB US CALL OCT20 21.95 CALL,-24100.0,-0.0001989626715610707,44104.0,-401.02,USD,0.0,BGR US Equity,BRW7UDFL6 OCT20 WMB US CALL OCT20 21.95 CALL,42,42
46,CANADIAN NATURAL RESOURCES LTD OCT20 29 CALL,-12300.0,-0.0001374907374769436,44104.0,-277.12,USD,0.0,BGR US Equity,CANADIAN NATURAL RESOURCES LTD OCT20 29 CALL,42,42
47,EOG RESOURCES INC OCT20 47 CALL,-30900.0,-0.001379769561646147,44104.0,-2781.0,USD,0.0,BGR US Equity,EOG RESOURCES INC OCT20 47 CALL,42,42
48,TC ENERGY CORP OCT20 66 CALL,-14900.0,-0.0001110364717354936,44104.0,-223.8,USD,0.0,BGR US Equity,TC ENERGY CORP OCT20 66 CALL,42,42
49,CONOCOPHILLIPS OCT20 43 CALL,-22400.0,-0.0003334071001172997,44104.0,-672.0,USD,0.0,BGR US Equity,CONOCOPHILLIPS OCT20 43 CALL,42,42
50,CONOCOPHILLIPS OCT20 36.5 CALL,-1600.0,-0.0002738701179534962,44104.0,-552.0,USD,0.0,BGR US Equity,CONOCOPHILLIPS OCT20 36.5 CALL,42,42
51,BRW8G2LX1 NOV20 OSH AU CALL NOV20 2.9216 CALL,-239000.0,-0.003320308035462798,44104.0,-6692.26,USD,0.0,BGR US Equity,BRW8G2LX1 NOV20 OSH AU CALL NOV20 2.9216 CALL,42,42
52,TC ENERGY CORP OCT20 62 CALL,-18500.0,-0.0003446595897462585,44104.0,-694.68,USD,0.0,BGR US Equity,TC ENERGY CORP OCT20 62 CALL,42,42
53,PETROLEO BRASILEIRO SA OCT20 9 CALL,-7600.0,-7.541351074081778e-05,44104.0,-152.0,USD,0.0,BGR US Equity,PETROLEO BRASILEIRO SA OCT20 9 CALL,42,42
54,BRW84K3N6 OCT20 PBR US CALL OCT20 9.23 CALL,-85400.0,-1.482966997396739e-05,44104.0,-29.89,USD,0.0,BGR US Equity,BRW84K3N6 OCT20 PBR US CALL OCT20 9.23 CALL,42,42
55,SUNCOR ENERGY INC NOV20 20 CALL,-49000.0,-0.003560237112167746,44104.0,-7175.85,USD,0.0,BGR US Equity,SUNCOR ENERGY INC NOV20 20 CALL,42,42
56,BRW8RFCJ1 NOV20 KMI US CALL NOV20 12.68 CALL,-32400.0,-0.005683469777169208,44104.0,-11455.34,USD,0.0,BGR US Equity,BRW8RFCJ1 NOV20 KMI US CALL NOV20 12.68 CALL,42,42
57,MARATHON PETROLEUM CORP OCT20 37.5 CALL,-5000.0,-0.0003224919867206024,44104.0,-650.0,USD,0.0,BGR US Equity,MARATHON PETROLEUM CORP OCT20 37.5 CALL,42,42
58,ROYAL DUTCH SHELL PLC OCT20 31.5 CALL,-50700.0,-0.008804031237472445,44104.0,-17745.0,USD,0.0,BGR US Equity,ROYAL DUTCH SHELL PLC OCT20 31.5 CALL,42,42
59,PETROLEO BRASILEIRO SA OCT20 9.5 CALL,-24200.0,-0.0003601987420910113,44104.0,-726.0,USD,0.0,BGR US Equity,PETROLEO BRASILEIRO SA OCT20 9.5 CALL,42,42
