,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,4523 JP Equity,30500.0,0.5578356990381023,44104.0,2785635.11,USD,0.0,BME US Equity,4523 JP Equity,Eisai Co Ltd,4523
2,UNH US Equity,115262.0,7.196188819378607,44104.0,35935233.74,USD,0.0,BME US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
3,GMAB DC Equity,14763.0,1.072877798890949,44104.0,5357574.05,USD,0.0,BME US Equity,GMAB DC Equity,Genmab A/S,GMAB
4,3692 HK Equity,882438.0,0.8637047564956939,44104.0,4313037.51,USD,0.0,BME US Equity,3692 HK Equity,Hansoh Pharmaceutical Group Co,3692
5,2269 HK Equity,361500.0,0.5913955316037689,44104.0,2953221.1,USD,0.0,BME US Equity,2269 HK Equity,Wuxi Biologics Cayman Inc,2269
6,2359 HK Equity,225785.0,0.6538353434279334,44104.0,3265023.54,USD,8757.0,BME US Equity,2359 HK Equity,WuXi AppTec Co Ltd,2359
7,ABT US Equity,236025.0,5.143854926960944,44104.0,25686600.75,USD,0.0,BME US Equity,ABT US Equity,Abbott Laboratories,ABT
8,JNJ US Equity,157637.0,4.699769921326995,44104.0,23468996.56,USD,0.0,BME US Equity,JNJ US Equity,Johnson & Johnson,JNJ
9,TMO US Equity,37181.0,3.28740736143404,44104.0,16416155.12,USD,0.0,BME US Equity,TMO US Equity,Thermo Fisher Scientific Inc,TMO
10,MDT US Equity,140686.0,2.927737234850746,44104.0,14620089.12,USD,0.0,BME US Equity,MDT US Equity,Medtronic PLC,MDT
11,EW US Equity,157245.0,2.513452281340095,44104.0,12551295.9,USD,0.0,BME US Equity,EW US Equity,Edwards Lifesciences Corp,EW
12,PFE US Equity,324195.0,2.382618189107486,44104.0,11897956.5,USD,11000.0,BME US Equity,PFE US Equity,Pfizer Inc,PFE
13,AMGN US Equity,55218.0,2.810411735997305,44104.0,14034206.88,USD,-3900.0,BME US Equity,AMGN US Equity,Amgen Inc,AMGN
14,BSX US Equity,366053.0,2.800935347149321,44104.0,13986885.13,USD,0.0,BME US Equity,BSX US Equity,Boston Scientific Corp,BSX
15,HUM US Equity,29780.0,2.468264534618797,44104.0,12325644.2,USD,0.0,BME US Equity,HUM US Equity,Humana Inc,HUM
16,ANTM US Equity,37297.0,2.006068764986956,44104.0,10017601.23,USD,0.0,BME US Equity,ANTM US Equity,Anthem Inc,ANTM
17,SYK TH Equity,59696.0,2.490935600044601,44104.0,12438855.52,USD,0.0,BME US Equity,SYK TH Equity,Stryker Corp,SYK
18,CI US Equity,53197.0,1.804713470294344,44104.0,9012103.77,USD,0.0,BME US Equity,CI US Equity,Cigna Corp,CI
19,SGEN US Equity,62768.0,2.459738847546722,44104.0,12283069.92,USD,0.0,BME US Equity,SGEN US Equity,Seagen Inc,SGEN
20,LLY US Equity,75883.0,2.249297850335837,44104.0,11232201.66,USD,0.0,BME US Equity,LLY US Equity,Eli Lilly and Co,LLY
21,ISRG US Equity,14158.0,2.011689123115776,44104.0,10045667.32,USD,0.0,BME US Equity,ISRG US Equity,Intuitive Surgical Inc,ISRG
22,BMY US Equity,167123.0,2.017732470612235,44104.0,10075845.67,USD,0.0,BME US Equity,BMY US Equity,Bristol-Myers Squibb Co,BMY
23,BAX US Equity,125666.0,2.023782967190921,44104.0,10106059.72,USD,0.0,BME US Equity,BAX US Equity,Baxter International Inc,BAX
24,VRTX US Equity,41693.0,2.271986173686187,44104.0,11345499.16,USD,0.0,BME US Equity,VRTX US Equity,Vertex Pharmaceuticals Inc,VRTX
25,ZTS US Equity,54489.0,1.80446158229467,44104.0,9010845.93,USD,-200.0,BME US Equity,ZTS US Equity,Zoetis Inc,ZTS
26,MRK US Equity,103567.0,1.720362085907603,44104.0,8590882.65,USD,0.0,BME US Equity,MRK US Equity,Merck & Co Inc,MRK
27,BDX US Equity,30953.0,1.442261063088949,44104.0,7202144.04,USD,-200.0,BME US Equity,BDX US Equity,Becton Dickinson and Co,BDX
28,MASI US Equity,29400.0,1.389798406288422,44104.0,6940164.0,USD,0.0,BME US Equity,MASI US Equity,Masimo Corp,MASI
29,TFX US Equity,19140.0,1.304785365330128,44104.0,6515638.800000001,USD,0.0,BME US Equity,TFX US Equity,Teleflex Inc,TFX
30,VAR US Equity,39799.0,1.370827105060073,44104.0,6845428.0,USD,-3100.0,BME US Equity,VAR US Equity,Varian Medical Systems Inc,VAR
31,ALC SW Equity,115493.0,1.317138568896764,44104.0,6577326.350000001,USD,0.0,BME US Equity,ALC SW Equity,Alcon Inc,ALC
32,REGN US Equity,12485.0,1.399548653046755,44104.0,6988853.300000001,USD,0.0,BME US Equity,REGN US Equity,Regeneron Pharmaceuticals Inc,REGN
33,BRIXX US Equity,6247857.949999999,1.251161070779659,44104.0,6247857.95,USD,1705816.560000002,BME US Equity,BRIXX US Equity,BlackRock Cash Funds - Treasur,BRIXX
34,SAN FP Equity,68455.0,1.373745152160532,44104.0,6859999.7,USD,0.0,BME US Equity,SAN FP Equity,Sanofi,SAN
35,CNC US Equity,83954.0,0.9806531903239925,44104.0,4897036.82,USD,0.0,BME US Equity,CNC US Equity,Centene Corp,CNC
36,RMD US Equity,25314.0,0.8690198107650873,44104.0,4339579.02,USD,0.0,BME US Equity,RMD US Equity,ResMed Inc,RMD
37,ILMN US Equity,14172.0,0.877170713709682,44104.0,4380281.76,USD,0.0,BME US Equity,ILMN US Equity,Illumina Inc,ILMN
38,AMED US Equity,19072.0,0.9029857492495812,44104.0,4509192.96,USD,0.0,BME US Equity,AMED US Equity,Amedisys Inc,AMED
39,GILD US Equity,76057.0,0.9624310428239864,44104.0,4806041.83,USD,0.0,BME US Equity,GILD US Equity,Gilead Sciences Inc,GILD
40,ZBH US Equity,30125.0,0.8212868666132651,44104.0,4101217.5,USD,30125.0,BME US Equity,ZBH US Equity,Zimmer Biomet Holdings Inc,ZBH
41,XLRN US Equity,38131.0,0.859267903897744,44104.0,4290881.43,USD,0.0,BME US Equity,XLRN US Equity,Acceleron Pharma Inc,XLRN
42,IQV US Equity,25673.0,0.8103965294788742,44104.0,4046834.99,USD,-200.0,BME US Equity,IQV US Equity,IQVIA Holdings Inc,IQV
43,ALNY US Equity,31968.0,0.932092294338352,44104.0,4654540.8,USD,0.0,BME US Equity,ALNY US Equity,Alnylam Pharmaceuticals Inc,ALNY
44,LHCG US Equity,20224.0,0.8608563238337376,44104.0,4298813.44,USD,-200.0,BME US Equity,LHCG US Equity,LHC Group Inc,LHCG
45,9997 HK Equity,264936.0,0.130200797692312,44104.0,650176.9500000001,USD,0.0,BME US Equity,9997 HK Equity,Kangji Medical Holdings Ltd,9997
46,ROG SW Equity,12627.0,0.8661522878507861,44104.0,4325259.62,USD,0.0,BME US Equity,ROG SW Equity,Roche Holding AG,ROG
47,2552 HK Equity,735105.0,0.09478235393844223,44104.0,473309.71,USD,0.0,BME US Equity,2552 HK Equity,Hua Medicine,2552
48,AVTR US Equity,131114.0,0.5905009471195249,44104.0,2948753.86,USD,0.0,BME US Equity,AVTR US Equity,Avantor Inc,AVTR
49,MRK GR Equity,25216.0,0.736195219793724,44104.0,3676299.77,USD,0.0,BME US Equity,MRK GR Equity,Merck KGaA,MRK
