,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,4503 JP Equity,1070400.0,0.5309244836300934,44104.0,15956019.78,USD,0.0,BMEZ US Equity,4503 JP Equity,Astellas Pharma Inc,4503
2,4519 JP Equity,307500.0,0.4591580018204664,44104.0,13799201.93,USD,0.0,BMEZ US Equity,4519 JP Equity,Chugai Pharmaceutical Co Ltd,4519
3,4523 JP Equity,133400.0,0.4054043499225776,44104.0,12183728.62,USD,0.0,BMEZ US Equity,4523 JP Equity,Eisai Co Ltd,4523
4,GMAB DC Equity,218365.0,2.636846081595279,44104.0,79245861.76,USD,218365.0,BMEZ US Equity,GMAB DC Equity,Genmab A/S,GMAB
5,3692 HK Equity,9306068.0,1.513468697255791,44104.0,45484691.73,USD,0.0,BMEZ US Equity,3692 HK Equity,Hansoh Pharmaceutical Group Co,3692
6,2269 HK Equity,4287303.0,1.165413450248562,44104.0,35024491.5,USD,0.0,BMEZ US Equity,2269 HK Equity,Wuxi Biologics Cayman Inc,2269
7,GN DC Equity,631506.0,1.583041697693165,44104.0,47575588.28,USD,0.0,BMEZ US Equity,GN DC Equity,GN Store Nord AS,GN
8,2359 HK Equity,2391060.0,1.150508660256729,44104.0,34576553.74,USD,0.0,BMEZ US Equity,2359 HK Equity,WuXi AppTec Co Ltd,2359
9,1951 H1 Equity,19509100.0,0.8237243366085523,44104.0,24755614.43,USD,19509100.0,BMEZ US Equity,1951 H1 Equity,Jinxin Fertility Group Ltd,1951
10,DEMANT DC Equity,700875.0,0.7313750813886238,44104.0,21980216.82,USD,0.0,BMEZ US Equity,DEMANT DC Equity,Demant A/S,DEMANT
11,BRIXX US Equity,147557800.36,4.909874144172402,44104.0,147557800.36,USD,147557800.36,BMEZ US Equity,BRIXX US Equity,BlackRock Cash Funds - Treasur,BRIXX
12,300760 CH Equity,419520.0,0.7178858915030081,44104.0,21574822.48,USD,0.0,BMEZ US Equity,300760 CH Equity,Shenzhen Mindray Bio-Medical E,300760
13,SGEN US Equity,499885.0,3.254969516613579,44104.0,97822495.65,USD,0.0,BMEZ US Equity,SGEN US Equity,Seagen Inc,SGEN
14,9997 HK Equity,5001419.0,0.408405913927762,44104.0,12273935.45,USD,0.0,BMEZ US Equity,9997 HK Equity,Kangji Medical Holdings Ltd,9997
15,MASI US Equity,237283.0,1.863791018944577,44104.0,56013024.98,USD,0.0,BMEZ US Equity,MASI US Equity,Masimo Corp,MASI
16,AMED US Equity,230923.0,1.816678014917262,44104.0,54597124.89,USD,0.0,BMEZ US Equity,AMED US Equity,Amedisys Inc,AMED
17,ISRG US Equity,74498.0,1.758853570137875,44104.0,52859310.92,USD,0.0,BMEZ US Equity,ISRG US Equity,Intuitive Surgical Inc,ISRG
18,TFX US Equity,144275.0,1.634234361189579,44104.0,49114095.5,USD,0.0,BMEZ US Equity,TFX US Equity,Teleflex Inc,TFX
19,LHCG US Equity,247591.0,1.751154976354135,44104.0,52627942.96,USD,-100.0,BMEZ US Equity,LHCG US Equity,LHC Group Inc,LHCG
20,BAX US Equity,624018.0,1.669818903704666,44104.0,50183527.56,USD,0.0,BMEZ US Equity,BAX US Equity,Baxter International Inc,BAX
21,IMMU US Equity,533084.0,1.508259308017569,44104.0,45328132.52,USD,0.0,BMEZ US Equity,IMMU US Equity,Immunomedics Inc,IMMU
22,PPD US Equity,1323613.0,1.62912175274982,44104.0,48960444.87,USD,900649.0,BMEZ US Equity,PPD US Equity,PPD Inc,PPD
23,ALC SW Equity,780009.0,1.478092214590904,44104.0,44421512.55,USD,0.0,BMEZ US Equity,ALC SW Equity,Alcon Inc,ALC
24,9926 HK Equity,1660000.0,0.201086720100519,44104.0,6043314.600000001,USD,-155000.0,BMEZ US Equity,9926 HK Equity,Akeso Inc,9926
25,VAR US Equity,241899.0,1.3844290613238,44104.0,41606628.0,USD,-216550.0,BMEZ US Equity,VAR US Equity,Varian Medical Systems Inc,VAR
26,NVRO US Equity,250151.0,1.159475421964163,44104.0,34846034.3,USD,0.0,BMEZ US Equity,NVRO US Equity,Nevro Corp,NVRO
27,RMD US Equity,177227.0,1.010938877621587,44104.0,30382024.61,USD,-100.0,BMEZ US Equity,RMD US Equity,ResMed Inc,RMD
28,XLRN US Equity,314516.0,1.177658171457505,44104.0,35392485.48,USD,0.0,BMEZ US Equity,XLRN US Equity,Acceleron Pharma Inc,XLRN
29,MRSN US Equity,1558929.0,0.9658600432136722,44104.0,29027257.98,USD,-193400.0,BMEZ US Equity,MRSN US Equity,Mersana Therapeutics Inc,MRSN
30,PODD US Equity,142744.0,1.123731187038881,44104.0,33771802.96,USD,0.0,BMEZ US Equity,PODD US Equity,Insulet Corp,PODD
31,ALNY US Equity,277448.0,1.34416059874926,44104.0,40396428.8,USD,-400.0,BMEZ US Equity,ALNY US Equity,Alnylam Pharmaceuticals Inc,ALNY
32,STMN SW Equity,33816.0,1.138255617159547,44104.0,34208309.66,USD,0.0,BMEZ US Equity,STMN SW Equity,Straumann Holding AG,STMN
