,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,2330 TT Equity,927000.0,1.939751013888724,44104.0,13945849.52,USD,316000.0,BOE US Equity,2330 TT Equity,Taiwan Semiconductor Manufactu,2330
2,NOVOB DC Equity,174231.0,1.679047677217595,44104.0,12071521.59,USD,0.0,BOE US Equity,NOVOB DC Equity,Novo Nordisk A/S,NOVOB
3,TEL2B SS Equity,553835.0,1.086094760645211,44104.0,7808483.66,USD,0.0,BOE US Equity,TEL2B SS Equity,Tele2 AB,TEL2B
4,T CN Equity,1356985.0,3.321168188827475,44104.0,23877555.14,USD,0.0,BOE US Equity,T CN Equity,TELUS Corp,T
5,TXN US Equity,167917.0,3.334981836729945,44104.0,23976868.43,USD,21953.0,BOE US Equity,TXN US Equity,Texas Instruments Inc,TXN
6,MDT US Equity,236253.0,3.414896007988729,44104.0,24551411.76,USD,30114.0,BOE US Equity,MDT US Equity,Medtronic PLC,MDT
7,KO US Equity,508372.0,3.490967153867536,44104.0,25098325.64,USD,0.0,BOE US Equity,KO US Equity,Coca-Cola Co/The,KO
8,PAYX US Equity,278262.0,3.087411426544074,44104.0,22196959.74,USD,-20625.0,BOE US Equity,PAYX US Equity,Paychex Inc,PAYX
9,NOVN SW Equity,289387.0,3.494792362999961,44104.0,25125827.0,USD,52767.0,BOE US Equity,NOVN SW Equity,Novartis AG,NOVN
10,HAS US Equity,227622.0,2.618941354892887,44104.0,18828891.84,USD,0.0,BOE US Equity,HAS US Equity,Hasbro Inc,HAS
11,PM US Equity,269126.0,2.807113824212024,44104.0,20181758.74,USD,0.0,BOE US Equity,PM US Equity,Philip Morris International In,PM
12,CMCSA US Equity,411517.0,2.647856361056443,44104.0,19036776.42,USD,411517.0,BOE US Equity,CMCSA US Equity,Comcast Corp,CMCSA
13,SAN FP Equity,247119.0,3.444499076826006,44104.0,24764243.17,USD,39329.0,BOE US Equity,SAN FP Equity,Sanofi,SAN
14,ABBV US Equity,191881.0,2.337693193371348,44104.0,16806856.79,USD,-14573.0,BOE US Equity,ABBV US Equity,AbbVie Inc,ABBV
15,ULVR LN Equity,454080.0,3.893934408128077,44104.0,27995460.71,USD,-24720.0,BOE US Equity,ULVR LN Equity,Unilever PLC,ULVR
16,LMT US Equity,54739.0,2.918193124571618,44104.0,20980363.92,USD,0.0,BOE US Equity,LMT US Equity,Lockheed Martin Corp,LMT
17,MSFT US Equity,82176.0,2.404070682946238,44104.0,17284078.08,USD,82176.0,BOE US Equity,MSFT US Equity,Microsoft Corp,MSFT
18,SYY US Equity,235891.0,2.041467127151371,44104.0,14677138.02,USD,235891.0,BOE US Equity,SYY US Equity,Sysco Corp,SYY
19,IP US Equity,335860.0,1.893838934795131,44104.0,13615764.4,USD,0.0,BOE US Equity,IP US Equity,International Paper Co,IP
20,CFG US Equity,482955.0,1.698184017051637,44104.0,12209102.4,USD,160631.0,BOE US Equity,CFG US Equity,Citizens Financial Group Inc,CFG
