,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,700 HK Equity,568900.0,13.02632698487106,44043.0,38831902.55,USD,0.0,CHN US Equity,700 HK Equity,Tencent Holdings Ltd,700
2,9988 HK Equity,1294408.0,13.66846044241822,44043.0,40746123.18,USD,1294408.0,CHN US Equity,9988 HK Equity,Alibaba Group Holding Ltd,9988
3,600036 CH Equity,2461547.0,4.094302523170459,44043.0,12205248.4,USD,0.0,CHN US Equity,600036 CH Equity,China Merchants Bank Co Ltd,600036
4,939 HK Equity,17521000.0,4.291142437993455,44043.0,12792034.56,USD,4173000.0,CHN US Equity,939 HK Equity,China Construction Bank Corp,939
5,9618 HK Equity,272300.0,2.846162250201592,44043.0,8484501.83,USD,272300.0,CHN US Equity,9618 HK Equity,JD.com Inc,9618
6,354 HK Equity,11104000.0,2.840037737728953,44043.0,8466244.46,USD,2460000.0,CHN US Equity,354 HK Equity,Chinasoft International Ltd,354
7,1299 HK Equity,915600.0,2.758034150132364,44043.0,8221789.11,USD,50600.0,CHN US Equity,1299 HK Equity,AIA Group Ltd,1299
8,388 HK Equity,200900.0,3.212347373477769,44043.0,9576111.54,USD,126100.0,CHN US Equity,388 HK Equity,Hong Kong Exchanges & Clearing,388
9,6030 HK Equity,4165000.0,3.239390484618866,44043.0,9656727.93,USD,1955500.0,CHN US Equity,6030 HK Equity,CITIC Securities Co Ltd,6030
10,601318 CH Equity,749428.0,2.716269749723576,44043.0,8097288.08,USD,95500.0,CHN US Equity,601318 CH Equity,Ping An Insurance Group Co of,601318
11,3908 HK Equity,3550000.0,2.820496544427137,44043.0,8407991.53,USD,0.0,CHN US Equity,3908 HK Equity,China International Capital Co,3908
12,000333 CH Equity,733129.0,2.517472539824956,44043.0,7504667.16,USD,0.0,CHN US Equity,000333 CH Equity,Midea Group Co Ltd,000333
13,2269 HK Equity,727500.0,1.680642522233599,44043.0,5010049.78,USD,-75000.0,CHN US Equity,2269 HK Equity,Wuxi Biologics Cayman Inc,2269
14,002747 CH Equity,2277900.0,1.764039794791881,44043.0,5258659.75,USD,810500.0,CHN US Equity,002747 CH Equity,Estun Automation Co Ltd,002747
15,3690 HK Equity,182700.0,1.515144048244732,44043.0,4516693.47,USD,-268100.0,CHN US Equity,3690 HK Equity,Meituan,3690
16,881 HK Equity,862500.0,1.79589836855275,44043.0,5353631.19,USD,-173000.0,CHN US Equity,881 HK Equity,Zhongsheng Group Holdings Ltd,881
17,600519 CH Equity,26278.0,2.112985377053978,44043.0,6298877.83,USD,-2800.0,CHN US Equity,600519 CH Equity,Kweichow Moutai Co Ltd,600519
18,1109 HK Equity,1376000.0,1.907095630981199,44043.0,5685113.83,USD,236000.0,CHN US Equity,1109 HK Equity,China Resources Land Ltd,1109
19,600585 CH Equity,732869.0,2.152011055115606,44043.0,6415214.64,USD,430798.0,CHN US Equity,600585 CH Equity,Anhui Conch Cement Co Ltd,600585
20,884 HK Equity,5880000.0,1.764800772771961,44043.0,5260928.25,USD,0.0,CHN US Equity,884 HK Equity,CIFI Holdings Group Co Ltd,884
21,1233 HK Equity,3418000.0,2.02563057619966,44043.0,6038470.34,USD,0.0,CHN US Equity,1233 HK Equity,Times China Holdings Ltd,1233
22,000858 CH Equity,144796.0,1.505426116234768,44043.0,4487724.0,USD,-288600.0,CHN US Equity,000858 CH Equity,Wuliangye Yibin Co Ltd,000858
23,600309 CH Equity,388443.0,1.254786966954802,44043.0,3740560.58,USD,-129800.0,CHN US Equity,600309 CH Equity,Wanhua Chemical Group Co Ltd,600309
24,002179 CH Equity,505791.0,1.058014505273634,44043.0,3153975.5,USD,368000.0,CHN US Equity,002179 CH Equity,AVIC Jonhon Optronic Technolog,002179
25,2688 HK Equity,289200.0,1.163966192344157,44043.0,3469820.91,USD,289200.0,CHN US Equity,2688 HK Equity,ENN Energy Holdings Ltd,2688
26,268 HK Equity,1211000.0,1.122951072625537,44043.0,3347553.51,USD,-561000.0,CHN US Equity,268 HK Equity,Kingdee International Software,268
27,300347 CH Equity,244700.0,1.26551382795828,44043.0,3772537.7,USD,0.0,CHN US Equity,300347 CH Equity,Hangzhou Tigermed Consulting C,300347
28,300003 CH Equity,1000000.0,2.055989994826159,44043.0,6128972.75,USD,-1400.0,CHN US Equity,300003 CH Equity,Lepu Medical Technology Beijin,300003
29,1177 HK Equity,4167000.0,1.814185368836208,44043.0,5408145.33,USD,-952500.0,CHN US Equity,1177 HK Equity,Sino Biopharmaceutical Ltd,1177
30,1099 HK Equity,1404400.0,1.118126904967818,44043.0,3333172.51,USD,0.0,CHN US Equity,1099 HK Equity,Sinopharm Group Co Ltd,1099
31,002371 CH Equity,128702.0,1.292035425140051,44043.0,3851599.44,USD,-61600.0,CHN US Equity,002371 CH Equity,NAURA Technology Group Co Ltd,002371
32,002475 CH Equity,381439.0,1.06210521897299,44043.0,3166170.05,USD,-404159.0,CHN US Equity,002475 CH Equity,Luxshare Precision Industry Co,002475
33,2013 HK Equity,1898000.0,0.8785038453509839,44043.0,2618848.41,USD,-1336000.0,CHN US Equity,2013 HK Equity,Weimob Inc,2013
34,27 HK Equity,230000.0,0.5224367369579112,44043.0,1557400.83,USD,-629000.0,CHN US Equity,27 HK Equity,Galaxy Entertainment Group Ltd,27
