,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,MSFT US Equity,331000.0,9.353545032430208,44104.0,69619230.0,USD,0.0,CLM US Equity,MSFT US Equity,Microsoft Corp,MSFT
2,AMZN US Equity,20000.0,8.460819762000806,44104.0,62974600.0,USD,4000.0,CLM US Equity,AMZN US Equity,Amazon.com Inc,AMZN
3,AAPL US Equity,400000.0,6.223763464236778,44104.0,46324000.0,USD,-48000.0,CLM US Equity,AAPL US Equity,Apple Inc,AAPL
4,GOOG US Equity,21000.0,4.146345275189745,44104.0,30861600.0,USD,-2000.0,CLM US Equity,GOOG US Equity,Alphabet Inc,GOOG
5,JNJ US Equity,139700.0,2.794343503721901,44104.0,20798536.0,USD,0.0,CLM US Equity,JNJ US Equity,Johnson & Johnson,JNJ
6,BRK/B US Equity,80000.0,2.288728420817856,44104.0,17035200.0,USD,0.0,CLM US Equity,BRK/B US Equity,Berkshire Hathaway Inc,BRK/B
7,PG US Equity,130000.0,2.427582136824434,44104.0,18068700.0,USD,0.0,CLM US Equity,PG US Equity,Procter & Gamble Co/The,PG
8,CMCSA US Equity,280000.0,1.740246166124819,44104.0,12952800.0,USD,0.0,CLM US Equity,CMCSA US Equity,Comcast Corp,CMCSA
9,VZ US Equity,202000.0,1.614516040809604,44104.0,12016980.0,USD,0.0,CLM US Equity,VZ US Equity,Verizon Communications Inc,VZ
10,IGR US Equity,1676755.0,1.347155783496859,44104.0,10026994.9,USD,667500.0,CLM US Equity,IGR US Equity,CBRE Clarion Global Real Estat,IGR
11,WMT US Equity,73000.0,1.372203878735425,44104.0,10213430.0,USD,73000.0,CLM US Equity,WMT US Equity,Walmart Inc,WMT
12,QQQ US Equity,36000.0,1.343829891039799,44104.0,10002240.0,USD,36000.0,CLM US Equity,QQQ US Equity,Invesco QQQ Trust Series 1,QQQ
13,GAM US Equity,291877.0,1.331332942399247,44104.0,9909224.15,USD,14896.0,CLM US Equity,GAM US Equity,General American Investors Co,GAM
14,ADBE US Equity,22000.0,1.449595176298337,44104.0,10789460.0,USD,0.0,CLM US Equity,ADBE US Equity,Adobe Inc,ADBE
15,INTC US Equity,210000.0,1.460926499382995,44104.0,10873800.0,USD,0.0,CLM US Equity,INTC US Equity,Intel Corp,INTC
16,NFLX US Equity,20000.0,1.343609552293548,44104.0,10000600.0,USD,0.0,CLM US Equity,NFLX US Equity,Netflix Inc,NFLX
17,COST US Equity,25500.0,1.216229573439328,44104.0,9052500.0,USD,0.0,CLM US Equity,COST US Equity,Costco Wholesale Corp,COST
18,TMO US Equity,20000.0,1.186389795669554,44104.0,8830400.0,USD,0.0,CLM US Equity,TMO US Equity,Thermo Fisher Scientific Inc,TMO
19,ABBV US Equity,87000.0,1.02381338915956,44104.0,7620330.0,USD,17000.0,CLM US Equity,ABBV US Equity,AbbVie Inc,ABBV
20,ABT US Equity,80000.0,1.169730036806646,44104.0,8706400.0,USD,0.0,CLM US Equity,ABT US Equity,Abbott Laboratories,ABT
21,ACN US Equity,34000.0,1.032321957940108,44104.0,7683660.0,USD,0.0,CLM US Equity,ACN US Equity,Accenture PLC,ACN
22,JPM US Equity,69000.0,0.8924565646412906,44104.0,6642630.0,USD,-4000.0,CLM US Equity,JPM US Equity,JPMorgan Chase & Co,JPM
23,UPS US Equity,49000.0,1.096973914088657,44104.0,8164870.0,USD,0.0,CLM US Equity,UPS US Equity,United Parcel Service Inc,UPS
24,CHTR US Equity,12000.0,1.006582630496915,44104.0,7492080.0,USD,0.0,CLM US Equity,CHTR US Equity,Charter Communications Inc,CHTR
25,NVDA US Equity,14000.0,1.01800262649165,44104.0,7577080.0,USD,14000.0,CLM US Equity,NVDA US Equity,NVIDIA Corp,NVDA
26,V US Equity,34000.0,0.913462639626901,44104.0,6798980.0,USD,0.0,CLM US Equity,V US Equity,Visa Inc,V
27,MA US Equity,20000.0,0.9086823636563988,44104.0,6763400.0,USD,-40000.0,CLM US Equity,MA US Equity,Mastercard Inc,MA
