,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AMZN US Equity,10700.0,8.911804785766584,44104.0,33691411.0,USD,1000.0,CRF US Equity,AMZN US Equity,Amazon.com Inc,AMZN
2,MSFT US Equity,147400.0,8.20059134201913,44104.0,31002642.0,USD,0.0,CRF US Equity,MSFT US Equity,Microsoft Corp,MSFT
3,AAPL US Equity,196000.0,6.004109415274033,44104.0,22698760.0,USD,0.0,CRF US Equity,AAPL US Equity,Apple Inc,AAPL
4,GOOG US Equity,7000.0,2.721094649082462,44104.0,10287200.0,USD,5700.0,CRF US Equity,GOOG US Equity,Alphabet Inc,GOOG
5,PG US Equity,71000.0,2.61028765014717,44104.0,9868290.0,USD,0.0,CRF US Equity,PG US Equity,Procter & Gamble Co/The,PG
6,JNJ US Equity,64000.0,2.520361280693037,44104.0,9528320.0,USD,0.0,CRF US Equity,JNJ US Equity,Johnson & Johnson,JNJ
7,CMCSA US Equity,158000.0,1.933344202282024,44104.0,7309080.0,USD,0.0,CRF US Equity,CMCSA US Equity,Comcast Corp,CMCSA
8,NVDA US Equity,14000.0,2.004233595504096,44104.0,7577080.0,USD,0.0,CRF US Equity,NVDA US Equity,NVIDIA Corp,NVDA
9,GAM US Equity,199062.0,1.787617537917064,44104.0,6758154.9,USD,7000.0,CRF US Equity,GAM US Equity,General American Investors Co,GAM
10,IGR US Equity,1005915.0,1.591141976933672,44104.0,6015371.7,USD,177000.0,CRF US Equity,IGR US Equity,CBRE Clarion Global Real Estat,IGR
11,VZ US Equity,100000.0,1.573585821933234,44104.0,5949000.0,USD,100000.0,CRF US Equity,VZ US Equity,Verizon Communications Inc,VZ
12,NFLX US Equity,11000.0,1.454906926198357,44104.0,5500330.0,USD,0.0,CRF US Equity,NFLX US Equity,Netflix Inc,NFLX
13,XLK US Equity,44000.0,1.358219613121999,44104.0,5134800.0,USD,44000.0,CRF US Equity,XLK US Equity,Technology Select Sector SPDR,XLK
14,COST US Equity,14000.0,1.31462792654365,44104.0,4970000.0,USD,0.0,CRF US Equity,COST US Equity,Costco Wholesale Corp,COST
15,BRK/B US Equity,23000.0,1.295482500120465,44104.0,4897620.0,USD,-10000.0,CRF US Equity,BRK/B US Equity,Berkshire Hathaway Inc,BRK/B
16,ADBE US Equity,11000.0,1.426974389167571,44104.0,5394730.0,USD,0.0,CRF US Equity,ADBE US Equity,Adobe Inc,ADBE
17,INTC US Equity,100000.0,1.369646560089139,44104.0,5178000.0,USD,0.0,CRF US Equity,INTC US Equity,Intel Corp,INTC
18,UPS US Equity,28600.0,1.260566299806659,44104.0,4765618.0,USD,0.0,CRF US Equity,UPS US Equity,United Parcel Service Inc,UPS
19,TMO US Equity,10000.0,1.16787630206751,44104.0,4415200.0,USD,0.0,CRF US Equity,TMO US Equity,Thermo Fisher Scientific Inc,TMO
20,BCX US Equity,687555.0,1.082108666802129,44104.0,4090952.25,USD,185730.0,CRF US Equity,BCX US Equity,BlackRock Resources & Commodit,BCX
21,ABBV US Equity,44000.0,1.01942121605275,44104.0,3853960.0,USD,8000.0,CRF US Equity,ABBV US Equity,AbbVie Inc,ABBV
22,ACN US Equity,18000.0,1.075989893793318,44104.0,4067820.0,USD,0.0,CRF US Equity,ACN US Equity,Accenture PLC,ACN
23,ABT US Equity,40000.0,1.151476517068374,44104.0,4353200.0,USD,20000.0,CRF US Equity,ABT US Equity,Abbott Laboratories,ABT
24,V US Equity,20000.0,1.057891937508787,44104.0,3999400.0,USD,-5000.0,CRF US Equity,V US Equity,Visa Inc,V
25,CAF US Equity,173576.0,0.9696836095311632,44104.0,3665925.12,USD,125716.0,CRF US Equity,CAF US Equity,Morgan Stanley China A Share F,CAF
26,ORCL US Equity,67000.0,1.058024193839426,44104.0,3999900.0,USD,0.0,CRF US Equity,ORCL US Equity,Oracle Corp,ORCL
27,LMT US Equity,10000.0,1.013824128140141,44104.0,3832800.0,USD,0.0,CRF US Equity,LMT US Equity,Lockheed Martin Corp,LMT
