,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,BCE CN Equity,541000.0,3.363116977397029,43951.0,21878040.0,USD,-58000.0,DPG US Equity,BCE CN Equity,BCE Inc,BCE
2,CCI US Equity,174000.0,4.264350129578109,43951.0,27740820.0,USD,0.0,DPG US Equity,CCI US Equity,Crown Castle International Cor,CCI
3,ES US Equity,328000.0,4.068936757813241,43951.0,26469600.0,USD,0.0,DPG US Equity,ES US Equity,Eversource Energy,ES
4,NEE US Equity,360000.0,3.197522429954426,43951.0,20800800.0,USD,-20000.0,DPG US Equity,NEE US Equity,NextEra Energy Inc,NEE
5,DTE US Equity,177700.0,2.833787190501952,43951.0,18434598.0,USD,0.0,DPG US Equity,DTE US Equity,DTE Energy Co,DTE
6,D US Equity,277800.0,3.293738635784129,43951.0,21426714.0,USD,277800.0,DPG US Equity,D US Equity,Dominion Energy Inc,D
7,TFDXX US Equity,21662822.47,3.330033496016775,43951.0,21662822.47,USD,15080993.68,DPG US Equity,TFDXX US Equity,BlackRock Liquidity FedFund,TFDXX
8,AEE US Equity,267000.0,2.985917611824653,43951.0,19424250.0,USD,267000.0,DPG US Equity,AEE US Equity,Ameren Corp,AEE
9,AEP US Equity,240000.0,3.066183098575197,43951.0,19946400.0,USD,-123000.0,DPG US Equity,AEP US Equity,American Electric Power Co Inc,AEP
10,CMS US Equity,326000.0,2.860956170027499,43951.0,18611340.0,USD,-64000.0,DPG US Equity,CMS US Equity,CMS Energy Corp,CMS
11,LNT US Equity,360000.0,2.686737867329307,43951.0,17478000.0,USD,360000.0,DPG US Equity,LNT US Equity,Alliant Energy Corp,LNT
12,EMA CN Equity,358200.0,2.191914742757573,43951.0,14259033.73,USD,-347800.0,DPG US Equity,EMA CN Equity,Emera Inc,EMA
13,EPD US Equity,918000.0,2.477996873805803,43951.0,16120080.0,USD,-176000.0,DPG US Equity,EPD US Equity,Enterprise Products Partners L,EPD
14,ETR US Equity,161000.0,2.363786687669537,43951.0,15377110.0,USD,161000.0,DPG US Equity,ETR US Equity,Entergy Corp,ETR
15,PEG US Equity,296000.0,2.307378719914845,43951.0,15010160.0,USD,-138000.0,DPG US Equity,PEG US Equity,Public Service Enterprise Grou,PEG
16,TRP CN Equity,287000.0,2.030386686369643,43951.0,13208247.42,USD,-258000.0,DPG US Equity,TRP CN Equity,TC Energy Corp,TRP
17,FTS CN Equity,319816.0,1.905114380485088,43951.0,12393315.16,USD,-167184.0,DPG US Equity,FTS CN Equity,Fortis Inc/Canada,FTS
18,EIX US Equity,264000.0,2.382591393202801,43951.0,15499440.0,USD,0.0,DPG US Equity,EIX US Equity,Edison International,EIX
19,CP CN Equity,37000.0,1.292686510680262,43951.0,8409296.31,USD,-30000.0,DPG US Equity,CP CN Equity,Canadian Pacific Railway Ltd,CP
20,WMB US Equity,679147.0,2.022213329406144,43951.0,13155077.39,USD,0.0,DPG US Equity,WMB US Equity,Williams Cos Inc/The,WMB
21,ATO US Equity,136000.0,2.131792299181454,43951.0,13867920.0,USD,0.0,DPG US Equity,ATO US Equity,Atmos Energy Corp,ATO
22,PPL CN Equity,327000.0,1.152711329267129,43951.0,7498717.63,USD,-100000.0,DPG US Equity,PPL CN Equity,Pembina Pipeline Corp,PPL
23,BKH US Equity,177000.0,1.685303135365647,43951.0,10963380.0,USD,177000.0,DPG US Equity,BKH US Equity,Black Hills Corp,BKH
24,PNW US Equity,127000.0,1.503043680485284,43951.0,9777730.0,USD,127000.0,DPG US Equity,PNW US Equity,Pinnacle West Capital Corp,PNW
25,AM US Equity,1479268.0,1.080125038320193,43951.0,7026523.0,USD,-109776.0,DPG US Equity,AM US Equity,Antero Midstream Corp,AM
26,CQP US Equity,262665.0,1.361921605723242,43951.0,8859690.45,USD,5935.0,DPG US Equity,CQP US Equity,Cheniere Energy Partners LP,CQP
27,LNG US Equity,167000.0,1.198598987371329,43951.0,7797230.0,USD,167000.0,DPG US Equity,LNG US Equity,Cheniere Energy Inc,LNG
28,SUN US Equity,337335.0,1.287053921075793,43951.0,8372654.7,USD,-125665.0,DPG US Equity,SUN US Equity,Sunoco LP,SUN
29,VZ US Equity,150000.0,1.324691816667256,43951.0,8617500.0,USD,150000.0,DPG US Equity,VZ US Equity,Verizon Communications Inc,VZ
30,UNP US Equity,44000.0,1.080776354737625,43951.0,7030760.0,USD,44000.0,DPG US Equity,UNP US Equity,Union Pacific Corp,UNP
31,MPLX US Equity,405575.0,1.128452578144623,43951.0,7340907.5,USD,-196000.0,DPG US Equity,MPLX US Equity,MPLX LP,MPLX
32,KSU US Equity,36100.0,0.7244653845824615,43951.0,4712855.0,USD,36100.0,DPG US Equity,KSU US Equity,Kansas City Southern,KSU
33,FE US Equity,250000.0,1.586017733503269,43951.0,10317500.0,USD,250000.0,DPG US Equity,FE US Equity,FirstEnergy Corp,FE
34,ET US Equity,1054585.0,1.361740760502735,43951.0,8858514.0,USD,-970000.0,DPG US Equity,ET US Equity,Energy Transfer LP,ET
35,KMI US Equity,370854.0,0.868233287408157,43951.0,5648106.42,USD,0.0,DPG US Equity,KMI US Equity,Kinder Morgan Inc,KMI
36,PAA US Equity,458500.0,0.6223484395506009,43951.0,4048555.0,USD,-340000.0,DPG US Equity,PAA US Equity,Plains All American Pipeline L,PAA
37,DCP US Equity,0.0,0.0,43951.0,0.0,USD,-277184.0,DPG US Equity,DCP US Equity,DCP Midstream LP,DCP
38,TGE US Equity,0.0,0.0,43951.0,0.0,USD,-411596.0,DPG US Equity,TGE US Equity,Tallgrass Energy LP,TGE
39,GLOP US Equity,0.0,0.0,43951.0,0.0,USD,-509900.0,DPG US Equity,GLOP US Equity,GasLog Partners LP,GLOP
40,CBOE GLOBAL MARKETS INC.,-3280.0,-0.032269139095421,43951.0,-209920.0,USD,0.0,DPG US Equity,CBOE GLOBAL MARKETS INC.,42,42
41,ORSTED DC Equity,0.0,0.0,43951.0,0.0,USD,-299000.0,DPG US Equity,ORSTED DC Equity,Orsted AS,ORSTED
42,NEW YORK STOCK EXCHANGE,-2640.0,-0.01623295106934288,43951.0,-105600.0,USD,0.0,DPG US Equity,NEW YORK STOCK EXCHANGE,42,42
