,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,CBA AU Equity,202500.0,7.682527206466554,43982.0,8598967.42,USD,5900.0,IAF US Equity,CBA AU Equity,Commonwealth Bank of Australia,CBA
2,CSL AU Equity,51800.0,8.570648531274202,43982.0,9593031.76,USD,0.0,IAF US Equity,CSL AU Equity,CSL Ltd,CSL
3,XRO AU Equity,87600.0,4.460045206888084,43982.0,4992079.09,USD,0.0,IAF US Equity,XRO AU Equity,Xero Ltd,XRO
4,BHP LN Equity,476100.0,8.365045813187317,43982.0,9362902.92,USD,0.0,IAF US Equity,BHP LN Equity,BHP Group PLC,BHP
5,ASX AU Equity,101300.0,5.334123267252359,43982.0,5970424.96,USD,-4600.0,IAF US Equity,ASX AU Equity,ASX Ltd,ASX
6,COH AU Equity,34300.0,3.952202468157918,43982.0,4423656.35,USD,0.0,IAF US Equity,COH AU Equity,Cochlear Ltd,COH
7,GMG AU Equity,381500.0,3.501562387334717,43982.0,3919259.91,USD,0.0,IAF US Equity,GMG AU Equity,Goodman Group,GMG
8,AIA NZ Equity,852563.0,3.074908196141252,43982.0,3441710.61,USD,0.0,IAF US Equity,AIA NZ Equity,Auckland International Airport,AIA
9,ALL AU Equity,204500.0,3.151516326590224,43982.0,3527457.24,USD,0.0,IAF US Equity,ALL AU Equity,Aristocrat Leisure Ltd,ALL
10,TLS AU Equity,2136400.0,4.08795146925013,43982.0,4575598.7,USD,0.0,IAF US Equity,TLS AU Equity,Telstra Corp Ltd,TLS
11,FPH NZ Equity,189200.0,3.118443605127108,43982.0,3490439.31,USD,0.0,IAF US Equity,FPH NZ Equity,Fisher & Paykel Healthcare Cor,FPH
12,WOW AU Equity,166400.0,3.502040163894802,43982.0,3919794.68,USD,0.0,IAF US Equity,WOW AU Equity,Woolworths Group Ltd,WOW
13,RMD AU Equity,197900.0,2.799305033972412,43982.0,3133231.05,USD,0.0,IAF US Equity,RMD AU Equity,ResMed Inc,RMD
14,NAB AU Equity,236500.0,2.491473552532486,43982.0,2788678.69,USD,27300.0,IAF US Equity,NAB AU Equity,National Australia Bank Ltd,NAB
15,MQG AU Equity,36600.0,2.405045356854728,43982.0,2691940.57,USD,0.0,IAF US Equity,MQG AU Equity,Macquarie Group Ltd,MQG
16,WBC AU Equity,224000.0,2.282630366321067,43982.0,2554922.83,USD,0.0,IAF US Equity,WBC AU Equity,Westpac Banking Corp,WBC
17,CWY AU Equity,1684300.0,1.958199131222117,43982.0,2191790.55,USD,0.0,IAF US Equity,CWY AU Equity,Cleanaway Waste Management Ltd,CWY
18,ANZ AU Equity,179500.0,1.908641845306349,43982.0,2136321.63,USD,0.0,IAF US Equity,ANZ AU Equity,Australia & New Zealand Bankin,ANZ
19,CHC AU Equity,282300.0,1.632815273434993,43982.0,1827592.01,USD,82800.0,IAF US Equity,CHC AU Equity,Charter Hall Group,CHC
20,WPL AU Equity,171500.0,2.311737105450961,43982.0,2587501.68,USD,0.0,IAF US Equity,WPL AU Equity,Woodside Petroleum Ltd,WPL
21,MPL AU Equity,1330100.0,2.256693791750597,43982.0,2525892.31,USD,0.0,IAF US Equity,MPL AU Equity,Medibank Pvt Ltd,MPL
22,RIO LN Equity,70500.0,3.416028750694144,43982.0,3823523.06,USD,0.0,IAF US Equity,RIO LN Equity,Rio Tinto PLC,RIO
23,NST AU Equity,283200.0,2.44982085675991,43982.0,2742057.29,USD,-14800.0,IAF US Equity,NST AU Equity,Northern Star Resources Ltd,NST
24,OZL AU Equity,194000.0,1.093588090505383,43982.0,1224041.01,USD,0.0,IAF US Equity,OZL AU Equity,OZ Minerals Ltd,OZL
25,ALU AU Equity,90400.0,2.007640334507125,43982.0,2247129.54,USD,0.0,IAF US Equity,ALU AU Equity,Altium Ltd,ALU
26,S32 AU Equity,1141984.0,1.272137069364048,43982.0,1423888.9,USD,-66416.0,IAF US Equity,S32 AU Equity,South32 Ltd,S32
27,MGR AU Equity,1025200.0,1.436998724055603,43982.0,1608416.72,USD,0.0,IAF US Equity,MGR AU Equity,Mirvac Group,MGR
28,APA AU Equity,259100.0,1.793965544941232,43982.0,2007965.72,USD,0.0,IAF US Equity,APA AU Equity,APA Group,APA
29,SPK NZ Equity,528900.0,1.289070106056851,43982.0,1442841.86,USD,0.0,IAF US Equity,SPK NZ Equity,Spark New Zealand Ltd,SPK
30,ORG AU Equity,448300.0,1.574420849933861,43982.0,1762231.78,USD,0.0,IAF US Equity,ORG AU Equity,Origin Energy Ltd,ORG
31,AST AU Equity,900800.0,0.9436480615102306,43982.0,1056214.8,USD,-387300.0,IAF US Equity,AST AU Equity,AusNet Services,AST
32,OSH AU Equity,415912.0,0.8639433489344481,43982.0,967002.2,USD,0.0,IAF US Equity,OSH AU Equity,Oil Search Ltd,OSH
33,ATM NZ Equity,93000.0,0.9816654223814176,43982.0,1098767.21,USD,0.0,IAF US Equity,ATM NZ Equity,a2 Milk Co Ltd/The,ATM
34,GVMXX US Equity,323996.4299999999,0.2894663122555517,43982.0,323996.43,USD,-105705.4399999999,IAF US Equity,GVMXX US Equity,State Street Institutional US,GVMXX
35,GBP Curncy,799.94283,0.8826397820134837,43982.0,987928.91,USD,0.0,IAF US Equity,GBP Curncy,BRITISH POUND,42
36,AUD Curncy,1439.78773,0.8574106476763315,43982.0,959690.22,USD,-292.2184899999993,IAF US Equity,AUD Curncy,AUSTRALIAN DOLLAR,42
