,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,4063 JP Equity,42100.0,4.111990925256038,44043.0,4927329.81,USD,0.0,JEQ US Equity,4063 JP Equity,Shin-Etsu Chemical Co Ltd,4063
2,6367 JP Equity,26500.0,3.891051249980501,44043.0,4662581.5,USD,-2900.0,JEQ US Equity,6367 JP Equity,Daikin Industries Ltd,6367
3,6758 JP Equity,62200.0,4.032960695327852,44043.0,4832629.21,USD,28100.0,JEQ US Equity,6758 JP Equity,Sony Corp,6758
4,8766 JP Equity,112300.0,3.957213236841096,44043.0,4741862.3,USD,15000.0,JEQ US Equity,8766 JP Equity,Tokio Marine Holdings Inc,8766
5,7203 JP Equity,75500.0,3.740332059453573,44043.0,4481977.22,USD,0.0,JEQ US Equity,7203 JP Equity,Toyota Motor Corp,7203
6,6861 JP Equity,9800.0,3.448709504578723,44043.0,4132530.8,USD,0.0,JEQ US Equity,6861 JP Equity,Keyence Corp,6861
7,4612 JP Equity,41100.0,2.345412666621605,44043.0,2810468.69,USD,-4600.0,JEQ US Equity,4612 JP Equity,Nippon Paint Holdings Co Ltd,4612
8,9433 JP Equity,164600.0,4.367797574044064,44043.0,5233858.63,USD,22600.0,JEQ US Equity,9433 JP Equity,KDDI Corp,9433
9,9962 JP Equity,118500.0,2.33988686956686,44043.0,2803847.22,USD,0.0,JEQ US Equity,9962 JP Equity,MISUMI Group Inc,9962
10,4519 JP Equity,81500.0,3.070779058112143,44043.0,3679663.08,USD,-35500.0,JEQ US Equity,4519 JP Equity,Chugai Pharmaceutical Co Ltd,4519
11,6268 JP Equity,91800.0,2.330750156616373,44043.0,2792898.85,USD,8600.0,JEQ US Equity,6268 JP Equity,Nabtesco Corp,6268
12,6586 JP Equity,73500.0,2.357122510778723,44043.0,2824500.4,USD,0.0,JEQ US Equity,6586 JP Equity,Makita Corp,6586
13,6113 JP Equity,341300.0,1.914139739971459,44043.0,2293681.57,USD,-32900.0,JEQ US Equity,6113 JP Equity,Amada Co Ltd,6113
14,4689 JP Equity,519000.0,2.303214696809942,44043.0,2759903.57,USD,25000.0,JEQ US Equity,4689 JP Equity,Z Holdings Corp,4689
15,7747 JP Equity,87100.0,2.028062696922625,44043.0,2430193.54,USD,-14300.0,JEQ US Equity,7747 JP Equity,Asahi Intecc Co Ltd,7747
16,6923 JP Equity,94900.0,1.897139652417118,44043.0,2273310.65,USD,0.0,JEQ US Equity,6923 JP Equity,Stanley Electric Co Ltd,6923
17,8803 JP Equity,85800.0,1.747731454105693,44043.0,2094277.31,USD,0.0,JEQ US Equity,8803 JP Equity,Heiwa Real Estate Co Ltd,8803
18,8697 JP Equity,116800.0,2.314581450129959,44043.0,2773524.16,USD,-16300.0,JEQ US Equity,8697 JP Equity,Japan Exchange Group Inc,8697
19,6845 JP Equity,59000.0,1.641355010112295,44043.0,1966808.2,USD,0.0,JEQ US Equity,6845 JP Equity,Azbil Corp,6845
20,1414 JP Equity,54000.0,1.94356038845785,44043.0,2328935.84,USD,0.0,JEQ US Equity,1414 JP Equity,SHO-BOND Holdings Co Ltd,1414
21,1973 JP Equity,157500.0,2.79225823033486,44043.0,3345916.24,USD,0.0,JEQ US Equity,1973 JP Equity,NEC Networks & System Integrat,1973
22,4911 JP Equity,37400.0,1.738975218812463,44043.0,2083784.86,USD,0.0,JEQ US Equity,4911 JP Equity,Shiseido Co Ltd,4911
23,6750 JP Equity,57000.0,2.37476493394631,44043.0,2845641.02,USD,2600.0,JEQ US Equity,6750 JP Equity,Elecom Co Ltd,6750
24,7951 JP Equity,43300.0,1.666066329610168,44043.0,1996419.36,USD,-2300.0,JEQ US Equity,7951 JP Equity,Yamaha Corp,7951
25,4613 JP Equity,85500.0,1.36746250376477,44043.0,1638607.4,USD,-7800.0,JEQ US Equity,4613 JP Equity,Kansai Paint Co Ltd,4613
26,8439 JP Equity,34000.0,1.595895490886805,44043.0,1912334.82,USD,0.0,JEQ US Equity,8439 JP Equity,Tokyo Century Corp,8439
27,3141 JP Equity,59600.0,2.278857333693779,44043.0,2730716.55,USD,-15200.0,JEQ US Equity,3141 JP Equity,Welcia Holdings Co Ltd,3141
28,7741 JP Equity,17900.0,1.473180831234897,44043.0,1765287.9,USD,0.0,JEQ US Equity,7741 JP Equity,Hoya Corp,7741
29,9843 JP Equity,10800.0,1.973248778317241,44043.0,2364510.94,USD,-700.0,JEQ US Equity,9843 JP Equity,Nitori Holdings Co Ltd,9843
30,4768 JP Equity,46700.0,2.031991751291125,44043.0,2434901.66,USD,0.0,JEQ US Equity,4768 JP Equity,Otsuka Corp,4768
31,3289 JP Equity,396100.0,1.263235985526284,44043.0,1513714.51,USD,33500.0,JEQ US Equity,3289 JP Equity,Tokyu Fudosan Holdings Corp,3289
32,6707 JP Equity,54100.0,0.8693276889520726,44043.0,1041700.8,USD,0.0,JEQ US Equity,6707 JP Equity,Sanken Electric Co Ltd,6707
33,7476 JP Equity,11600.0,1.03252755140783,44043.0,1237260.46,USD,-1300.0,JEQ US Equity,7476 JP Equity,As One Corp,7476
34,2127 JP Equity,23800.0,0.967127855105327,44043.0,1158893.1,USD,0.0,JEQ US Equity,2127 JP Equity,Nihon M&A Center Inc,2127
35,4681 JP Equity,95900.0,0.8939254209479075,44043.0,1071175.85,USD,0.0,JEQ US Equity,4681 JP Equity,Resorttrust Inc,4681
36,4732 JP Equity,74000.0,0.9155757279266689,44043.0,1097119.05,USD,-16100.0,JEQ US Equity,4732 JP Equity,USS Co Ltd,4732
37,7164 JP Equity,33100.0,0.9654315700104179,44043.0,1156860.47,USD,33100.0,JEQ US Equity,7164 JP Equity,Zenkoku Hosho Co Ltd,7164
38,6098 JP Equity,38600.0,1.004903815310418,44043.0,1204159.4,USD,0.0,JEQ US Equity,6098 JP Equity,Recruit Holdings Co Ltd,6098
39,9719 JP Equity,25300.0,1.074602011188623,44043.0,1287677.58,USD,0.0,JEQ US Equity,9719 JP Equity,SCSK Corp,9719
40,4091 JP Equity,85200.0,1.121523004580739,44043.0,1343902.22,USD,85200.0,JEQ US Equity,4091 JP Equity,Nippon Sanso Holdings Corp,4091
41,9749 JP Equity,30300.0,1.140800892498304,44043.0,1367002.59,USD,-6800.0,JEQ US Equity,9749 JP Equity,Fuji Soft Inc,9749
42,4694 JP Equity,42300.0,0.879097532680396,44043.0,1053407.84,USD,0.0,JEQ US Equity,4694 JP Equity,BML Inc,4694
43,7956 JP Equity,31500.0,1.022011473425429,44043.0,1224659.22,USD,-12600.0,JEQ US Equity,7956 JP Equity,Pigeon Corp,7956
44,9627 JP Equity,19300.0,1.02497451244708,44043.0,1228209.78,USD,-7900.0,JEQ US Equity,9627 JP Equity,Ain Holdings Inc,9627
