,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,CCI US Equity,342325.0,4.136623821500791,44104.0,56997112.5,USD,111917.0,RNP US Equity,CCI US Equity,Crown Castle International Cor,CCI
2,AMT US Equity,247921.0,4.349477023069729,44104.0,59929943.33,USD,-79584.0,RNP US Equity,AMT US Equity,American Tower Corp,AMT
3,PLD US Equity,492826.0,3.598910932966946,44104.0,49588152.12,USD,-141391.0,RNP US Equity,PLD US Equity,Prologis Inc,PLD
4,EQIX US Equity,66978.0,3.694989615540014,44104.0,50911987.14,USD,-4285.0,RNP US Equity,EQIX US Equity,Equinix Inc,EQIX
5,SPG US Equity,526978.0,2.473749218682239,44104.0,34084937.04,USD,167050.0,RNP US Equity,SPG US Equity,Simon Property Group Inc,SPG
6,WELL US Equity,646812.0,2.586092262327188,44104.0,35632873.08,USD,26488.0,RNP US Equity,WELL US Equity,Welltower Inc,WELL
7,PSA US Equity,177716.0,2.872624905759074,44104.0,39580907.52,USD,15546.0,RNP US Equity,PSA US Equity,Public Storage,PSA
8,VTR US Equity,755299.0,2.30010447614009,44104.0,31692346.04,USD,109988.0,RNP US Equity,VTR US Equity,Ventas Inc,VTR
9,SBAC US Equity,112731.0,2.60566571126004,44104.0,35902568.88,USD,50453.0,RNP US Equity,SBAC US Equity,SBA Communications Corp,SBAC
10,VICI US Equity,1191384.0,2.020708413165596,44104.0,27842644.08,USD,-77405.0,RNP US Equity,VICI US Equity,VICI Properties Inc,VICI
11,ESS US Equity,110946.0,1.616765013746627,44104.0,22276847.34,USD,4833.0,RNP US Equity,ESS US Equity,Essex Property Trust Inc,ESS
12,EXR US Equity,236765.0,1.838458641322505,44104.0,25331487.35,USD,-24238.0,RNP US Equity,EXR US Equity,Extra Space Storage Inc,EXR
13,UDR US Equity,633310.0,1.498857406651785,44104.0,20652239.1,USD,35719.0,RNP US Equity,UDR US Equity,UDR Inc,UDR
14,WY US Equity,761450.0,1.576101150690893,44104.0,21716554.0,USD,761450.0,RNP US Equity,WY US Equity,Weyerhaeuser Co,WY
15,VER US Equity,2923331.0,1.379064320894436,44104.0,19001651.5,USD,251424.0,RNP US Equity,VER US Equity,VEREIT Inc,VER
16,DRE US Equity,495598.0,1.327238848813485,44104.0,18287566.2,USD,39918.0,RNP US Equity,DRE US Equity,Duke Realty Corp,DRE
17,PEAK US Equity,612946.0,1.207772739818388,44104.0,16641483.9,USD,0.0,RNP US Equity,PEAK US Equity,Healthpeak Properties Inc,PEAK
18,SUI US Equity,123087.0,1.256092345034898,44104.0,17307263.07,USD,-79886.0,RNP US Equity,SUI US Equity,Sun Communities Inc,SUI
19,MPW US Equity,848937.0,1.086227887288409,44104.0,14966759.31,USD,0.0,RNP US Equity,MPW US Equity,Medical Properties Trust Inc,MPW
