,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AMT US Equity,643111.0,7.154225854012865,44104.0,155459222.03,USD,-214350.0,RQI US Equity,AMT US Equity,American Tower Corp,AMT
2,CCI US Equity,862626.0,6.609718108931066,44104.0,143627229.0,USD,255511.0,RQI US Equity,CCI US Equity,Crown Castle International Cor,CCI
3,EQIX US Equity,172543.0,6.035751824924366,44104.0,131155110.59,USD,-10897.0,RQI US Equity,EQIX US Equity,Equinix Inc,EQIX
4,SPG US Equity,1301613.0,3.874342807897461,44104.0,84188328.84,USD,382223.0,RQI US Equity,SPG US Equity,Simon Property Group Inc,SPG
5,PLD US Equity,1054692.0,4.88378032829523,44104.0,106123109.04,USD,-313515.0,RQI US Equity,PLD US Equity,Prologis Inc,PLD
6,PSA US Equity,454767.0,4.661163286178836,44104.0,101285706.24,USD,38273.0,RQI US Equity,PSA US Equity,Public Storage,PSA
7,WELL US Equity,1571700.0,3.984635335442176,44104.0,86584953.0,USD,51253.0,RQI US Equity,WELL US Equity,Welltower Inc,WELL
8,VTR US Equity,1768531.0,3.415028345182197,44104.0,74207560.76,USD,164732.0,RQI US Equity,VTR US Equity,Ventas Inc,VTR
9,SBAC US Equity,284070.0,4.163453247698771,44104.0,90470613.6,USD,132549.0,RQI US Equity,SBAC US Equity,SBA Communications Corp,SBAC
10,VICI US Equity,3120873.0,3.356456049269035,44104.0,72934802.01,USD,-507556.0,RQI US Equity,VICI US Equity,VICI Properties Inc,VICI
11,ESS US Equity,301205.0,2.783238433939896,44104.0,60478951.95,USD,17188.0,RQI US Equity,ESS US Equity,Essex Property Trust Inc,ESS
12,DRE US Equity,1914094.0,3.250392329580232,44104.0,70630068.6,USD,0.0,RQI US Equity,DRE US Equity,Duke Realty Corp,DRE
13,EXR US Equity,613093.0,3.018670436569893,44104.0,65594820.07,USD,-58836.0,RQI US Equity,EXR US Equity,Extra Space Storage Inc,EXR
14,UDR US Equity,1672519.0,2.509967021385047,44104.0,54540844.59,USD,96743.0,RQI US Equity,UDR US Equity,UDR Inc,UDR
15,WY US Equity,1911851.0,2.509283437804454,44104.0,54525990.52,USD,1911851.0,RQI US Equity,WY US Equity,Weyerhaeuser Co,WY
16,VER US Equity,7439658.0,2.225422550932527,44104.0,48357777.0,USD,1403358.0,RQI US Equity,VER US Equity,VEREIT Inc,VER
17,PEAK US Equity,1695265.0,2.118134753917658,44104.0,46026444.75,USD,38833.0,RQI US Equity,PEAK US Equity,Healthpeak Properties Inc,PEAK
18,MPW US Equity,2255571.0,1.830016354245086,44104.0,39765716.73,USD,0.0,RQI US Equity,MPW US Equity,Medical Properties Trust Inc,MPW
19,SUI US Equity,302522.0,1.9575791355097,44104.0,42537618.42,USD,-221863.0,RQI US Equity,SUI US Equity,Sun Communities Inc,SUI
20,INVH US Equity,1416173.0,1.824170234560355,44104.0,39638682.27,USD,-623771.0,RQI US Equity,INVH US Equity,Invitation Homes Inc,INVH
