,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,BL241028 Corp,7384132.0,2.211233447523151,44104.0,7006839.94,USD,0.0,AIF US Equity,BL241028 Corp, ,ENDP
2,BL270456 Corp,6465533.5,1.933183433998712,44104.0,6125769.72,USD,0.0,AIF US Equity,BL270456 Corp, ,VERTAF
3,BL234712 Corp,5875945.5,1.777851639199398,44104.0,5633562.52,USD,0.0,AIF US Equity,BL234712 Corp, ,LANSOF
4,BL259034 Corp,5735606.5,1.817050833580184,44104.0,5757774.86,USD,0.0,AIF US Equity,BL259034 Corp, ,INTEL
5,AW959806     Corp,5000.0,1.579646333633409,44104.0,5005500.0,USD,0.0,AIF US Equity,AW959806     Corp,TDG 6 ¼ 03/15/26,TDG
6,BL298137 Corp,5203568.0,1.624984259939079,44104.0,5149164.43,USD,0.0,AIF US Equity,BL298137 Corp, ,PETM
7,BL259036 Corp,5056201.5,1.600138599049787,44104.0,5070434.810000001,USD,0.0,AIF US Equity,BL259036 Corp, ,INTEL
8,BL234871 Corp,5230226.5,1.354611264479673,44104.0,4292420.74,USD,0.0,AIF US Equity,BL234871 Corp, ,PETC
9,BL328851 Corp,4969958.0,1.484236626049224,44104.0,4703170.75,USD,0.0,AIF US Equity,BL328851 Corp, ,LUMN
10,BL269624 Corp,5201235.5,1.351821780415571,44104.0,4283581.57,USD,0.0,AIF US Equity,BL269624 Corp, ,WMMORR
11,BL228717 Corp,5384110.5,1.312585631367785,44104.0,4159252.13,USD,0.0,AIF US Equity,BL228717 Corp, ,TMH
12,BL230624 Corp,5967828.5,1.283364389582094,44104.0,4066657.4,USD,0.0,AIF US Equity,BL230624 Corp, ,GEENQ
13,BL284799 Corp,4389866.0,1.325100009031474,44104.0,4198907.03,USD,0.0,AIF US Equity,BL284799 Corp, ,IMPV
14,BL240726 Corp,4784808.0,1.212318568901415,44104.0,3841531.15,USD,0.0,AIF US Equity,BL240726 Corp, ,TELPAC
15,BL225163 Corp,4122403.75,1.226151928373984,44104.0,3885365.57,USD,0.0,AIF US Equity,BL225163 Corp, ,BIOCSY
16,BL231646 Corp,4380694.5,1.187741228559263,44104.0,3763651.77,USD,0.0,AIF US Equity,BL231646 Corp, ,RVBD
17,BL266024 Corp,4000000.0,1.249705220495115,44104.0,3960000.0,USD,0.0,AIF US Equity,BL266024 Corp, ,PPD
18,BL272736 Corp,3888679.0,1.175998916256138,44104.0,3726443.35,USD,0.0,AIF US Equity,BL272736 Corp, ,EF
19,BL298466 Corp,3902219.5,1.176824195074854,44104.0,3729058.45,USD,0.0,AIF US Equity,BL298466 Corp, ,ALIANT
20,BL328666 Corp,3869921.25,1.151054516031141,44104.0,3647400.85,USD,0.0,AIF US Equity,BL328666 Corp, ,SPCHEM
21,BL328400 Corp,3740973.0,1.113444391266282,44104.0,3528223.87,USD,0.0,AIF US Equity,BL328400 Corp, ,ICECR
22,BL132910 Corp,3875703.5,0.9312337724818537,44104.0,2950844.47,USD,0.0,AIF US Equity,BL132910 Corp, ,WINEBO
23,BL270831 Corp,3612018.25,1.08930586155923,44104.0,3451734.97,USD,0.0,AIF US Equity,BL270831 Corp, ,TVCALB
24,BG081037     Corp,3271.0,0.9814608485689423,44104.0,3110001.38,USD,0.0,AIF US Equity,BG081037     Corp,ZAYO 4 03/01/27,ZAYO
25,AX974844     Corp,2847.0,0.9555685784924132,44104.0,3027955.32,USD,0.0,AIF US Equity,AX974844     Corp,JBSSBZ 6 ½ 04/15/29,JBSSBZ
26,BL321665 Corp,5082100.5,1.055850870952202,44104.0,3345724.56,USD,0.0,AIF US Equity,BL321665 Corp, ,APEXHA
27,BK131082     Corp,3000.0,0.9497049615978501,44104.0,3009375.0,USD,0.0,AIF US Equity,BK131082     Corp,VMED 4 ½ 08/15/30,VMED
28,ZP547803     Corp,3000.0,0.9185475382595969,44104.0,2910645.0,USD,0.0,AIF US Equity,ZP547803     Corp,LUMN 4 02/15/27,LUMN
29,BL329992 Corp,3151958.25,0.9474036546808786,44104.0,3002082.74,USD,0.0,AIF US Equity,BL329992 Corp, ,ZAYO
30,BJ984398     Corp,3000.0,0.9502304058382858,44104.0,3011040.0,USD,0.0,AIF US Equity,BJ984398     Corp,LVLT 4 ¼ 07/01/28,LVLT
31,BL339426 Corp,2961034.0,0.9194982167920547,44104.0,2913657.46,USD,0.0,AIF US Equity,BL339426 Corp, ,PCG
32,BL336398 Corp,2971573.5,0.9237088365993481,44104.0,2926999.85,USD,0.0,AIF US Equity,BL336398 Corp, ,ALTMOU
33,BL305168 Corp,2966667.0,0.8828340494510426,44104.0,2797477.98,USD,0.0,AIF US Equity,BL305168 Corp, ,CGPHLC
34,BL262471 Corp,2967475.75,0.8944904287411524,44104.0,2834414.1,USD,0.0,AIF US Equity,BL262471 Corp, ,CONGNT
35,BL311032 Corp,2775869.0,0.8443510907968419,44104.0,2675535.21,USD,0.0,AIF US Equity,BL311032 Corp, ,SEDGEW
36,BL265493 Corp,2892405.25,0.7379051164892564,44104.0,2338234.82,USD,0.0,AIF US Equity,BL265493 Corp, ,DTIHOL
37,BL248340 Corp,3215783.75,0.769028387529792,44104.0,2436856.6,USD,0.0,AIF US Equity,BL248340 Corp, ,AGCCQ
38,BL262271 Corp,2649802.25,0.7756035632238276,44104.0,2457691.67,USD,0.0,AIF US Equity,BL262271 Corp, ,SAFFLE
39,ZS279670     Corp,2421.0,0.7540767312341551,44104.0,2389478.58,USD,0.0,AIF US Equity,ZS279670     Corp,EGBLFN 6 ¾ 02/07/25,EGBLFN
40,BL249185 Corp,2470656.25,0.7611771775984567,44104.0,2411978.1,USD,0.0,AIF US Equity,BL249185 Corp, ,ASUCOR
41,BL299023 Corp,2883202.5,0.6839803583156412,44104.0,2167360.89,USD,0.0,AIF US Equity,BL299023 Corp, ,MROHOL
42,ZP852875     Corp,2286.0,0.7388466589191554,44104.0,2341218.33,USD,0.0,AIF US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
43,BL238848 Corp,2823010.0,0.6548052798833982,44104.0,2074912.44,USD,0.0,AIF US Equity,BL238848 Corp, ,ASSASP
44,BL254935 Corp,2834732.75,0.6038534157940988,44104.0,1913458.86,USD,0.0,AIF US Equity,BL254935 Corp, ,STRATE
45,BL284815 Corp,2366449.75,0.7240950659125419,44104.0,2294474.26,USD,0.0,AIF US Equity,BL284815 Corp, ,BHCCN
46,BL264784 Corp,2320413.5,0.705431920812349,44104.0,2235335.47,USD,0.0,AIF US Equity,BL264784 Corp, ,HGR
47,AZ770815     Corp,2000.0,0.6480100266818837,44104.0,2053380.0,USD,0.0,AIF US Equity,AZ770815     Corp,JBSSBZ 5 ½ 01/15/30,JBSSBZ
48,BL245492 Corp,2291814.0,0.6800880220177372,44104.0,2155027.06,USD,0.0,AIF US Equity,BL245492 Corp, ,MDACN
49,BL329514 Corp,2277992.75,0.6721656988100418,44104.0,2129923.22,USD,0.0,AIF US Equity,BL329514 Corp, ,NFP
50,ZS569563     Corp,2000.0,0.6511658479457603,44104.0,2063380.0,USD,0.0,AIF US Equity,ZS569563     Corp,BHCCN 7 01/15/28,BHCCN
51,AZ159791     Corp,2000.0,0.6327610983348321,44104.0,2005060.0,USD,0.0,AIF US Equity,AZ159791     Corp,NXST 5 ⅝ 07/15/27,NXST
52,AX686754     Corp,2000.0,0.6456463165552401,44104.0,2045890.0,USD,0.0,AIF US Equity,AX686754     Corp,SSNC 5 ½ 09/30/27,SSNC
53,BH542094     Corp,2000.0,0.6639058983880298,44104.0,2103750.0,USD,0.0,AIF US Equity,BH542094     Corp,BCULC 5 ¾ 04/15/25,BCULC
54,BK104300     Corp,2000.0,0.6262348599611355,44104.0,1984380.0,USD,0.0,AIF US Equity,BK104300     Corp,BMCAUS 4 ⅜ 07/15/30,BMCAUS
55,BH560910     Corp,2000.0,0.6489157473846162,44104.0,2056250.0,USD,0.0,AIF US Equity,BH560910     Corp,ARGID 5 ¼ 04/30/25,ARGID
56,AX779300     Corp,2000.0,0.6153314974944419,44104.0,1949830.0,USD,0.0,AIF US Equity,AX779300     Corp,CHDN 5 ½ 04/01/27,CHDN
57,BK055037     Corp,2000.0,0.6425441442528494,44104.0,2036060.0,USD,0.0,AIF US Equity,BK055037     Corp,GRA 4 ⅞ 06/15/27,GRA
58,BL320194 Corp,2135462.25,0.6490024977553389,44104.0,2056524.89,USD,0.0,AIF US Equity,BL320194 Corp, ,SOPHLN
59,BL300480 Corp,2128327.75,0.6447957059592386,44104.0,2043194.63,USD,0.0,AIF US Equity,BL300480 Corp, ,ACCARE
60,BJ816239     Corp,2000.0,0.6264683907346623,44104.0,1985120.0,USD,0.0,AIF US Equity,BJ816239     Corp,CSCHLD 4 ⅛ 12/01/30,CSCHLD
61,BL269752 Corp,2073128.0,0.6325114697170383,44104.0,2004268.99,USD,0.0,AIF US Equity,BL269752 Corp, ,IONTRA
62,AZ131777     Corp,2000.0,0.5691144950849698,44104.0,1803380.0,USD,0.0,AIF US Equity,AZ131777     Corp,OUT 5 08/15/27,OUT
63,BL310876 Corp,2149235.25,0.551086433767562,44104.0,1746253.63,USD,0.0,AIF US Equity,BL310876 Corp, ,WJACN
64,BL329930 Corp,2047884.63,0.61719335945624,44104.0,1955729.77,USD,0.0,AIF US Equity,BL329930 Corp, ,CORTNP
65,BL276659 Corp,2124999.75,0.5800793329498837,44104.0,1838124.8,USD,0.0,AIF US Equity,BL276659 Corp, ,AISHLD
66,AQ672398     Corp,2635.0,0.418739801210528,44104.0,1326880.6,USD,0.0,AIF US Equity,AQ672398     Corp,MSSCRK 7 ½ 01/15/26,MSSCRK
67,BL301520 Corp,2331245.75,0.5775240928749142,44104.0,1830027.89,USD,0.0,AIF US Equity,BL301520 Corp, ,EFII
68,BL127953 Corp,2979055.5,0.5906878849057483,44104.0,1871740.62,USD,0.0,AIF US Equity,BL127953 Corp, ,SKIL
69,BL328490 Corp,2000000.0,0.5977661963397051,44104.0,1894170.0,USD,0.0,AIF US Equity,BL328490 Corp, ,ZIGGO
70,BL249221 Corp,2000000.0,0.6001993345341539,44104.0,1901880.0,USD,0.0,AIF US Equity,BL249221 Corp, ,PRXL
71,BL276826 Corp,1989899.0,0.5934378454643414,44104.0,1880454.55,USD,0.0,AIF US Equity,BL276826 Corp, ,SIGRP
72,BL272620 Corp,2344339.0,0.4919879654091646,44104.0,1558985.52,USD,0.0,AIF US Equity,BL272620 Corp, ,EVHC
73,BL251721 Corp,1972232.13,0.5991047189938506,44104.0,1898411.44,USD,0.0,AIF US Equity,BL251721 Corp, ,TROX
74,BL269228 Corp,2178332.0,0.5421138437757844,44104.0,1717821.76,USD,0.0,AIF US Equity,BL269228 Corp, ,BWNHHC
75,BL264754 Corp,1878048.5,0.5763798741359855,44104.0,1826402.15,USD,0.0,AIF US Equity,BL264754 Corp, ,PRIWAT
76,ZQ972300     Corp,1731.0,0.56675788555617,44104.0,1795912.5,USD,0.0,AIF US Equity,ZQ972300     Corp,GFLCN 5 ⅛ 12/15/26,GFLCN
77,BL335026 Corp,1753210.58,0.5729953599725794,44104.0,1815677.48,USD,0.0,AIF US Equity,BL335026 Corp, ,INTEL
78,BK129430     Corp,1500.0,0.476923488503344,44104.0,1511250.0,USD,0.0,AIF US Equity,BK129430     Corp,CGPHLC 5 ¾ 07/01/25,CGPHLC
79,ZQ643884     Corp,1429.0,0.4453297728753599,44104.0,1411137.5,USD,0.0,AIF US Equity,ZQ643884     Corp,PBH 5 ⅛ 01/15/28,PBH
80,EK747915     Corp,1456.0,0.4342180630888253,44104.0,1375927.3,USD,0.0,AIF US Equity,EK747915     Corp,UVN 5 ⅛ 02/15/25,UVN
81,EK304137     Corp,1380.0,0.4421730679815296,44104.0,1401134.7,USD,0.0,AIF US Equity,EK304137     Corp,JBSSBZ 5 ⅞ 07/15/24,JBSSBZ
82,BL338872 Corp,1408138.13,0.4327181675143513,44104.0,1371174.51,USD,0.0,AIF US Equity,BL338872 Corp, ,PATVET
83,BL238050 Corp,1336889.63,0.391838214286637,44104.0,1241636.27,USD,0.0,AIF US Equity,BL238050 Corp, ,UVN
84,BL229052 Corp,1497136.25,0.3588405368947793,44104.0,1137074.97,USD,0.0,AIF US Equity,BL229052 Corp, ,LEACOM
85,BL264269 Corp,1277100.75,0.391064198628531,44104.0,1239183.61,USD,0.0,AIF US Equity,BL264269 Corp, ,ASUCOR
86,BL313273 Corp,1245633.13,0.3783583288863703,44104.0,1198921.92,USD,0.0,AIF US Equity,BL313273 Corp, ,CONGNT
87,BL249697 Corp,1237277.38,0.3687899829563984,44104.0,1168602.25,USD,0.0,AIF US Equity,BL249697 Corp, ,UNSTSV
88,BL262275 Corp,1403846.0,0.370371999311801,44104.0,1173615.26,USD,0.0,AIF US Equity,BL262275 Corp, ,SAFFLE
89,BL238985 Corp,1324785.75,0.3508370144059644,44104.0,1111713.83,USD,0.0,AIF US Equity,BL238985 Corp, ,ROIAK
90,BL255962 Corp,1188000.75,0.3746193591902484,44104.0,1187074.07,USD,0.0,AIF US Equity,BL255962 Corp, ,INTEL
91,BL142279 Corp,1311008.88,0.3551197794431712,44104.0,1125284.83,USD,0.0,AIF US Equity,BL142279 Corp, ,SUTGLO
92,BH538705     Corp,1068.0,0.3557020284663565,44104.0,1127129.83,USD,0.0,AIF US Equity,BH538705     Corp,TDG 8 12/15/25,TDG
93,BL337388 Corp,1132420.0,0.3502240813326305,44104.0,1109771.6,USD,0.0,AIF US Equity,BL337388 Corp, ,MCROLN
94,AR060574     Corp,1000.0,0.3340657715301803,44104.0,1058570.0,USD,0.0,AIF US Equity,AR060574     Corp,JBSSBZ 6 ¾ 02/15/28,JBSSBZ
95,BL262947 Corp,1118328.0,0.3137497303289981,44104.0,994193.6000000001,USD,0.0,AIF US Equity,BL262947 Corp, ,SGMS
96,ZR978171     Corp,1000.0,0.3240965321575942,44104.0,1026980.0,USD,0.0,AIF US Equity,ZR978171     Corp,EGBLFN 8 ½ 10/30/25,EGBLFN
97,BL315192 Corp,1085323.63,0.3082578470885707,44104.0,976791.21,USD,0.0,AIF US Equity,BL315192 Corp, ,CAOCOR
98,ZQ933467     Corp,1000.0,0.3083868539060168,44104.0,977200.0,USD,0.0,AIF US Equity,ZQ933467     Corp,MOGA 4 ¼ 12/15/27,MOGA
99,BJ819175     Corp,1000.0,0.3081217649198511,44104.0,976360.0,USD,0.0,AIF US Equity,BJ819175     Corp,CSCHLD 4 ⅝ 12/01/30,CSCHLD
100,BL273240 Corp,1003600.38,0.3066894481019218,44104.0,971821.35,USD,0.0,AIF US Equity,BL273240 Corp, ,ASUCOR
101,EK768339     Corp,1384.0,0.2675189685388154,44104.0,847700.0,USD,0.0,AIF US Equity,EK768339     Corp,RVBD 8 ⅞ 03/01/23,RVBD
102,BL267819 Corp,997468.38,0.2952398697792341,44104.0,935540.53,USD,0.0,AIF US Equity,BL267819 Corp, ,PENN
103,EP057449     Pfd,37863.0,0.2987221512853948,44104.0,946575.0,USD,0.0,AIF US Equity,EP057449     Pfd,WTRE Float PERP,WTRE
104,BL265252 Corp,936876.56,0.2784155680805404,44104.0,882228.57,USD,0.0,AIF US Equity,BL265252 Corp, ,OPTFIN
105,BL266484 Corp,928777.75,0.265993390890896,44104.0,842865.8300000001,USD,0.0,AIF US Equity,BL266484 Corp, ,COTY
106,BL336120 Corp,1012526.06,0.2572257841134925,44104.0,815083.5,USD,0.0,AIF US Equity,BL336120 Corp, ,CAREST
107,BL248162 Corp,793595.75,0.2498185224942743,44104.0,791611.76,USD,0.0,AIF US Equity,BL248162 Corp, ,ASUCOR
108,AZ647193     Corp,937.0,0.2652373918163855,44104.0,840470.26,USD,0.0,AIF US Equity,AZ647193     Corp,TPCG 10 ½ 08/01/24,TPCG
109,BL329708 Corp,714261.3799999999,0.2163917985783077,44104.0,685690.92,USD,0.0,AIF US Equity,BL329708 Corp, ,LUMN
110,BL337612 Corp,591111.5,0.183979248318628,44104.0,582983.74,USD,0.0,AIF US Equity,BL337612 Corp, ,ASSPAR
111,BL328592 Corp,559322.0,0.1707753868252064,44104.0,541144.04,USD,0.0,AIF US Equity,BL328592 Corp, ,ICECR
112,BL225759 Corp,485373.3399999999,0.150111646704634,44104.0,475665.87,USD,0.0,AIF US Equity,BL225759 Corp, ,PACARC
113,BL178910 Corp,460231.03,0.1305350680745395,44104.0,413632.64,USD,0.0,AIF US Equity,BL178910 Corp, ,PATMED
114,ZS276687     Corp,553.0,0.09311524564353474,44104.0,295058.68,USD,0.0,AIF US Equity,ZS276687     Corp,MSSCRK 10 ½ 05/15/27,MSSCRK
115,BL336863 Corp,298507.0,0.09169106768864495,44104.0,290545.82,USD,0.0,AIF US Equity,BL336863 Corp, ,SEDGEW
116,BL336119 Corp,303907.6599999999,0.0910524904117208,44104.0,288522.33,USD,0.0,AIF US Equity,BL336119 Corp, ,CAREST
117,AN101878     Corp,3163.0,0.95295844606238,44104.0,3019684.47,USD,0.0,AIF US Equity,AN101878     Corp,ORBC 8 04/01/24,ORBC
118,BL321808 Corp,1578175.0,0.04233372647441686,44104.0,134144.88,USD,0.0,AIF US Equity,BL321808 Corp, ,APEXHA
119,BL339088 Corp,114442.86,-0.000948049733344947,44104.0,-3004.13,USD,0.0,AIF US Equity,BL339088 Corp, ,PATVET
120,BL267830 Corp,92234.33999999995,0.02579652877102566,44104.0,81742.67999999998,USD,0.0,AIF US Equity,BL267830 Corp, ,AMEENE
121,BL127957 Corp,1000000.0,0.01301776271349078,44104.0,41250.0,USD,0.0,AIF US Equity,BL127957 Corp, ,SKIL
122,BL143663 Corp,305173.22,0.08266385043078986,44104.0,261940.85,USD,0.0,AIF US Equity,BL143663 Corp, ,SUTGLO
123,BL134368 Corp,2492608.25,0.7228943863753811,44104.0,2290669.61,USD,0.0,AIF US Equity,BL134368 Corp, ,ADVSAL
124,BL301521 Corp,456502.0399999998,0.1197318619072977,44104.0,379400.01,USD,0.0,AIF US Equity,BL301521 Corp, ,EFII
125,!!02GGIB   Mtge,1000.0,0.2686247683096777,44104.0,851204.0,USD,0.0,AIF US Equity,!!02GGIB   Mtge,PIPK 2018-1A E,PIPK
126,!!02DU4K   Mtge,4400.0,1.240251894782748,44104.0,3930044.8,USD,0.0,AIF US Equity,!!02DU4K   Mtge,ANCHC 2015-6A ER,ANCHC
127,!!02G3VC   Mtge,4000.0,0.9399613634456313,44104.0,2978500.0,USD,0.0,AIF US Equity,!!02G3VC   Mtge,FCO 2018-11A E,FCO
128,BL179098 Corp,888224.44,0.2318145116907183,44104.0,734561.6000000001,USD,0.0,AIF US Equity,BL179098 Corp, ,PATMED
129,!!02HYL2   Mtge,5000.0,1.233421182773512,44104.0,3908400.0,USD,0.0,AIF US Equity,!!02HYL2   Mtge,CHMML 2016-1A ER,CHMML
130,!!02EUH8   Mtge,4000.0,0.9717682547999904,44104.0,3079288.0,USD,0.0,AIF US Equity,!!02EUH8   Mtge,CHMML 2017-1A E,CHMML
