,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AU652656     Corp,100018000.0,0.7646731329243774,44012.0,7449713.13,USD,0.0,AWF US Equity,AU652656     Corp,INDOGB 8 ¼ 05/15/29,INDOGB
2,EH765203     Corp,18165600.0,0.6091362343448831,44012.0,5934418.26,USD,0.0,AWF US Equity,EH765203     Corp,COLTES 10 07/24/24,COLTES
3,QJ407200     Corp,274943.0,0.4095046143066206,44012.0,3989537.19,USD,0.0,AWF US Equity,QJ407200     Corp,RFLB 7 ½ 08/18/21,RFLB
4,EJ525789     Corp,220100.0,0.346416740873564,44012.0,3374913.06,USD,0.0,AWF US Equity,EJ525789     Corp,RFLB 7.05 01/19/28,RFLB
5,EI138329     Corp,100732.0,1.973516799317614,44012.0,19226690.96,USD,0.0,AWF US Equity,EI138329     Corp,BNTNF 10 01/01/21,BNTNF
6,EG111637     Corp,464330.0,0.2312079868160248,44012.0,2252509.08,USD,0.0,AWF US Equity,EG111637     Corp,MBONO 7 ½ 06/03/27,MBONO
7,EJ303610     Corp,37074.0,0.0567046023136371,44012.0,552436.07,USD,0.0,AWF US Equity,EJ303610     Corp,RFLB 7.6 07/20/22,RFLB
8,QZ700343     Corp,34141.68899999998,0.02533465596266692,44012.0,246819.08,USD,0.0,AWF US Equity,QZ700343     Corp,ARGTES 18.2 10/03/21,ARGTES
9,912828V9     Govt,23373.0,2.679509560177696,44012.0,26104719.38,USD,-3000.0,AWF US Equity,912828V9     Govt,T 2 ¼ 02/15/27,T
10,AN644179     Corp,26500.0,0.0213633296538241,44012.0,208129.03,USD,0.0,AWF US Equity,AN644179     Corp,BUENOS Float 05/31/22,BUENOS
11,9128284V     Govt,13970.0,1.698329368160263,44012.0,16545718.75,USD,-3700.0,AWF US Equity,9128284V     Govt,T 2 ⅞ 08/15/28,T
12,EF324435     Corp,5719.0,0.6539822098813249,44012.0,6371323.44,USD,0.0,AWF US Equity,EF324435     Corp,DOMREP 8 ⅝ 04/20/27,DOMREP
13,!!00XGX1   Mtge,333881.0,0.1794623205989206,44012.0,1748384.7,USD,0.0,AWF US Equity,!!00XGX1   Mtge,FHS 247 54,FHS
