,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,JV891745     Corp,16957.0,4.103496879897516,44012.0,15176515.0,USD,-6901.0,BGH US Equity,JV891745     Corp,VERITS 10 ½ 02/01/24,VERITS
2,BL241445 Corp,15630136.41,3.639179294809668,44012.0,13459266.76,USD,0.0,BGH US Equity,BL241445 Corp, ,MSYLN
3,AU709384     Corp,17662.0,2.889198010552074,44012.0,10685510.0,USD,0.0,BGH US Equity,AU709384     Corp,VRI 9 ¾ 04/15/23,VRI
4,AW981943     Corp,11673.0,3.243626904960278,44012.0,11996342.1,USD,0.0,BGH US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
5,AQ293323     Corp,11045.0,3.216978428069171,44012.0,11897784.45,USD,-1877.0,BGH US Equity,AQ293323     Corp,BHCCN 9 12/15/25,BHCCN
6,AZ681241     Corp,9575.0,2.783103124919992,44012.0,10293125.0,USD,0.0,BGH US Equity,AZ681241     Corp,ACRISU 10 ⅛ 08/01/26,ACRISU
7,AR196187     Corp,10627.0,2.076015463370855,44012.0,7678007.5,USD,0.0,BGH US Equity,AR196187     Corp,APEXTO 9 02/15/23,APEXTO
8,AM836595     Corp,9775.0,2.530682143822597,44012.0,9359562.5,USD,0.0,BGH US Equity,AM836595     Corp,FMCN 7 ½ 04/01/25,FMCN
9,UV343924     Corp,10000.0,2.379385026344859,44012.0,8800000.0,USD,0.0,BGH US Equity,UV343924     Corp,KEADGR 7 ⅞ 07/31/23,KEADGR
10,AX565544     Corp,8965.0,2.43599728814199,44012.0,9009376.75,USD,0.0,BGH US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
11,AX558429     Corp,8538.0,2.285458802429896,44012.0,8452620.0,USD,0.0,BGH US Equity,AX558429     Corp,MTW 9 04/01/26,MTW
12,AX858850     Corp,7763.0,1.957523792482252,44012.0,7239773.800000001,USD,0.0,BGH US Equity,AX858850     Corp,RLGY 9 ⅜ 04/01/27,RLGY
13,AT869341     Corp,8000.0,2.176596529781377,44012.0,8050000.0,USD,2000.0,BGH US Equity,AT869341     Corp,BMC 9 ¾ 09/01/26,BMC
14,AZ662579     Corp,8000.0,2.217154229094073,44012.0,8200000.0,USD,0.0,BGH US Equity,AZ662579     Corp,TEKNI 9 ¼ 08/01/24,TEKNI
15,AU667774     Corp,12551.0,1.611958999566569,44012.0,5961725.0,USD,0.0,BGH US Equity,AU667774     Corp,EVHC 8 ¾ 10/15/26,EVHC
16,AQ452239     Corp,8289.0,1.683715371094729,44012.0,6227111.25,USD,0.0,BGH US Equity,AQ452239     Corp,TGI 7 ¾ 08/15/25,TGI
17,AP790093     Corp,10316.0,1.179060004059092,44012.0,4360676.36,USD,0.0,BGH US Equity,AP790093     Corp,CEIX 11 11/15/25,CEIX
18,AP093654     Corp,6500.0,0.9929876715058517,44012.0,3672500.0,USD,1500.0,BGH US Equity,AP093654     Corp,NUGGET 8 ¾ 10/01/25,NUGGET
19,LW850044     Corp,7389.0,1.498404201107571,44012.0,5541750.0,USD,0.0,BGH US Equity,LW850044     Corp,ITWG 10 ¾ 08/01/21,ITWG
20,ZS273558     Corp,6118.0,1.654213362633846,44012.0,6118000.0,USD,0.0,BGH US Equity,ZS273558     Corp,TRUK 8 ½ 04/21/24,TRUK
21,LW286157     Corp,6213.0,1.64630190742125,44012.0,6088740.0,USD,0.0,BGH US Equity,LW286157     Corp,UAN 9 ¼ 06/15/23,UAN
22,AN634987     Corp,5743.0,1.312442715450399,44012.0,4853983.600000001,USD,0.0,BGH US Equity,AN634987     Corp,SXCP 7 ½ 06/15/25,SXCP
23,BH715257     Corp,5546.0,1.390985674400719,44012.0,5144469.600000001,USD,5546.0,BGH US Equity,BH715257     Corp,CCO 9 ¼ 02/15/24,CCO
24,AP945470     Corp,5713.0,1.390236817040609,44012.0,5141700.0,USD,0.0,BGH US Equity,AP945470     Corp,WELTEC 9 ½ 12/01/22,WELTEC
25,UV353971     Corp,5150.0,0.8051283640170479,44012.0,2977714.63,USD,0.0,BGH US Equity,UV353971     Corp,BALTAL 7 ¾ 09/15/22,BALTAL
26,AW767347     Corp,4564.0,1.283026810985157,44012.0,4745190.8,USD,0.0,BGH US Equity,AW767347     Corp,ACRISU 8 ⅛ 02/15/24,ACRISU
27,EJ987162     Corp,4398.0,1.135639915375088,44012.0,4200090.0,USD,0.0,BGH US Equity,EJ987162     Corp,CLMT 7 ⅝ 01/15/22,CLMT
28,AU476215     Corp,3743.0,0.9310858069681934,44012.0,3443560.0,USD,0.0,BGH US Equity,AU476215     Corp,ADVZCN 8 09/06/24,ADVZCN
29,AT648536     Corp,3500.0,1.084479197804147,44012.0,4010875.43,USD,0.0,BGH US Equity,AT648536     Corp,TCHEN 6 07/30/26,TCHEN
30,BK188757     Corp,3000.0,0.7683169442398592,44012.0,2841570.0,USD,3000.0,BGH US Equity,BK188757     Corp,AAL 11 ¾ 07/15/25,AAL
31,ZR202234     Corp,3000.0,0.7783022498106451,44012.0,2878500.0,USD,0.0,BGH US Equity,ZR202234     Corp,TDG 7 ½ 03/15/27,TDG
