,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,QZ513404     Corp,800.0,1.848069204037329,44074.0,869790.22,USD,0.0,CIF US Equity,QZ513404     Corp,CSCHLD 5 ½ 04/15/27,CSCHLD
2,HYG US Equity,8000.0,1.445326202166716,44074.0,680240.0,USD,0.0,CIF US Equity,HYG US Equity,iShares iBoxx High Yield Corpo,HYG
3,AR413561     Corp,515.0,1.387425423986422,44074.0,652989.11,USD,0.0,CIF US Equity,AR413561     Corp,S 7 ⅝ 03/01/26,S
4,ZS521500     Corp,600.0,1.360669168999769,44074.0,640396.33,USD,0.0,CIF US Equity,ZS521500     Corp,IQV 5 05/15/27,IQV
5,QJ667017     Corp,585.0,1.305880397574835,44074.0,614610.1,USD,0.0,CIF US Equity,QJ667017     Corp,CHTR 5 ¾ 02/15/26,CHTR
6,EK696751     Corp,525.0,1.260762737553435,44074.0,593375.5600000002,USD,0.0,CIF US Equity,EK696751     Corp,HCA 5 ⅜ 02/01/25,HCA
7,EK799007     Corp,530.0,1.184539224420835,44074.0,557501.11,USD,0.0,CIF US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
8,ZR489020     Corp,505.0,1.160675555342637,44074.0,546269.72,USD,0.0,CIF US Equity,ZR489020     Corp,CWENA 5 ¾ 10/15/25,CWENA
9,AP097846     Corp,520.0,1.143161301328215,44074.0,538026.67,USD,0.0,CIF US Equity,AP097846     Corp,TRS 4 ⅞ 10/15/25,TRS
10,AT404736     Corp,510.0,1.120861369644185,44074.0,527531.25,USD,0.0,CIF US Equity,AT404736     Corp,CQP 5 ¼ 10/01/25,CQP
11,ZR665583     Corp,490.0,1.143251241140837,44074.0,538069.0,USD,0.0,CIF US Equity,ZR665583     Corp,CHTR 4 ¾ 03/01/30,CHTR
12,AN101723     Corp,465.0,1.063938094657718,44074.0,500740.42,USD,0.0,CIF US Equity,AN101723     Corp,QBRCN 5 ⅛ 04/15/27,QBRCN
13,EC066567     Corp,355.0,0.978860428731388,44074.0,460698.78,USD,0.0,CIF US Equity,EC066567     Corp,S 6 ⅞ 11/15/28,S
