,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,JK025356     Corp,3975.0,1.313629957236164,44135.0,4132092.0,USD,0.0,DHY US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
2,AN797627     Corp,3925.0,1.205387249579792,44135.0,3791608.88,USD,0.0,DHY US Equity,AN797627     Corp,TKOCN 8 ¾ 06/15/22,TKOCN
3,AS008907     Corp,3700.0,1.240946700548524,44135.0,3903463.0,USD,0.0,DHY US Equity,AS008907     Corp,CODI 8 05/01/26,CODI
4,AX565544     Corp,3430.0,1.139279664409404,44135.0,3583664.0,USD,0.0,DHY US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
5,AP788518     Corp,3530.0,1.126287431737711,44135.0,3542796.25,USD,0.0,DHY US Equity,AP788518     Corp,ACRISU 7 11/15/25,ACRISU
6,EK892447     Corp,3540.0,1.116957989621577,44135.0,3513450.0,USD,0.0,DHY US Equity,EK892447     Corp,PRIMBP 9 05/15/23,PRIMBP
7,AP097846     Corp,3400.0,1.100990365507182,44135.0,3463223.0,USD,0.0,DHY US Equity,AP097846     Corp,TRS 4 ⅞ 10/15/25,TRS
8,QZ510792     Corp,3250.0,0.8761783493905967,44135.0,2756065.0,USD,0.0,DHY US Equity,QZ510792     Corp,NUGGET 6 ¾ 10/15/24,NUGGET
9,ZQ172158     Corp,3135.0,0.9493046125130914,44135.0,2986087.5,USD,0.0,DHY US Equity,ZQ172158     Corp,TRK 4 ⅞ 11/01/27,TRK
10,QZ580241     Corp,2922.0,0.9654793830665873,44135.0,3036966.09,USD,0.0,DHY US Equity,QZ580241     Corp,ZIGGO 5 ½ 01/15/27,ZIGGO
11,ZP566477     Corp,2750.0,0.934118886013711,44135.0,2938320.0,USD,0.0,DHY US Equity,ZP566477     Corp,RADPAR 9 ¼ 02/01/28,RADPAR
12,BL241445 Corp,2979090.91,0.9269548758824199,44135.0,2915785.23,USD,0.0,DHY US Equity,BL241445 Corp, ,MSYLN
13,AM800334     Corp,2850.0,0.9397911804621369,44135.0,2956162.5,USD,0.0,DHY US Equity,AM800334     Corp,BHCCN 7 03/15/24,BHCCN
14,AM449809     Corp,3105.0,0.8278331795500156,44135.0,2603992.73,USD,-300.0,DHY US Equity,AM449809     Corp,NEWGAM 8 ¼ 03/01/24,NEWGAM
15,AP836679     Corp,2625.0,0.8585037914402918,44135.0,2700468.75,USD,0.0,DHY US Equity,AP836679     Corp,ENTG 4 ⅝ 02/10/26,ENTG
16,ZP465545     Corp,2600.0,0.8415453239058525,44135.0,2647125.0,USD,0.0,DHY US Equity,ZP465545     Corp,ATSG 4 ¾ 02/01/28,ATSG
17,AP891115     Corp,3150.0,0.8211593980823788,44135.0,2583000.0,USD,0.0,DHY US Equity,AP891115     Corp,NM 11 ¼ 08/15/22,NM
18,EK489458     Corp,2619.0,0.8341652626994792,44135.0,2623910.63,USD,0.0,DHY US Equity,EK489458     Corp,OMI 4 ⅜ 12/15/24,OMI
19,EK271671     Corp,2750.0,0.753678009741998,44135.0,2370733.75,USD,0.0,DHY US Equity,EK271671     Corp,GEL 5 ⅝ 06/15/24,GEL
20,BL341804 Corp,2560000.0,0.836736947639497,44135.0,2632000.0,USD,0.0,DHY US Equity,BL341804 Corp, ,EGLPT
21,AP390715     Corp,2535.0,0.8084181960322536,44135.0,2542921.88,USD,0.0,DHY US Equity,AP390715     Corp,PLASPK 6 ¼ 10/15/25,PLASPK
22,AU737468     Corp,2717.755999999999,0.8251195863126244,44135.0,2595456.98,USD,0.0,DHY US Equity,AU737468     Corp,TAENLL 11 04/03/22,TAENLL
23,AZ764488     Corp,2465.0,0.7767892119650307,44135.0,2443431.25,USD,0.0,DHY US Equity,AZ764488     Corp,GMSEDA 7 ⅛ 07/31/26,GMSEDA
24,AM069254     Corp,2500.0,0.7838448087095877,44135.0,2465625.0,USD,0.0,DHY US Equity,AM069254     Corp,FLXACQ 6 ⅞ 01/15/25,FLXACQ
25,BL340897 Corp,2835172.799999999,0.855392169558074,44135.0,2690680.98,USD,-7105.689999999478,DHY US Equity,BL340897 Corp, ,SERSIM
26,AQ391070     Corp,2390.0,0.7729589150653576,44135.0,2431382.85,USD,0.0,DHY US Equity,AQ391070     Corp,CHDN 4 ¾ 01/15/28,CHDN
27,AO120074     Corp,2625.0,0.7192446725471172,44135.0,2262421.88,USD,0.0,DHY US Equity,AO120074     Corp,VNTR 5 ¾ 07/15/25,VNTR
28,BL262929 Corp,2455347.559999999,0.7817991203944625,44135.0,2459190.18,USD,0.0,DHY US Equity,BL262929 Corp, ,USLBMH
29,BL272907 Corp,2458450.699999999,0.7639788424157802,44135.0,2403135.56,USD,0.0,DHY US Equity,BL272907 Corp, ,MGMINC
30,JK836453     Corp,2300.0,0.7640947012353841,44135.0,2403500.0,USD,0.0,DHY US Equity,JK836453     Corp,ALTICE 7 ½ 05/15/26,ALTICE
31,BL276826 Corp,2456250.0,0.7535341558404756,44135.0,2370281.25,USD,0.0,DHY US Equity,BL276826 Corp, ,SIGRP
32,BL231847 Corp,2440700.959999999,0.7479997036310794,44135.0,2352872.34,USD,0.0,DHY US Equity,BL231847 Corp, ,OBETEC
33,AQ232349     Corp,2300.0,0.7477964515793682,44135.0,2352233.0,USD,0.0,DHY US Equity,AQ232349     Corp,RXN 4 ⅞ 12/15/25,RXN
34,BL249300 Corp,2443324.93,0.7366243443052142,44135.0,2317090.55,USD,0.0,DHY US Equity,BL249300 Corp, ,ZEP
35,BL264954 Corp,2471509.109999999,0.7159831787427012,44135.0,2252162.68,USD,0.0,DHY US Equity,BL264954 Corp, ,PRIMIN
36,AR902445     Corp,2200.0,0.7330588180616358,44135.0,2305875.0,USD,0.0,DHY US Equity,AR902445     Corp,BIGSKY 7 ¼ 05/01/25,BIGSKY
37,QZ478881     Corp,2225.0,0.7263578903295768,44135.0,2284796.88,USD,0.0,DHY US Equity,QZ478881     Corp,BMCH 5 ½ 10/01/24,BMCH
38,AQ669499     Corp,2200.0,0.7150038023065863,44135.0,2249082.0,USD,0.0,DHY US Equity,AQ669499     Corp,NGVT 4 ½ 02/01/26,NGVT
39,AR416436     Corp,2150.0,0.6796600113846518,44135.0,2137906.25,USD,0.0,DHY US Equity,AR416436     Corp,FMCN 6 ⅞ 03/01/26,FMCN
