,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,DIPXX US Equity,9106750.68,5.83633787682513,44135.0,9107856.58,USD,559393.700000003,DMO US Equity,DIPXX US Equity,Dreyfus Government Securities,DIPXX
2,!!0045GD   Mtge,58907.0,0.4755282812536099,44135.0,742082.36,USD,0.0,DMO US Equity,!!0045GD   Mtge,AFC 2000-3 1A,AFC
3,!!00TV1Y   Mtge,42073.0,1.214177978411233,44135.0,1894777.02,USD,0.0,DMO US Equity,!!00TV1Y   Mtge,LMT 2006-7 1A8,LMT
4,!!00J3Y0   Mtge,24700.0,0.4495897339678269,44135.0,701604.14,USD,0.0,DMO US Equity,!!00J3Y0   Mtge,RALI 2005-QA3 CB4,RALI
5,!!00YZAA   Mtge,22500.0,0.7737243012104364,44135.0,1207430.09,USD,0.0,DMO US Equity,!!00YZAA   Mtge,RFMSI 2007-S6 1A6,RFMSI
6,!!00GH45   Mtge,14511.0,0.1442441131617096,44135.0,225099.15,USD,0.0,DMO US Equity,!!00GH45   Mtge,RAMP 2004-SL3 A3,RAMP
7,!!00GQ57   Mtge,14000.0,0.1518339389665409,44135.0,236943.4,USD,0.0,DMO US Equity,!!00GQ57   Mtge,IMM 2004-8 1A,IMM
8,!!015L49   Mtge,23913.0,1.732812426772086,44135.0,2704128.41,USD,0.0,DMO US Equity,!!015L49   Mtge,CMLTI 2008-3 A3,CMLTI
9,!!00GL4U   Mtge,9000.0,0.3028889055165193,44135.0,472671.18,USD,0.0,DMO US Equity,!!00GL4U   Mtge,NCHET 2004-3 M3,NCHET
10,!!00MYH0   Mtge,9708.0,0.4140562191566178,44135.0,646152.5600000002,USD,0.0,DMO US Equity,!!00MYH0   Mtge,AHMA 2005-2 2A1A,AHMA
11,!!00CLAB   Mtge,8810.0,0.01052858482549565,44135.0,16430.31,USD,0.0,DMO US Equity,!!00CLAB   Mtge,MSAC 2003-NC10 M2,MSAC
12,!!00SP3Z   Mtge,7800.0,0.2572199382547022,44135.0,401402.79,USD,0.0,DMO US Equity,!!00SP3Z   Mtge,CWL 2006-SD3 A1,CWL
13,!!00HJ6P   Mtge,7470.0,0.1496409587894654,44135.0,233521.16,USD,0.0,DMO US Equity,!!00HJ6P   Mtge,SARM 2004-18 1A2,SARM
14,!!00L9SG   Mtge,10000.0,0.329951856250661,44135.0,514904.08,USD,0.0,DMO US Equity,!!00L9SG   Mtge,CWALT 2005-J10 1A1,CWALT
15,!!00UGGS   Mtge,5700.0,0.2997340614622186,44135.0,467747.91,USD,0.0,DMO US Equity,!!00UGGS   Mtge,LXS 2006-19 A4,LXS
16,!!00IDF9   Mtge,6420.0,0.1661219458442758,44135.0,259240.45,USD,0.0,DMO US Equity,!!00IDF9   Mtge,CWHL 2005-11 3A3,CWHL
17,!!00HAJX   Mtge,5320.0,0.1834610892888595,44135.0,286298.93,USD,0.0,DMO US Equity,!!00HAJX   Mtge,BAFC 2004-C 3A1,BAFC
18,!!00W4F1   Mtge,5070.0,0.04930520783659158,44135.0,76942.89999999998,USD,0.0,DMO US Equity,!!00W4F1   Mtge,CWALT 2007-3T1 2A1,CWALT
19,!!028QQG   Mtge,5240.0,2.646870356294836,44135.0,4130555.17,USD,0.0,DMO US Equity,!!028QQG   Mtge,BAFC 2015-R2 9A2,BAFC
20,EC294940     Corp,480.0,0.3138049259820817,44135.0,489706.1,USD,0.0,DMO US Equity,EC294940     Corp,CVSPAS 9.35 01/10/23,CVSPAS
21,!!00M7MP   Mtge,9470.0,0.2753961108284234,44135.0,429767.49,USD,0.0,DMO US Equity,!!00M7MP   Mtge,WAMU 2005-AR15 A1C4,WAMU
