,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EI861769     Corp,10925.0,5.501053877392973,44134.0,11437109.38,USD,0.0,EHT US Equity,EI861769     Corp,CSCHLD 6 ¾ 11/15/21,CSCHLD
2,EK553852     Corp,10175.0,5.103610922381109,44134.0,10610795.25,USD,0.0,EHT US Equity,EK553852     Corp,S 7 ¼ 09/15/21,S
3,AR636815     Corp,10000.0,4.8508326512986,44134.0,10085250.0,USD,0.0,EHT US Equity,AR636815     Corp,CIT 4 ⅛ 03/09/21,CIT
4,QZ027453     Corp,7000.0,3.440530706608194,44134.0,7153125.0,USD,0.0,EHT US Equity,QZ027453     Corp,NAVI 6 ⅝ 07/26/21,NAVI
5,EJ007816     Corp,6500.0,3.216272435998345,44134.0,6686875.0,USD,0.0,EHT US Equity,EJ007816     Corp,SATS 7 ⅝ 06/15/21,SATS
6,EI706974     Corp,6500.0,3.195950909063727,44134.0,6644625.0,USD,0.0,EHT US Equity,EI706974     Corp,LUMN 6.45 06/15/21,LUMN
7,EJ884287     Corp,6000.0,3.006744266273059,44134.0,6251250.0,USD,0.0,EHT US Equity,EJ884287     Corp,KBH 7 12/15/21,KBH
8,AZ988246     Corp,6000.0,2.826375684013127,44134.0,5876250.0,USD,0.0,EHT US Equity,AZ988246     Corp,OXY 2.6 08/13/21,OXY
9,JK279955     Corp,6000.0,2.917714334069557,44134.0,6066150.0,USD,0.0,EHT US Equity,JK279955     Corp,LEN 4 ¾ 04/01/21,LEN
10,EI824506     Corp,5845.0,2.868274704443502,44134.0,5963361.25,USD,3000.0,EHT US Equity,EI824506     Corp,DISH 6 ¾ 06/01/21,DISH
11,ZS915518     Corp,5700.0,2.808429010078264,44134.0,5838937.5,USD,0.0,EHT US Equity,ZS915518     Corp,ELAN 3.912 08/27/21,ELAN
12,LW349766     Corp,5638.0,2.721706631749105,44134.0,5658635.08,USD,0.0,EHT US Equity,LW349766     Corp,DELL 5 ⅞ 06/15/21,DELL
13,EJ535851     Corp,5500.0,2.675166689218551,44134.0,5561875.0,USD,0.0,EHT US Equity,EJ535851     Corp,NFLX 5 ⅜ 02/01/21,NFLX
14,EI791565     Corp,5250.0,2.559565458705124,44134.0,5321531.25,USD,2500.0,EHT US Equity,EI791565     Corp,YUM 3 ¾ 11/01/21,YUM
15,EJ930697     Corp,5000.0,2.524619045892261,44134.0,5248875.0,USD,0.0,EHT US Equity,EJ930697     Corp,OMF 7 ¾ 10/01/21,OMF
16,EI814989     Corp,5000.0,2.422951288358414,44134.0,5037500.0,USD,0.0,EHT US Equity,EI814989     Corp,DCP 4 ¾ 09/30/21,DCP
17,EI872018     Corp,5000.0,2.410653614125066,44134.0,5011932.2,USD,2000.0,EHT US Equity,EI872018     Corp,OVV 3.9 11/15/21,OVV
18,EI894644     Corp,4782.0,2.345773856678098,44134.0,4877042.25,USD,0.0,EHT US Equity,EI894644     Corp,SWY 4 ¾ 12/01/21,SWY
19,AV418530     Corp,4000.0,1.957908175174847,44134.0,4070640.0,USD,0.0,EHT US Equity,AV418530     Corp,DUBAEE 5 ¼ 11/15/21,DUBAEE
20,AF180579     Corp,4000.0,1.958274453262214,44134.0,4071401.52,USD,0.0,EHT US Equity,AF180579     Corp,AER 4 ½ 05/15/21,AER
21,JK721736     Corp,4000.0,1.954098925392726,44134.0,4062720.28,USD,0.0,EHT US Equity,JK721736     Corp,ALLY 4 ¼ 04/15/21,ALLY
22,AL569136     Corp,3932.0,1.820303781311531,44134.0,3784550.0,USD,0.0,EHT US Equity,AL569136     Corp,TEVCN 7 ⅝ 12/01/21,TEVCN
23,AS903723     Corp,3500.0,1.731869608940147,44134.0,3600688.63,USD,0.0,EHT US Equity,AS903723     Corp,DB 4 ¼ 10/14/21,DB
24,EI870261     Corp,3500.0,1.670435526311753,44134.0,3472962.5,USD,0.0,EHT US Equity,EI870261     Corp,TEVA 3.65 11/10/21,TEVA
25,AT941452     Corp,3497.0,1.640944075084526,44134.0,3411647.53,USD,0.0,EHT US Equity,AT941452     Corp,F Float 10/12/21,F
26,AL293465     Corp,3250.0,1.556027133355671,44134.0,3235098.75,USD,0.0,EHT US Equity,AL293465     Corp,BBDBCN 8 ¾ 12/01/21,BBDBCN
27,AV794842     Corp,3294.0,1.585308241147181,44134.0,3295976.4,USD,-3294.0,EHT US Equity,AV794842     Corp,STWD 3 ⅝ 02/01/21,STWD
28,EI865341     Corp,3000.0,1.469102102507142,44134.0,3054375.0,USD,0.0,EHT US Equity,EI865341     Corp,EQT 4 ⅞ 11/15/21,EQT
29,AT941465     Corp,3000.0,1.452868930103749,44134.0,3020625.0,USD,0.0,EHT US Equity,AT941465     Corp,F 3.813 10/12/21,F
30,AP171057     Corp,3000.0,1.444337308579528,44134.0,3002887.11,USD,0.0,EHT US Equity,AP171057     Corp,AVOL 3 ⅝ 03/15/21,AVOL
31,AX547268     Corp,3000.0,1.439620410422673,44134.0,2993080.32,USD,0.0,EHT US Equity,AX547268     Corp,MAR Float 03/08/21,MAR
32,JV201963     Corp,2500.0,1.196444928990879,44134.0,2487500.0,USD,0.0,EHT US Equity,JV201963     Corp,M 3.45 01/15/21,M
33,EI711902     Corp,2137.0,1.050935894034593,44134.0,2184975.65,USD,0.0,EHT US Equity,EI711902     Corp,F 5 ⅞ 08/02/21,F
