,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EG534003     Corp,20000.00004999999,0.4247335357732062,44043.0,2295476.13,USD,0.0,FSD US Equity,EG534003     Corp,AAL 8.39 03/01/22,AAL
2,BG387298     Corp,8452.0,1.795529041855139,44043.0,9703952.5,USD,0.0,FSD US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
3,ZS571082     Corp,7380.0,1.504380066171408,44043.0,8130435.300000001,USD,0.0,FSD US Equity,ZS571082     Corp,BHCCN 7 ¼ 05/30/29,BHCCN
4,LW138404     Corp,4996.0,1.289880091468906,44043.0,6971168.300000001,USD,0.0,FSD US Equity,LW138404     Corp,DELL 8.35 07/15/46,DELL
5,AX449666     Corp,6580.0,1.248268224693778,44043.0,6746276.600000001,USD,0.0,FSD US Equity,AX449666     Corp,CYH 8 03/15/26,CYH
6,EC600408     Corp,4545.0,1.298028695100268,44043.0,7015207.5,USD,0.0,FSD US Equity,EC600408     Corp,S 8 ¾ 03/15/32,S
7,ZP638621     Corp,6845.0,1.267351999722184,44043.0,6849415.03,USD,2180.0,FSD US Equity,ZP638621     Corp,SFRFP 6 02/15/28,SFRFP
8,AP153633     Corp,5935.0,1.039110221128764,44043.0,5615880.33,USD,1000.0,FSD US Equity,AP153633     Corp,GM 5 ¾ PERP,GM
9,JV269541     Corp,5925.0,1.134677587101381,44043.0,6132375.0,USD,0.0,FSD US Equity,JV269541     Corp,LVLT 5 ⅜ 05/01/25,LVLT
10,LW952929     Corp,5030.0,1.091568161472034,44043.0,5899389.73,USD,0.0,FSD US Equity,LW952929     Corp,KHC 5 07/15/35,KHC
11,EG642236     Corp,4750.0,1.022647979441324,44043.0,5526910.0,USD,0.0,FSD US Equity,EG642236     Corp,SCI 7 ½ 04/01/27,SCI
12,BL270446 Corp,5770690.389999998,1.03705688188572,44043.0,5604783.04,USD,-37865.43000000343,FSD US Equity,BL270446 Corp, ,ORTCLI
13,ZS414351     Corp,5000.0,0.9907930955838673,44043.0,5354750.0,USD,0.0,FSD US Equity,ZS414351     Corp,F 5.113 05/03/29,F
14,ZS060287     Corp,5435.0,0.8066202673788121,44043.0,4359386.33,USD,0.0,FSD US Equity,ZS060287     Corp,ENLC 5 ⅜ 06/01/29,ENLC
15,ZQ691388     Corp,5020.0,0.9301451787466041,44043.0,5026977.8,USD,0.0,FSD US Equity,ZQ691388     Corp,SBGI 5 ½ 03/01/30,SBGI
16,BK128425     Corp,4600.0,0.8682108175232621,44043.0,4692253.0,USD,4600.0,FSD US Equity,BK128425     Corp,CZR 8 ⅛ 07/01/27,CZR
17,EC066567     Corp,3875.0,0.9316977620278758,44043.0,5035368.75,USD,0.0,FSD US Equity,EC066567     Corp,S 6 ⅞ 11/15/28,S
18,ZP405280     Corp,4551.0,0.8538342510425221,44043.0,4614554.72,USD,1000.0,FSD US Equity,ZP405280     Corp,WES 4.05 02/01/30,WES
19,ZS003150     Corp,4835.0,0.7864365866560139,44043.0,4250303.45,USD,0.0,FSD US Equity,ZS003150     Corp,SPLS 7 ½ 04/15/26,SPLS
20,EH390528     Corp,3540.0,0.9115886357216243,44043.0,4926688.8,USD,0.0,FSD US Equity,EH390528     Corp,TITIM 7.721 06/04/38,TITIM
21,BK256706     Corp,4280.0,0.8838745907165302,44043.0,4776908.0,USD,4280.0,FSD US Equity,BK256706     Corp,OXY 8 ½ 07/15/27,OXY
22,BK298741     Corp,4425.0,0.8719802627715434,44043.0,4712625.0,USD,4425.0,FSD US Equity,BK298741     Corp,THYELE 7 ⅝ 07/15/28,THYELE
23,EK238418     Corp,4475.0,0.8684234880995172,44043.0,4693402.38,USD,0.0,FSD US Equity,EK238418     Corp,C 6.3 PERP,C
24,AN671637     Corp,5400.0,0.8010761317077348,44043.0,4329423.0,USD,0.0,FSD US Equity,AN671637     Corp,HIG Float 02/12/47,HIG
25,UV471692     Corp,4635.0,0.8747696004466781,44043.0,4727700.0,USD,795.0,FSD US Equity,UV471692     Corp,KIKCN 9 08/15/23,KIKCN
26,ZP111305     Corp,4600.0,0.8564437906940626,44043.0,4628658.0,USD,4600.0,FSD US Equity,ZP111305     Corp,BHCCN 5 01/30/28,BHCCN
27,AT297457     Corp,4385.0,0.8773839693992678,44043.0,4741829.38,USD,0.0,FSD US Equity,AT297457     Corp,TSGICN 7 07/15/26,TSGICN
28,QZ083475     Corp,4500.0,0.7790370335217239,44043.0,4210312.5,USD,2500.0,FSD US Equity,QZ083475     Corp,ADNT 4 ⅞ 08/15/26,ADNT
29,AP099607     Corp,4335.0,0.7551085277344622,44043.0,4080990.68,USD,0.0,FSD US Equity,AP099607     Corp,SWN 7 ½ 04/01/26,SWN
30,AR413561     Corp,3685.0,0.8533169718399939,44043.0,4611759.08,USD,0.0,FSD US Equity,AR413561     Corp,S 7 ⅝ 03/01/26,S
31,AQ293323     Corp,4130.0,0.8453323276050291,44043.0,4568606.0,USD,0.0,FSD US Equity,AQ293323     Corp,BHCCN 9 12/15/25,BHCCN
32,BK637536     Corp,4145.0,0.7990683414700295,44043.0,4318571.88,USD,4145.0,FSD US Equity,BK637536     Corp,GRMPAC 7 ⅛ 08/15/28,GRMPAC
33,AR713750     Corp,4330.0,0.7934955445448311,44043.0,4288453.65,USD,0.0,FSD US Equity,AR713750     Corp,HUSKYI 7 ¾ 04/15/26,HUSKYI
34,JK709468     Corp,4300.0,0.8494962582876976,44043.0,4591110.0,USD,0.0,FSD US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
35,EK948530     Corp,4331.0,0.8051543894796015,44043.0,4351463.98,USD,0.0,FSD US Equity,EK948530     Corp,XPO 6 ½ 06/15/22,XPO
36,ZQ595670     Corp,3850.0,0.7832345472749089,44043.0,4232998.0,USD,0.0,FSD US Equity,ZQ595670     Corp,TEVA 7 ⅛ 01/31/25,TEVA
37,AO378411     Corp,4111.0,0.78544351398231,44043.0,4244936.38,USD,0.0,FSD US Equity,AO378411     Corp,HDSUWA 6 ⅛ 08/15/25,HDSUWA
38,AL501984     Corp,4125.0,0.7917933972549647,44043.0,4279254.38,USD,0.0,FSD US Equity,AL501984     Corp,RBACN 5 ⅜ 01/15/25,RBACN
39,ZS780243     Corp,3911.0,0.7981444665743522,44043.0,4313578.79,USD,0.0,FSD US Equity,ZS780243     Corp,BLDR 6 ¾ 06/01/27,BLDR
40,AX540871     Corp,3900.0,0.7239974339515164,44043.0,3912850.5,USD,-500.0,FSD US Equity,AX540871     Corp,SGMS 8 ¼ 03/15/26,SGMS
41,EK964426     Corp,3725.0,0.7641217335297703,44043.0,4129702.63,USD,0.0,FSD US Equity,EK964426     Corp,SEE 5 ½ 09/15/25,SEE
42,BJ717014     Corp,3770.0,0.7296258270486053,44043.0,3943269.2,USD,3770.0,FSD US Equity,BJ717014     Corp,M 8 ⅜ 06/15/25,M
43,AP293789     Corp,4110.0,0.6866605255255219,44043.0,3711062.85,USD,4110.0,FSD US Equity,AP293789     Corp,CGPHLC 5 ¼ 10/15/25,CGPHLC
44,EK927362     Corp,3765.0,0.7533157468609533,44043.0,4071301.58,USD,0.0,FSD US Equity,EK927362     Corp,TPH 5 ⅞ 06/15/24,TPH
45,AZ855586     Corp,3900.0,0.7560914699778035,44043.0,4086303.0,USD,0.0,FSD US Equity,AZ855586     Corp,ARGID 5 ¼ 08/15/27,ARGID
46,JV570634     Corp,3910.0,0.7469827790941204,44043.0,4037075.0,USD,0.0,FSD US Equity,JV570634     Corp,SPB 5 ¾ 07/15/25,SPB
