,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AN947569     Corp,4695.0,1.902103686526145,44074.0,3990750.0,USD,0.0,GGM US Equity,AN947569     Corp,BEVMO 11 ½ 06/15/22,BEVMO
2,ZR534615     Corp,4000.0,2.073332340133742,44074.0,4350000.0,USD,0.0,GGM US Equity,ZR534615     Corp,KEHEFO 8 ⅝ 10/15/26,KEHEFO
3,AQ882232     Corp,3725.0,1.703126101000541,44074.0,3573280.75,USD,0.0,GGM US Equity,AQ882232     Corp,HUNTCO 6 ¼ 02/15/26,HUNTCO
4,BL273380 Corp,3970000.0,1.816525106831659,44074.0,3811200.0,USD,-10000.0,GGM US Equity,BL273380 Corp, ,TENHOL
5,LW997878     Corp,3500.0,1.651516450244463,44074.0,3465000.0,USD,-300.0,GGM US Equity,LW997878     Corp,FAGEGA 5 ⅝ 08/15/26,FAGEGA
6,AT281181     Corp,3250.0,1.669092112323183,44074.0,3501875.0,USD,0.0,GGM US Equity,AT281181     Corp,AMWINS 7 ¾ 07/01/26,AMWINS
7,LW197076     Corp,3560.0,1.136853401767127,44074.0,2385200.0,USD,0.0,GGM US Equity,LW197076     Corp,CNGO 9 ½ 06/15/24,CNGO
8,AT948188     Corp,3000.0,1.514446933560787,44074.0,3177418.32,USD,0.0,GGM US Equity,AT948188     Corp,BACR 7 ¾ PERP,BACR
9,AL970266     Corp,3041.0,1.500156039992837,44074.0,3147435.0,USD,0.0,GGM US Equity,AL970266     Corp,EIGI 10 ⅞ 02/01/24,EIGI
10,AM231484     Corp,3050.0,1.47552151539518,44074.0,3095750.0,USD,0.0,GGM US Equity,AM231484     Corp,VGR 6 ⅛ 02/01/25,VGR
11,EJ656952     Corp,2950.0,1.409568098713339,44074.0,2957375.0,USD,-500.0,GGM US Equity,EJ656952     Corp,LBCTNK 6 ⅞ 05/15/23,LBCTNK
12,BL269612 Corp,2900000.0,1.144935584868655,44074.0,2402157.0,USD,0.0,GGM US Equity,BL269612 Corp, ,SPRIND
13,JK919358     Corp,3192.0,0.8671962742374563,44074.0,1819440.0,USD,-901.0,GGM US Equity,JK919358     Corp,MCGHLL 7 ⅞ 05/15/24,MCGHLL
14,AP118157     Corp,2700.0,1.332542134078936,44074.0,2795769.0,USD,0.0,GGM US Equity,AP118157     Corp,GLDD 8 05/15/22,GLDD
15,BK731780     Corp,2500.0,1.24590591657692,44074.0,2614000.0,USD,2500.0,GGM US Equity,BK731780     Corp,NFP 6 ⅞ 08/15/28,NFP
16,AR182096     Corp,2525.0,1.221538303728796,44074.0,2562875.0,USD,2525.0,GGM US Equity,AR182096     Corp,GLBL 6 ⅛ 03/01/26,GLBL
17,BL250895 Corp,3000000.0,1.379838419468318,44074.0,2895000.0,USD,0.0,GGM US Equity,BL250895 Corp, ,BARHOL
18,AQ209119     Corp,2553.0,1.189452889980071,44074.0,2495557.5,USD,256.0,GGM US Equity,AQ209119     Corp,CLEAVB 7 ⅞ 03/01/23,CLEAVB
19,BL284951 Corp,2534349.195699999,1.075068469801078,44074.0,2255570.78,USD,-6634.274299999699,GGM US Equity,BL284951 Corp, ,SEAPOR
