,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,ZQ442881     Corp,7400.0,0.9872473999673501,44134.0,8338311.67,USD,0.0,GHY US Equity,ZQ442881     Corp,ARDFIN 5 06/30/27,ARDFIN
2,ZP162987     Corp,7175.0,0.8781170856358554,44134.0,7416594.810000001,USD,0.0,GHY US Equity,ZP162987     Corp,CPN 5 ⅛ 03/15/28,CPN
3,LW154355     Corp,5240.0,0.7904497895817943,44134.0,6676155.04,USD,-1250.0,GHY US Equity,LW154355     Corp,PETBRA 8 ¾ 05/23/26,PETBRA
4,BH715257     Corp,6213.0,0.6403952264273469,44134.0,5408791.14,USD,0.0,GHY US Equity,BH715257     Corp,CCO 9 ¼ 02/15/24,CCO
5,AL293465     Corp,5825.0,0.6870986857833893,44134.0,5803249.51,USD,0.0,GHY US Equity,AL293465     Corp,BBDBCN 8 ¾ 12/01/21,BBDBCN
6,EF420256     Corp,4910.0,0.680166484900946,44134.0,5744700.0,USD,-25.0,GHY US Equity,EF420256     Corp,LUMN 7.995 06/01/36,LUMN
7,ZO290323     Corp,15125.88985,0.6553528471964221,44134.0,5535123.51,USD,15125.88985,GHY US Equity,ZO290323     Corp,ARGENT 0 ⅛ 07/09/30,ARGENT
8,ZR665583     Corp,5375.0,0.6690330793846099,44134.0,5650667.03,USD,0.0,GHY US Equity,ZR665583     Corp,CHTR 4 ¾ 03/01/30,CHTR
9,AQ286679     Corp,5310.0,0.7175693865536307,44134.0,6060605.67,USD,0.0,GHY US Equity,AQ286679     Corp,PICSUR 5 ½ 11/30/24,PICSUR
10,AU388760     Corp,4956.0,0.637458979667908,44134.0,5383991.54,USD,0.0,GHY US Equity,AU388760     Corp,FINRSK 8 ¼ 11/15/26,FINRSK
11,AT869345     Corp,5050.0,0.7097403242322713,44134.0,5994481.25,USD,0.0,GHY US Equity,AT869345     Corp,BMC 8 ⅜ 09/01/26,BMC
12,BJ223881     Corp,3725.0,0.5171916794356352,44134.0,4368211.47,USD,0.0,GHY US Equity,BJ223881     Corp,BA 5.805 05/01/50,BA
13,AU438617     Corp,4650.0,0.6525455155887038,44134.0,5511412.73,USD,0.0,GHY US Equity,AU438617     Corp,NRYHLD 6 ½ 10/01/26,NRYHLD
14,AO563305     Corp,4450.0,0.5532794090324624,44134.0,4673009.17,USD,0.0,GHY US Equity,AO563305     Corp,URI 4 ⅞ 01/15/28,URI
15,UV333098     Corp,4400.0,0.549346952269782,44134.0,4639795.560000001,USD,0.0,GHY US Equity,UV333098     Corp,THC 6 ¾ 06/15/23,THC
16,AP302778     Corp,4300.0,0.5379830748968626,44134.0,4543816.02,USD,0.0,GHY US Equity,AP302778     Corp,PPC 5 ⅞ 09/30/27,PPC
17,AP362087     Corp,4480.0,0.477404313968006,44134.0,4032166.57,USD,0.0,GHY US Equity,AP362087     Corp,WSTC 8 ½ 10/15/25,WSTC
18,EJ500535     Corp,4263.0,0.4670373392322231,44134.0,3944606.89,USD,0.0,GHY US Equity,EJ500535     Corp,F 4 ¾ 01/15/43,F
19,AV483084     Corp,3875.0,0.4942667335958713,44134.0,4174586.91,USD,0.0,GHY US Equity,AV483084     Corp,RGCARE 9 ¾ 12/01/26,RGCARE
20,AL580550     Corp,3950.0,0.4452622307776036,44134.0,3760693.88,USD,0.0,GHY US Equity,AL580550     Corp,F 5.291 12/08/46,F
21,ZO479562     Corp,3900.0,0.4785790613095901,44134.0,4042088.51,USD,3900.0,GHY US Equity,ZO479562     Corp,LNG 4 ⅝ 10/15/28,LNG
22,ZO283163     Corp,10368.99997,0.4575470531211629,44134.0,3864451.74,USD,10368.99997,GHY US Equity,ZO283163     Corp,ARGENT 0 ⅛ 01/09/38,ARGENT
23,BL347170 Corp,3610000.0,0.4487912442802993,44134.0,3790500.0,USD,3610000.0,GHY US Equity,BL347170 Corp, ,ASCRES
24,ZS279652     Corp,3900.0,0.4920723995610917,44134.0,4156053.52,USD,0.0,GHY US Equity,ZS279652     Corp,EGBLFN 4 ⅜ 02/07/25,EGBLFN
25,ZO598142     Corp,3758.0,0.4140877879222606,44134.0,3497393.9,USD,3758.0,GHY US Equity,ZO598142     Corp,PEMEX 6.49 01/23/27,PEMEX
26,AU481325     Corp,3475.0,0.4398048830715623,44134.0,3714601.01,USD,0.0,GHY US Equity,AU481325     Corp,BPOP 6 ⅛ 09/14/23,BPOP
27,BL259036 Corp,3695000.0,0.4413121302024386,44134.0,3727331.25,USD,0.0,GHY US Equity,BL259036 Corp, ,INTEL
28,AO608315     Corp,3745.0,0.4123937924854145,44134.0,3483086.38,USD,0.0,GHY US Equity,AO608315     Corp,IRAQ 6.752 03/09/23,IRAQ
29,AR463179     Corp,3670.0,0.4038287089714666,44134.0,3410745.51,USD,0.0,GHY US Equity,AR463179     Corp,PEMEX 6 ½ 03/13/27,PEMEX
30,AT097593     Corp,3500.0,0.4944088016876598,44134.0,4175786.82,USD,0.0,GHY US Equity,AT097593     Corp,ENR 4 ⅝ 07/15/26,ENR
31,AM076629     Corp,2890.0,0.4124614361771919,44134.0,3483657.7,USD,0.0,GHY US Equity,AM076629     Corp,PETBRA 7 ⅜ 01/17/27,PETBRA
32,AV188971     Corp,2925.0,0.3776683044495666,44134.0,3189794.2,USD,0.0,GHY US Equity,AV188971     Corp,UKRAIN 9 ¾ 11/01/28,UKRAIN
33,AS583912     Corp,3050.0,0.4002332831261403,44134.0,3380378.47,USD,0.0,GHY US Equity,AS583912     Corp,OMF 7 ⅛ 03/15/26,OMF
34,AP122112     Corp,3575.0,0.3890619342962427,44134.0,3286025.03,USD,0.0,GHY US Equity,AP122112     Corp,TEP 5 ½ 01/15/28,TEP
35,AR947181     Corp,3375.0,0.4055432845149163,44134.0,3425226.85,USD,0.0,GHY US Equity,AR947181     Corp,TROX 6 ½ 04/15/26,TROX
36,AZ257199     Corp,3150.0,0.3990014248639411,44134.0,3369974.17,USD,0.0,GHY US Equity,AZ257199     Corp,UNSEAM 9 ¾ 07/15/27,UNSEAM
37,BJ223879     Corp,2875.0,0.3766596696598392,44134.0,3181275.25,USD,0.0,GHY US Equity,BJ223879     Corp,BA 5.15 05/01/30,BA
38,EK770674     Corp,5020.0,0.3685148917852484,44134.0,3112484.29,USD,0.0,GHY US Equity,EK770674     Corp,DLLTD 6 ¾ 03/01/23,DLLTD
39,JK794894     Corp,3360.0,0.3963371085396626,44134.0,3347471.3,USD,0.0,GHY US Equity,JK794894     Corp,CC 6 ⅝ 05/15/23,CC
40,AU388215     Corp,3150.0,0.4692830726219605,44134.0,3963574.4,USD,0.0,GHY US Equity,AU388215     Corp,FINRSK 6 ⅞ 11/15/26,FINRSK
