,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EI316080     Corp,10046000.0,0.1255097447108112,44135.0,726702.6616608552,USD,0.0,HIX US Equity,EI316080     Corp,INDOGB 8 ¼ 07/15/21,INDOGB
2,DIPXX US Equity,139742819.24,24.13645727807859,44135.0,139750326.06,USD,132088504.22,HIX US Equity,DIPXX US Equity,Dreyfus Government Securities,DIPXX
3,EJ516888     Corp,98290.0,0.2280938556481751,44135.0,1320665.67731404,USD,0.0,HIX US Equity,EJ516888     Corp,RFLB 7 01/25/23,RFLB
4,QZ429974     Corp,12359.0,2.320421417768089,44135.0,13435262.93,USD,-1000.0,HIX US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
5,JK709468     Corp,13380.0,2.464469961306688,44135.0,14269305.42,USD,-300.0,HIX US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
6,ZP851500     Corp,9323.233,0.01293371714002454,44135.0,74886.35,USD,0.0,HIX US Equity,ZP851500     Corp,BONCER 1 08/05/21,BONCER
7,ZP405283     Corp,10952.0,1.765680697514002,44135.0,10223308.68,USD,0.0,HIX US Equity,ZP405283     Corp,WES 5 ¼ 02/01/50,WES
8,AN710141     Corp,9690.0,1.754965069854066,44135.0,10161265.09,USD,0.0,HIX US Equity,AN710141     Corp,PETM 5 ⅞ 06/01/25,PETM
9,EJ483136     Corp,9888.0,1.68368719318444,44135.0,9748565.48,USD,0.0,HIX US Equity,EJ483136     Corp,TEVA 2.95 12/18/22,TEVA
10,BJ090228     Corp,7670.0,1.49235267850436,44135.0,8640736.75,USD,-240.0,HIX US Equity,BJ090228     Corp,DAL 7 05/01/25,DAL
11,AQ934212     Corp,7580.0,1.47709597741726,44135.0,8552400.3,USD,-1240.0,HIX US Equity,AQ934212     Corp,PETBRA 5 ¾ 02/01/29,PETBRA
12,AO635535     Corp,8300.0,1.525247829637641,44135.0,8831200.0,USD,0.0,HIX US Equity,AO635535     Corp,CHTR 5 02/01/28,CHTR
13,ZP365714     Corp,8231.0,1.541888281386452,44135.0,8927548.38,USD,0.0,HIX US Equity,ZP365714     Corp,RRC 9 ¼ 02/01/26,RRC
14,EI543179     Corp,6620.0,1.296950400470457,44135.0,7509355.63,USD,0.0,HIX US Equity,EI543179     Corp,PETBRA 6 ¾ 01/27/41,PETBRA
15,EC600408     Corp,5170.0,1.346903741845395,44135.0,7798585.97,USD,0.0,HIX US Equity,EC600408     Corp,S 8 ¾ 03/15/32,S
16,EK238418     Corp,7150.0,1.315764280290231,44135.0,7618288.18,USD,-2970.0,HIX US Equity,EK238418     Corp,C 6.3 PERP,C
17,ZO245744     Corp,6730.0,1.2449058122315,44135.0,7208016.95,USD,0.0,HIX US Equity,ZO245744     Corp,SAVE 8 09/20/25,SAVE
18,BG562373     Corp,7100.0,1.303350539810599,44135.0,7546412.5,USD,0.0,HIX US Equity,BG562373     Corp,CHTR 4 ½ 05/01/32,CHTR
19,EK678033     Corp,6180.0,1.104275822446187,44135.0,6393767.92,USD,0.0,HIX US Equity,EK678033     Corp,DISH 5 ⅞ 11/15/24,DISH
20,AM195794     Corp,5850.0,1.088118350875118,44135.0,6300216.0,USD,0.0,HIX US Equity,AM195794     Corp,CHTR 5 ⅛ 05/01/27,CHTR
21,QZ123790     Corp,5955.0,0.9189965357775856,44135.0,5320999.02,USD,0.0,HIX US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
22,LW925827     Corp,5920.0,0.9795464549292088,44135.0,5671583.65,USD,-2000.0,HIX US Equity,LW925827     Corp,TEVA 2.8 07/21/23,TEVA
23,AW940417     Corp,5170.0,0.9754169628378656,44135.0,5647673.850000001,USD,-620.0,HIX US Equity,AW940417     Corp,UBS 7 PERP,UBS
24,AM225189     Corp,5408.0,0.9783108231857839,44135.0,5664429.33,USD,-1750.0,HIX US Equity,AM225189     Corp,ARGID 6 02/15/25,ARGID
25,AU388731     Corp,4820.0,0.9109476911327647,44135.0,5274396.13,USD,0.0,HIX US Equity,AU388731     Corp,CS 7 ¼ PERP,CS
26,EC438060     Corp,3530.0,0.9361758208040142,44135.0,5420467.25,USD,0.0,HIX US Equity,EC438060     Corp,NWG 7.648 PERP,NWG
27,ZP852875     Corp,5105.0,0.9257844395684467,44135.0,5360301.05,USD,0.0,HIX US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
28,AS247903     Corp,5160.0,0.850922781448146,44135.0,4926851.310000001,USD,-1070.0,HIX US Equity,AS247903     Corp,DAL 3.8 04/19/23,DAL
