,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,DD012108     Corp,4600.0,4.228546213240525,44134.0,7122771.1,USD,0.0,HNW US Equity,DD012108     Corp,LIBMUT 7.697 10/15/97,LIBMUT
2,EJ691364     Corp,4500.0,0.1256635874976389,44134.0,211673.92390033,USD,0.0,HNW US Equity,EJ691364     Corp,RECARR 9 06/10/28,RECARR
3,AN478826     Corp,7750.0,0.03226880687678133,44134.0,54355.1645087213,USD,0.0,HNW US Equity,AN478826     Corp,YPFDAR 16 ½ 05/09/22,YPFDAR
4,ED743953     Corp,1900.0,1.196748499543313,44134.0,2015862.0,USD,0.0,HNW US Equity,ED743953     Corp,ASH 6 ½ 06/30/29,ASH
5,ZP543483     Corp,1835.0,1.122581108052157,44134.0,1890930.8,USD,0.0,HNW US Equity,ZP543483     Corp,PRSESE 6 ¼ 01/15/28,PRSESE
6,JK504173     Corp,1768.0,1.015332970029283,44134.0,1710276.7644248,USD,0.0,HNW US Equity,JK504173     Corp,MDZACN 6 ½ 05/01/24,MDZACN
7,AX540871     Corp,1574.0,0.9586972537863886,44134.0,1614876.78,USD,0.0,HNW US Equity,AX540871     Corp,SGMS 8 ¼ 03/15/26,SGMS
8,ZQ224872     Corp,1501.0,0.9591699807161174,44134.0,1615673.0644778,USD,0.0,HNW US Equity,ZQ224872     Corp,GWCN 9 ½ 11/01/27,GWCN
9,AX727792     Corp,1453.0,0.9231793220043027,44134.0,1555048.6297868,USD,0.0,HNW US Equity,AX727792     Corp,BNP 6 ⅝ PERP,BNP
10,AR072403     Corp,1520.0,0.9105348541704515,44134.0,1533749.666616,USD,0.0,HNW US Equity,AR072403     Corp,INDNAT 6 ⅞ 02/15/26,INDNAT
11,AU500212     Corp,1580.0,0.9307836361413333,44134.0,1567857.71031688,USD,0.0,HNW US Equity,AU500212     Corp,EDRSM 5 ½ 09/01/23,EDRSM
12,EK344672     Corp,1175.0,0.8238251899320018,44134.0,1387691.6458725,USD,0.0,HNW US Equity,EK344672     Corp,WMB 5 ¾ 06/24/44,WMB
13,ZR887736     Corp,1345.0,0.7952516492753671,44134.0,1339560.9694295,USD,0.0,HNW US Equity,ZR887736     Corp,METINV 7 ¾ 10/17/29,METINV
14,ZQ742187     Corp,1345.0,0.8605007127448732,44134.0,1449469.6993205,USD,0.0,HNW US Equity,ZQ742187     Corp,WOMCHI 6 ⅞ 11/26/24,WOMCHI
15,EK862849     Corp,1404.0,0.8488601005894653,44134.0,1429861.68,USD,0.0,HNW US Equity,EK862849     Corp,UNIT 6 04/15/23,UNIT
16,BH722385     Corp,1190.0,0.7547748950874241,44134.0,1271379.935,USD,0.0,HNW US Equity,BH722385     Corp,POWBUY 9.033 12/04/25,POWBUY
17,AZ166931     Corp,1165.0,0.7610906036750688,44134.0,1282018.425,USD,0.0,HNW US Equity,AZ166931     Corp,USRENA 10 ⅝ 07/15/27,USRENA
18,AX857256     Corp,1066.0,0.6827415573236809,44134.0,1150043.44,USD,0.0,HNW US Equity,AX857256     Corp,SURCEN 10 04/15/27,SURCEN
19,AS212957     Corp,1095.0,0.693490054798662,44134.0,1168148.7375,USD,165.0,HNW US Equity,AS212957     Corp,JBPOIN 7 ⅛ 04/15/26,JBPOIN
20,ZO531907     Corp,1110.0,0.6649540371416234,44134.0,1120081.266642,USD,0.0,HNW US Equity,ZO531907     Corp,ADS 7 01/15/26,ADS
21,AZ628301     Corp,1174.0,0.5721119867949283,44134.0,963693.5532942,USD,0.0,HNW US Equity,AZ628301     Corp,UNIFIN 8 ⅜ 01/27/28,UNIFIN
22,AZ589558     Corp,1735.0,0.4439799364442794,44134.0,747861.6292245,USD,0.0,HNW US Equity,AZ589558     Corp,DSPORT 6 ⅝ 08/15/27,DSPORT
23,ZR532812     Corp,1001.0,0.6476537722222588,44134.0,1090939.85,USD,0.0,HNW US Equity,ZR532812     Corp,PATK 7 ½ 10/15/27,PATK
