,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EI829656     Corp,31811000.0,0.6744703618203572,44135.0,2337889.80342974,USD,0.0,HYI US Equity,EI829656     Corp,INDOGB 7 05/15/22,INDOGB
2,EI316080     Corp,5985000.0,0.1249011874369562,44135.0,432940.020903248,USD,0.0,HYI US Equity,EI316080     Corp,INDOGB 8 ¼ 07/15/21,INDOGB
3,LW554179     Corp,183580.0,0.7450684616441214,44135.0,2582601.19041201,USD,0.0,HYI US Equity,LW554179     Corp,RFLB 7 ¾ 09/16/26,RFLB
4,EJ037061     Corp,90000.0,0.3761067779338542,44135.0,1303683.97324265,USD,0.0,HYI US Equity,EJ037061     Corp,RFLB 8.15 02/03/27,RFLB
5,EJ516888     Corp,58120.0,0.2252931549638335,44135.0,780924.707130052,USD,0.0,HYI US Equity,EJ516888     Corp,RFLB 7 01/25/23,RFLB
6,EJ023429     Corp,180700.0,0.2591208668177694,44135.0,898180.36,USD,0.0,HYI US Equity,EJ023429     Corp,MBONO 6 ½ 06/09/22,MBONO
7,QZ429974     Corp,7738.0,2.426779941171928,44135.0,8411850.84,USD,0.0,HYI US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
8,JK709468     Corp,7820.0,2.405981626894218,44135.0,8339758.47,USD,0.0,HYI US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
9,ZP851500     Corp,5549.155999999999,0.01285884406099494,44135.0,44572.10000000001,USD,0.0,HYI US Equity,ZP851500     Corp,BONCER 1 08/05/21,BONCER
10,EG876275     Corp,7000.0,1.945061809618491,44135.0,6742090.43,USD,0.0,HYI US Equity,EG876275     Corp,NWG Float PERP,NWG
11,EK678033     Corp,5737.0,1.712348178108785,44135.0,5935444.42,USD,0.0,HYI US Equity,EK678033     Corp,DISH 5 ⅞ 11/15/24,DISH
12,EC066567     Corp,4288.0,1.606427435359126,44135.0,5568295.560000001,USD,0.0,HYI US Equity,EC066567     Corp,S 6 ⅞ 11/15/28,S
13,EI543179     Corp,4540.0,1.485728209074081,44135.0,5149920.63,USD,0.0,HYI US Equity,EI543179     Corp,PETBRA 6 ¾ 01/27/41,PETBRA
14,AN710141     Corp,4660.0,1.409771589782526,44135.0,4886635.22,USD,0.0,HYI US Equity,AN710141     Corp,PETM 5 ⅞ 06/01/25,PETM
15,AW981943     Corp,4270.0,1.293468949128958,44135.0,4483500.0,USD,0.0,HYI US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
16,LW925827     Corp,4480.0,1.238224759046271,44135.0,4292009.26,USD,0.0,HYI US Equity,LW925827     Corp,TEVA 2.8 07/21/23,TEVA
17,EK238418     Corp,3950.0,1.214191768431883,44135.0,4208704.66,USD,0.0,HYI US Equity,EK238418     Corp,C 6.3 PERP,C
18,ZP405283     Corp,3840.0,1.034113235547868,44135.0,3584505.6,USD,0.0,HYI US Equity,ZP405283     Corp,WES 5 ¼ 02/01/50,WES
19,QZ083475     Corp,3780.0,1.056621153137659,44135.0,3662523.9,USD,0.0,HYI US Equity,QZ083475     Corp,ADNT 4 ⅞ 08/15/26,ADNT
20,LW134792     Corp,3710.0,1.115679938506078,44135.0,3867237.02,USD,0.0,HYI US Equity,LW134792     Corp,MR 8 ⅞ 07/15/23,MR
21,ZQ456779     Corp,3495.0,1.047964745985337,44135.0,3632518.54,USD,0.0,HYI US Equity,ZQ456779     Corp,ARDFIN 6 ½ 06/30/27,ARDFIN
22,BJ090228     Corp,3220.0,1.046526227338819,44135.0,3627532.26,USD,0.0,HYI US Equity,BJ090228     Corp,DAL 7 05/01/25,DAL
23,EK553660     Corp,3160.0,1.050158453167319,44135.0,3640122.5,USD,0.0,HYI US Equity,EK553660     Corp,S 7 ⅞ 09/15/23,S
24,BL298137 Corp,3645684.42,1.049035464781614,44135.0,3636229.93,USD,0.0,HYI US Equity,BL298137 Corp, ,PETM
25,BG387298     Corp,3190.0,1.060914405500886,44135.0,3677405.43,USD,0.0,HYI US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
26,ZP365714     Corp,3420.0,1.070149739178224,44135.0,3709417.5,USD,0.0,HYI US Equity,ZP365714     Corp,RRC 9 ¼ 02/01/26,RRC
27,AP327113     Corp,3480.0,0.917714987531806,44135.0,3181038.98,USD,1610.0,HYI US Equity,AP327113     Corp,UAL 4 ¼ 10/01/22,UAL
28,AO635535     Corp,3250.0,0.9976169568613665,44135.0,3458000.0,USD,0.0,HYI US Equity,AO635535     Corp,CHTR 5 02/01/28,CHTR
29,EK799007     Corp,3290.0,0.9780724347658452,44135.0,3390253.6,USD,0.0,HYI US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
30,AM836579     Corp,3270.0,0.9552349689256716,44135.0,3311093.0,USD,0.0,HYI US Equity,AM836579     Corp,FMCN 7 ¼ 04/01/23,FMCN
31,AS247903     Corp,3230.0,0.8897358939065215,44135.0,3084056.16,USD,0.0,HYI US Equity,AS247903     Corp,DAL 3.8 04/19/23,DAL
32,ZO245744     Corp,2910.0,0.8991508419103981,44135.0,3116690.82,USD,0.0,HYI US Equity,ZO245744     Corp,SAVE 8 09/20/25,SAVE
33,EF861855     Corp,2220.0,0.8844904135615115,44135.0,3065873.96,USD,0.0,HYI US Equity,EF861855     Corp,VALEBZ 6 ⅞ 11/21/36,VALEBZ
34,EI490904     Corp,3140.0,0.9414723641034705,44135.0,3263388.23,USD,0.0,HYI US Equity,EI490904     Corp,AER 8 ¼ 12/15/20,AER
35,AW940417     Corp,2840.0,0.8950272103944193,44135.0,3102397.24,USD,0.0,HYI US Equity,AW940417     Corp,UBS 7 PERP,UBS
36,AP135793     Corp,3230.0,0.7355776796309016,44135.0,2549703.67,USD,0.0,HYI US Equity,AP135793     Corp,VIKCRU 5 ⅞ 09/15/27,VIKCRU
37,EK877136     Corp,4230.0,0.7467944023296079,44135.0,2588583.75,USD,0.0,HYI US Equity,EK877136     Corp,YPFDAR 8 ½ 07/28/25,YPFDAR
38,BJ304053     Corp,2480.0,0.8357218566961788,44135.0,2896829.45,USD,0.0,HYI US Equity,BJ304053     Corp,NCLH 12 ¼ 05/15/24,NCLH
39,AQ745494     Corp,2760.0,0.7981686983358472,44135.0,2766660.43,USD,0.0,HYI US Equity,AQ745494     Corp,BBVASM 5 ⅛ 01/18/33,BBVASM
40,AS674305     Corp,2680.0,0.836740629017831,44135.0,2900360.78,USD,0.0,HYI US Equity,AS674305     Corp,CSV 6 ⅝ 06/01/26,CSV
41,BH962214     Corp,2320.0,0.7910766659310928,44135.0,2742077.6,USD,0.0,HYI US Equity,BH962214     Corp,F 9 04/22/25,F
42,EK345032     Corp,2590.0,0.8019694718088551,44135.0,2779834.9,USD,0.0,HYI US Equity,EK345032     Corp,ISPIM 5.017 06/26/24,ISPIM
43,EI550476     Corp,2730.0,0.8147984739097524,44135.0,2824303.56,USD,0.0,HYI US Equity,EI550476     Corp,VIP 7.748 02/02/21,VIP
44,EH996852     Corp,2020.0,0.7137727761906157,44135.0,2474122.2,USD,0.0,HYI US Equity,EH996852     Corp,MTNA 7 10/15/39,MTNA
45,JV588686     Corp,2410.0,0.7697345927128206,44135.0,2668100.42,USD,0.0,HYI US Equity,JV588686     Corp,ISPIM 5.71 01/15/26,ISPIM
46,AU141566     Corp,2340.0,0.767753371018761,44135.0,2661232.99,USD,0.0,HYI US Equity,AU141566     Corp,PETBRA 5.999 01/27/28,PETBRA
47,AZ826935     Corp,2953.312,0.5800577787931916,44135.0,2010631.22,USD,0.0,HYI US Equity,AZ826935     Corp,GALCLD 6 ½ 09/15/24,GALCLD
48,LW925826     Corp,2640.0,0.7558402262895386,44135.0,2619938.93,USD,0.0,HYI US Equity,LW925826     Corp,TEVA 2.2 07/21/21,TEVA
49,BL335540 Corp,2605968.75,0.7500114804492901,44135.0,2599734.98,USD,0.0,HYI US Equity,BL335540 Corp, ,DAL
50,EJ857479     Corp,2556.0,0.7068127679177204,44135.0,2449997.0,USD,0.0,HYI US Equity,EJ857479     Corp,MEGCN 7 03/31/24,MEGCN
51,QZ123790     Corp,2590.0,0.6676517787536579,44135.0,2314254.82,USD,0.0,HYI US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
52,EI138329     Corp,2466.0,0.1289782757358309,44135.0,447072.27,USD,0.0,HYI US Equity,EI138329     Corp,BNTNF 10 01/01/21,BNTNF
53,EK288547     Corp,2350.0,0.7568350275316807,44135.0,2623387.17,USD,0.0,HYI US Equity,EK288547     Corp,STX 4 ¾ 01/01/25,STX
54,AP302778     Corp,2365.0,0.7250637200907367,44135.0,2513259.55,USD,0.0,HYI US Equity,AP302778     Corp,PPC 5 ⅞ 09/30/27,PPC
55,AQ023271     Corp,2430.0,0.7573463018946418,44135.0,2625159.38,USD,0.0,HYI US Equity,AQ023271     Corp,WW 8 ⅝ 12/01/25,WW
56,AQ934212     Corp,1950.0,0.6347347264129662,44135.0,2200155.75,USD,0.0,HYI US Equity,AQ934212     Corp,PETBRA 5 ¾ 02/01/29,PETBRA
57,AQ709524     Corp,2080.0,0.647138368069281,44135.0,2243150.0,USD,0.0,HYI US Equity,AQ709524     Corp,CSCHLD 5 ⅜ 02/01/28,CSCHLD
58,AV183514     Corp,1750.0,0.6339339959998815,44135.0,2197380.21,USD,0.0,HYI US Equity,AV183514     Corp,NFLX 6 ⅜ 05/15/29,NFLX
