,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AO563305     Corp,7025.0,1.058136166990334,44134.0,7377053.800000001,USD,0.0,ISD US Equity,AO563305     Corp,URI 4 ⅞ 01/15/28,URI
2,AU388760     Corp,6767.0,1.054454526880915,44134.0,7351386.350000001,USD,0.0,ISD US Equity,AU388760     Corp,FINRSK 8 ¼ 11/15/26,FINRSK
3,AL293465     Corp,6900.0,0.986013843523114,44134.0,6874235.47,USD,0.0,ISD US Equity,AL293465     Corp,BBDBCN 8 ¾ 12/01/21,BBDBCN
4,AW856649     Corp,6700.0,1.004745306112776,44134.0,7004826.42,USD,0.0,ISD US Equity,AW856649     Corp,VST 5 ⅝ 02/15/27,VST
5,BH715257     Corp,6976.0,0.8710918249957024,44134.0,6073028.65,USD,0.0,ISD US Equity,BH715257     Corp,CCO 9 ¼ 02/15/24,CCO
6,AS583912     Corp,5898.0,0.9376243213612144,44134.0,6536876.140000001,USD,0.0,ISD US Equity,AS583912     Corp,OMF 7 ⅛ 03/15/26,OMF
7,ZP162987     Corp,5950.0,0.8821820582368862,44134.0,6150346.91,USD,0.0,ISD US Equity,ZP162987     Corp,CPN 5 ⅛ 03/15/28,CPN
8,AP302778     Corp,4800.0,0.7275320469313552,44134.0,5072166.72,USD,0.0,ISD US Equity,AP302778     Corp,PPC 5 ⅞ 09/30/27,PPC
9,EJ406837     Corp,4700.0,0.7356184963400278,44134.0,5128543.37,USD,0.0,ISD US Equity,EJ406837     Corp,HCA 4 ¾ 05/01/23,HCA
10,BJ819175     Corp,4875.0,0.6991755542021226,44134.0,4874472.53,USD,650.0,ISD US Equity,BJ819175     Corp,CSCHLD 4 ⅝ 12/01/30,CSCHLD
11,BL283316 Corp,4901992.935999997,0.6953225294134808,44134.0,4847610.23,USD,-12505.08000000194,ISD US Equity,BL283316 Corp, ,MCAFEE
12,BL259036 Corp,4795000.0,0.6937943635811546,44134.0,4836956.25,USD,0.0,ISD US Equity,BL259036 Corp, ,INTEL
13,EF420256     Corp,3940.0,0.6612119465079731,44134.0,4609800.0,USD,0.0,ISD US Equity,EF420256     Corp,LUMN 7.995 06/01/36,LUMN
14,AN260464     Corp,4500.0,0.687486691639356,44134.0,4792980.78,USD,0.0,ISD US Equity,AN260464     Corp,LAUR 8 ¼ 05/01/25,LAUR
15,AV483084     Corp,4300.0,0.6644600336533248,44134.0,4632444.83,USD,0.0,ISD US Equity,AV483084     Corp,RGCARE 9 ¾ 12/01/26,RGCARE
16,EK799007     Corp,4600.0,0.6770182956882014,44134.0,4719997.810000001,USD,0.0,ISD US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
17,JK794894     Corp,4430.0,0.6330527774506333,44134.0,4413481.5,USD,0.0,ISD US Equity,JK794894     Corp,CC 6 ⅝ 05/15/23,CC
18,QZ429974     Corp,3835.0,0.5833252857861981,44134.0,4066794.19,USD,0.0,ISD US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
19,AT991267     Corp,3700.0,0.6172402633848437,44134.0,4303240.71,USD,0.0,ISD US Equity,AT991267     Corp,HCA 5 ⅝ 09/01/28,HCA
20,AT869341     Corp,4050.0,0.6105110727716404,44134.0,4256326.52,USD,0.0,ISD US Equity,AT869341     Corp,BMC 9 ¾ 09/01/26,BMC
21,EK770674     Corp,6368.0,0.5663241909640852,44134.0,3948266.92,USD,0.0,ISD US Equity,EK770674     Corp,DLLTD 6 ¾ 03/01/23,DLLTD
22,BJ223881     Corp,3150.0,0.5298421925979455,44134.0,3693923.79,USD,0.0,ISD US Equity,BJ223881     Corp,BA 5.805 05/01/50,BA
23,BK404815     Corp,4050.0,0.5940039734712188,44134.0,4141243.26,USD,0.0,ISD US Equity,BK404815     Corp,CHTR 4 ¼ 02/01/31,CHTR
24,QJ555260     Corp,4055.0,0.6058767928914186,44134.0,4224017.51,USD,0.0,ISD US Equity,QJ555260     Corp,TMUS 6 ½ 01/15/26,TMUS
25,AM796599     Corp,4000.0,0.5830093777148398,44134.0,4064591.76,USD,0.0,ISD US Equity,AM796599     Corp,MOTOR 6 03/15/22,MOTOR
26,AP362087     Corp,3895.0,0.502836182740638,44134.0,3505644.82,USD,0.0,ISD US Equity,AP362087     Corp,WSTC 8 ½ 10/15/25,WSTC
27,UV333098     Corp,3475.0,0.5256051175279954,44134.0,3664383.99,USD,0.0,ISD US Equity,UV333098     Corp,THC 6 ¾ 06/15/23,THC
28,AM408987     Corp,3250.0,0.5137722780648111,44134.0,3581888.47,USD,0.0,ISD US Equity,AM408987     Corp,APU 5 ¾ 05/20/27,APU
29,BJ878364     Corp,3460.0,0.5011887483184293,44134.0,3494159.33,USD,0.0,ISD US Equity,BJ878364     Corp,UVN 6 ⅝ 06/01/27,UVN
30,BL241337 Corp,3814057.789999999,0.515540966233165,44134.0,3594219.31,USD,0.0,ISD US Equity,BL241337 Corp, ,MSYLN
31,EJ500535     Corp,3675.0,0.4877579398223964,44134.0,3400523.18,USD,0.0,ISD US Equity,EJ500535     Corp,F 4 ¾ 01/15/43,F
32,AZ589558     Corp,5755.0,0.342549895406193,44134.0,2388169.96,USD,0.0,ISD US Equity,AZ589558     Corp,DSPORT 6 ⅝ 08/15/27,DSPORT
33,JV974353     Corp,3925.0,0.4674120661144527,44134.0,3258676.97,USD,0.0,ISD US Equity,JV974353     Corp,AR 5 ⅝ 06/01/23,AR
34,BL271584 Corp,3662943.229999999,0.5119377512710142,44134.0,3569098.62,USD,0.0,ISD US Equity,BL271584 Corp, ,SOLEIN
