,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,GVMXX US Equity,12492160.43,5.521397796631959,44104.0,12492160.43,USD,904805.3800000028,IVH US Equity,GVMXX US Equity,State Street Institutional US,GVMXX
2,ZS003150     Corp,8900.0,3.624749334234408,44104.0,8200994.0,USD,2000.0,IVH US Equity,ZS003150     Corp,SPLS 7 ½ 04/15/26,SPLS
3,AR669884     Corp,8400.0,3.746122172170489,44104.0,8475600.0,USD,0.0,IVH US Equity,AR669884     Corp,FTR 8 ½ 04/01/26,FTR
4,AN260464     Corp,7040.0,3.298298893011121,44104.0,7462400.0,USD,0.0,IVH US Equity,AN260464     Corp,LAUR 8 ¼ 05/01/25,LAUR
5,BL300324 Corp,7267536.47,3.124639681707821,44104.0,7069496.100000001,USD,-18065.9299999997,IVH US Equity,BL300324 Corp, ,USRENA
6,AX541067     Corp,6862.0,3.044302165537458,44104.0,6887732.5,USD,0.0,IVH US Equity,AX541067     Corp,DLLTD 8 ¾ 05/25/24,DLLTD
7,BK731780     Corp,6566.0,2.93358771612054,44104.0,6637241.100000001,USD,6566.0,IVH US Equity,BK731780     Corp,NFP 6 ⅞ 08/15/28,NFP
8,AP362087     Corp,7035.0,2.704301092218383,44104.0,6118480.2,USD,0.0,IVH US Equity,AP362087     Corp,WSTC 8 ½ 10/15/25,WSTC
9,BL252700 Corp,6496810.279999997,2.599011695640582,44104.0,5880262.98,USD,-16701.30000000075,IVH US Equity,BL252700 Corp, ,WSTC
10,BG387298     Corp,4582.0,2.250496508193362,44104.0,5091747.5,USD,0.0,IVH US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
11,ZS232180     Corp,4556.0,2.07149524074988,44104.0,4686757.2,USD,0.0,IVH US Equity,ZS232180     Corp,CRK 9 ¾ 08/15/26,CRK
12,ZR018021     Corp,4496.0,1.9081921416722,44104.0,4317284.0,USD,0.0,IVH US Equity,ZR018021     Corp,CCO 5 ⅛ 08/15/27,CCO
13,AT936853     Corp,3957.0,1.901616463226686,44104.0,4302406.53,USD,0.0,IVH US Equity,AT936853     Corp,VCVHHO 9 ¾ 08/15/26,VCVHHO
