,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,BK913529     Corp,2000.0,1.958331182856852,44135.0,1982500.0,USD,0.0,JHAA US Equity,BK913529     Corp,F 3.37 11/17/23,F
2,AN696778     Corp,1525.0,1.490139389293845,44135.0,1508530.0,USD,0.0,JHAA US Equity,AN696778     Corp,NCX 4 ⅞ 06/01/24,NCX
3,BK670897     Corp,1500.0,1.513005239552271,44135.0,1531678.05,USD,0.0,JHAA US Equity,BK670897     Corp,LVIATH 5 ¾ 06/30/23,LVIATH
4,EJ644975     Corp,1475.0,1.514752505603304,44135.0,1533446.88,USD,0.0,JHAA US Equity,EJ644975     Corp,ADT 4 ⅛ 06/15/23,ADT
5,BK102489     Corp,1500.0,1.481889377125916,44135.0,1500178.17,USD,0.0,JHAA US Equity,BK102489     Corp,PCG 1 ¾ 06/16/22,PCG
6,EJ930691     Corp,1300.0,1.415777133835855,44135.0,1433250.0,USD,0.0,JHAA US Equity,EJ930691     Corp,OMF 8 ¼ 10/01/23,OMF
7,EK751070     Corp,1250.0,1.348976555656438,44135.0,1365625.0,USD,0.0,JHAA US Equity,EK751070     Corp,KBH 7 ⅝ 05/15/23,KBH
8,AS323079     Corp,1300.0,1.291439155619387,44135.0,1307377.5,USD,0.0,JHAA US Equity,AS323079     Corp,TEVA 6 04/15/24,TEVA
9,AM795518     Corp,1250.0,1.266568596549335,44135.0,1282200.0,USD,0.0,JHAA US Equity,AM795518     Corp,MRFGBZ 7 03/15/24,MRFGBZ
10,AR411128     Corp,1250.0,1.225500440722211,44135.0,1240625.0,USD,0.0,JHAA US Equity,AR411128     Corp,FMCN 6 ½ 03/01/24,FMCN
11,QZ219430     Corp,1200.0,1.200187837160694,44135.0,1215000.0,USD,0.0,JHAA US Equity,QZ219430     Corp,XPO 6 ⅛ 09/01/23,XPO
12,AN528234     Corp,1125.0,1.188947193976701,44135.0,1203620.63,USD,0.0,JHAA US Equity,AN528234     Corp,FMGAU 5 ⅛ 05/15/24,FMGAU
