,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AX558429     Corp,1487.0,0.4976477500311256,44012.0,1472130.0,USD,855.0,MCI US Equity,AX558429     Corp,MTW 9 04/01/26,MTW
2,JV891745     Corp,1500.0,0.4538268389454641,44012.0,1342500.0,USD,0.0,MCI US Equity,JV891745     Corp,VERITS 10 ½ 02/01/24,VERITS
3,AW981943     Corp,1000.0,0.3474099384612689,44012.0,1027700.0,USD,0.0,MCI US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
4,AZ662579     Corp,1000.0,0.3464972140924401,44012.0,1025000.0,USD,0.0,MCI US Equity,AZ662579     Corp,TEKNI 9 ¼ 08/01/24,TEKNI
5,AT936853     Corp,965.0,0.3504684947235176,44012.0,1036747.75,USD,0.0,MCI US Equity,AT936853     Corp,VCVHHO 9 ¾ 08/15/26,VCVHHO
6,UV343924     Corp,1016.0,0.3022402235861159,44012.0,894080.0,USD,0.0,MCI US Equity,UV343924     Corp,KEADGR 7 ⅞ 07/31/23,KEADGR
7,ZR728714     Corp,1000.0,0.3262144503406875,44012.0,965000.0,USD,0.0,MCI US Equity,ZR728714     Corp,CLMT 11 04/15/25,CLMT
8,ZQ584485     Corp,1000.0,0.3262144503406875,44012.0,965000.0,USD,0.0,MCI US Equity,ZQ584485     Corp,HMHC 9 02/15/25,HMHC
9,AM836595     Corp,889.0,0.2877507242309577,44012.0,851217.5,USD,0.0,MCI US Equity,AM836595     Corp,FMCN 7 ½ 04/01/25,FMCN
10,AQ452239     Corp,1000.0,0.2539571044750689,44012.0,751250.0,USD,0.0,MCI US Equity,AQ452239     Corp,TGI 7 ¾ 08/15/25,TGI
11,EJ656952     Corp,859.0,0.293073404845287,44012.0,866962.9300000002,USD,0.0,MCI US Equity,EJ656952     Corp,LBCTNK 6 ⅞ 05/15/23,LBCTNK
12,AR196187     Corp,778.0,0.1900173819779815,44012.0,562105.0,USD,0.0,MCI US Equity,AR196187     Corp,APEXTO 9 02/15/23,APEXTO
13,AN634987     Corp,581.0,0.1660013051208688,44012.0,491061.2,USD,0.0,MCI US Equity,AN634987     Corp,SXCP 7 ½ 06/15/25,SXCP
14,AP658466     Corp,251.0,0.08272832265246087,44012.0,244725.0,USD,0.0,MCI US Equity,AP658466     Corp,HCC 8 11/01/24,HCC
15,AP472276     Corp,1000.0,0.0034649721409244,44012.0,10250.0,USD,0.0,MCI US Equity,AP472276     Corp,NORACQ 7 ⅛ 11/01/22,NORACQ
16,WHLT US Equity,9541.0,0.0003870356979109429,44012.0,1144.92,USD,0.0,MCI US Equity,WHLT US Equity,Chase Packaging Corp,WHLT
17,TRANSIT TECHNOLOGIES LLC-DDTL-B,1623627.0,-0.02699924884741732,44012.0,-79868.55,USD,0.0,MCI US Equity,TRANSIT TECHNOLOGIES LLC-DDTL-B,42,42
