,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,TRIXX US Equity,8361042.84,3.16938149415566,44153.0,8361042.84,USD,0.0,OPP US Equity,TRIXX US Equity,State Street Institutional Tre,TRIXX
2,EP052654     Pfd,235511.0,2.073925589982262,44153.0,5471156.04,USD,0.0,OPP US Equity,EP052654     Pfd,OXSQ 6 ½ 03/30/24,OXSQ
3,!!00FQ20   Mtge,43662.0,0.4592003441574194,44153.0,1211401.58,USD,662.0,OPP US Equity,!!00FQ20   Mtge,INDX 2004-AR4 3A,INDX
4,VTA US Equity,307596.0,1.037730925402017,44153.0,2737604.4,USD,0.0,OPP US Equity,VTA US Equity,Invesco Dynamic Credit Opportu,VTA
5,!!00MCTB   Mtge,19091.0,0.2380973650398508,44153.0,628116.96,USD,3091.0,OPP US Equity,!!00MCTB   Mtge,SAMI 2005-AR7 3A1,SAMI
6,HFRO US Equity,321314.0,0.9804819389701526,44153.0,2586577.7,USD,0.0,OPP US Equity,HFRO US Equity,Highland Income Fund,HFRO
7,!!00NDC9   Mtge,100746.0,0.9175845416981336,44153.0,2420650.11,USD,746.0,OPP US Equity,!!00NDC9   Mtge,NAA 2006-AR1 5A1,NAA
8,GHY US Equity,200500.0,0.9667530644341047,44153.0,2550360.0,USD,0.0,OPP US Equity,GHY US Equity,PGIM Global High Yield Fund In,GHY
9,!!00LVAW   Mtge,26083.0,0.2351544951123882,44153.0,620353.47,USD,7465.0,OPP US Equity,!!00LVAW   Mtge,CWALT 2005-63 5A1,CWALT
10,!!00JW7Q   Mtge,35197.0,0.3945020188569912,44153.0,1040723.02,USD,3527.0,OPP US Equity,!!00JW7Q   Mtge,RFMSI 2005-SA2 5A,RFMSI
11,EHI US Equity,243042.0,0.852191370687782,44153.0,2248138.5,USD,0.0,OPP US Equity,EHI US Equity,Western Asset Global High Inco,EHI
12,!!00Q5ZJ   Mtge,27560.0,0.639522428456108,44153.0,1687103.44,USD,110.0,OPP US Equity,!!00Q5ZJ   Mtge,LUM 2006-3 11A1,LUM
13,!!00MKVB   Mtge,24901.0,0.3351456793529206,44153.0,884136.98,USD,2901.0,OPP US Equity,!!00MKVB   Mtge,SARM 2005-22 4A1,SARM
14,!!00XV8G   Mtge,30340.0,0.7057737768473646,44153.0,1861878.98,USD,3340.0,OPP US Equity,!!00XV8G   Mtge,CWHL 2007-9 A1,CWHL
15,NRGX US Equity,253693.0,0.6789335252038529,44153.0,1791072.58,USD,0.0,OPP US Equity,NRGX US Equity,PIMCO Energy & Tactical Credit,NRGX
16,ISD US Equity,149243.0,0.7484587736971785,44153.0,1974484.89,USD,0.0,OPP US Equity,ISD US Equity,PGIM High Yield Bond Fund Inc,ISD
17,EVV US Equity,174586.0,0.7458429689209317,44153.0,1967584.22,USD,0.0,OPP US Equity,EVV US Equity,Eaton Vance Ltd Duration Incom,EVV
18,!!0107J0   Mtge,21737.0,0.7801040992077538,44153.0,2057967.4,USD,1737.0,OPP US Equity,!!0107J0   Mtge,SARM 2007-8 2A3,SARM
19,JQC US Equity,323830.0,0.7168759257349022,44153.0,1891167.2,USD,0.0,OPP US Equity,JQC US Equity,Nuveen Credit Strategies Incom,JQC
20,BWG US Equity,166549.0,0.7285542690922645,44153.0,1921975.46,USD,0.0,OPP US Equity,BWG US Equity,BrandywineGLOBAL Global Income,BWG
21,HIO US Equity,409144.0,0.7165264578224652,44153.0,1890245.28,USD,0.0,OPP US Equity,HIO US Equity,Western Asset High Income Oppo,HIO
22,!!00HZRY   Mtge,20955.0,0.677398848875175,44153.0,1787024.0,USD,955.0,OPP US Equity,!!00HZRY   Mtge,CWHL 2005-HYB1 1A1,CWHL
23,EP053324     Pfd,78502.0,0.717153022493831,44153.0,1891898.2,USD,0.0,OPP US Equity,EP053324     Pfd,PTMN 6 ⅛ 09/30/22,PTMN
24,!!00QSNX   Mtge,19826.0,0.4405343256013966,44153.0,1162159.36,USD,1826.0,OPP US Equity,!!00QSNX   Mtge,BSARM 2006-2 2A1,BSARM
25,NHF US Equity,170583.0,0.6802453111163198,44153.0,1794533.16,USD,0.0,OPP US Equity,NHF US Equity,NexPoint Strategic Opportuniti,NHF
26,AN906774     Corp,1724.093,0.5765238775997936,44153.0,1520909.0,USD,0.0,OPP US Equity,AN906774     Corp,BKCC 5 06/15/22,BKCC
27,!!00WUV1   Mtge,18533.0,0.29849928803515,44153.0,787461.32,USD,1533.0,OPP US Equity,!!00WUV1   Mtge,CMLTI 2007-AR5 1A3A,CMLTI
28,AU098315     Corp,1648.447999999999,0.5881584085858879,44153.0,1551601.68,USD,0.0,OPP US Equity,AU098315     Corp,NMFC 5 ¾ 08/15/23,NMFC
29,!!00M4S7   Mtge,17377.0,0.9195617009908299,44153.0,2425865.99,USD,818.0,OPP US Equity,!!00M4S7   Mtge,CWALT 2005-64CB 3A1,CWALT
30,!!00PUYC   Mtge,16334.0,0.7085394034060997,44153.0,1869174.89,USD,1334.0,OPP US Equity,!!00PUYC   Mtge,BAFC 2006-D 6A3,BAFC
31,!!02FZ55   Mtge,16153.0,0.150361510873053,44153.0,396663.84,USD,15553.0,OPP US Equity,!!02FZ55   Mtge,PMIT 2018-1A C,PMIT
32,!!00NPQM   Mtge,16393.0,0.4909763145352516,44153.0,1295228.74,USD,1393.0,OPP US Equity,!!00NPQM   Mtge,WMALT 2006-2 1A9,WMALT
33,!!00VVFA   Mtge,16411.0,0.5880826372163362,44153.0,1551401.79,USD,1585.0,OPP US Equity,!!00VVFA   Mtge,WAMU 2007-HY3 3A3,WAMU
34,!!00MDWQ   Mtge,16113.0,0.6198072631947198,44153.0,1635093.5,USD,1113.0,OPP US Equity,!!00MDWQ   Mtge,BALTA 2005-10 23A1,BALTA
35,!!00WRLG   Mtge,18727.0,0.7338319123388815,44153.0,1935898.24,USD,827.0,OPP US Equity,!!00WRLG   Mtge,RAST 2007-A5 2A3,RAST
36,!!00STL3   Mtge,15642.0,0.9775646673246742,44153.0,2578881.74,USD,2642.0,OPP US Equity,!!00STL3   Mtge,RFMSI 2006-S8 A16,RFMSI
37,VLT US Equity,93167.0,0.4220307403315139,44153.0,1113345.65,USD,0.0,OPP US Equity,VLT US Equity,Invesco High Income Trust II,VLT
38,!!00PGKE   Mtge,12756.0,0.7252519315088621,44153.0,1913263.67,USD,756.0,OPP US Equity,!!00PGKE   Mtge,NCHET 2006-1 A2B,NCHET
39,VVR US Equity,307015.0,0.4026704522448748,44153.0,1062271.9,USD,0.0,OPP US Equity,VVR US Equity,Invesco Senior Income Trust,VVR
40,!!00Y55Y   Mtge,31121.0,0.43759788083134,44153.0,1154412.82,USD,1121.0,OPP US Equity,!!00Y55Y   Mtge,CHASE 2007-S4 A4,CHASE
41,!!00LBDN   Mtge,11938.0,0.4656042284169678,44153.0,1228295.46,USD,938.0,OPP US Equity,!!00LBDN   Mtge,CMLTI 2005-5 3A2A,CMLTI
42,EMD US Equity,82627.0,0.3858751059480074,44153.0,1017964.64,USD,0.0,OPP US Equity,EMD US Equity,Western Asset Emerging Markets,EMD
43,!!00L4BC   Mtge,12320.0,0.2250231628696619,44153.0,593626.33,USD,3320.0,OPP US Equity,!!00L4BC   Mtge,FHAMS 2005-AA8 3A1,FHAMS
44,EDD US Equity,176211.0,0.3773944705606419,44153.0,995592.15,USD,0.0,OPP US Equity,EDD US Equity,Morgan Stanley Emerging Market,EDD
45,!!00VANG   Mtge,12221.0,0.7021989860553712,44153.0,1852448.44,USD,721.0,OPP US Equity,!!00VANG   Mtge,CWHL 2007-HYB1 2A1,CWHL
46,ARDC US Equity,79732.0,0.3605679916279185,44153.0,951202.76,USD,0.0,OPP US Equity,ARDC US Equity,Ares Dynamic Credit Allocation,ARDC
47,!!00Q5ZM   Mtge,11146.0,0.5679295643095074,44153.0,1498236.62,USD,396.0,OPP US Equity,!!00Q5ZM   Mtge,LUM 2006-3 12A1,LUM
48,!!00S5L5   Mtge,12658.0,0.6031360039348366,44153.0,1591113.59,USD,158.0,OPP US Equity,!!00S5L5   Mtge,CSMC 2006-7 10A1,CSMC
49,!!00VIQY   Mtge,12809.0,0.7212795997388128,44153.0,1902784.39,USD,492.0,OPP US Equity,!!00VIQY   Mtge,CWALT 2007-2CB 1A2,CWALT
50,QZ406098     Corp,997.837,0.370689346871062,44153.0,977903.5800000001,USD,0.0,OPP US Equity,QZ406098     Corp,TCPC 4 ⅝ 03/01/22,TCPC
51,BCSF US Equity,76988.0,0.3233529795656901,44153.0,853027.04,USD,0.0,OPP US Equity,BCSF US Equity,Bain Capital Specialty Finance,BCSF
52,!!00VHNP   Mtge,11619.0,0.6634914269856517,44153.0,1750335.28,USD,1119.0,OPP US Equity,!!00VHNP   Mtge,CSMC 2007-1 5A4,CSMC
53,EP054553     Pfd,34347.0,0.3165102930665134,44153.0,834975.57,USD,0.0,OPP US Equity,EP054553     Pfd,CSWC 5.95 12/15/22,CSWC
54,BGT US Equity,71108.0,0.2959612636747235,44153.0,780765.84,USD,0.0,OPP US Equity,BGT US Equity,BlackRock Floating Rate Income,BGT
55,!!00L1XZ   Mtge,8408.0,0.5810871873876817,44153.0,1532947.32,USD,908.0,OPP US Equity,!!00L1XZ   Mtge,WMALT 2005-8 1A1,WMALT
56,!!00LF9P   Mtge,12033.0,0.3008230002278672,44153.0,793591.4300000002,USD,1298.0,OPP US Equity,!!00LF9P   Mtge,CSFB 2005-9 2A1,CSFB
57,!!0109DU   Mtge,8381.0,0.5836067778009307,44153.0,1539594.17,USD,381.0,OPP US Equity,!!0109DU   Mtge,RALI 2007-QA5 3A1,RALI
58,EP053159     Pfd,31195.0,0.2846263800442592,44153.0,750863.65,USD,0.0,OPP US Equity,EP053159     Pfd,TPVG 5 ¾ 07/15/22,TPVG
59,!!00XKRN   Mtge,11297.0,0.7525287640691468,44153.0,1985221.8,USD,297.0,OPP US Equity,!!00XKRN   Mtge,CWALT 2007-14T2 A1,CWALT
60,EP053391     Pfd,29898.0,0.2598611282467226,44153.0,685531.24,USD,0.0,OPP US Equity,EP053391     Pfd,SCM 5 ¾ 09/15/22,SCM
61,!!00QUZH   Mtge,7575.0,0.4687325939654726,44153.0,1236548.3,USD,990.0,OPP US Equity,!!00QUZH   Mtge,WAMU 2006-AR6 2A3,WAMU
62,!!00VD9W   Mtge,13660.0,0.5716761702546499,44153.0,1508120.42,USD,354.0,OPP US Equity,!!00VD9W   Mtge,CFLX 2007-1 1A1,CFLX
