,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AN478826     Corp,15750.0,0.031975919833737,44134.0,110463.72142095,USD,0.0,PHT US Equity,AN478826     Corp,YPFDAR 16 ½ 05/09/22,YPFDAR
2,EJ462386     Corp,2625.0,1.303780285657049,44134.0,4504027.5,USD,0.0,PHT US Equity,EJ462386     Corp,MTOR 7 ⅞ 03/01/26,MTOR
3,DD012108     Corp,3000.0,1.344670221518085,44134.0,4645285.5,USD,0.0,PHT US Equity,DD012108     Corp,LIBMUT 7.697 10/15/97,LIBMUT
4,DD103492     Corp,3800.0,1.386259516601539,44134.0,4788959.5,USD,0.0,PHT US Equity,DD103492     Corp,THG 7 ⅝ 10/15/25,THG
5,AO701614     Corp,4357.0,1.296243288802111,44134.0,4477990.2593119,USD,0.0,PHT US Equity,AO701614     Corp,PRXL 6 ⅜ 09/01/25,PRXL
6,EH379623     Corp,3075.0,1.33109267309951,44134.0,4598380.6248975,USD,0.0,PHT US Equity,EH379623     Corp,LIBMUT 10 ¾ 06/15/58,LIBMUT
7,ZP543483     Corp,4155.0,1.239407077091315,44134.0,4281644.4,USD,0.0,PHT US Equity,ZP543483     Corp,PRSESE 6 ¼ 01/15/28,PRSESE
8,ED743953     Corp,4000.0,1.228486999669888,44134.0,4243920.0,USD,0.0,PHT US Equity,ED743953     Corp,ASH 6 ½ 06/30/29,ASH
9,AN086672     Corp,3850.0,1.125776976389944,44134.0,3889098.88906,USD,0.0,PHT US Equity,AN086672     Corp,CATM 5 ½ 05/01/25,CATM
10,ZP913720     Corp,3676.0,1.147454837323759,44134.0,3963987.03,USD,0.0,PHT US Equity,ZP913720     Corp,UNIT 7 ⅞ 02/15/25,UNIT
11,AR072403     Corp,3779.0,1.103801961867935,44134.0,3813184.2040407,USD,0.0,PHT US Equity,AR072403     Corp,INDNAT 6 ⅞ 02/15/26,INDNAT
12,JK504173     Corp,3940.0,1.103274887501209,44134.0,3811363.377734,USD,0.0,PHT US Equity,JK504173     Corp,MDZACN 6 ½ 05/01/24,MDZACN
13,EK344672     Corp,3040.0,1.03927879711668,44134.0,3590283.066768,USD,0.0,PHT US Equity,EK344672     Corp,WMB 5 ¾ 06/24/44,WMB
14,AT298242     Corp,3369.0,1.119176831894455,44134.0,3866298.09,USD,0.0,PHT US Equity,AT298242     Corp,HRDRCK 12 07/15/24,HRDRCK
15,ZQ224872     Corp,3226.0,1.005172345942374,44134.0,3472459.2311828,USD,0.0,PHT US Equity,ZQ224872     Corp,GWCN 9 ½ 11/01/27,GWCN
16,EK553678     Corp,3080.0,1.051284801453706,44134.0,3631758.9,USD,0.0,PHT US Equity,EK553678     Corp,S 7 ⅛ 06/15/24,S
17,EP040047     Pfd,132750.0,0.9664422226468372,44134.0,3338662.5,USD,0.0,PHT US Equity,EP040047     Pfd,ALLY Float 02/15/40,ALLY
18,AX009626     Corp,3105.0,0.9026099029795046,44134.0,3118147.949862,USD,0.0,PHT US Equity,AX009626     Corp,CREAL 9 ½ 02/07/26,CREAL
19,AN749817     Corp,3415.0,0.995644757955322,44134.0,3439545.3125,USD,0.0,PHT US Equity,AN749817     Corp,PROFUN 6 ⅜ 06/15/25,PROFUN
20,EG245987     Corp,3195.439199999999,0.3860616813726117,44134.0,1333685.16822003,USD,1195.439199999999,PHT US Equity,EG245987     Corp,NSGHLD 7 ¾ 12/15/25,NSGHLD
21,AL634349     Corp,3293.0,0.9605895508865656,44134.0,3318443.9134431,USD,218.0,PHT US Equity,AL634349     Corp,AMID 8 ½ 12/15/21,AMID
22,EP044435     Pfd,3000.0,0.8820870821655603,44134.0,3047250.0,USD,0.0,PHT US Equity,EP044435     Pfd,AGSTAR 6 ¾ PERP,AGSTAR
23,AZ202088     Corp,2859.0,0.8736169012049837,44134.0,3017988.99,USD,0.0,PHT US Equity,AZ202088     Corp,MIK 8 07/15/27,MIK
24,DD010033     Corp,2250.0,0.8681795019333364,44134.0,2999205.0,USD,0.0,PHT US Equity,DD010033     Corp,LYB 8.1 03/15/27,LYB
25,AZ166931     Corp,2500.0,0.7963641965162688,44134.0,2751112.5,USD,0.0,PHT US Equity,AZ166931     Corp,USRENA 10 ⅝ 07/15/27,USRENA
26,BH722385     Corp,2510.0,0.776256928486107,44134.0,2681650.115,USD,0.0,PHT US Equity,BH722385     Corp,POWBUY 9.033 12/04/25,POWBUY
27,AT543745     Corp,2618.0,0.8101073983842368,44134.0,2798589.64,USD,0.0,PHT US Equity,AT543745     Corp,SIMFOO 7 ¾ 01/15/24,SIMFOO
28,AX580717     Corp,2583.0,0.7388487464267013,44134.0,2552420.1499713,USD,0.0,PHT US Equity,AX580717     Corp,APLP 6 ⅞ 04/01/27,APLP
29,EK897841     Corp,2790.0,0.6614146425802017,44134.0,2284917.000093,USD,0.0,PHT US Equity,EK897841     Corp,VIKCRU 6 ¼ 05/15/25,VIKCRU
30,EC228830     Corp,2320.0,0.2023444447846938,44134.0,699017.2760000001,USD,0.0,PHT US Equity,EC228830     Corp,RUSSIA 7 ½ 03/31/30,RUSSIA
31,AX857256     Corp,2396.0,0.7482508698746375,44134.0,2584900.64,USD,0.0,PHT US Equity,AX857256     Corp,SURCEN 10 04/15/27,SURCEN
32,ZO823278     Corp,2515.0,0.7238470243439755,44134.0,2500595.3375,USD,2515.0,PHT US Equity,ZO823278     Corp,NORMID 5 ⅝ 02/15/26,NORMID
33,AL569136     Corp,2521.0,0.7268669787057379,44134.0,2511028.0443324,USD,0.0,PHT US Equity,AL569136     Corp,TEVCN 7 ⅝ 12/01/21,TEVCN
34,BL328253 Corp,2535510.063399998,0.7137700566416302,44134.0,2465783.5366565,USD,0.0,PHT US Equity,BL328253 Corp, ,RGCARE
35,BK841789     Corp,2385.0,0.6783790825864598,44134.0,2343522.2000265,USD,0.0,PHT US Equity,BK841789     Corp,WIN 7 ¾ 08/15/28,WIN
36,AS212957     Corp,2260.0,0.6979042455021907,44134.0,2410973.65,USD,365.0,PHT US Equity,AS212957     Corp,JBPOIN 7 ⅛ 04/15/26,JBPOIN
37,ZO531907     Corp,2305.0,0.6732879796439295,44134.0,2325934.522171,USD,0.0,PHT US Equity,ZO531907     Corp,ADS 7 01/15/26,ADS
38,AN634987     Corp,2429.0,0.6509154977532431,44134.0,2248646.75,USD,0.0,PHT US Equity,AN634987     Corp,SXCP 7 ½ 06/15/25,SXCP
39,AZ589558     Corp,3727.0,0.4650338229661783,44134.0,1606501.6092909,USD,0.0,PHT US Equity,AZ589558     Corp,DSPORT 6 ⅝ 08/15/27,DSPORT
40,AM993360     Corp,2240.0,0.6958990152979307,44134.0,2404046.4,USD,0.0,PHT US Equity,AM993360     Corp,NRG 6 ⅝ 01/15/27,NRG
41,AP521302     Corp,2310.0,0.664636244448247,44134.0,2296046.316564,USD,0.0,PHT US Equity,AP521302     Corp,SIMFOO 5 ¾ 11/01/24,SIMFOO
42,EP031581     Pfd,1600.0,0.6236912408324615,44134.0,2154598.08,USD,0.0,PHT US Equity,EP031581     Pfd,,
43,QZ198831     Corp,2250.0,0.6792523733950724,44134.0,2346539.0625,USD,0.0,PHT US Equity,QZ198831     Corp,,
44,AM752377     Corp,2316.0,0.6678944643122737,44134.0,2307302.1332304,USD,0.0,PHT US Equity,AM752377     Corp,,
45,EC048877     Corp,1850.0,0.6214010928200525,44134.0,2146686.555535,USD,0.0,PHT US Equity,EC048877     Corp,,
46,BK709247     Corp,2055.0,0.6285297066660592,44134.0,2171313.0,USD,0.0,PHT US Equity,BK709247     Corp,,
47,AP293789     Corp,2250.0,0.6215913308208885,44134.0,2147343.75,USD,0.0,PHT US Equity,AP293789     Corp,,
48,ZR532812     Corp,2062.0,0.6505171727292334,44134.0,2247270.7,USD,0.0,PHT US Equity,ZR532812     Corp,,
49,AQ657786     Corp,2000.0,0.587298357179829,44134.0,2028875.5556,USD,0.0,PHT US Equity,AQ657786     Corp,,
