,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,9020 JP Equity,66900.0,0.3820495608470618,44104.0,4114264.62,USD,19100.0,RA US Equity,9020 JP Equity,East Japan Railway Co,9020
2,9502 JP Equity,338100.0,0.3818825154529307,44104.0,4112465.72,USD,48200.0,RA US Equity,9502 JP Equity,Chubu Electric Power Co Inc,9502
3,8801 JP Equity,143013.0,0.2310970148493795,44104.0,2488667.36,USD,16100.0,RA US Equity,8801 JP Equity,Mitsui Fudosan Co Ltd,8801
4,3227 JP Equity,2118.0,0.1518601004946235,44104.0,1635370.65,USD,265.0,RA US Equity,3227 JP Equity,MCUBS MidCity Investment Corp,3227
5,9706 JP Equity,24549.0,0.1009923822002814,44104.0,1087579.8,USD,0.0,RA US Equity,9706 JP Equity,Japan Airport Terminal Co Ltd,9706
6,GAPB MM Equity,687626.0,0.5122891799921478,44104.0,5516805.84,USD,212200.0,RA US Equity,GAPB MM Equity,Grupo Aeroportuario del Pacifi,GAPB
7,8976 JP Equity,224.0,0.1190337732087018,44104.0,1281866.26,USD,115.0,RA US Equity,8976 JP Equity,Daiwa Office Investment Corp,8976
8,3298 JP Equity,9453.0,0.1216033583395436,44104.0,1309537.94,USD,3216.0,RA US Equity,3298 JP Equity,Invesco Office J-Reit Inc,3298
9,8985 JP Equity,2430.0,0.1114942184849742,44104.0,1200673.33,USD,531.0,RA US Equity,8985 JP Equity,Japan Hotel REIT Investment Co,8985
10,3281 JP Equity,766.0,0.1094762434505734,44104.0,1178941.9,USD,-168.0,RA US Equity,3281 JP Equity,GLP J-Reit,3281
11,3466 JP Equity,710.0,0.1104032576355429,44104.0,1188924.85,USD,140.0,RA US Equity,3466 JP Equity,LaSalle Logiport REIT,3466
12,PINFRA* MM Equity,449685.0,0.2936811015254595,44104.0,3162630.95,USD,0.0,RA US Equity,PINFRA* MM Equity,Promotora y Operadora de Infra,PINFRA*
13,2 HK Equity,460783.0,0.3995242826942982,44104.0,4302448.66,USD,95592.0,RA US Equity,2 HK Equity,CLP Holdings Ltd,2
14,RAIL3 BZ Equity,1631496.0,0.5147217282838462,44104.0,5543001.78,USD,610858.0,RA US Equity,RAIL3 BZ Equity,Rumo SA,RAIL3
15,384 HK Equity,935860.0,0.2486923642903333,44104.0,2678150.43,USD,306748.0,RA US Equity,384 HK Equity,China Gas Holdings Ltd,384
16,66 HK Equity,615776.0,0.2837830587991487,44104.0,3056039.63,USD,121222.0,RA US Equity,66 HK Equity,MTR Corp Ltd,66
17,NEE US Equity,328000.0,2.113480352878775,44104.0,22759920.0,USD,12400.0,RA US Equity,NEE US Equity,NextEra Energy Inc,NEE
18,!!00MQ5C   Mtge,211158.0,1.524455821114176,44104.0,16416756.6,USD,0.0,RA US Equity,!!00MQ5C   Mtge,CWALT 2005-84 2A1,CWALT
19,270 HK Equity,1562500.0,0.2306959656852508,44104.0,2484348.49,USD,1562500.0,RA US Equity,270 HK Equity,Guangdong Investment Ltd,270
20,ENB CN Equity,411600.0,1.116593183746012,44104.0,12024512.79,USD,105300.0,RA US Equity,ENB CN Equity,Enbridge Inc,ENB
21,16 HK Equity,156112.0,0.1868098023391857,44104.0,2011741.51,USD,0.0,RA US Equity,16 HK Equity,Sun Hung Kai Properties Ltd,16
22,AMT US Equity,70039.0,1.572164452762549,44104.0,16930527.47,USD,11300.0,RA US Equity,AMT US Equity,American Tower Corp,AMT
23,FXFXX US Equity,15198996.52999999,1.411374932320838,44104.0,15198996.53,USD,-3987142.190000005,RA US Equity,FXFXX US Equity,First American Treasury Obliga,FXFXX
24,ZR665583     Corp,14100.0,1.386245086226431,44104.0,14928375.0,USD,0.0,RA US Equity,ZR665583     Corp,CHTR 4 ¾ 03/01/30,CHTR
25,HBSA3 BZ Equity,2169121.0,0.2600338606698777,44104.0,2800286.2,USD,2169121.0,RA US Equity,HBSA3 BZ Equity,Hidrovias do Brasil SA,HBSA3
26,TCL AU Equity,930695.0,0.8824681407794651,44104.0,9503236.81,USD,98600.0,RA US Equity,TCL AU Equity,Transurban Group,TCL
27,AQ889852     Corp,11300.0,1.122494347140961,44104.0,12088062.0,USD,6725.0,RA US Equity,AQ889852     Corp,TMUS 4 ¾ 02/01/28,TMUS
28,HUFVA SS Equity,84478.0,0.1089997383153717,44104.0,1173810.45,USD,-8200.0,RA US Equity,HUFVA SS Equity,Hufvudstaden AB,HUFVA
29,LW401766     Corp,9600.0,0.9895134359117354,44104.0,10656000.0,USD,0.0,RA US Equity,LW401766     Corp,EMACN 6 ¾ 06/15/76,EMACN
30,AWK US Equity,70800.0,0.95250919922282,44104.0,10257504.0,USD,5000.0,RA US Equity,AWK US Equity,American Water Works Co Inc,AWK
31,QZ513404     Corp,9800.0,0.9578928357618983,44104.0,10315480.0,USD,0.0,RA US Equity,QZ513404     Corp,CSCHLD 5 ½ 04/15/27,CSCHLD
32,AT041854     Corp,9000.0,0.9478859428432476,44104.0,10207716.48,USD,0.0,RA US Equity,AT041854     Corp,KCN 4 ½ 07/15/27,KCN
33,1972 HK Equity,440202.0,0.1083071466978468,44104.0,1166351.98,USD,0.0,RA US Equity,1972 HK Equity,Swire Properties Ltd,1972
34,AQ703124     Corp,8975.0,0.9455174529175994,44104.0,10182210.38,USD,0.0,RA US Equity,AQ703124     Corp,CCI 3.8 02/15/28,CCI
35,AZ988252     Corp,11300.0,0.8039852382629467,44104.0,8658060.0,USD,0.0,RA US Equity,AZ988252     Corp,OXY 3 ½ 08/15/29,OXY
36,AR196242     Corp,9759.928089999994,0.6931929437998057,44104.0,7464945.640000001,USD,-80.99388000000181,RA US Equity,AR196242     Corp,AMBC Float 02/12/23,AMBC
37,CSX US Equity,104900.0,0.7565824745407325,44104.0,8147583.0,USD,18300.0,RA US Equity,CSX US Equity,CSX Corp,CSX
38,PCG US Equity,774324.0,0.675174134424019,44104.0,7270902.36,USD,109400.0,RA US Equity,PCG US Equity,PG&E Corp,PCG
39,ZR576372     Corp,9000.0,0.8587204859791454,44104.0,9247500.0,USD,0.0,RA US Equity,ZR576372     Corp,LVLT 4 ⅝ 09/15/27,LVLT
40,CP CN Equity,21500.0,0.6073193258722114,44104.0,6540178.74,USD,0.0,RA US Equity,CP CN Equity,Canadian Pacific Railway Ltd,CP
41,QZ659186     Corp,8625.0,0.8389587716323017,44104.0,9034687.5,USD,0.0,RA US Equity,QZ659186     Corp,AA 7 09/30/26,AA
42,BJ844779     Corp,9500.0,0.86278998441639,44104.0,9291324.14,USD,9500.0,RA US Equity,BJ844779     Corp,FE 2 ¼ 09/01/30,FE
43,AT647804     Corp,8700.0,0.7735448854639391,44104.0,8330250.0,USD,0.0,RA US Equity,AT647804     Corp,STWD 4 ¾ 03/15/25,STWD
44,SRE US Equity,68583.0,0.7537874779520388,44104.0,8117483.88,USD,9500.0,RA US Equity,SRE US Equity,Sempra Energy,SRE
45,AEE US Equity,111400.0,0.818049032265922,44104.0,8809512.0,USD,7400.0,RA US Equity,AEE US Equity,Ameren Corp,AEE
46,1113 HK Equity,200593.0,0.09152821920071823,44104.0,985660.9,USD,46500.0,RA US Equity,1113 HK Equity,CK Asset Holdings Ltd,1113
47,SYD AU Equity,1279773.0,0.5046482985725684,44104.0,5434521.73,USD,344673.0,RA US Equity,SYD AU Equity,Sydney Airport,SYD
48,AQ323637     Corp,7529.0,0.7842270293714527,44104.0,8445285.25,USD,0.0,RA US Equity,AQ323637     Corp,AMT 3.6 01/15/28,AMT
49,AO662118     Corp,8825.0,0.7088564660483972,44104.0,7633625.0,USD,0.0,RA US Equity,AO662118     Corp,GEL 6 ½ 10/01/25,GEL
50,AR043478     Corp,7375.0,0.7762808074690625,44104.0,8359712.95,USD,0.0,RA US Equity,AR043478     Corp,AMH 4 ¼ 02/15/28,AMH
51,1997 HK Equity,212881.0,0.08103056717610631,44104.0,872612.4300000002,USD,0.0,RA US Equity,1997 HK Equity,Wharf Real Estate Investment C,1997
52,QZ027029     Corp,7100.0,0.7458378592401999,44104.0,8031875.0,USD,0.0,RA US Equity,QZ027029     Corp,PHM 5 01/15/27,PHM
53,XEL US Equity,126100.0,0.808080445849015,44104.0,8702161.0,USD,-45600.0,RA US Equity,XEL US Equity,Xcel Energy Inc,XEL
54,AQ835988     Corp,7375.0,0.7430520669093673,44104.0,8001875.0,USD,0.0,RA US Equity,AQ835988     Corp,TOL 4.35 02/15/28,TOL
