,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,ANG SJ Equity,898420.0,5.009557546801266,44074.0,26217089.0,USD,0.0,ASA US Equity,ANG SJ Equity,AngloGold Ashanti Ltd,ANG
2,GFI SJ Equity,1029577.0,2.542464593208722,44074.0,13305770.0,USD,0.0,ASA US Equity,GFI SJ Equity,Gold Fields Ltd,GFI
3,SSW SJ Equity,1092174.0,0.6314482189798366,44074.0,3304630.0,USD,0.0,ASA US Equity,SSW SJ Equity,Sibanye Stillwater Ltd,SSW
4,OLA CN Equity,7900000.0,6.758661451073254,44074.0,35370874.0,USD,0.0,ASA US Equity,OLA CN Equity,Orla Mining Ltd,OLA
5,AEM CN Equity,400000.0,6.305635192543373,44074.0,33000000.0,USD,0.0,ASA US Equity,AEM CN Equity,Agnico Eagle Mines Ltd,AEM
6,CXB CN Equity,11083000.0,3.052361375540152,44074.0,15974271.0,USD,0.0,ASA US Equity,CXB CN Equity,Calibre Mining Corp,CXB
7,ABX CN Equity,850000.0,4.815690028487102,44074.0,25202500.0,USD,-50000.0,ASA US Equity,ABX CN Equity,Barrick Gold Corp,ABX
8,EDV CN Equity,798850.0,4.231695535928241,44074.0,22146215.0,USD,248850.0,ASA US Equity,EDV CN Equity,Endeavour Mining Corp,EDV
9,BTO CN Equity,2500000.0,3.21969554528351,44074.0,16850000.0,USD,0.0,ASA US Equity,BTO CN Equity,B2Gold Corp,BTO
10,AGI CN Equity,1600000.0,3.197912441891088,44074.0,16736000.0,USD,0.0,ASA US Equity,AGI CN Equity,Alamos Gold Inc,AGI
11,LGD CN Equity,10256000.0,3.230258057470583,44074.0,16905278.0,USD,1000000.0,ASA US Equity,LGD CN Equity,Liberty Gold Corp,LGD
12,SSRM CN Equity,600000.0,2.459197725091915,44074.0,12870000.0,USD,0.0,ASA US Equity,SSRM CN Equity,SSR Mining Inc,SSRM
13,KNT CN Equity,1725000.0,1.960972864581738,44074.0,10262583.0,USD,0.0,ASA US Equity,KNT CN Equity,K92 Mining Inc,KNT
14,PRU AU Equity,11000000.0,2.240097920935008,44074.0,11723360.0,USD,0.0,ASA US Equity,PRU AU Equity,Perseus Mining Ltd,PRU
15,ROXG CN Equity,7200000.0,1.708709623068847,44074.0,8942385.0,USD,0.0,ASA US Equity,ROXG CN Equity,Roxgold Inc,ROXG
16,BGL AU Equity,8966667.0,1.301591637098206,44074.0,6811768.0,USD,1300000.0,ASA US Equity,BGL AU Equity,Bellevue Gold Ltd,BGL
17,CG CN Equity,875000.0,2.177820983735344,44074.0,11397439.0,USD,0.0,ASA US Equity,CG CN Equity,Centerra Gold Inc,CG
18,DSV CN Equity,6000000.0,1.986462917147959,44074.0,10395983.0,USD,-1353534.0,ASA US Equity,DSV CN Equity,Discovery Metals Corp,DSV
19,ITR CN Equity,2679999.0,1.959097033651883,44074.0,10252766.0,USD,-1.0,ASA US Equity,ITR CN Equity,Integra Resources Corp,ITR
20,USA CN Equity,3046400.0,1.723032777868783,44074.0,9017344.0,USD,0.0,ASA US Equity,USA CN Equity,Americas Gold & Silver Corp,USA
21,EMR AU Equity,17125000.0,1.568737897384187,44074.0,8209855.0,USD,0.0,ASA US Equity,EMR AU Equity,Emerald Resources NL,EMR
22,MMX CN Equity,1500000.0,1.22100026910158,44074.0,6390000.0,USD,0.0,ASA US Equity,MMX CN Equity,Maverix Metals Inc,MMX
23,GSC CN Equity,1850000.0,1.643764446783466,44074.0,8602500.0,USD,0.0,ASA US Equity,GSC CN Equity,Golden Star Resources Ltd,GSC
24,MOZ CN Equity,3501700.0,1.195241367180332,44074.0,6255193.0,USD,0.0,ASA US Equity,MOZ CN Equity,Marathon Gold Corp,MOZ
25,TXG CN Equity,460000.0,1.357181925875814,44074.0,7102695.0,USD,0.0,ASA US Equity,TXG CN Equity,Torex Gold Resources Inc,TXG
26,PRB CN Equity,4725000.0,1.128262528005428,44074.0,5904665.0,USD,0.0,ASA US Equity,PRB CN Equity,Probe Metals Inc,PRB
27,BNCHF US Equity,10000000.0,2.065569785756376,44074.0,10809982.0,USD,0.0,ASA US Equity,BNCHF US Equity,Benchmark Metals Inc,BNCHF
28,PGM CN Equity,3000000.0,0.9229141677243319,44074.0,4829992.0,USD,0.0,ASA US Equity,PGM CN Equity,Pure Gold Mining Inc,PGM
29,WGX AU Equity,3000000.0,0.9005488440157978,44074.0,4712945.0,USD,0.0,ASA US Equity,WGX AU Equity,Westgold Resources Ltd,WGX
30,AUT AU Equity,70750750.0,1.844629882602372,44074.0,9653712.0,USD,10750750.0,ASA US Equity,AUT AU Equity,Auteco Minerals Ltd,AUT
31,SKE CN Equity,2666667.0,1.15632852808773,44074.0,6051546.0,USD,0.0,ASA US Equity,SKE CN Equity,Skeena Resources Ltd,SKE
32,KOR CN Equity,2000000.0,1.169024637928134,44074.0,6117990.0,USD,0.0,ASA US Equity,KOR CN Equity,Corvus Gold Inc,KOR
33,GFI US Equity,670423.0,1.669199468351643,44074.0,8735612.0,USD,0.0,ASA US Equity,GFI US Equity,Gold Fields Ltd,GFI
34,TGZ CN Equity,405000.0,0.9006323459121354,44074.0,4713382.0,USD,0.0,ASA US Equity,TGZ CN Equity,Teranga Gold Corp,TGZ
35,ADT AU Equity,2500000.0,0.8420625489661234,44074.0,4406862.0,USD,0.0,ASA US Equity,ADT AU Equity,Adriatic Metals PLC,ADT
36,FISXX US Equity,5354655.0,1.023166697331162,44074.0,5354655.0,USD,3708505.0,ASA US Equity,FISXX US Equity,Fidelity Treasury Portfolio,FISXX
37,KL CN Equity,100000.0,1.016735904834039,44074.0,5321000.0,USD,-95435.0,ASA US Equity,KL CN Equity,Kirkland Lake Gold Ltd,KL
38,OSI CN Equity,4000000.0,0.9082646485332191,44074.0,4753325.0,USD,2000000.0,ASA US Equity,OSI CN Equity,Osino Resources Corp,OSI
39,ADZN CN Equity,5310000.0,1.003471332427034,44074.0,5251581.0,USD,1712000.0,ASA US Equity,ADZN CN Equity,Adventus Mining Corp,ADZN
40,HIGH CN Equity,3000000.0,1.023995219579491,44074.0,5358991.0,USD,1400000.0,ASA US Equity,HIGH CN Equity,HighGold Mining Inc,HIGH
41,DCN AU Equity,13842639.0,0.6535370501391704,44074.0,3420230.0,USD,0.0,ASA US Equity,DCN AU Equity,Dacian Gold Ltd,DCN
42,OIII CN Equity,1480000.0,0.513843536722399,44074.0,2689156.0,USD,1480000.0,ASA US Equity,OIII CN Equity,O3 Mining Inc,OIII
43,BHLL US Equity,12964957.0,1.025617869702372,44074.0,5367483.0,USD,12964957.0,ASA US Equity,BHLL US Equity,Bunker Hill Mining Corp,BHLL
