,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,GOOGL US Equity,27572370.72,2.861897540960638,44104.0,58770560.0,USD,27531270.72,ADX US Equity,GOOGL US Equity,Alphabet Inc,GOOGL
2,AMZN US Equity,11086587.16999999,5.197917386471232,44104.0,106741947.0,USD,11051987.16999999,ADX US Equity,AMZN US Equity,Amazon.com Inc,AMZN
3,NVR US Equity,6852449.34,0.3578976949922709,44104.0,7349616.0,USD,6852449.34,ADX US Equity,NVR US Equity,NVR Inc,NVR
4,UNH US Equity,35518990.45999998,2.093595815932613,44104.0,42993083.0,USD,35381090.45999998,ADX US Equity,UNH US Equity,UnitedHealth Group Inc,UNH
5,FB US Equity,38037016.25999999,2.509890906337968,44104.0,51541920.0,USD,37895116.25999999,ADX US Equity,FB US Equity,Facebook Inc,FB
6,ADBE US Equity,22026086.94999999,1.583378740141041,44104.0,32515509.0,USD,21959786.94999999,ADX US Equity,ADBE US Equity,Adobe Inc,ADBE
7,CHTR US Equity,12889266.43,0.7114285177974606,44104.0,14609556.0,USD,12889266.43,ADX US Equity,CHTR US Equity,Charter Communications Inc,CHTR
8,HD US Equity,30056786.27,1.597113087852678,44104.0,32797551.0,USD,30003186.27,ADX US Equity,HD US Equity,Home Depot Inc/The,HD
9,NVDA US Equity,14729860.75,0.9461555431420412,44104.0,19429798.0,USD,14714660.75,ADX US Equity,NVDA US Equity,NVIDIA Corp,NVDA
10,CMG US Equity,5362611.0,0.6964841204964488,44104.0,14302665.0,USD,5347511.0,ADX US Equity,CMG US Equity,Chipotle Mexican Grill Inc,CMG
11,TMO US Equity,13668814.8,2.016728668474955,44104.0,41414576.0,USD,13575014.8,ADX US Equity,TMO US Equity,Thermo Fisher Scientific Inc,TMO
12,SHW US Equity,8698086.86,0.6853562319691369,44104.0,14074148.0,USD,8677886.86,ADX US Equity,SHW US Equity,Sherwin-Williams Co/The,SHW
13,EQIX US Equity,8310407.059999999,0.5145136794947112,44104.0,10565807.0,USD,8300607.059999999,ADX US Equity,EQIX US Equity,Equinix Inc,EQIX
14,SPGI US Equity,16944884.0,1.109780407174777,44104.0,22789920.0,USD,16878884.0,ADX US Equity,SPGI US Equity,S&P Global Inc,SPGI
15,LIN US Equity,16895785.78,1.008852366632532,44104.0,20717310.0,USD,16808785.78,ADX US Equity,LIN US Equity,Linde PLC,LIN
16,MSFT US Equity,18584338.89,6.92273840384081,44104.0,142162047.0,USD,17869138.89,ADX US Equity,MSFT US Equity,Microsoft Corp,MSFT
17,BRK/B US Equity,17219088.31999999,0.8544343783599447,44104.0,17546256.0,USD,17136688.31999999,ADX US Equity,BRK/B US Equity,Berkshire Hathaway Inc,BRK/B
18,COST US Equity,10246713.84,1.099460727953065,44104.0,22578000.0,USD,10183113.84,ADX US Equity,COST US Equity,Costco Wholesale Corp,COST
19,LRCX US Equity,8021644.5,0.7205100497754426,44104.0,14796050.0,USD,7966544.5,ADX US Equity,LRCX US Equity,Lam Research Corp,LRCX
20,NFLX US Equity,7517724.66,0.460205831933263,44104.0,9450567.0,USD,7502724.66,ADX US Equity,NFLX US Equity,Netflix Inc,NFLX
21,PH US Equity,13482869.79,0.7242080322221056,44104.0,14871990.0,USD,13393669.79,ADX US Equity,PH US Equity,Parker-Hannifin Corp,PH
22,LHX US Equity,18918956.39999999,0.7344245730869302,44104.0,15081792.0,USD,18830156.39999999,ADX US Equity,LHX US Equity,L3Harris Technologies Inc,LHX
