,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,BBRI IJ Equity,19227000.0,1.023556360012601,44012.0,4103870.18,USD,0.0,AEF US Equity,BBRI IJ Equity,Bank Rakyat Indonesia Persero,BBRI
2,005935 KS Equity,736593.0,7.156502100056897,44012.0,28693442.5,USD,3578.0,AEF US Equity,005935 KS Equity,Samsung Electronics Co Ltd,005935
3,BATA IJ Equity,38109800.0,0.3692900059610394,44012.0,1480639.76,USD,0.0,AEF US Equity,BATA IJ Equity,Sepatu Bata Tbk PT,BATA
4,051915 KS Equity,38805.0,2.036204057489813,44012.0,8164002.92,USD,-8201.0,AEF US Equity,051915 KS Equity,LG Chem Ltd,051915
5,TCID IJ Equity,1921400.0,0.2523468955772695,44012.0,1011765.39,USD,-45300.0,AEF US Equity,TCID IJ Equity,Mandom Indonesia Tbk PT,TCID
6,2330 TT Equity,2317000.0,6.171568908201016,44012.0,24744428.93,USD,0.0,AEF US Equity,2330 TT Equity,Taiwan Semiconductor Manufactu,2330
7,HDFC IN Equity,328100.0,1.909658647180842,44012.0,7656628.87,USD,0.0,AEF US Equity,HDFC IN Equity,Housing Development Finance Co,HDFC
8,ITC IN Equity,3203000.0,2.069108429876129,44012.0,8295930.46,USD,0.0,AEF US Equity,ITC IN Equity,ITC Ltd,ITC
9,INFO IN Equity,540000.0,1.305208471485467,44012.0,5233132.57,USD,0.0,AEF US Equity,INFO IN Equity,Infosys Ltd,INFO
10,SBER RM Equity,1991150.0,1.425817630781918,44012.0,5716705.68,USD,-281000.0,AEF US Equity,SBER RM Equity,Sberbank of Russia PJSC,SBER
11,TCS IN Equity,179600.0,1.234798483331616,44012.0,4950829.16,USD,0.0,AEF US Equity,TCS IN Equity,Tata Consultancy Services Ltd,TCS
12,SAFCOM KN Equity,13543600.0,0.9140977085381891,44012.0,3665004.17,USD,0.0,AEF US Equity,SAFCOM KN Equity,Safaricom PLC,SAFCOM
13,MOEX RM Equity,2429800.0,0.9688109534069912,44012.0,3884372.7,USD,2429800.0,AEF US Equity,MOEX RM Equity,Moscow Exchange MICEX-RTS PJSC,MOEX
14,PWGR IN Equity,1780000.0,1.029407099962969,44012.0,4127328.27,USD,0.0,AEF US Equity,PWGR IN Equity,Power Grid Corp of India Ltd,PWGR
15,700 HK Equity,583100.0,9.318998506490676,44012.0,37363804.84,USD,0.0,AEF US Equity,700 HK Equity,Tencent Holdings Ltd,700
16,BHIN IN Equity,1414199.0,1.03557321698165,44012.0,4152050.84,USD,0.0,AEF US Equity,BHIN IN Equity,Bharti Infratel Ltd,BHIN
