,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,GVIXX US Equity,26604029.95999999,3.774784943044789,44135.0,26604029.96,USD,-463354.9600000083,EAD US Equity,GVIXX US Equity,Wells Fargo Government Money M,GVIXX
2,AN720160     Corp,11050.0,1.579618162586063,44135.0,11132875.0,USD,0.0,EAD US Equity,AN720160     Corp,KAR 5 ⅛ 06/01/25,KAR
3,ZR631768     Corp,11330.0,1.30214610004164,44135.0,9177300.0,USD,0.0,EAD US Equity,ZR631768     Corp,OXY 6.45 09/15/36,OXY
4,LW349780     Corp,10175.0,1.496085177405986,44135.0,10544149.0,USD,0.0,EAD US Equity,LW349780     Corp,DELL 7 ⅛ 06/15/24,DELL
5,EG642236     Corp,8700.0,1.493651945031583,44135.0,10527000.0,USD,0.0,EAD US Equity,EG642236     Corp,SCI 7 ½ 04/01/27,SCI
6,VST US Equity,559650.0,0.08472775775400393,44135.0,597146.55,USD,0.0,EAD US Equity,VST US Equity,Vistra Corp,VST
7,ZO479585     Corp,9760.0,1.414370994051936,44135.0,9968241.6,USD,3565.0,EAD US Equity,ZO479585     Corp,DAL 4 ¾ 10/20/28,DAL
8,VTOL US Equity,416564.0,1.228208401927447,44135.0,8656199.92,USD,-23902.0,EAD US Equity,VTOL US Equity,Bristow Group Inc,VTOL
9,EG245987     Corp,8725.000089999994,0.8213259191344913,44135.0,5788562.71,USD,0.0,EAD US Equity,EG245987     Corp,NSGHLD 7 ¾ 12/15/25,NSGHLD
10,QZ562864     Corp,8475.0,1.213260720170822,44135.0,8550851.25,USD,0.0,EAD US Equity,QZ562864     Corp,ALSN 5 10/01/24,ALSN
11,AL501984     Corp,7875.0,1.149489997416502,44135.0,8101406.25,USD,0.0,EAD US Equity,AL501984     Corp,RBACN 5 ⅜ 01/15/25,RBACN
12,AT404736     Corp,7875.0,1.137478315791008,44135.0,8016750.0,USD,0.0,EAD US Equity,AT404736     Corp,CQP 5 ¼ 10/01/25,CQP
13,QZ258108     Corp,7925.0,1.080583684395494,44135.0,7615766.5,USD,0.0,EAD US Equity,QZ258108     Corp,TEP 5 ½ 09/15/24,TEP
14,AM750618     Corp,7650.0,1.120717829801946,44135.0,7898625.0,USD,0.0,EAD US Equity,AM750618     Corp,LPLA 5 ¾ 09/15/25,LPLA
15,ZP852875     Corp,7150.0,1.05380890557577,44135.0,7427062.5,USD,0.0,EAD US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
16,BK508612     Corp,6750.0,0.9985706003871837,44135.0,7037752.5,USD,0.0,EAD US Equity,BK508612     Corp,PEGI 4 ½ 08/15/28,PEGI
17,BK211880     Corp,6400.0,0.9455397132792313,44135.0,6664000.0,USD,0.0,EAD US Equity,BK211880     Corp,UAL 6 ½ 06/20/27,UAL
18,BL312030 Corp,6709293.899999999,0.948567841101813,44135.0,6685341.72,USD,-17047.8900000006,EAD US Equity,BL312030 Corp, ,ACOM
19,AN086672     Corp,6450.0,0.9231835306451438,44135.0,6506437.5,USD,0.0,EAD US Equity,AN086672     Corp,CATM 5 ½ 05/01/25,CATM
20,AM342846     Corp,6550.0,0.9289648873614215,44135.0,6547183.5,USD,0.0,EAD US Equity,AM342846     Corp,EM 5 ¾ 03/01/25,EM
21,ZQ644315     Corp,6275.0,0.9393143899118652,44135.0,6620125.0,USD,0.0,EAD US Equity,ZQ644315     Corp,EVA 6 ½ 01/15/26,EVA
22,EJ688301     Corp,9440.0,0.7852349761749582,44135.0,5534200.0,USD,0.0,EAD US Equity,EJ688301     Corp,INTEL 5 ½ 08/01/23,INTEL
23,ZS414351     Corp,5825.0,0.8585226398571831,44135.0,6050718.75,USD,0.0,EAD US Equity,ZS414351     Corp,F 5.113 05/03/29,F
24,AN262776     Corp,6194.0,0.8382055610052782,44135.0,5907527.5,USD,0.0,EAD US Equity,AN262776     Corp,SSP 5 ⅛ 05/15/25,SSP
25,DD110096     Corp,5190.0,0.8523797887224618,44135.0,6007425.0,USD,0.0,EAD US Equity,DD110096     Corp,CTBUS 7 ⅝ 03/15/27,CTBUS
26,ZO418907     Corp,5350.0,0.7980030966654617,44135.0,5624187.5,USD,0.0,EAD US Equity,ZO418907     Corp,NLSN 5 ⅞ 10/01/30,NLSN
27,AS674305     Corp,5380.0,0.8023328427657963,44135.0,5654702.8,USD,0.0,EAD US Equity,AS674305     Corp,CSV 6 ⅝ 06/01/26,CSV
28,AN519126     Corp,6525.0,0.805461069531494,44135.0,5676750.0,USD,0.0,EAD US Equity,AN519126     Corp,SALM 6 ¾ 06/01/24,SALM
29,DEN US Equity,236737.0,0.55725928276589,44135.0,3927466.83,USD,-1.726999999955297,EAD US Equity,DEN US Equity,Denbury Inc,DEN
30,AS323120     Corp,4975.0,0.7414506459330236,44135.0,5225615.63,USD,300.0,EAD US Equity,AS323120     Corp,TEVA 6 ¾ 03/01/28,TEVA
31,EK613162     Corp,5400.0,0.7824752601750661,44135.0,5514750.0,USD,0.0,EAD US Equity,EK613162     Corp,PAG 5 ⅜ 12/01/24,PAG
32,AQ218282     Corp,5225.0,0.7543371532738524,44135.0,5316437.5,USD,-2000.0,EAD US Equity,AQ218282     Corp,TERP 4 ¼ 01/31/23,TERP
33,AU482874     Corp,5125.0,0.7164196131773913,44135.0,5049201.25,USD,0.0,EAD US Equity,AU482874     Corp,FTAI 6 ½ 10/01/25,FTAI
34,BM021456     Corp,4600.0,0.6540764326264157,44135.0,4609817.32,USD,4600.0,EAD US Equity,BM021456     Corp,UAL 5 ⅞ 10/15/27,UAL
35,AZ324396     Corp,5225.0,0.6598133330847457,44135.0,4650250.0,USD,0.0,EAD US Equity,AZ324396     Corp,AM 5 ¾ 01/15/28,AM
36,EJ674822     Corp,4820.0,0.6762049110224082,44135.0,4765775.0,USD,0.0,EAD US Equity,EJ674822     Corp,VTOL 7 ¾ 12/15/22,VTOL
37,EJ750509     Corp,4950.0,0.5888383326935871,44135.0,4150030.5,USD,0.0,EAD US Equity,EJ750509     Corp,CNK 4 ⅞ 06/01/23,CNK
38,ZP661868     Corp,4525.0,0.626119258097888,44135.0,4412780.0,USD,0.0,EAD US Equity,ZP661868     Corp,CYH 6 ⅝ 02/15/25,CYH
39,ZS060287     Corp,4725.0,0.5739628434048669,44135.0,4045190.63,USD,0.0,EAD US Equity,ZS060287     Corp,ENLC 5 ⅜ 06/01/29,ENLC
40,AS244130     Corp,4350.0,0.623383663009049,44135.0,4393500.0,USD,0.0,EAD US Equity,AS244130     Corp,SIGLN 5 ⅜ 05/01/26,SIGLN
41,JV523090     Corp,4200.0,0.6003978536526211,44135.0,4231500.0,USD,0.0,EAD US Equity,JV523090     Corp,F 4.389 01/08/26,F
42,AO342065     Corp,4200.0,0.6167858843974817,44135.0,4347000.0,USD,0.0,EAD US Equity,AO342065     Corp,LAD 5 ¼ 08/01/25,LAD
43,AP097846     Corp,4175.0,0.601266915889091,44135.0,4237625.0,USD,0.0,EAD US Equity,AP097846     Corp,TRS 4 ⅞ 10/15/25,TRS
44,DD109263     Corp,3475.0,0.5907398763389112,44135.0,4163432.25,USD,0.0,EAD US Equity,DD109263     Corp,CCK 7 ⅜ 12/15/26,CCK
45,AR910901     Corp,4025.0,0.5782367666226391,44135.0,4075312.5,USD,0.0,EAD US Equity,AR910901     Corp,WH 5 ⅜ 04/15/26,WH
46,AZ159791     Corp,3900.0,0.5768799653759056,44135.0,4065750.0,USD,0.0,EAD US Equity,AZ159791     Corp,NXST 5 ⅝ 07/15/27,NXST
47,BJ877641     Corp,3825.0,0.5651077192645405,44135.0,3982781.25,USD,2275.0,EAD US Equity,BJ877641     Corp,RCL 9 ⅛ 06/15/23,RCL
48,AM293398     Corp,4000.0,0.5829882313808081,44135.0,4108800.0,USD,0.0,EAD US Equity,AM293398     Corp,NLSN 5 02/01/25,NLSN
49,EK928766     Corp,4195.0,0.5502084949993441,44135.0,3877774.1,USD,0.0,EAD US Equity,EK928766     Corp,HILCRP 5 ¾ 10/01/25,HILCRP
50,EK799007     Corp,3875.0,0.5652097010575957,44135.0,3983500.0,USD,0.0,EAD US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
51,BK298754     Corp,3775.0,0.5512663955918169,44135.0,3885230.0,USD,0.0,EAD US Equity,BK298754     Corp,THYELE 5 ¼ 07/15/27,THYELE
52,AT281181     Corp,3675.0,0.5566343624589591,44135.0,3923062.5,USD,0.0,EAD US Equity,AT281181     Corp,AMWINS 7 ¾ 07/01/26,AMWINS
53,AU580243     Corp,3600.0,0.5459129722151624,44135.0,3847500.0,USD,0.0,EAD US Equity,AU580243     Corp,AIMC 6 ⅛ 10/01/26,AIMC
54,EJ500535     Corp,3925.0,0.5158372112459011,44135.0,3635531.25,USD,0.0,EAD US Equity,EJ500535     Corp,F 4 ¾ 01/15/43,F
55,ZS756290     Corp,3650.0,0.5444320192203617,44135.0,3837062.5,USD,0.0,EAD US Equity,ZS756290     Corp,IAASPI 5 ½ 06/15/27,IAASPI
56,EK988422     Corp,4550.0,0.4357726357156121,44135.0,3071250.0,USD,0.0,EAD US Equity,EK988422     Corp,OXY 4 ⅝ 06/15/45,OXY
57,AP218222     Corp,3450.0,0.5347925227811497,44135.0,3769125.0,USD,0.0,EAD US Equity,AP218222     Corp,NEP 4 ½ 09/15/27,NEP
58,QJ667017     Corp,3675.0,0.5405532348353205,44135.0,3809725.5,USD,0.0,EAD US Equity,QJ667017     Corp,CHTR 5 ¾ 02/15/26,CHTR
59,EI193063     Corp,3600.0,0.5235656575630797,44135.0,3690000.0,USD,0.0,EAD US Equity,EI193063     Corp,ROCKIE 6 ⅞ 04/15/40,ROCKIE
60,ZO823278     Corp,3735.0,0.5249160738627698,44135.0,3699517.5,USD,3735.0,EAD US Equity,ZO823278     Corp,NORMID 5 ⅝ 02/15/26,NORMID
61,AP099585     Corp,3800.0,0.4926696082583749,44135.0,3472250.0,USD,0.0,EAD US Equity,AP099585     Corp,LADR 5 ¼ 10/01/25,LADR
62,BH495992     Corp,3225.0,0.5056345979493848,44135.0,3563625.0,USD,800.0,EAD US Equity,BH495992     Corp,CCL 11 ½ 04/01/23,CCL
63,AR022565     Corp,4350.0,0.4567365451749468,44135.0,3219000.0,USD,0.0,EAD US Equity,AR022565     Corp,OII 6 02/01/28,OII
64,AW981943     Corp,3220.0,0.4728668936459048,44135.0,3332683.9,USD,1770.0,EAD US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
65,BK841777     Corp,3500.0,0.4792257475391062,44135.0,3377500.0,USD,0.0,EAD US Equity,BK841777     Corp,PRSESE 3 ⅜ 08/31/27,PRSESE
66,ZO510679     Corp,3320.0,0.471067204094695,44135.0,3320000.0,USD,0.0,EAD US Equity,ZO510679     Corp,OPY 5 ½ 10/01/25,OPY
67,AN993603     Corp,3300.0,0.4658883026038949,44135.0,3283500.0,USD,0.0,EAD US Equity,AN993603     Corp,STWD 5 12/15/21,STWD
68,LW881564     Corp,3200.0,0.471067204094695,44135.0,3320000.0,USD,0.0,EAD US Equity,LW881564     Corp,MPW 5 ¼ 08/01/26,MPW
69,AP390715     Corp,3225.0,0.4581598562867163,44135.0,3229031.25,USD,1600.0,EAD US Equity,AP390715     Corp,PLASPK 6 ¼ 10/15/25,PLASPK
70,EK169756     Corp,3225.0,0.4610197804832626,44135.0,3249187.5,USD,695.0,EAD US Equity,EK169756     Corp,ACACN 7 ¾ 04/15/21,ACACN
71,BM122465     Corp,3235.0,0.4498266135968108,44135.0,3170300.0,USD,3235.0,EAD US Equity,BM122465     Corp,MLTPLN 5 ¾ 11/01/28,MLTPLN
72,QZ123790     Corp,3125.0,0.3919247568051926,44135.0,2762217.75,USD,0.0,EAD US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
73,BL291890 Corp,4400000.0,0.4326440116643205,44135.0,3049200.0,USD,0.0,EAD US Equity,BL291890 Corp, ,EPICRU
74,BM121846     Corp,2975.0,0.4272657579380526,44135.0,3011295.0,USD,2975.0,EAD US Equity,BM121846     Corp,UNSHFI 5 ½ 11/15/25,UNSHFI
75,ZP614878     Corp,6475.0,0.4042380917065621,44135.0,2849000.0,USD,0.0,EAD US Equity,ZP614878     Corp,BTECN 8 ¾ 04/01/27,BTECN
76,BM164913     Corp,2950.0,0.4285097584536852,44135.0,3020062.5,USD,2950.0,EAD US Equity,BM164913     Corp,MOTOR 6 ⅜ 05/01/26,MOTOR
77,ZR080292     Corp,2950.0,0.4246089488390984,44135.0,2992570.27,USD,0.0,EAD US Equity,ZR080292     Corp,THC 4 ⅞ 01/01/26,THC
78,EC600408     Corp,1975.0,0.4193503390882849,44135.0,2955508.5,USD,0.0,EAD US Equity,EC600408     Corp,S 8 ¾ 03/15/32,S
79,EK351953     Corp,3100.0,0.4068630143799813,44135.0,2867500.0,USD,0.0,EAD US Equity,EK351953     Corp,HILCRP 5 12/01/24,HILCRP
80,AR441458     Corp,3181.0,0.3633325737534054,44135.0,2560705.0,USD,0.0,EAD US Equity,AR441458     Corp,WES 5.3 03/01/48,WES
81,AS583912     Corp,2450.0,0.3854673406127972,44135.0,2716707.0,USD,25.0,EAD US Equity,AS583912     Corp,OMF 7 ⅛ 03/15/26,OMF
82,AN955144     Corp,2699.0,0.3951597086701602,44135.0,2785017.13,USD,0.0,EAD US Equity,AN955144     Corp,SAH 6 ⅛ 03/15/27,SAH
83,AZ855656     Corp,2625.0,0.3929402826324536,44135.0,2769375.0,USD,0.0,EAD US Equity,AZ855656     Corp,SEM 6 ¼ 08/15/26,SEM
84,AM774219     Corp,2750.0,0.3867770351391213,44135.0,2725937.5,USD,1750.0,EAD US Equity,AM774219     Corp,CYH 6 ¼ 03/31/23,CYH
85,AP099639     Corp,2650.0,0.3882225162059029,44135.0,2736125.0,USD,0.0,EAD US Equity,AP099639     Corp,SWN 7 ¾ 10/01/27,SWN
