,,Weights
"1,39",CIK,0.00411
"1,39",EHI,0.00359
"1,39",OPP,0.0044
"1,39",MPV,0.00495
"1,39",HNW,0.0
"1,39",HYI,0.0
"1,39",PHT,0.0
"1,39",GHY,0.0
"1,39",EAD,0.10867
"1,39",MCR,0.0
"1,39",JHB,0.0
"1,39",FSD,0.11867
"1,39",BGIO,0.0
"1,39",IHTA,0.0
"1,39",DHY,0.01987
"1,39",NHS,0.16445
"1,39",VLT,0.0
"1,39",IVH,0.0
"1,39",BGH,0.0
"1,39",AWF,0.0
"1,39",RA,0.0
"1,39",MCI,0.0
"1,39",DHF,0.0
"1,39",HIX,0.0
"1,39",HIO,0.0
"1,39",GGM,0.0
"1,39",JHAA,0.0
"1,39",JLS,0.0
"1,39",DMO,0.0
"1,39",ISD,0.2238
"1,39",EHT,0.0
"1,39",EIC,0.0
"1,39",JCO,0.0065
"1,39",HYT,0.0015
"1,39",HYB,0.1695
"1,39",AIF,0.0195
"1,39",IHIT,0.0
"1,39",KIO,0.0795
"1,39",CIF,0.07102
"1,38",CIF,0.07632
"1,38",EHT,0.00118
"1,38",JCO,0.00174
"1,38",BGIO,0.00259
"1,38",JHB,0.00348
"1,38",IHTA,0.00408
"1,38",DMO,0.00627
"1,38",HYT,0.22756
"1,38",HNW,0.00323
"1,38",JHAA,0.00426
"1,38",IHIT,0.0039
"1,38",HIX,0.00687
"1,38",EHI,0.00879
"1,38",PHT,0.00079
"1,38",HYI,0.00162
"1,38",OPP,0.00293
"1,38",MCR,0.0052
"1,38",CIK,0.00806
"1,38",NHS,0.19006
"1,38",HIO,0.06058
"1,38",MPV,0.00836
"1,38",DHY,0.01013
"1,38",MCI,0.0095
"1,38",AWF,0.0015
"1,38",DHF,0.07364
"1,38",BGH,0.00903
"1,38",EAD,0.09403
"1,38",RA,0.00221
"1,38",KIO,0.00121
"1,38",ISD,0.16899
"1,38",VLT,0.00024
"1,38",FSD,0.00024
"1,38",GHY,0.00024
"1,38",JLS,0.00024
"1,38",IVH,0.00024
"1,38",AIF,0.00024
"1,38",HYB,0.00024
"1,38",EIC,0.00024
"1,37",EHT,0.00703
"1,37",JCO,0.00758
"1,37",BGIO,0.00815
"1,37",JHB,0.00874
"1,37",IHTA,0.00935
"1,37",DMO,0.00997
"1,37",HYT,0.20062
"1,37",HNW,0.00562
"1,37",JHAA,0.00631
"1,37",IHIT,0.00631
"1,37",HIX,0.00927
"1,37",EHI,0.00081
"1,37",PHT,0.00321
"1,37",HYI,0.00404
"1,37",OPP,0.00491
"1,37",MCR,0.00764
"1,37",CIK,0.0005
"1,37",NHS,0.2025
"1,37",HIO,0.05197
"1,37",MPV,0.00975
"1,37",DHY,0.02034
"1,37",MCI,0.00909
"1,37",AWF,0.00109
"1,37",DHF,0.07466
"1,37",BGH,0.00235
"1,37",EAD,0.10652
"1,37",RA,0.0047
"1,37",KIO,0.0197
"1,37",ISD,0.19192
"1,37",VLT,0.00067
"1,37",FSD,0.00067
"1,37",GHY,0.00067
"1,37",JLS,0.00067
"1,37",IVH,0.00067
"1,37",AIF,0.00067
"1,37",HYB,0.00067
"1,37",EIC,0.00067
"1,36",JCO,0.00778
"1,36",BGIO,0.00835
"1,36",JHB,0.00894
"1,36",IHTA,0.00954
"1,36",DMO,0.00017
"1,36",HYT,0.21114
"1,36",HNW,0.0058
"1,36",JHAA,0.00649
"1,36",IHIT,0.00649
"1,36",HIX,0.00946
"1,36",EHI,0.00099
"1,36",PHT,0.00299
"1,36",HYI,0.00424
"1,36",OPP,0.00555
"1,36",MCR,0.00828
"1,36",CIK,0.00018
"1,36",NHS,0.20318
"1,36",HIO,0.05213
"1,36",MPV,0.00935
"1,36",DHY,0.03053
"1,36",MCI,0.0099
"1,36",AWF,0.00123
"1,36",DHF,0.07481
"1,36",BGH,0.00327
"1,36",EAD,0.1066
"1,36",RA,0.00569
"1,36",KIO,0.01169
"1,36",ISD,0.19169
"1,36",VLT,0.00044
"1,36",FSD,0.00044
