,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,WNZ0 Comdty,37.0,4.029227798815461,44104.0,8207062.5,USD,37.0,BGIO US Equity,WNZ0 Comdty,US ULTRA BOND CBT Dec20,42
2,AR028006     Corp,4000.0,0.2355133856882405,44104.0,479713.03,USD,0.0,BGIO US Equity,AR028006     Corp,EVERRE 4 ¼ 02/14/23,EVERRE
3,TUZ0 Comdty,14.0,1.518719681460778,44104.0,3093453.13,USD,14.0,BGIO US Equity,TUZ0 Comdty,US 2YR NOTE (CBT) Dec20,42
4,BRIXX US Equity,2963687.869999999,1.455011894062727,44104.0,2963687.87,USD,-3170949.49,BGIO US Equity,BRIXX US Equity,BlackRock Cash Funds - Treasur,BRIXX
5,DD115756     Corp,1540.0,0.833553347280934,44104.0,1697850.0,USD,0.0,BGIO US Equity,DD115756     Corp,HWM 6 ¾ 01/15/28,HWM
6,QJ716158     Corp,1577.0,0.8671291716591435,44104.0,1766240.0,USD,0.0,BGIO US Equity,QJ716158     Corp,HCA 5 ⅞ 02/15/26,HCA
7,AM376551     Corp,1612.0,0.8028928510034145,44104.0,1635398.18,USD,0.0,BGIO US Equity,AM376551     Corp,MGMGPO 4 ½ 09/01/26,MGMGPO
8,QZ828977     Corp,1789.66667,0.485109421611042,44104.0,988110.76,USD,137.6666699999996,BGIO US Equity,QZ828977     Corp,RIG 7 ¾ 10/15/24,RIG
9,EK883540     Corp,1638.0,0.8278932262214753,44104.0,1686321.0,USD,0.0,BGIO US Equity,EK883540     Corp,QUICKN 5 ¾ 05/01/25,QUICKN
10,UV495475     Corp,1495.0,0.8055264446023108,44104.0,1640762.5,USD,0.0,BGIO US Equity,UV495475     Corp,OI 6 ⅜ 08/15/25,OI
11,AO563305     Corp,1541.0,0.7943758244650089,44104.0,1618050.0,USD,0.0,BGIO US Equity,AO563305     Corp,URI 4 ⅞ 01/15/28,URI
12,AN697066     Corp,1495.0,0.6908444336965149,44104.0,1407168.75,USD,0.0,BGIO US Equity,AN697066     Corp,NCX 5 ¼ 06/01/27,NCX
13,!!007W13   Mtge,20000.0,0.7567296469353211,44104.0,1541369.17,USD,-795.0,BGIO US Equity,!!007W13   Mtge,LABMH 2002-A C,LABMH
14,JV919542     Corp,1540.0,0.7536947782954023,44104.0,1535187.5,USD,0.0,BGIO US Equity,JV919542     Corp,TDG 6 ½ 05/15/25,TDG
15,BL256669 Corp,1540290.79,0.7439119642886334,44104.0,1515261.06,USD,-3969.819999999367,BGIO US Equity,BL256669 Corp, ,GATGLO
16,AN418630     Corp,1350.0,0.6901172193397342,44104.0,1405687.5,USD,0.0,BGIO US Equity,AN418630     Corp,NEXA 5 ⅜ 05/04/27,NEXA
17,BL262947 Corp,1540489.3,0.709868562557919,44104.0,1445918.66,USD,-3949.969999999739,BGIO US Equity,BL262947 Corp, ,SGMS
18,AZ718240     Corp,1287.0,0.6871347199524317,44104.0,1399612.5,USD,0.0,BGIO US Equity,AZ718240     Corp,TMHC 5 ¾ 01/15/28,TMHC
19,QZ580241     Corp,1390.0,0.7148302338102436,44104.0,1456025.0,USD,0.0,BGIO US Equity,QZ580241     Corp,ZIGGO 5 ½ 01/15/27,ZIGGO
20,BL310876 Corp,1523487.5,0.6464463144962712,44104.0,1316735.01,USD,-3837.5,BGIO US Equity,BL310876 Corp, ,WJACN
21,BL265827 Corp,1440762.159999999,0.6929709827617138,44104.0,1411500.28,USD,-3684.810000000522,BGIO US Equity,BL265827 Corp, ,CNR
22,EK044884     Corp,1192.0,0.6228808823291079,44104.0,1268735.0,USD,0.0,BGIO US Equity,EK044884     Corp,FUNOTR 6.95 01/30/44,FUNOTR
