,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,DRSXX US Equity,7803817.649999999,3.482324103883552,44134.0,7803817.65,USD,3647317.379999999,DHF US Equity,DRSXX US Equity,Dreyfus Institutional Preferre,DRSXX
2,AW981943     Corp,3620.0,1.673921895982613,44134.0,3751225.0,USD,0.0,DHF US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
3,AP099585     Corp,3465.0,1.415738223817838,44134.0,3172640.63,USD,835.0,DHF US Equity,AP099585     Corp,LADR 5 ¼ 10/01/25,LADR
4,AO701614     Corp,3160.0,1.433892948678986,44134.0,3213325.0,USD,0.0,DHF US Equity,AO701614     Corp,PRXL 6 ⅜ 09/01/25,PRXL
5,AX565544     Corp,2905.0,1.35438263475538,44134.0,3035144.0,USD,0.0,DHF US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
6,BL248162 Corp,3043636.359999999,1.36190718303546,44134.0,3052006.36,USD,0.0,DHF US Equity,BL248162 Corp, ,ASUCOR
7,BK256707     Corp,2565.0,1.122412274481163,44134.0,2515303.13,USD,310.0,DHF US Equity,BK256707     Corp,OXY 8 ⅞ 07/15/30,OXY
8,EC382722     Corp,2390.0,1.231955533276947,44134.0,2760787.35,USD,0.0,DHF US Equity,EC382722     Corp,NEWALB 8 05/01/31,NEWALB
9,AM927894     Corp,2875.0,1.239237571552003,44134.0,2777106.25,USD,0.0,DHF US Equity,AM927894     Corp,BWY 7 ¼ 04/15/25,BWY
10,JV466108     Corp,3000.0,1.098427536987955,44134.0,2461553.82,USD,0.0,DHF US Equity,JV466108     Corp,GE 5 PERP,GE
11,ZP691171     Corp,2570.0,1.175490341019853,44134.0,2634250.0,USD,0.0,DHF US Equity,ZP691171     Corp,DEATIR 8 02/01/28,DEATIR
12,AO662118     Corp,2745.0,1.018972582780287,44134.0,2283496.88,USD,0.0,DHF US Equity,AO662118     Corp,GEL 6 ½ 10/01/25,GEL
13,AR897959     Corp,2490.0,1.156954921055874,44134.0,2592712.5,USD,0.0,DHF US Equity,AR897959     Corp,CNR 8 04/15/26,CNR
14,AW905078     Corp,2537.0,1.090336852389891,44134.0,2443422.76,USD,200.0,DHF US Equity,AW905078     Corp,LGF 6 ⅜ 02/01/24,LGF
15,AP400874     Corp,2520.0,1.107927301726343,44134.0,2482842.6,USD,0.0,DHF US Equity,AP400874     Corp,CRROCK 5 ⅝ 10/15/25,CRROCK
