,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,AW959806     Corp,31017.0,1.621982419730687,44074.0,32744646.9,USD,-1296.0,HYT US Equity,AW959806     Corp,TDG 6 ¼ 03/15/26,TDG
2,JK025356     Corp,11061.0,0.5746087000083785,44074.0,11600223.75,USD,0.0,HYT US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
3,ZR607317     Corp,10491.0,0.5362413880764958,44074.0,10825662.9,USD,1082.0,HYT US Equity,ZR607317     Corp,ISATLN 6 ¾ 10/01/26,ISATLN
4,AZ257197     Corp,10303.0,0.5473521543332155,44074.0,11049967.5,USD,317.0,HYT US Equity,AZ257197     Corp,UNSEAM 6 ⅝ 07/15/26,UNSEAM
5,AT936853     Corp,9470.0,0.5089622225736024,44074.0,10274950.0,USD,0.0,HYT US Equity,AT936853     Corp,VCVHHO 9 ¾ 08/15/26,VCVHHO
6,BL243923 Corp,10516096.41999999,0.4792346574938123,44074.0,9674808.71,USD,971761.4299999996,HYT US Equity,BL243923 Corp, ,BRANDI
7,BL259036 Corp,10039734.0,0.5021299111616193,44074.0,10137019.02,USD,0.0,HYT US Equity,BL259036 Corp, ,INTEL
8,EK803721     Corp,8608.0,0.4784320877773245,44074.0,9658606.4,USD,0.0,HYT US Equity,EK803721     Corp,BAC 6.1 PERP,BAC
9,AM269543     Corp,9438.0,0.4790144702010593,44074.0,9670363.56,USD,213.0,HYT US Equity,AM269543     Corp,ALTHBD 6 ¼ 02/01/25,ALTHBD
10,PFF US Equity,247000.0,0.4490232703232082,44074.0,9064900.0,USD,247000.0,HYT US Equity,PFF US Equity,iShares Preferred & Income Sec,PFF
11,BG387298     Corp,8178.0,0.464335925301552,44074.0,9374032.5,USD,0.0,HYT US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
12,BJ819175     Corp,8935.0,0.453564969140558,44074.0,9156588.0,USD,8935.0,HYT US Equity,BJ819175     Corp,CSCHLD 4 ⅝ 12/01/30,CSCHLD
13,EH672761     Corp,6309.0,0.4250956371174515,44074.0,8581847.97,USD,0.0,HYT US Equity,EH672761     Corp,ALLY 8 11/01/31,ALLY
14,AT869341     Corp,8303.0,0.4381398911664475,44074.0,8845185.9,USD,-624.0,HYT US Equity,AT869341     Corp,BMC 9 ¾ 09/01/26,BMC
15,BJ280347     Corp,7025.0,0.4115519774940019,44074.0,8308428.02,USD,0.0,HYT US Equity,BJ280347     Corp,KHC 5 ½ 06/01/50,KHC
16,EJ826088     Corp,6723.0,0.3739236634824591,44074.0,7548786.09,USD,-2986.0,HYT US Equity,EJ826088     Corp,FCX 5.45 03/15/43,FCX
17,EC600408     Corp,5408.0,0.4046180692978995,44074.0,8168446.0,USD,0.0,HYT US Equity,EC600408     Corp,S 8 ¾ 03/15/32,S
18,AX565544     Corp,7550.0,0.3970913175340386,44074.0,8016495.63,USD,-444.0,HYT US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
19,BJ223881     Corp,6000.0,0.3565580747462364,44074.0,7198208.88,USD,0.0,HYT US Equity,BJ223881     Corp,BA 5.805 05/01/50,BA
20,BL243518 Corp,8182133.049999998,0.4084370917392806,44074.0,8245544.58,USD,3647891.0,HYT US Equity,BL243518 Corp, ,FTR
21,BK127682     Corp,7617.0,0.3999369726033921,44074.0,8073943.83,USD,7617.0,HYT US Equity,BK127682     Corp,CZR 6 ¼ 07/01/25,CZR
22,AZ792978     Corp,7650.0,0.3884106519014944,44074.0,7841250.0,USD,0.0,HYT US Equity,AZ792978     Corp,JPM 5 PERP,JPM
23,BG019660     Corp,7646.0,0.3986791858505472,44074.0,8048551.58,USD,-196.0,HYT US Equity,BG019660     Corp,HCA 3 ½ 09/01/30,HCA
24,AO378411     Corp,7720.0,0.3929934047278729,44074.0,7933766.800000001,USD,3644.0,HYT US Equity,AO378411     Corp,HDSUWA 6 ⅛ 08/15/25,HDSUWA
25,BJ264117     Corp,7031.0,0.3853325953772906,44074.0,7779110.07,USD,0.0,HYT US Equity,BJ264117     Corp,KHC 4 ¼ 03/01/31,KHC
26,ZR895639     Corp,7186.0,0.3773105157006838,44074.0,7617160.0,USD,0.0,HYT US Equity,ZR895639     Corp,ALIANT 6 ¾ 10/15/27,ALIANT
27,ZP561880     Corp,7211.0,0.3696933822084278,44074.0,7463385.0,USD,0.0,HYT US Equity,ZP561880     Corp,ORTCLI 7 ¼ 02/01/28,ORTCLI
28,ZR018021     Corp,7494.0,0.3750333358113696,44074.0,7571188.2,USD,-663.0,HYT US Equity,ZR018021     Corp,CCO 5 ⅛ 08/15/27,CCO
29,AZ678374     Corp,6881.0,0.3749298983335057,44074.0,7569100.0,USD,0.0,HYT US Equity,AZ678374     Corp,TRIVIU 8 ½ 08/15/27,TRIVIU
30,ZP162987     Corp,7155.0,0.3721386418074863,44074.0,7512750.0,USD,0.0,HYT US Equity,ZP162987     Corp,CPN 5 ⅛ 03/15/28,CPN
31,AS270081     Corp,7164.0,0.3681709461955227,44074.0,7432650.0,USD,0.0,HYT US Equity,AS270081     Corp,HBGCN 7 05/01/26,HBGCN
32,BH786416     Corp,6709.0,0.3646374715257958,44074.0,7361316.07,USD,-626.0,HYT US Equity,BH786416     Corp,CNC 4 ⅝ 12/15/29,CNC
33,ZP610050     Corp,6927.0,0.3561454923576965,44074.0,7189879.65,USD,0.0,HYT US Equity,ZP610050     Corp,SBAC 3 ⅞ 02/15/27,SBAC
34,AU775249     Corp,6723.0,0.3501644270058214,44074.0,7069133.66,USD,-1265.0,HYT US Equity,AU775249     Corp,HDSUPP 5 ⅜ 10/15/26,HDSUPP
35,BJ223887     Corp,5000.0,0.3031390801666657,44074.0,6119784.05,USD,0.0,HYT US Equity,BJ223887     Corp,BA 5.93 05/01/60,BA
36,AX647237     Corp,6890.0,0.3429976264701805,44074.0,6924450.0,USD,-508.0,HYT US Equity,AX647237     Corp,FTR 8 04/01/27,FTR
37,BL329992 Corp,6897712.5,0.3313580897287365,44074.0,6689470.560000001,USD,-1329287.5,HYT US Equity,BL329992 Corp, ,ZAYO
38,AP083914     Corp,6471.0,0.3349604423063958,44074.0,6762195.0,USD,0.0,HYT US Equity,AP083914     Corp,AVTR 6 10/01/24,AVTR
39,AX565534     Corp,6258.0,0.3287783787454519,44074.0,6637391.25,USD,0.0,HYT US Equity,AX565534     Corp,POWSOL 6 ¼ 05/15/26,POWSOL
40,ESI US Equity,451451.0,0.240394714493799,44074.0,4853098.25,USD,0.0,HYT US Equity,ESI US Equity,Element Solutions Inc,ESI
41,AX687628     Corp,6093.0,0.3221846853401208,44074.0,6504277.5,USD,272.0,HYT US Equity,AX687628     Corp,ENDP 7 ½ 04/01/27,ENDP
42,BK439767     Corp,5395.0,0.3181867247800679,44074.0,6423566.51,USD,5395.0,HYT US Equity,BK439767     Corp,AVGO 5 04/15/30,AVGO
43,QZ510792     Corp,6456.0,0.2722240417453194,44074.0,5495670.0,USD,-284.0,HYT US Equity,QZ510792     Corp,NUGGET 6 ¾ 10/15/24,NUGGET
44,AT619863     Corp,5777.0,0.319067864776528,44074.0,6441355.0,USD,0.0,HYT US Equity,AT619863     Corp,SFRFP 8 ⅛ 02/01/27,SFRFP
45,BG562373     Corp,6083.0,0.3193628844926881,44074.0,6447310.87,USD,-910.0,HYT US Equity,BG562373     Corp,CHTR 4 ½ 05/01/32,CHTR
46,AU388760     Corp,5788.0,0.3160915977247823,44074.0,6381270.0,USD,0.0,HYT US Equity,AU388760     Corp,FINRSK 8 ¼ 11/15/26,FINRSK
47,QZ429974     Corp,5508.0,0.3123958452952117,44074.0,6306660.0,USD,1926.0,HYT US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
48,ZP609628     Corp,6027.0,0.298543089304678,44074.0,6027000.0,USD,-433.0,HYT US Equity,ZP609628     Corp,VICI 4 ⅛ 08/15/30,VICI
49,AM342846     Corp,6190.0,0.3112164341526292,44074.0,6282850.0,USD,0.0,HYT US Equity,AM342846     Corp,EM 5 ¾ 03/01/25,EM
50,EK026717     Corp,5589.0,0.3093766072579057,44074.0,6245707.5,USD,0.0,HYT US Equity,EK026717     Corp,JPM 6 ¾ PERP,JPM
51,BL277057 Corp,6210573.509999999,0.3050736601897565,44074.0,6158839.43,USD,106597.5299999975,HYT US Equity,BL277057 Corp, ,VCVHHO
52,AX449666     Corp,5769.0,0.2964793674765452,44074.0,5985337.5,USD,0.0,HYT US Equity,AX449666     Corp,CYH 8 03/15/26,CYH
53,AX686754     Corp,5736.0,0.3043301591082669,44074.0,6143829.600000001,USD,579.0,HYT US Equity,AX686754     Corp,SSNC 5 ½ 09/30/27,SSNC
54,ZP852875     Corp,5827.0,0.3063152031670455,44074.0,6183903.75,USD,0.0,HYT US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
55,BK804380     Corp,6011.0,0.3039139770637955,44074.0,6135427.7,USD,6011.0,HYT US Equity,BK804380     Corp,ESI 3 ⅞ 09/01/28,ESI
56,BG078519     Corp,5585.0,0.2856953590334819,44074.0,5767629.5,USD,246.0,HYT US Equity,BG078519     Corp,ZAYO 6 ⅛ 03/01/28,ZAYO
57,AP400874     Corp,5663.0,0.2769220509281263,44074.0,5590513.600000001,USD,53.0,HYT US Equity,AP400874     Corp,CRROCK 5 ⅝ 10/15/25,CRROCK
