,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EK553852     Corp,11375.0,2.253618882225995,44135.0,11847972.5,USD,0.0,JHB US Equity,EK553852     Corp,S 7 ¼ 09/15/21,S
2,EI824506     Corp,11485.0,2.226630506609134,44135.0,11706086.25,USD,1500.0,JHB US Equity,EI824506     Corp,DISH 6 ¾ 06/01/21,DISH
3,EJ053001     Corp,11195.0,2.214592743355947,44135.0,11642800.0,USD,0.0,JHB US Equity,EJ053001     Corp,LUMN 5.8 03/15/22,LUMN
4,EI861769     Corp,10770.0,2.140762206600733,44135.0,11254650.0,USD,5000.0,JHB US Equity,EI861769     Corp,CSCHLD 6 ¾ 11/15/21,CSCHLD
5,EJ007816     Corp,10675.0,2.086345116084289,44135.0,10968562.5,USD,4000.0,JHB US Equity,EJ007816     Corp,SATS 7 ⅝ 06/15/21,SATS
6,QZ027453     Corp,9100.0,1.765541780656706,44135.0,9282000.0,USD,5000.0,JHB US Equity,QZ027453     Corp,NAVI 6 ⅝ 07/26/21,NAVI
7,AN993603     Corp,9000.0,1.703342668151347,44135.0,8955000.0,USD,0.0,JHB US Equity,AN993603     Corp,STWD 5 12/15/21,STWD
8,AM806385     Corp,8000.0,1.491313159694271,44135.0,7840295.2,USD,0.0,JHB US Equity,AM806385     Corp,DAL 3 ⅝ 03/15/22,DAL
9,BL298137 Corp,8102379.07,1.528434468813922,44135.0,8035453.42,USD,0.0,JHB US Equity,BL298137 Corp, ,PETM
10,EK730366     Corp,7737.0,1.506624648645742,44135.0,7920792.44,USD,0.0,JHB US Equity,EK730366     Corp,IGT 6 ¼ 02/15/22,IGT
11,LW349766     Corp,7938.0,1.513536575428909,44135.0,7957130.58,USD,0.0,JHB US Equity,LW349766     Corp,DELL 5 ⅞ 06/15/21,DELL
12,980883AC     Corp,7000.0,1.411368240947292,44135.0,7420000.0,USD,0.0,JHB US Equity,980883AC     Corp,FL 8 ½ 01/15/22,FL
13,AR636815     Corp,7410.0,1.418275290711362,44135.0,7456312.5,USD,0.0,JHB US Equity,AR636815     Corp,CIT 4 ⅛ 03/09/21,CIT
14,EK693903     Corp,7000.0,1.367853627711731,44135.0,7191230.2,USD,0.0,JHB US Equity,EK693903     Corp,AYR 5 ½ 02/15/22,AYR
15,AM155852     Corp,6750.0,1.320903721352341,44135.0,6944400.0,USD,0.0,JHB US Equity,AM155852     Corp,EGYPT 6 ⅛ 01/31/22,EGYPT
16,EK413571     Corp,7000.0,1.326486424569565,44135.0,6973750.0,USD,0.0,JHB US Equity,EK413571     Corp,LADR 5 ⅞ 08/01/21,LADR
17,EK732095     Corp,6655.0,1.327567062820089,44135.0,6979431.25,USD,0.0,JHB US Equity,EK732095     Corp,NFLX 5 ½ 02/15/22,NFLX
18,EK874546     Corp,6500.0,1.271288991976507,44135.0,6683560.0,USD,0.0,JHB US Equity,EK874546     Corp,ZFFNGR 4 ½ 04/29/22,ZFFNGR
19,EI999410     Corp,6225.0,1.222547808240369,44135.0,6427312.5,USD,0.0,JHB US Equity,EI999410     Corp,NAVI 7 ¼ 01/25/22,NAVI
20,EK508649     Corp,6475.0,1.228539465867032,44135.0,6458812.5,USD,0.0,JHB US Equity,EK508649     Corp,FLY 6 ⅜ 10/15/21,FLY
21,EI870261     Corp,6199.0,1.167328976870073,44135.0,6137010.0,USD,0.0,JHB US Equity,EI870261     Corp,TEVA 3.65 11/10/21,TEVA
22,EJ987162     Corp,6250.0,1.176932748094524,44135.0,6187500.0,USD,0.0,JHB US Equity,EJ987162     Corp,CLMT 7 ⅝ 01/15/22,CLMT
23,EI619563     Corp,5897.0,1.118905809397509,44135.0,5882434.41,USD,0.0,JHB US Equity,EI619563     Corp,GNW 7 ⅝ 09/24/21,GNW
24,EJ884287     Corp,5460.0,1.080096148166456,44135.0,5678400.0,USD,0.0,JHB US Equity,EJ884287     Corp,KBH 7 12/15/21,KBH
25,EJ018963     Corp,5534.0,1.068419073191826,44135.0,5617010.0,USD,0.0,JHB US Equity,EJ018963     Corp,FCX 3.55 03/01/22,FCX
26,AM840860     Corp,5429.0,1.065170657016203,44135.0,5599932.07,USD,0.0,JHB US Equity,AM840860     Corp,TMUS 4 04/15/22,TMUS
