,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,!!00W1V7   Mtge,20551.0,2.346838012605555,44135.0,3535523.36,USD,0.0,JLS US Equity,!!00W1V7   Mtge,BCAP 2007-AA1 2A1,BCAP
2,!!00XFW7   Mtge,18965.0,1.297257766590052,44135.0,1954325.4,USD,0.0,JLS US Equity,!!00XFW7   Mtge,CFLX 2007-2 A1,CFLX
3,!!00QEKC   Mtge,21859.0,0.7578546758159426,44135.0,1141711.91,USD,0.0,JLS US Equity,!!00QEKC   Mtge,FHAMS 2006-FA3 A6,FHAMS
4,!!00MHPD   Mtge,15295.0,0.9665666653458237,44135.0,1456137.58,USD,0.0,JLS US Equity,!!00MHPD   Mtge,GMACM 2005-AF2 A1,GMACM
5,BM021456     Corp,1350.0,0.8980262985150457,44135.0,1352881.17,USD,1350.0,JLS US Equity,BM021456     Corp,UAL 5 ⅞ 10/15/27,UAL
6,ZO424140     Corp,1250.0,0.8702576099883218,44135.0,1311047.5,USD,0.0,JLS US Equity,ZO424140     Corp,ACACN 9 10/01/25,ACACN
7,!!00VEXZ   Mtge,14485.0,1.284927101135718,44135.0,1935749.19,USD,0.0,JLS US Equity,!!00VEXZ   Mtge,RALI 2007-QS2 A4,RALI
8,ZO423510     Corp,1250.0,0.8524544040330799,44135.0,1284226.88,USD,0.0,JLS US Equity,ZO423510     Corp,ACACN 5 ¼ 04/01/29,ACACN
9,!!00K6TE   Mtge,12975.0,0.6111435729593481,44135.0,920690.89,USD,0.0,JLS US Equity,!!00K6TE   Mtge,FHAMS 2005-AA7 2A1,FHAMS
10,BG206483     Corp,1000.0,0.6698948588820881,44135.0,1009200.0,USD,0.0,JLS US Equity,BG206483     Corp,CAELUS Float 06/07/23,CAELUS
11,!!00ZKLJ   Mtge,9765.0,1.085063890333686,44135.0,1634654.25,USD,0.0,JLS US Equity,!!00ZKLJ   Mtge,GSAA 2007-8 A3,GSAA
12,!!00RC5D   Mtge,9145.0,0.690427494752349,44135.0,1040132.52,USD,0.0,JLS US Equity,!!00RC5D   Mtge,WAMU 2006-AR7 2A,WAMU
13,!!00K3SR   Mtge,8250.0,1.134009500648158,44135.0,1708391.06,USD,0.0,JLS US Equity,!!00K3SR   Mtge,INDX 2005-AR11 A3,INDX
14,!!00N89Z   Mtge,7825.0,0.4938209474052814,44135.0,743943.76,USD,0.0,JLS US Equity,!!00N89Z   Mtge,CWHL 2006-HYB1 1A1,CWHL
15,!!00NZG8   Mtge,7295.0,2.758603119232347,44135.0,4155849.58,USD,0.0,JLS US Equity,!!00NZG8   Mtge,RAMP 2006-NC2 A3,RAMP
16,!!00TDCG   Mtge,5900.0,0.6219912098814133,44135.0,937032.91,USD,0.0,JLS US Equity,!!00TDCG   Mtge,JPMMT 2006-A6 2A4L,JPMMT
17,!!02G4YS   Mtge,5400.0,1.4663427603241,44135.0,2209052.8,USD,0.0,JLS US Equity,!!02G4YS   Mtge,STACR 2018-HRP1 M2,STACR
18,ZO867274     Corp,500.0,0.3317280575964363,44135.0,499750.0,USD,500.0,JLS US Equity,ZO867274     Corp,URSARE Float 12/07/23,URSARE
19,!!02HWQ3   Mtge,5000.0,2.245921206403408,44135.0,3383491.68,USD,0.0,JLS US Equity,!!02HWQ3   Mtge,CAS 2018-C06 2M2,CAS
20,!!02D4VD   Mtge,4333.0,2.955543591775322,44135.0,4452541.4,USD,-667.0,JLS US Equity,!!02D4VD   Mtge,STACR 2017-DNA2 M2,STACR
21,BM195454     Corp,400.0,0.2655152036789886,44135.0,400000.0,USD,400.0,JLS US Equity,BM195454     Corp,RESID Float 12/06/24,RESID
22,!!02M3D7   Mtge,3000.0,1.859778423137719,44135.0,2801765.62,USD,0.0,JLS US Equity,!!02M3D7   Mtge,STACR 2019-HQA4 M2,STACR
23,!!028KB6   Mtge,2650.0,0.397823195348333,44135.0,599322.66,USD,0.0,JLS US Equity,!!028KB6   Mtge,STACR 2015-DN1 M3,STACR
24,!!027DV5   Mtge,2746.0,0.9506909736495696,44135.0,1432220.77,USD,0.0,JLS US Equity,!!027DV5   Mtge,CAS 2014-C03 1M2,CAS
25,!!02CMQB   Mtge,2500.0,1.651767493313752,44135.0,2488396.1,USD,0.0,JLS US Equity,!!02CMQB   Mtge,STACR 2017-DNA1 M2,STACR
26,ZP194416     Corp,250.0,0.1685191808350081,44135.0,253875.0,USD,0.0,JLS US Equity,ZP194416     Corp,SIERLT Float 12/28/22,SIERLT
27,ZO867279     Corp,250.0,0.1658640287982182,44135.0,249875.0,USD,250.0,JLS US Equity,ZO867279     Corp,URSARE Float 12/07/23,URSARE
28,!!02K0VS   Mtge,2220.0,1.412969445024597,44135.0,2128645.63,USD,0.0,JLS US Equity,!!02K0VS   Mtge,STACR 2019-HRP1 M2,STACR
29,!!02MQV3   Mtge,2000.0,1.287650629975335,44135.0,1939852.2,USD,500.0,JLS US Equity,!!02MQV3   Mtge,CAS 2020-R02 2M2,CAS
30,!!02FGKN   Mtge,1995.0,1.290614589469764,44135.0,1944317.42,USD,0.0,JLS US Equity,!!02FGKN   Mtge,CAS 2018-C01 1EB1,CAS
31,!!029XVV   Mtge,1500.0,1.005057853479119,44135.0,1514124.75,USD,0.0,JLS US Equity,!!029XVV   Mtge,COMM 2015-CR26 C,COMM
32,!!02P700   Mtge,1500.0,0.9257466168095396,44135.0,1394641.97,USD,0.0,JLS US Equity,!!02P700   Mtge,SRFC 2020-2A C,SRFC
33,!!02N3D8   Mtge,1500.0,0.9788424421696773,44135.0,1474631.1,USD,750.0,JLS US Equity,!!02N3D8   Mtge,STACR 2020-HQA2 M2,STACR
34,!!02C15R   Mtge,1500.0,0.9991755632780137,44135.0,1505263.05,USD,0.0,JLS US Equity,!!02C15R   Mtge,TAH 2016-SFR1 E,TAH
35,!!02GA71   Mtge,1500.0,0.722711906554123,44135.0,1088769.15,USD,0.0,JLS US Equity,!!02GA71   Mtge,CAS 2018-C03 1M2,CAS
36,!!02EM0N   Mtge,1500.0,0.9890584383358306,44135.0,1490021.55,USD,0.0,JLS US Equity,!!02EM0N   Mtge,STACR 2017-HQA3 M2B,STACR
37,!!02MUHQ   Mtge,1500.0,0.9741056841254446,44135.0,1467495.15,USD,0.0,JLS US Equity,!!02MUHQ   Mtge,STACR 2020-DNA2 M2,STACR
38,!!02FR4V   Mtge,1500.0,0.6338912561405409,44135.0,954960.39,USD,0.0,JLS US Equity,!!02FR4V   Mtge,CAS 2018-C02 2M2,CAS
39,!!02HZIZ   Mtge,1500.0,0.9674542295686819,44135.0,1457474.7,USD,0.0,JLS US Equity,!!02HZIZ   Mtge,STACR 2018-HQA2 M2,STACR
40,!!02MNZ7   Mtge,1500.0,0.9598483806122947,44135.0,1446016.45,USD,0.0,JLS US Equity,!!02MNZ7   Mtge,BX 2020-BXLP E,BX
41,!!02LAVM   Mtge,1325.0,0.915696813247249,44135.0,1379501.89,USD,0.0,JLS US Equity,!!02LAVM   Mtge,SPRO 2019-1A A2,SPRO
42,!!02C92H   Mtge,1500.0,0.9621774136001661,44135.0,1449525.15,USD,0.0,JLS US Equity,!!02C92H   Mtge,,
43,!!029NY9   Mtge,1500.0,0.7810365692854717,44135.0,1176635.55,USD,0.0,JLS US Equity,!!029NY9   Mtge,,
44,!!024LUP   Mtge,1200.0,0.8408941641316208,44135.0,1266811.32,USD,0.0,JLS US Equity,!!024LUP   Mtge,,
45,!!02IQS8   Mtge,1275.0,0.8590261841150988,44135.0,1294127.3,USD,0.0,JLS US Equity,!!02IQS8   Mtge,,
46,!!02P701   Mtge,1250.0,0.770107697986841,44135.0,1160171.15,USD,0.0,JLS US Equity,!!02P701   Mtge,,
47,!!02PSIK   Mtge,1250.0,0.8298179849979888,44135.0,1250125.0,USD,1250.0,JLS US Equity,!!02PSIK   Mtge,,
48,!!0292DP   Mtge,1300.0,0.8098455862074906,44135.0,1220036.48,USD,0.0,JLS US Equity,!!0292DP   Mtge,,
49,!!02P1QF   Mtge,1175.0,0.7683120120264798,44135.0,1157465.94,USD,0.0,JLS US Equity,!!02P1QF   Mtge,,
50,!!024I6E   Mtge,1500.0,0.8219227576589923,44135.0,1238230.8,USD,0.0,JLS US Equity,!!024I6E   Mtge,,
51,!!01YKZ9   Mtge,1190.0,0.7799037884962559,44135.0,1174929.01,USD,0.0,JLS US Equity,!!01YKZ9   Mtge,,
52,!!02NLJI   Mtge,1000.0,0.641594622193359,44135.0,966565.55,USD,0.0,JLS US Equity,!!02NLJI   Mtge,,
53,!!02G885   Mtge,1000.0,0.6807308662382322,44135.0,1025524.5,USD,0.0,JLS US Equity,!!02G885   Mtge,,
54,!!028MIF   Mtge,1000.0,0.6956847488882337,44135.0,1048052.6,USD,0.0,JLS US Equity,!!028MIF   Mtge,,
55,!!02HZWD   Mtge,1000.0,0.6636516538646221,44135.0,999794.5800000001,USD,0.0,JLS US Equity,!!02HZWD   Mtge,,
56,!!02GBQS   Mtge,1000.0,0.6661271317630824,44135.0,1003523.9,USD,0.0,JLS US Equity,!!02GBQS   Mtge,,
57,!!02PKDM   Mtge,1000.0,0.6686387728322837,44135.0,1007307.7,USD,0.0,JLS US Equity,!!02PKDM   Mtge,,
58,!!028YFA   Mtge,1000.0,0.6613413529743704,44135.0,996314.1000000001,USD,0.0,JLS US Equity,!!028YFA   Mtge,,
59,!!0297KT   Mtge,1000.0,0.6980234731810393,44135.0,1051575.9,USD,0.0,JLS US Equity,!!0297KT   Mtge,,
60,!!00G2CG   Mtge,1000.0,0.1627901327337061,44135.0,245244.16,USD,0.0,JLS US Equity,!!00G2CG   Mtge,,
61,!!02MFFC   Mtge,1050.0,0.6421491971614032,44135.0,967401.02,USD,0.0,JLS US Equity,!!02MFFC   Mtge,,
62,!!02MFFA   Mtge,1000.0,0.6329662741876042,44135.0,953566.9,USD,0.0,JLS US Equity,!!02MFFA   Mtge,,
63,!!02HAVU   Mtge,1000.0,0.6285692760358793,44135.0,946942.8,USD,0.0,JLS US Equity,!!02HAVU   Mtge,,
64,!!02LRHJ   Mtge,1000.0,0.642298137914907,44135.0,967625.4,USD,0.0,JLS US Equity,!!02LRHJ   Mtge,,
65,!!011FFL   Mtge,1000.0,0.1476919226568648,44135.0,222498.63,USD,0.0,JLS US Equity,!!011FFL   Mtge,,
66,!!027N28   Mtge,1000.0,0.5871926478917633,44135.0,884608.7000000001,USD,0.0,JLS US Equity,!!027N28   Mtge,,
67,!!025S3F   Mtge,1000.0,0.6200974160532928,44135.0,934179.9,USD,0.0,JLS US Equity,!!025S3F   Mtge,,
68,!!02P9FB   Mtge,1000.0,0.6369411031654796,44135.0,959555.0,USD,0.0,JLS US Equity,!!02P9FB   Mtge,,
69,!!02MAB5   Mtge,1000.0,0.6001608750910514,44135.0,904145.4,USD,0.0,JLS US Equity,!!02MAB5   Mtge,,
70,!!02CN2P   Mtge,878.0,0.5772426979596963,44135.0,869619.05,USD,0.0,JLS US Equity,!!02CN2P   Mtge,,
71,!!02MNVF   Mtge,1000.0,0.5266625494998559,44135.0,793419.8,USD,0.0,JLS US Equity,!!02MNVF   Mtge,,
72,!!029EFF   Mtge,800.0,0.565940877368098,44135.0,852592.8,USD,0.0,JLS US Equity,!!029EFF   Mtge,,
73,!!02NSQZ   Mtge,800.0,0.5399948378706686,44135.0,813504.96,USD,0.0,JLS US Equity,!!02NSQZ   Mtge,,
74,!!02MKMY   Mtge,770.0,0.5334552647828561,44135.0,803653.0600000002,USD,0.0,JLS US Equity,!!02MKMY   Mtge,,
75,!!02BMLF   Mtge,845.0,0.5146523476206021,44135.0,775326.37,USD,0.0,JLS US Equity,!!02BMLF   Mtge,,
76,!!029DEH   Mtge,760.0,0.5219906103547213,44135.0,786381.5,USD,0.0,JLS US Equity,!!029DEH   Mtge,,
77,!!02LYK5   Mtge,800.0,0.4902027717247478,44135.0,738492.96,USD,0.0,JLS US Equity,!!02LYK5   Mtge,,
78,!!02P1QG   Mtge,750.0,0.4905472777015213,44135.0,739011.96,USD,0.0,JLS US Equity,!!02P1QG   Mtge,,
79,!!026EP7   Mtge,700.0,0.4593264667026446,44135.0,691977.65,USD,700.0,JLS US Equity,!!026EP7   Mtge,,
80,!!02PFIY   Mtge,700.0,0.4553937550739528,44135.0,686053.0,USD,0.0,JLS US Equity,!!02PFIY   Mtge,,
81,!!02K4J6   Mtge,656.0,0.4498552207691707,44135.0,677709.17,USD,0.0,JLS US Equity,!!02K4J6   Mtge,,
82,!!02MNPA   Mtge,667.0,0.4337397622061143,44135.0,653431.15,USD,667.0,JLS US Equity,!!02MNPA   Mtge,,
83,!!028CW2   Mtge,600.0,0.3956231363706489,44135.0,596008.26,USD,0.0,JLS US Equity,!!028CW2   Mtge,,
84,!!029RUK   Mtge,600.0,0.388842422374855,44135.0,585793.08,USD,0.0,JLS US Equity,!!029RUK   Mtge,,
85,!!02LP1T   Mtge,600.0,0.238567123078635,44135.0,359402.58,USD,0.0,JLS US Equity,!!02LP1T   Mtge,,
86,!!02B3AI   Mtge,525.0,0.3647123940266285,44135.0,549441.07,USD,0.0,JLS US Equity,!!02B3AI   Mtge,,
87,!!021BPT   Mtge,605.0,0.3817722304282503,44135.0,575141.8,USD,0.0,JLS US Equity,!!021BPT   Mtge,,
88,!!02NSR0   Mtge,540.0,0.3663828696548147,44135.0,551957.65,USD,0.0,JLS US Equity,!!02NSR0   Mtge,,
89,!!02MAB3   Mtge,546.0,0.3618847168483681,44135.0,545181.16,USD,0.0,JLS US Equity,!!02MAB3   Mtge,,
90,!!02K4J5   Mtge,533.0,0.359358810974849,44135.0,541375.87,USD,0.0,JLS US Equity,!!02K4J5   Mtge,,
91,!!02NLJH   Mtge,500.0,0.309896899708943,44135.0,466861.25,USD,0.0,JLS US Equity,!!02NLJH   Mtge,,
92,!!02PFIX   Mtge,500.0,0.3274939131948878,44135.0,493371.24,USD,0.0,JLS US Equity,!!02PFIX   Mtge,,
93,!!02PKNC   Mtge,500.0,0.328665041017395,44135.0,495135.55,USD,0.0,JLS US Equity,!!02PKNC   Mtge,,
94,!!01NNRZ   Mtge,500.0,0.331641499640037,44135.0,499619.6,USD,500.0,JLS US Equity,!!01NNRZ   Mtge,,
95,!!02J3WW   Mtge,420.0,0.2906394935346717,44135.0,437849.87,USD,0.0,JLS US Equity,!!02J3WW   Mtge,,
96,!!029DEI   Mtge,400.0,0.2481635461548833,44135.0,373859.64,USD,0.0,JLS US Equity,!!029DEI   Mtge,,
97,!!02PKND   Mtge,300.0,0.1976152993467649,44135.0,297708.45,USD,0.0,JLS US Equity,!!02PKND   Mtge,,
98,!!02HZXH   Mtge,225.0,0.1562688669191872,44135.0,235419.84,USD,0.0,JLS US Equity,!!02HZXH   Mtge,,
99,!!029HHE   Mtge,226.0,0.1572138886321215,44135.0,236843.52,USD,0.0,JLS US Equity,!!029HHE   Mtge,,
100,!!02K2UN   Mtge,115.0,0.07864893554552259,44135.0,118485.02,USD,0.0,JLS US Equity,!!02K2UN   Mtge,,
101,!!026IYP   Mtge,700.0,0.03498103731337855,44135.0,52699.11,USD,0.0,JLS US Equity,!!026IYP   Mtge,,
102,!!02ER5W   Mtge,100.0,0.06420759016894276,44135.0,96729.06,USD,0.0,JLS US Equity,!!02ER5W   Mtge,,
103,!!02DPM0   Mtge,50.0,0.03449718231983424,44135.0,51970.18,USD,0.0,JLS US Equity,!!02DPM0   Mtge,,
104,!!02E6KM   Mtge,1500.0,0.9623277615842493,44135.0,1449751.65,USD,0.0,JLS US Equity,!!02E6KM   Mtge,,
105,!!02IA7V   Mtge,0.0,0.0,44135.0,0.0,USD,-250.0,JLS US Equity,!!02IA7V   Mtge,,
106,!!02PQZT   Mtge,500.0,0.3159650173632231,44135.0,476002.9,USD,500.0,JLS US Equity,!!02PQZT   Mtge,,
107,!!02MFF7   Mtge,0.0,0.0,44135.0,0.0,USD,-2000.0,JLS US Equity,!!02MFF7   Mtge,,
108,!!02LJMI   Mtge,1375.0,0.8695054585193399,44135.0,1309914.38,USD,0.0,JLS US Equity,!!02LJMI   Mtge,,
109,!!02MTZ4   Mtge,1000.0,0.2707631647827445,44135.0,407906.08,USD,0.0,JLS US Equity,!!02MTZ4   Mtge,,
110,!!02LSUI   Mtge,750.0,0.3673264376720088,44135.0,553379.14,USD,0.0,JLS US Equity,!!02LSUI   Mtge,,
111,!!02ND2Z   Mtge,25.0,0.01715112716652666,44135.0,25838.26,USD,0.0,JLS US Equity,!!02ND2Z   Mtge,,
112,ZR175170     Corp,0.0,0.0,44135.0,0.0,USD,-1705.0,JLS US Equity,ZR175170     Corp,,
113,!!02MZAM   Mtge,575.0,0.08687318932491815,44135.0,130874.9,USD,0.0,JLS US Equity,!!02MZAM   Mtge,,
