,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EG375737     Corp,467850.0,1.510164748835565,44074.0,5915981.55,USD,0.0,MCR US Equity,EG375737     Corp,JGB 2.4 03/20/37 #26,JGB
2,EH856574     Corp,68182.0,0.1619800843451749,44074.0,634547.4500000001,USD,0.0,MCR US Equity,EH856574     Corp,ICEGB 8 06/12/25,ICEGB
3,EI181923     Corp,61000.0,0.2002797610364519,44074.0,784584.1800000002,USD,0.0,MCR US Equity,EI181923     Corp,JGB 2.3 03/20/40 #32,JGB
4,AT578853     Corp,79500.0,0.1953926601960301,44074.0,765439.25,USD,0.0,MCR US Equity,AT578853     Corp,JGB 0 ½ 06/20/38 #165,JGB
5,ZS214186     Corp,52700.0,0.1270414434556244,44074.0,497677.38,USD,0.0,MCR US Equity,ZS214186     Corp,JGB 0.4 03/20/39 #168,JGB
6,AM216492     Corp,30450.0,0.06812359877171179,44074.0,266870.19,USD,30450.0,MCR US Equity,AM216492     Corp,ICEGB 5 11/15/28,ICEGB
7,ZR572391     Corp,32910.0,1.242471855345642,44074.0,4867310.39,USD,8880.0,MCR US Equity,ZR572391     Corp,SDBC 3.45 09/20/29,SDBC
8,EJ750004     Corp,26950.0,0.3765447108516023,44074.0,1475091.75,USD,0.0,MCR US Equity,EJ750004     Corp,SAGB 8 01/31/30,SAGB
9,912810QA     Govt,9526.0,3.411241405797215,44074.0,13363337.5,USD,-127.0,MCR US Equity,912810QA     Govt,T 3 ½ 02/15/39,T
10,BH066135     Corp,10195.0,0.2997156973509854,44074.0,1174118.61,USD,5855.0,MCR US Equity,BH066135     Corp,SGB 0 ⅛ 05/12/31,SGB
11,AS783715     Corp,8440.0,0.2669685762935861,44074.0,1045833.69,USD,0.0,MCR US Equity,AS783715     Corp,SGB 0 ¾ 11/12/29,SGB
12,ZR788824     Corp,6655.0,2.022276874206623,44074.0,7922150.67,USD,0.0,MCR US Equity,ZR788824     Corp,BTPS 0.35 02/01/25,BTPS
13,912810SK     Govt,4160.0,1.30475197898971,44074.0,5111289.11,USD,-577.0,MCR US Equity,912810SK     Govt,T 2 ⅜ 11/15/49,T
14,HYG US Equity,54000.0,1.172096735840624,44074.0,4591620.0,USD,0.0,MCR US Equity,HYG US Equity,iShares iBoxx High Yield Corpo,HYG
15,AX520235     Corp,3449.0,1.31612176557915,44074.0,5155829.58,USD,0.0,MCR US Equity,AX520235     Corp,GGB 3 ⅞ 03/12/29,GGB
16,AL083268     Corp,3231.0,1.289573328557992,44074.0,5051827.64,USD,0.0,MCR US Equity,AL083268     Corp,UKT 1 ¾ 09/07/37,UKT
17,EK821167     Corp,3208.0,0.7235438471344822,44074.0,2834440.45,USD,0.0,MCR US Equity,EK821167     Corp,ACGB 2 ¾ 06/21/35,ACGB
18,ZR609878     Corp,3237.0,0.608547843045167,44074.0,2383950.37,USD,536.0,MCR US Equity,ZR609878     Corp,NZGB 1 ½ 05/15/31,NZGB
19,AR413561     Corp,2295.0,0.7428120012328567,44074.0,2909922.31,USD,40.0,MCR US Equity,AR413561     Corp,S 7 ⅝ 03/01/26,S
20,QZ513404     Corp,2665.0,0.7396380850251458,44074.0,2897488.68,USD,0.0,MCR US Equity,QZ513404     Corp,CSCHLD 5 ½ 04/15/27,CSCHLD
