,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,GVMXX US Equity,6576279.579999998,1.874705635693675,44135.0,6576279.58,USD,2631760.979999999,NHS US Equity,GVMXX US Equity,State Street Institutional US,GVMXX
2,DD108551     Corp,4600.0,1.437541048763361,44135.0,5042750.0,USD,0.0,NHS US Equity,DD108551     Corp,F 7.4 11/01/46,F
3,ZO269471     Corp,5000.0,1.384375334501427,44135.0,4856250.0,USD,0.0,NHS US Equity,ZO269471     Corp,THC 6 ⅛ 10/01/28,THC
4,AS270081     Corp,4675.0,1.366023898278307,44135.0,4791875.0,USD,0.0,NHS US Equity,AS270081     Corp,HBGCN 7 05/01/26,HBGCN
5,BK211880     Corp,4025.0,1.194740857374452,44135.0,4191031.25,USD,0.0,NHS US Equity,BK211880     Corp,UAL 6 ½ 06/20/27,UAL
6,AZ434652     Corp,3835.0,1.168729946449894,44135.0,4099787.58,USD,1175.0,NHS US Equity,AZ434652     Corp,CSCHLD 5 ¾ 01/15/30,CSCHLD
7,AN720160     Corp,3845.0,1.10431816419391,44135.0,3873837.5,USD,0.0,NHS US Equity,AN720160     Corp,KAR 5 ⅛ 06/01/25,KAR
8,AP534730     Corp,3700.0,1.034721678587353,44135.0,3629700.0,USD,0.0,NHS US Equity,AP534730     Corp,BECN 4 ⅞ 11/01/25,BECN
9,AQ389129     Corp,3435.0,1.003698842906093,44135.0,3520875.0,USD,0.0,NHS US Equity,AQ389129     Corp,IRM 5 ¼ 03/15/28,IRM
10,ZS408017     Corp,3115.0,0.9457154312123804,44135.0,3317475.0,USD,0.0,NHS US Equity,ZS408017     Corp,ASSPAR 8 05/15/27,ASSPAR
11,AP967549     Corp,3285.0,0.8802702899164907,44135.0,3087900.0,USD,0.0,NHS US Equity,AP967549     Corp,BPL 4 ⅛ 12/01/27,BPL
12,AX646608     Corp,3015.0,0.9196528283898749,44135.0,3226050.0,USD,0.0,NHS US Equity,AX646608     Corp,AMKR 6 ⅝ 09/15/27,AMKR
13,ZO418905     Corp,3040.0,0.8969469348726469,44135.0,3146400.0,USD,0.0,NHS US Equity,ZO418905     Corp,NLSN 5 ⅝ 10/01/28,NLSN
14,QZ888409     Corp,3102.0,0.9207667427516899,44135.0,3229957.5,USD,-513.0,NHS US Equity,QZ888409     Corp,RAX 8 ⅝ 11/15/24,RAX
15,ZR202234     Corp,2990.0,0.880063613547376,44135.0,3087175.0,USD,0.0,NHS US Equity,ZR202234     Corp,TDG 7 ½ 03/15/27,TDG
16,BJ532475     Corp,2845.0,0.7907103636754315,44135.0,2773732.75,USD,335.0,NHS US Equity,BJ532475     Corp,TDG 5 ½ 11/15/27,TDG
17,ZR465157     Corp,2785.0,0.7978919398958885,44135.0,2798925.0,USD,0.0,NHS US Equity,ZR465157     Corp,IRM 4 ⅞ 09/15/29,IRM
18,AT619863     Corp,2580.0,0.7998375484741065,44135.0,2805750.0,USD,0.0,NHS US Equity,AT619863     Corp,SFRFP 8 ⅛ 02/01/27,SFRFP
19,AQ306610     Corp,2605.0,0.7667443857160249,44135.0,2689662.5,USD,0.0,NHS US Equity,AQ306610     Corp,JELD 4 ⅞ 12/15/27,JELD
20,AO701614     Corp,2610.0,0.7551954527453192,44135.0,2649150.0,USD,0.0,NHS US Equity,AO701614     Corp,PRXL 6 ⅜ 09/01/25,PRXL
21,AZ024645     Corp,2445.0,0.758647732054384,44135.0,2661260.25,USD,0.0,NHS US Equity,AZ024645     Corp,SIRI 5 ½ 07/01/29,SIRI
22,ZQ606668     Corp,2420.0,0.6939658537164064,44135.0,2434362.7,USD,0.0,NHS US Equity,ZQ606668     Corp,NGLS 5 ½ 03/01/30,NGLS
23,ZR938177     Corp,2545.0,0.6674648974417796,44135.0,2341400.0,USD,0.0,NHS US Equity,ZR938177     Corp,LYV 4 ¾ 10/15/27,LYV
24,QZ123790     Corp,2492.0,0.6279264024056156,44135.0,2202702.92,USD,0.0,NHS US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
25,AN322612     Corp,2380.0,0.6750762892422817,44135.0,2368100.0,USD,0.0,NHS US Equity,AN322612     Corp,GWCN 8 ¾ 05/15/25,GWCN
26,EK862849     Corp,2395.0,0.6917057207636064,44135.0,2426434.38,USD,0.0,NHS US Equity,EK862849     Corp,UNIT 6 04/15/23,UNIT
27,JK025356     Corp,2330.0,0.6896346011898105,44135.0,2419169.1,USD,0.0,NHS US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
28,BK623735     Corp,2315.0,0.6417973030480517,44135.0,2251360.65,USD,0.0,NHS US Equity,BK623735     Corp,BYD 4 ¾ 12/01/27,BYD
29,BJ065935     Corp,2195.0,0.6563162324571071,44135.0,2302291.6,USD,0.0,NHS US Equity,BJ065935     Corp,ARMK 6 ⅜ 05/01/25,ARMK
30,ZP638621     Corp,2275.0,0.6220402480103933,44135.0,2182054.88,USD,0.0,NHS US Equity,ZP638621     Corp,SFRFP 6 02/15/28,SFRFP
31,AU659259     Corp,2445.0,0.6168434405513619,44135.0,2163825.0,USD,0.0,NHS US Equity,AU659259     Corp,ASCRES 7 11/01/26,ASCRES
32,BH564783     Corp,1770.0,0.6172199592845523,44135.0,2165145.79,USD,0.0,NHS US Equity,BH564783     Corp,DELL 6.2 07/15/30,DELL
33,AP400874     Corp,2155.0,0.6041175640530326,44135.0,2119183.9,USD,0.0,NHS US Equity,AP400874     Corp,CRROCK 5 ⅝ 10/15/25,CRROCK
34,BJ799510     Corp,2105.0,0.6117875949281925,44135.0,2146089.6,USD,0.0,NHS US Equity,BJ799510     Corp,CQP 4 ½ 10/01/29,CQP
35,BL228280 Corp,2173084.309999999,0.6169678996354885,44135.0,2164261.59,USD,0.0,NHS US Equity,BL228280 Corp, ,BASSPR
36,EK789349     Corp,2160.0,0.5803472444742355,44135.0,2035800.0,USD,0.0,NHS US Equity,EK789349     Corp,CAR 5 ¼ 03/15/25,CAR
37,AZ295127     Corp,2040.0,0.5553750376680938,44135.0,1948200.0,USD,0.0,NHS US Equity,AZ295127     Corp,TLN 6 ⅝ 01/15/28,TLN
38,EK799007     Corp,2060.0,0.6036888459957751,44135.0,2117680.0,USD,0.0,NHS US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
39,AM294227     Corp,2020.0,0.5742307642318545,44135.0,2014344.0,USD,0.0,NHS US Equity,AM294227     Corp,TDG 6 ⅜ 06/15/26,TDG
40,ZO480425     Corp,1895.0,0.5294050828731224,44135.0,1857100.0,USD,0.0,NHS US Equity,ZO480425     Corp,PK 5 ⅞ 10/01/28,PK
41,AT281181     Corp,1875.0,0.5705871311120748,44135.0,2001562.5,USD,0.0,NHS US Equity,AT281181     Corp,AMWINS 7 ¾ 07/01/26,AMWINS
42,AX735739     Corp,1845.0,0.5601428477004309,44135.0,1964925.0,USD,0.0,NHS US Equity,AX735739     Corp,PRSESE 5 ¾ 04/15/26,PRSESE
43,ZR639737     Corp,1840.0,0.5376436305523176,44135.0,1886000.0,USD,0.0,NHS US Equity,ZR639737     Corp,PFGC 5 ½ 10/15/27,PFGC
44,ZP561880     Corp,1825.0,0.5436657523420406,44135.0,1907125.0,USD,0.0,NHS US Equity,ZP561880     Corp,ORTCLI 7 ¼ 02/01/28,ORTCLI
45,AX686754     Corp,1815.0,0.5499120681048537,44135.0,1929036.45,USD,0.0,NHS US Equity,AX686754     Corp,SSNC 5 ½ 09/30/27,SSNC
46,AZ627258     Corp,1795.0,0.5424043138133057,44135.0,1902700.0,USD,0.0,NHS US Equity,AZ627258     Corp,DOOR 5 ⅜ 02/01/28,DOOR
47,ZO418907     Corp,1715.0,0.51395246089612,44135.0,1802893.75,USD,0.0,NHS US Equity,ZO418907     Corp,NLSN 5 ⅞ 10/01/30,NLSN
48,ZS003150     Corp,1810.0,0.4824396596846313,44135.0,1692350.0,USD,0.0,NHS US Equity,ZS003150     Corp,SPLS 7 ½ 04/15/26,SPLS
49,BK709763     Corp,1705.0,0.5103480962864722,44135.0,1790250.0,USD,0.0,NHS US Equity,BK709763     Corp,SEAS 9 ½ 08/01/25,SEAS
50,ZR580923     Corp,1635.0,0.4908017342662606,44135.0,1721683.32,USD,0.0,NHS US Equity,ZR580923     Corp,KHC 4 ⅞ 10/01/49,KHC
