Cusip,ISIN,Description,Ticker,Coupon,Maturity,Composite Rating,Currency,Country,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Type,Face Value,Price,Accrued Interest,% Weight,Cash,Duration To Worst,Yield to Worst,Effective Duration,Effective Yield,OAS vs Govt,Prior Month-End Price,Prior Month-End Accrued Interest,Prior Month-End % Weight,Prior Month-End Duration To Worst,Prior Month-End Yield To Worst,Prior Month-End Effective Duration,Prior Month-End Effective Yield,Prior Month-End OAS vs Govt,TRR % MTD LOC,Excess Rtn % MTD,Asset Swap Spread,Prior Month-End Asset Swap Spread,OAS vs Swap ,Prior Month-End OAS vs Swap
'013822AC',US013822AC54,Alcoa Nederland Holding B.V.,AA,6.125,5/15/28,BB1,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,506.7,109,0.459375,0.03668,0,2.251,3.445,3.036,3.811,320,110.375,0.272,0.03743,2.287,2.927,2.749,3.335,274,-1.074,-1.104,320,275,313,264
'013822AE',US013822AE11,Alcoa Nederland Holding B.V.,AA,5.5,12/15/27,BB1,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,760,108.0625,2.276389,0.05546,0,2.298,3.191,3.279,3.458,288,108.33,2.108,0.05604,2.33,3.111,3.213,3.379,281,-0.09,-0.118,271,265,282,274
'013822AA',US013822AA98,Alcoa Nederland Holding B.V.,AA,6.75,9/30/24,BB1,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,760,103.754,1.35,0.05283,0,0.08,1.946,0.081,2.267,203,103.625,1.144,0.05316,0.082,3.481,0.081,3.775,352,0.32,0.316,203,358,189,343
'013822AB',US013822AB71,Alcoa Nederland Holding B.V.,AA,7,9/30/26,BB1,USD,US,Corporate,Industrials,Basic Industry,Metals/Mining Excluding Steel,SENR,506.7,106.373,1.4,0.03612,0,0.772,3.213,0.771,3.567,311,107.155,1.186,0.03665,0.805,2.437,0.804,2.783,233,-0.524,-0.53,262,199,303,222
'004403AG',US004403AG64,Ace Cash Express Inc.,AACE,12,12/15/22,CCC2,USD,US,Corporate,Financial,Financial Services,Cons/Comm/Lease Financing,SECR,258.5,84.25,5.9,0.01541,0,1.537,22.13,1.536,22.13,2206,73.5,5.533,0.01364,1.485,30.343,1.483,30.343,3027,14.066,14.038,1940,2447,2196,3014
'02376RAE',US02376RAE27,American Airlines Group Inc,AAL,3.75,3/1/25,CCC2,USD,US,Corporate,Industrials,Transportation,Air Transportation,SENR,506.7,74.5,1.052083,0.02532,0,3.625,11.551,3.631,11.551,1127,66.391,0.938,0.02278,3.574,14.645,3.579,14.645,1435,12.215,12.166,936,1120,1123,1431
'023771S5',US023771S586,American Airlines Inc.,AAL,11.75,7/15/25,B1,USD,US,Corporate,Industrials,Transportation,Air Transportation,SECR,2533.4,114.45,5.2875,0.20062,0,3.445,7.929,3.451,7.929,762,110.6,4.928,0.1954,3.438,8.895,3.443,8.895,858,3.643,3.598,810,893,759,854
'02376RAC',US02376RAC60,American Airlines Group Inc,AAL,5,6/1/22,CCC2,USD,US,Corporate,Industrials,Transportation,Air Transportation,SENR,760,86.75,0.152778,0.04368,0,1.328,15.414,1.326,15.414,1534,82.75,0,0.04199,1.335,18.716,1.332,18.716,1865,5.018,5.001,1366,1609,1525,1852
'024747AE',US024747AE77,American Builders & Contractors Supply Co. Inc.,ABCSUP,5.875,5/15/26,B2,USD,US,Corporate,Industrials,Basic Industry,Building Materials,SENR,608,104.75,0.440625,0.0423,0,0.422,1.532,0.418,1.891,147,104.125,0.261,0.04237,0.449,3.132,0.445,3.502,308,0.771,0.768,119,275,134,293
'024747AF',US024747AF43,American Builders & Contractors Supply Co. Inc.,ABCSUP,4,1/15/28,BB3,USD,US,Corporate,Industrials,Basic Industry,Building Materials,SECR,709.3,103.25,1.633333,0.0492,0,1.974,2.397,2.886,2.731,213,103.75,1.511,0.04985,2.007,2.181,2.71,2.542,196,-0.359,-0.384,187,170,206,186
'374276AJ',US374276AJ21,ABE Investment Holdings Inc./Getty Images Inc,ABEGET,9.75,3/1/27,CCC2,USD,US,Corporate,Industrials,Media,Advertising,SENR,304,105.788,2.735417,0.02182,0,2.68,7.679,2.91,7.92,745,104.5,2.438,0.0217,2.7,8.138,3.176,8.338,787,1.483,1.448,714,763,738,780
'043436AV',US043436AV64,Asbury Automotive Group Inc.,ABG,4.75,3/1/30,BB3,USD,US,Corporate,Industrials,Retail,Specialty Retail,SENR,450.9,107.25,1.332639,0.03238,0,3.779,3.417,5.712,3.435,268,105.25,1.188,0.03204,5.342,3.907,6.003,3.79,307,2.015,2.123,263,299,265,304
'043436AU',US043436AU81,Asbury Automotive Group Inc.,ABG,4.5,3/1/28,BB3,USD,US,Corporate,Industrials,Retail,Specialty Retail,SENR,410.4,103.75,1.2625,0.0285,0,3.785,3.534,4.232,3.549,294,103.5,1.125,0.02867,3.813,3.603,4.335,3.612,302,0.37,0.374,280,288,290,298
'00401YAA',US00401YAA82,Academy Ltd / Academy Finance Corp.,ACALTD,6,11/15/27,B2,USD,US,Corporate,Industrials,Retail,Specialty Retail,SECR,405.3,103.65,0.6,0.02795,0,4.217,5.15,4.825,5.188,462,103,0.417,0.02798,4.241,5.302,4.931,5.323,477,0.806,0.808,456,470,460,474
'00081TAJ',US00081TAJ79,ACCO Brands Corporation,ACCO,5.25,12/15/24,BB3,USD,US,Corporate,Industrials,Consumer Goods,Personal & Household Products,SENR,380,102.75,2.58125,0.02647,0,0.077,3.618,0.773,3.833,357,102.5,2.421,0.02662,1.879,3.961,1.273,4.095,382,0.391,0.368,350,374,346,370
'00404AAN',US00404AAN90,ACADIA HEALTHCARE COMPANY INC.,ACHC,5.5,7/1/28,B3,USD,US,Corporate,Industrials,Healthcare,Health Facilities,SENR,456,107,2.566667,0.03304,0,2.325,3.64,3.744,3.805,318,106.375,2.399,0.03311,2.351,3.902,3.93,3.974,337,0.729,0.723,298,317,313,331
'00404AAM',US00404AAM18,ACADIA HEALTHCARE COMPANY INC.,ACHC,6.5,3/1/24,B3,USD,US,Corporate,Industrials,Healthcare,Health Facilities,SENR,395.2,102.625,1.823611,0.0273,0,0.217,1.86,0.214,1.99,182,102.5,1.625,0.02747,0.246,2.881,0.243,2.994,280,0.311,0.308,81,147,168,271
'00404AAJ',US00404AAJ88,ACADIA HEALTHCARE COMPANY INC.,ACHC,5.625,2/15/23,B3,USD,US,Corporate,Industrials,Healthcare,Health Facilities,SENR,658.7,100.625,1.828125,0.04463,0,0.173,2.004,0.176,2,190,100.5,1.656,0.04492,0.202,3.125,0.205,3.083,297,0.291,0.287,72,292,176,287
'00404AAP',US00404AAP49,ACADIA HEALTHCARE COMPANY INC.,ACHC,5,4/15/29,B3,USD,US,Corporate,Industrials,Healthcare,Health Facilities,SENR,481.3,106.5,0.805556,0.03416,0,2.627,3.423,4.443,3.517,282,105.375,0.653,0.03407,4.292,3.781,4.743,3.776,311,1.205,1.236,275,303,278,306
'013093AD',US013093AD14,Albertsons Companies LLC.,ACI,5.75,3/15/25,B1,USD,US,Corporate,Industrials,Retail,Food & Drug Retailers,SENR,1012.4,103.491,1.389583,0.07022,0,0.157,1.773,0.16,2.163,188,103.138,1.214,0.07053,0.082,2.492,0.081,2.792,249,0.507,0.503,185,252,173,240
