,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,XTSLA US Equity,258220000.0,1.013181276651524,44175.0,258220000.0,USD,258220000.0,HYG US Equity,XTSLA US Equity,BlackRock Cash Funds - Treasur,XTSLA
2,JK709468     Corp,114479.0,0.4851251950701957,44175.0,123639304.0,USD,114440.082,HYG US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
3,EK553660     Corp,99265.0,0.4561262848474287,44175.0,116248624.0,USD,99231.254,HYG US Equity,EK553660     Corp,S 7 ⅞ 09/15/23,S
4,AW959806     Corp,101559.0,0.4252895386532678,44175.0,108389552.0,USD,101524.475,HYG US Equity,AW959806     Corp,TDG 6 ¼ 03/15/26,TDG
5,BH962214     Corp,80349.0,0.38880236264178,44175.0,99090408.0,USD,80321.685,HYG US Equity,BH962214     Corp,F 9 04/22/25,F
6,BH786416     Corp,87960.0,0.3861079957279032,44175.0,98403720.0,USD,87930.09699999998,HYG US Equity,BH786416     Corp,CNC 4 ⅝ 12/15/29,CNC
7,BH962211     Corp,77938.0,0.3469035383162259,44175.0,88412048.0,USD,77911.505,HYG US Equity,BH962211     Corp,F 8 ½ 04/21/23,F
8,BK127682     Corp,78425.0,0.3344074214078574,44175.0,85227280.0,USD,78398.339,HYG US Equity,BK127682     Corp,CZR 6 ¼ 07/01/25,CZR
9,LW925840     Corp,82833.0,0.3132434135112773,44175.0,79833408.0,USD,82804.841,HYG US Equity,LW925840     Corp,TEVA 3.15 10/01/26,TEVA
10,AM195794     Corp,74801.0,0.3105358315306366,44175.0,79143352.0,USD,74775.571,HYG US Equity,AM195794     Corp,CHTR 5 ⅛ 05/01/27,CHTR
11,ZR665583     Corp,71796.0,0.3033455482331018,44175.0,77310832.0,USD,71771.59299999998,HYG US Equity,ZR665583     Corp,CHTR 4 ¾ 03/01/30,CHTR
12,EK799007     Corp,71264.0,0.2899256322395545,44175.0,73890624.0,USD,71239.774,HYG US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
13,BK404815     Corp,69323.0,0.2876192107179211,44175.0,73302808.0,USD,69299.43399999998,HYG US Equity,BK404815     Corp,CHTR 4 ¼ 02/01/31,CHTR
14,ZP852875     Corp,67675.0,0.2835606471257613,44175.0,72268440.0,USD,67651.994,HYG US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
15,BG562373     Corp,66488.0,0.2758478507608842,44175.0,70302752.0,USD,66465.397,HYG US Equity,BG562373     Corp,CHTR 4 ½ 05/01/32,CHTR
16,BH752726     Corp,65720.0,0.2784853709148814,44175.0,70974952.0,USD,65697.658,HYG US Equity,BH752726     Corp,CNC 4 ¼ 12/15/27,CNC
17,AM774219     Corp,66710.0,0.2714757039930216,44175.0,69188464.0,USD,66687.322,HYG US Equity,AM774219     Corp,CYH 6 ¼ 03/31/23,CYH
18,ZO514587     Corp,67875.0,0.2671835381993023,44175.0,68094560.0,USD,67851.926,HYG US Equity,ZO514587     Corp,BCULC 4 10/15/30,BCULC
