,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,SSIXX US Equity,81175455.5,0.6523481781569777,44175.0,81191690.59,USD,25464938.68000001,JNK US Equity,SSIXX US Equity,State Street Institutional Liq,SSIXX
2,JK709468     Corp,63932.0,0.5393353846566264,44175.0,67126042.72,USD,-170.0,JNK US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
3,AW959806     Corp,53972.0,0.4577274546000083,44175.0,56969065.16,USD,-658.0,JNK US Equity,AW959806     Corp,TDG 6 ¼ 03/15/26,TDG
4,BH495992     Corp,48434.0,0.4451771269007192,44175.0,55407042.98,USD,-588.0,JNK US Equity,BH495992     Corp,CCL 11 ½ 04/01/23,CCL
5,BH786416     Corp,42899.0,0.3772134364694255,44175.0,46948236.61,USD,-18.0,JNK US Equity,BH786416     Corp,CNC 4 ⅝ 12/15/29,CNC
6,BK127682     Corp,40772.0,0.3471497985029027,44175.0,43206496.12,USD,-497.0,JNK US Equity,BK127682     Corp,CZR 6 ¼ 07/01/25,CZR
7,AM195794     Corp,35896.0,0.3035309761933431,44175.0,37777668.32,USD,-441.0,JNK US Equity,AM195794     Corp,CHTR 5 ⅛ 05/01/27,CHTR
8,ZR665583     Corp,34481.0,0.2950262283111052,44175.0,36719161.71,USD,-406.0,JNK US Equity,ZR665583     Corp,CHTR 4 ¾ 03/01/30,CHTR
9,JK836453     Corp,34817.0,0.2941665415444275,44175.0,36612164.52,USD,-220.0,JNK US Equity,JK836453     Corp,ALTICE 7 ½ 05/15/26,ALTICE
10,ZO514587     Corp,35395.0,0.2837045013528169,44175.0,35310052.0,USD,-434.0,JNK US Equity,ZO514587     Corp,BCULC 4 10/15/30,BCULC
11,BK188757     Corp,30458.0,0.2811121738092843,44175.0,34987409.18,USD,-371.0,JNK US Equity,BK188757     Corp,AAL 11 ¾ 07/15/25,AAL
12,BK404815     Corp,33675.0,0.281387393847155,44175.0,35021663.25,USD,-406.0,JNK US Equity,BK404815     Corp,CHTR 4 ¼ 02/01/31,CHTR
13,AZ988250     Corp,36403.0,0.279821331638358,44175.0,34826750.1,USD,-441.0,JNK US Equity,AZ988250     Corp,OXY 2.9 08/15/24,OXY
14,BG019660     Corp,31781.0,0.267501838870784,44175.0,33293457.79,USD,-385.0,JNK US Equity,BG019660     Corp,HCA 3 ½ 09/01/30,HCA
15,BJ477493     Corp,28323.0,0.2661883457690409,44175.0,33129979.56,USD,-350.0,JNK US Equity,BJ477493     Corp,RCL 11 ½ 06/01/25,RCL
16,AM774219     Corp,32301.0,0.2657590330352687,44175.0,33076547.01,USD,-399.0,JNK US Equity,AM774219     Corp,CYH 6 ¼ 03/31/23,CYH
17,BJ532475     Corp,30576.0,0.2547724260821873,44175.0,31709146.56,USD,-371.0,JNK US Equity,BJ532475     Corp,TDG 5 ½ 11/15/27,TDG
18,ZO269471     Corp,30649.0,0.2534205077490566,44175.0,31540885.9,USD,-371.0,JNK US Equity,ZO269471     Corp,THC 6 ⅛ 10/01/28,THC
19,BG562373     Corp,29858.0,0.2525561558138139,44175.0,31433308.08,USD,-364.0,JNK US Equity,BG562373     Corp,CHTR 4 ½ 05/01/32,CHTR
20,AO635535     Corp,29376.0,0.2484201156922974,44175.0,30918533.76,USD,-107.0,JNK US Equity,AO635535     Corp,CHTR 5 02/01/28,CHTR
21,ZP852875     Corp,29272.0,0.2478087501847003,44175.0,30842442.8,USD,-357.0,JNK US Equity,ZP852875     Corp,CHTR 4 ½ 08/15/30,CHTR
22,BH752726     Corp,28862.0,0.2455923626101921,44175.0,30566589.72,USD,-100.0,JNK US Equity,BH752726     Corp,CNC 4 ¼ 12/15/27,CNC
23,AR022368     Corp,27707.0,0.2443594668577242,44175.0,30413142.69,USD,-336.0,JNK US Equity,AR022368     Corp,WDC 4 ¾ 02/15/26,WDC
24,AX916964     Corp,23861.0,0.2380393235776234,44175.0,29626533.43,USD,-294.0,JNK US Equity,AX916964     Corp,VOD 7 04/04/79,VOD
25,AZ589550     Corp,36474.0,0.236435001731921,44175.0,29426858.46,USD,-448.0,JNK US Equity,AZ589550     Corp,DSPORT 5 ⅜ 08/15/26,DSPORT
26,AZ434652     Corp,27232.0,0.235770176926215,44175.0,29344113.92,USD,-329.0,JNK US Equity,AZ434652     Corp,CSCHLD 5 ¾ 01/15/30,CSCHLD
27,ZP913720     Corp,27297.0,0.234312977863687,44175.0,29162749.95,USD,-336.0,JNK US Equity,ZP913720     Corp,UNIT 7 ⅞ 02/15/25,UNIT
28,BJ819175     Corp,28253.0,0.2318590437592729,44175.0,28857331.67,USD,-336.0,JNK US Equity,BJ819175     Corp,CSCHLD 4 ⅝ 12/01/30,CSCHLD
29,ZO621475     Corp,27482.0,0.2313567442732807,44175.0,28794815.14,USD,-336.0,JNK US Equity,ZO621475     Corp,CNC 3 10/15/30,CNC
30,BH962214     Corp,23583.0,0.2311996984356088,44175.0,28775269.11,USD,-294.0,JNK US Equity,BH962214     Corp,F 9 04/22/25,F
31,QZ429974     Corp,25159.0,0.2301937077789936,44175.0,28650062.84,USD,-301.0,JNK US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
32,AS350093     Corp,23351.0,0.2247319982592882,44175.0,27970294.82,USD,-287.0,JNK US Equity,AS350093     Corp,NFLX 5 ⅞ 11/15/28,NFLX
33,ZR607317     Corp,26393.0,0.2233935113982457,44175.0,27803705.85,USD,-315.0,JNK US Equity,ZR607317     Corp,ISATLN 6 ¾ 10/01/26,ISATLN
34,AX449666     Corp,25565.0,0.2212369160461923,44175.0,27535294.55,USD,-315.0,JNK US Equity,AX449666     Corp,CYH 8 03/15/26,CYH
35,AX687628     Corp,24737.0,0.2166115584515127,44175.0,26959619.45,USD,-301.0,JNK US Equity,AX687628     Corp,ENDP 7 ½ 04/01/27,ENDP
36,JK529756     Corp,24541.0,0.214761186907718,44175.0,26729320.97,USD,206.0,JNK US Equity,JK529756     Corp,NWL 4.2 04/01/26,NWL
37,ZR080292     Corp,25709.0,0.2139912623133102,44175.0,26633495.64,USD,-315.0,JNK US Equity,ZR080292     Corp,THC 4 ⅞ 01/01/26,THC
38,AX565544     Corp,24338.0,0.2121966526424266,44175.0,26410137.32,USD,-287.0,JNK US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
39,ZS003150     Corp,25642.0,0.2120861785454708,44175.0,26396387.64,USD,-229.0,JNK US Equity,ZS003150     Corp,SPLS 7 ½ 04/15/26,SPLS
40,BH962211     Corp,23456.0,0.2116098259712966,44175.0,26337100.48,USD,-287.0,JNK US Equity,BH962211     Corp,F 8 ½ 04/21/23,F
41,AX686754     Corp,24369.0,0.2102387660087531,44175.0,26166457.44,USD,-294.0,JNK US Equity,AX686754     Corp,SSNC 5 ½ 09/30/27,SSNC
42,AS706899     Corp,23027.0,0.204681288724756,44175.0,25474770.1,USD,-273.0,JNK US Equity,AS706899     Corp,BHCCN 8 ½ 01/31/27,BHCCN
43,BH751468     Corp,24013.0,0.2018771283167594,44175.0,25125762.42,USD,-94.0,JNK US Equity,BH751468     Corp,CNC 3 ⅜ 02/15/30,CNC
44,AZ257197     Corp,23467.0,0.2000962979386882,44175.0,24904119.08,USD,-287.0,JNK US Equity,AZ257197     Corp,UNSEAM 6 ⅝ 07/15/26,UNSEAM
45,AW913901     Corp,22332.0,0.2005275786033917,44175.0,24957796.56,USD,-159.0,JNK US Equity,AW913901     Corp,CSCHLD 6 ½ 02/01/29,CSCHLD
46,LW952924     Corp,23640.0,0.1985190906025784,44175.0,24707818.8,USD,-287.0,JNK US Equity,LW952924     Corp,KHC 3 06/01/26,KHC
47,ZO479562     Corp,23692.0,0.198694975885846,44175.0,24729709.6,USD,-280.0,JNK US Equity,ZO479562     Corp,LNG 4 ⅝ 10/15/28,LNG
48,JK025356     Corp,23754.0,0.1983007464441661,44175.0,24680643.54,USD,-287.0,JNK US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
49,BK128425     Corp,22236.0,0.1973554989128177,44175.0,24562997.4,USD,-266.0,JNK US Equity,BK128425     Corp,CZR 8 ⅛ 07/01/27,CZR
50,BH715257     Corp,23991.0,0.1946603009595713,44175.0,24227551.26,USD,-294.0,JNK US Equity,BH715257     Corp,CCO 9 ¼ 02/15/24,CCO
51,AZ988249     Corp,23944.0,0.1933747525091911,44175.0,24067551.04,USD,-294.0,JNK US Equity,AZ988249     Corp,OXY 2.7 08/15/22,OXY
52,AT619863     Corp,21653.0,0.191626106435096,44175.0,23849913.38,USD,-266.0,JNK US Equity,AT619863     Corp,SFRFP 8 ⅛ 02/01/27,SFRFP
53,AS589794     Corp,21971.0,0.1858168891413088,44175.0,23126894.31,USD,341.0,JNK US Equity,AS589794     Corp,CNC 5 ⅜ 06/01/26,CNC
54,QZ580241     Corp,21926.0,0.1850980647061537,44175.0,23037428.94,USD,-266.0,JNK US Equity,QZ580241     Corp,ZIGGO 5 ½ 01/15/27,ZIGGO
55,AS583912     Corp,19626.0,0.1842147075701398,44175.0,22927485.72,USD,-238.0,JNK US Equity,AS583912     Corp,OMF 7 ⅛ 03/15/26,OMF
56,AN861543     Corp,22508.0,0.1837504471694502,44175.0,22869703.56,USD,-280.0,JNK US Equity,AN861543     Corp,THC 4 ⅝ 07/15/24,THC
57,AZ159791     Corp,21255.0,0.1833289400340957,44175.0,22817242.5,USD,-252.0,JNK US Equity,AZ159791     Corp,NXST 5 ⅝ 07/15/27,NXST
58,AO658240     Corp,21442.0,0.1795856909882144,44175.0,22351355.22,USD,348.0,JNK US Equity,AO658240     Corp,TSLA 5.3 08/15/25,TSLA
59,BK876361     Corp,21644.0,0.1786568171435775,44175.0,22235746.96,USD,-266.0,JNK US Equity,BK876361     Corp,VERITS 7 ½ 09/01/25,VERITS
60,AQ293323     Corp,20173.0,0.1782689742978176,44175.0,22187475.78,USD,-238.0,JNK US Equity,AQ293323     Corp,BHCCN 9 12/15/25,BHCCN
61,BJ718598     Corp,20822.0,0.1777372161078567,44175.0,22121292.8,USD,-252.0,JNK US Equity,BJ718598     Corp,DVA 4 ⅝ 06/01/30,DVA
62,BG387298     Corp,19563.0,0.1775184171873054,44175.0,22094060.94,USD,-238.0,JNK US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
63,AR413561     Corp,17753.0,0.1758601644889015,44175.0,21887673.7,USD,-217.0,JNK US Equity,AR413561     Corp,S 7 ⅝ 03/01/26,S
64,AO563305     Corp,20466.0,0.1750058875437047,44175.0,21781349.82,USD,155.0,JNK US Equity,AO563305     Corp,URI 4 ⅞ 01/15/28,URI
65,AR722078     Corp,19661.0,0.1758785949699588,44175.0,21889967.57,USD,-238.0,JNK US Equity,AR722078     Corp,BHCCN 9 ¼ 04/01/26,BHCCN
66,AP697039     Corp,19400.0,0.1746427059827334,44175.0,21736148.0,USD,-238.0,JNK US Equity,AP697039     Corp,NFLX 4 ⅞ 04/15/28,NFLX
67,QZ008547     Corp,20893.0,0.1738645481849426,44175.0,21639297.96,USD,-252.0,JNK US Equity,QZ008547     Corp,POST 5 08/15/26,POST
