Ticker,Effective,Discount,52W Discount,Distribution Rate,,,
EIC,6.41%,-15.00%,-24.18%,6.28%,,,
HYB,25.35%,-13.28%,-11.98%,7.04%,,,
AIF,31.81%,-12.17%,-14.08%,5.71%,,,
IVH,99.72%,-11.75%,-10.96%,8.41%,,,
JLS,19.87%,-11.74%,-8.14%,4.17%,,,
GHY,25.14%,-11.47%,-13.00%,8.73%,,,
FSD,20.29%,-11.12%,-11.26%,9.02%,,,
VLT,23.92%,-10.76%,-11.22%,8.67%,,,
ISD,24.50%,-10.67%,-11.99%,8.46%,,,
KIO,26.05%,-10.42%,-7.49%,8.78%,,,
RA,24.83%,-10.06%,-11.27%,13.35%,,,
EAD,23.13%,-9.82%,-11.07%,8.31%,,,
BGH,21.55%,-9.70%,-9.64%,8.46%,,,
DHF,28.12%,-9.48%,-11.02%,8.72%,,,
AWF,0.05%,-9.44%,-11.92%,6.71%,,,
MCI,6.87%,-9.04%,-4.85%,7.29%,,,
DHY,27.82%,-8.96%,-9.70%,8.67%,,,
MPV,7.16%,-8.82%,-3.67%,6.53%,,,
HIO,--,-8.73%,-9.01%,7.77%,,,
NHS,33.59%,-8.15%,-6.14%,9.35%,,,
CIK,29.97%,-7.06%,-9.67%,8.54%,,,
MCR,20.21%,-5.50%,-5.95%,8.31%,,,
OPP,24.38%,-5.27%,-5.87%,15.02%,,,
HYI,--,-4.99%,-6.43%,7.45%,,,
PHT,27.31%,-4.90%,-8.66%,9.75%,,,
EHI,28.47%,-4.81%,-6.75%,7.81%,,,
HIX,25.41%,-4.55%,-8.01%,8.50%,,,
IHIT,27.38%,-4.54%,-1.71%,7.13%,,,
JHAA,23.86%,-4.50%,0.57%,4.96%,,,
HNW,26.05%,-4.44%,-10.23%,7.37%,,,
FTHY,--,-4.31%,--,7.02%,,,
HYT,29.81%,-3.78%,-5.88%,8.15%,,,
DMO,26.76%,-3.61%,-0.49%,9.37%,,,
IHTA,25.36%,-3.09%,-3.45%,7.85%,,,
JHB,0.00%,-3.07%,-2.51%,2.68%,,,
BGIO,16.19%,-3.05%,-2.05%,6.73%,,,
JCO,26.79%,-2.78%,1.66%,7.01%,,,
EHT,11.09%,-2.23%,-2.41%,3.98%,,,
CIF,27.72%,-1.21%,-1.01%,9.36%,,,
GGM,17.20%,2.57%,1.90%,11.13%,,,
