,weights
ADX,28.967
EOS,9.213
EOI,7.921
NFJ,6.459
CII,3.816
BDJ,3.682
PEO,2.747
CET,2.398
CLM,2.19
GRF,1.804
STK,1.759
BME,1.722
CRF,1.373
BOE,1.032
RNP,0.728
ETJ,0.616
RQI,0.49
DNP,0.275
SZC,0.015
AAPL,1.273
FB,0.271
GOOGL,0.109
GOOG,0.329
JNJ,0.355
HD,0.118
MA,0.156
PG,0.278
VZ,0.128
PYPL,0.165
CSCO,0.024
NKE,0.049
NVDA,0.445
MRK,0.142
DIS,0.361
DHR,0.038
AVGO,0.112
AMGN,0.06
CHTR,0.004
ORCL,0.049
T,0.279
MDT,0.15
INTC,0.317
CVS,0.025
AXP,0.007
LMT,0.033
SCHW,0.004
C,0.116
WFC,0.123
ISRG,0.049
CCI,0.011
MO,0.04
NSC,0.007
MCD,0.248
TJX,0.071
PFE,0.424
GS,0.08
DD,0.021
TWTR,0.0
CL,0.09
APD,0.057
ROST,0.012
ITW,0.059
MCHP,0.003
AIG,0.001
NEM,0.04
SNPS,0.014
PNC,0.075
A,0.014
SLB,0.003
HUM,0.059
ILMN,0.053
GPN,0.075
PEG,0.002
BIIB,0.027
ECL,0.066
OTIS,0.002
WLTW,0.004
DG,0.069
APH,0.035
PPG,0.024
DXCM,0.024
CME,0.104
ADP,0.126
BDX,0.119
KHC,0.004
TT,0.035
SBAC,0.03
AVB,0.012
FCX,0.04
CI,0.147
MSI,0.027
PSA,0.04
GE,0.183
USB,0.108
MCK,0.029
UPS,0.248
KLAC,0.059
REGN,0.089
BAX,0.056
WELL,0.026
KMB,0.077
EIX,0.019
DOW,0.061
GILD,0.151
SO,0.126
LUV,0.035
VTR,0.011
IP,0.013
HAL,0.007
ETSY,0.014
FISV,0.127
RCL,0.006
EL,0.106
FRC,0.024
FTNT,0.013
EXR,0.008
ARE,0.021
HAS,0.002
BKR,0.005
OXY,0.008
ESS,0.014
DRE,0.008
PPL,0.028
TFC,0.131
BLL,0.05
ANET,0.012
AMCR,0.02
WY,0.03
VAR,0.015
UDR,0.005
DE,0.171
TFX,0.02
GPC,0.013
D,0.141
CFG,0.017
CARR,0.054
PEAK,0.021
NLOK,0.009
HPQ,0.06
FFIV,0.006
MTB,0.022
MXIM,0.038
AIZ,0.003
ADI,0.109
AEP,0.086
FDX,0.157
ES,0.057
ZBH,0.059
IQV,0.064
VMC,0.033
AAL,0.006
NOC,0.102
MMC,0.131
MCO,0.097
AES,0.021
DUK,0.153
NOW,0.233
BKNG,0.198
DVN,0.003
APA,0.001
ADSK,0.137
MLM,0.031
XEL,0.075
FMC,0.026
MRO,0.001
ROP,0.093
AIV,0.005
NOV,0.002
NUE,0.03
MNST,0.068
ABMD,0.019
GD,0.077
HFC,0.0
EMR,0.101
EA,0.082
RSG,0.04
GIS,0.081
