,,Weights
"1,38",CIF,0.08632
"1,38",EHT,0.00956
"1,38",JCO,0.00984
"1,38",BGIO,0.00012
"1,38",JHB,0.001
"1,38",IHTA,0.00161
"1,38",DMO,0.00411
"1,38",HYT,0.32508
"1,38",HNW,0.00641
"1,38",JHAA,0.00745
"1,38",IHIT,0.00745
"1,38",HIX,0.00967
"1,38",EHI,0.00121
"1,38",PHT,0.00321
"1,38",HYI,0.00404
"1,38",OPP,0.00404
"1,38",MCR,0.00631
"1,38",CIK,0.00869
"1,38",NHS,0.17019
"1,38",HIO,0.07072
"1,38",MPV,0.00739
"1,38",DHY,0.00974
"1,38",MCI,0.00912
"1,38",AWF,0.00112
"1,38",DHF,0.07397
"1,38",BGH,0.0009
"1,38",EAD,0.0809
"1,38",RA,0.0018
"1,38",KIO,0.0038
"1,38",ISD,0.06825
"1,38",VLT,0.00075
"1,38",FSD,0.00075
"1,38",GHY,0.00075
"1,38",JLS,0.00075
"1,38",IVH,0.00075
"1,38",AIF,0.00075
"1,38",HYB,0.00075
"1,38",EIC,0.00075
"1,37",EHT,0.00703
"1,37",JCO,0.00758
"1,37",BGIO,0.00815
"1,37",JHB,0.00874
"1,37",IHTA,0.00935
"1,37",DMO,0.00997
"1,37",HYT,0.36062
"1,37",HNW,0.00895
"1,37",JHAA,0.0093
"1,37",IHIT,0.0093
"1,37",HIX,0.00189
"1,37",EHI,0.00381
"1,37",PHT,0.00661
"1,37",HYI,0.00703
"1,37",OPP,0.00703
"1,37",MCR,0.00976
"1,37",CIK,0.00118
"1,37",NHS,0.19318
"1,37",HIO,0.06213
"1,37",MPV,0.00047
"1,37",DHY,0.02164
"1,37",MCI,0.00039
"1,37",AWF,0.00239
"1,37",DHF,0.06596
"1,37",BGH,0.00135
"1,37",EAD,0.11135
"1,37",RA,0.00044
"1,37",KIO,0.00444
"1,37",ISD,0.04555
"1,37",VLT,0.00055
"1,37",FSD,0.00055
"1,37",GHY,0.00055
"1,37",JLS,0.00055
"1,37",IVH,0.00055
"1,37",AIF,0.00055
"1,37",HYB,0.00555
"1,37",EIC,0.00555
"1,36",JCO,0.00778
"1,36",BGIO,0.00835
"1,36",JHB,0.00894
"1,36",IHTA,0.00954
"1,36",DMO,0.00017
"1,36",HYT,0.36114
"1,36",HNW,0.0098
"1,36",JHAA,0.0098
"1,36",IHIT,0.00016
"1,36",HIX,0.00275
"1,36",EHI,0.00468
"1,36",PHT,0.00708
"1,36",HYI,0.00708
"1,36",OPP,0.00708
"1,36",MCR,0.00026
"1,36",CIK,0.00264
"1,36",NHS,0.19464
"1,36",HIO,0.06411
"1,36",MPV,0.00078
"1,36",DHY,0.02254
"1,36",MCI,0.00129
"1,36",AWF,0.00529
"1,36",DHF,0.06744
"1,36",BGH,0.01359
"1,36",EAD,0.11359
"1,36",RA,0.00359
"1,36",KIO,0.00559
"1,36",ISD,0.04559
"1,36",VLT,0.00059
"1,36",FSD,0.00059
"1,36",GHY,0.00059
"1,36",JLS,0.00059
"1,36",IVH,0.00059
"1,36",AIF,0.00059
"1,36",HYB,0.00559
"1,36",EIC,0.00559
"1,35",BGIO,0.00857
"1,35",JHB,0.00916
"1,35",IHTA,0.00977
"1,35",DMO,0.00039
"1,35",HYT,0.36136
"1,35",HNW,3e-05
"1,35",JHAA,0.00071
"1,35",IHIT,0.00107
"1,35",HIX,0.00366
"1,35",EHI,0.00559
"1,35",PHT,0.00759
"1,35",HYI,0.00842
"1,35",OPP,0.00842
"1,35",MCR,0.00024
"1,35",CIK,0.00357
"1,35",NHS,0.19557
"1,35",HIO,0.05557
"1,35",MPV,0.00168
"1,35",DHY,0.02521
"1,35",MCI,0.00271
"1,35",AWF,0.00605
"1,35",DHF,0.06962
"1,35",BGH,0.01423
"1,35",EAD,0.11507
"1,35",RA,0.00507
"1,35",KIO,0.00607
"1,35",ISD,0.05718
"1,35",VLT,0.00093
"1,35",FSD,0.00093
"1,35",GHY,0.00093
"1,35",JLS,0.00093
"1,35",IVH,0.00093
"1,35",AIF,0.00093
"1,35",HYB,0.00593
"1,35",EIC,0.00593
"1,34",JHB,0.00941
"1,34",IHTA,2e-05
"1,34",DMO,0.00096
"1,34",HYT,0.37192
"1,34",HNW,0.00059
"1,34",JHAA,0.00128
"1,34",IHIT,0.00128
"1,34",HIX,0.00424
"1,34",EHI,0.00617
"1,34",PHT,0.00817
"1,34",HYI,0.00858
"1,34",OPP,0.00815
"1,34",MCR,0.00087
"1,34",CIK,0.00326
"1,34",NHS,0.19626
"1,34",HIO,0.05626
"1,34",MPV,0.00181
"1,34",DHY,0.02416
"1,34",MCI,0.00291
"1,34",AWF,0.00625
"1,34",DHF,0.07053
"1,34",BGH,0.01438
"1,34",EAD,0.11521
"1,34",RA,0.00612
"1,34",KIO,0.00812
"1,34",ISD,0.06812
"1,34",VLT,0.00062
"1,34",FSD,0.00062
"1,34",GHY,0.00062
"1,34",JLS,0.00062
"1,34",IVH,0.00062
"1,34",AIF,0.00062
"1,34",HYB,0.00062
"1,34",EIC,0.00062
"1,33",IHTA,0.0003
"1,33",DMO,0.00124
"1,33",HYT,0.36221
"1,33",HNW,0.00087
"1,33",JHAA,0.00156
"1,33",IHIT,0.00156
"1,33",HIX,0.00453
"1,33",EHI,0.00645
"1,33",PHT,0.00845
"1,33",HYI,0.00887
"1,33",OPP,0.00843
"1,33",MCR,0.00116
"1,33",CIK,0.00306
"1,33",NHS,0.19656
"1,33",HIO,0.05656
"1,33",MPV,0.00212
"1,33",DHY,0.02506
"1,33",MCI,0.00319
