,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,JK025356     Corp,2675.0,1.278621856319905,44135.0,2780716.0,USD,0.0,CIK US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
2,AN797627     Corp,2550.0,1.132686015385543,44135.0,2463338.25,USD,0.0,CIK US Equity,AN797627     Corp,TKOCN 8 ¾ 06/15/22,TKOCN
3,AS008907     Corp,2425.0,1.176374424818076,44135.0,2558350.75,USD,0.0,CIK US Equity,AS008907     Corp,CODI 8 05/01/26,CODI
4,AX565544     Corp,2310.0,1.109763998468673,44135.0,2413488.0,USD,0.0,CIK US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
5,EK892447     Corp,2450.0,1.118103708316091,44135.0,2431625.0,USD,0.0,CIK US Equity,EK892447     Corp,PRIMBP 9 05/15/23,PRIMBP
6,ZQ172158     Corp,2115.0,0.926319580236191,44135.0,2014537.5,USD,0.0,CIK US Equity,ZQ172158     Corp,TRK 4 ⅞ 11/01/27,TRK
7,AP097846     Corp,2050.0,0.9601539858666815,44135.0,2088119.75,USD,0.0,CIK US Equity,AP097846     Corp,TRS 4 ⅞ 10/15/25,TRS
8,QZ510792     Corp,2100.0,0.8188623015987436,44135.0,1780842.0,USD,0.0,CIK US Equity,QZ510792     Corp,NUGGET 6 ¾ 10/15/24,NUGGET
9,AP788518     Corp,2000.0,0.9229686602652443,44135.0,2007250.0,USD,0.0,CIK US Equity,AP788518     Corp,ACRISU 7 11/15/25,ACRISU
10,AM069254     Corp,2000.0,0.9069900024277964,44135.0,1972500.0,USD,0.0,CIK US Equity,AM069254     Corp,FLXACQ 6 ⅞ 01/15/25,FLXACQ
11,ZP566477     Corp,1850.0,0.9089157180831411,44135.0,1976688.0,USD,0.0,CIK US Equity,ZP566477     Corp,RADPAR 9 ¼ 02/01/28,RADPAR
12,BL241445 Corp,2003376.62,0.9016123770857972,44135.0,1960804.87,USD,0.0,CIK US Equity,BL241445 Corp, ,MSYLN
13,AM449809     Corp,2093.0,0.8071102815470582,44135.0,1755283.99,USD,-200.0,CIK US Equity,AM449809     Corp,NEWGAM 8 ¼ 03/01/24,NEWGAM
