,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,EI316080     Corp,11280000.0,0.1215624667479037,44135.0,815967.1571904271,USD,0.0,HIO US Equity,EI316080     Corp,INDOGB 8 ¼ 07/15/21,INDOGB
2,LW554179     Corp,315370.0,0.6609660999591424,44135.0,4436621.30270325,USD,0.0,HIO US Equity,LW554179     Corp,RFLB 7 ¾ 09/16/26,RFLB
3,EJ516888     Corp,110080.0,0.2203529163684396,44135.0,1479081.06472244,USD,0.0,HIO US Equity,EJ516888     Corp,RFLB 7 01/25/23,RFLB
4,DIPXX US Equity,92045144.45,13.713751465956,44135.0,92051198.84,USD,81510620.38999999,HIO US Equity,DIPXX US Equity,Dreyfus Government Securities,DIPXX
5,AO635535     Corp,14869.0,2.35694916086252,44135.0,15820616.0,USD,0.0,HIO US Equity,AO635535     Corp,CHTR 5 02/01/28,CHTR
6,ZP851500     Corp,10747.948,0.01286140801899052,44135.0,86329.99,USD,0.0,HIO US Equity,ZP851500     Corp,BONCER 1 08/05/21,BONCER
7,EK678033     Corp,10820.0,1.667717476226599,44135.0,11194266.82,USD,0.0,HIO US Equity,EK678033     Corp,DISH 5 ⅞ 11/15/24,DISH
8,JK709468     Corp,10819.0,1.718939796809811,44135.0,11538087.84,USD,-600.0,HIO US Equity,JK709468     Corp,SFRFP 7 ⅜ 05/01/26,SFRFP
9,QZ429974     Corp,9226.0,1.494180666234975,44135.0,10029430.82,USD,-2250.0,HIO US Equity,QZ429974     Corp,DISH 7 ¾ 07/01/26,DISH
10,ZP405283     Corp,9585.0,1.332959584735866,44135.0,8947262.03,USD,0.0,HIO US Equity,ZP405283     Corp,WES 5 ¼ 02/01/50,WES
11,EC504344     Corp,6920.0,1.435501657075748,44135.0,9635558.06,USD,0.0,HIO US Equity,EC504344     Corp,KMI 7 ¾ 01/15/32,KMI
12,EC600408     Corp,5910.0,1.32812706914867,44135.0,8914824.6,USD,-1000.0,HIO US Equity,EC600408     Corp,S 8 ¾ 03/15/32,S
13,AQ934212     Corp,7740.0,1.301027872232002,44135.0,8732925.9,USD,-3000.0,HIO US Equity,AQ934212     Corp,PETBRA 5 ¾ 02/01/29,PETBRA
14,EK238418     Corp,8010.0,1.271483405977885,44135.0,8534613.75,USD,-2000.0,HIO US Equity,EK238418     Corp,C 6.3 PERP,C
15,HH807118     Corp,6265.0,1.22165107109111,44135.0,8200122.77,USD,0.0,HIO US Equity,HH807118     Corp,HCA 7 ½ 11/15/95,HCA
16,ZO245744     Corp,6610.0,1.054700178768075,44135.0,7079493.61,USD,1000.0,HIO US Equity,ZO245744     Corp,SAVE 8 09/20/25,SAVE
17,BL335540 Corp,7246837.5,1.07703897367652,44135.0,7229438.93,USD,0.0,HIO US Equity,BL335540 Corp, ,DAL
18,BJ090228     Corp,6330.0,1.062394819062861,44135.0,7131142.560000001,USD,-200.0,HIO US Equity,BJ090228     Corp,DAL 7 05/01/25,DAL
19,ZP365714     Corp,6445.0,1.041428258930628,44135.0,6990408.13,USD,0.0,HIO US Equity,ZP365714     Corp,RRC 9 ¼ 02/01/26,RRC
20,LW925826     Corp,6690.0,0.9890999629051817,44135.0,6639163.44,USD,0.0,HIO US Equity,LW925826     Corp,TEVA 2.2 07/21/21,TEVA
21,AN710141     Corp,6450.0,1.00765193753991,44135.0,6763690.38,USD,0.0,HIO US Equity,AN710141     Corp,PETM 5 ⅞ 06/01/25,PETM
22,EK799007     Corp,6350.0,0.9748478555774351,44135.0,6543498.62,USD,-790.0,HIO US Equity,EK799007     Corp,BHCCN 6 ⅛ 04/15/25,BHCCN
23,EI543179     Corp,5120.0,0.8652497231728385,44135.0,5807840.0,USD,0.0,HIO US Equity,EI543179     Corp,PETBRA 6 ¾ 01/27/41,PETBRA
24,LW925827     Corp,5490.0,0.7835772252407568,44135.0,5259627.4,USD,-500.0,HIO US Equity,LW925827     Corp,TEVA 2.8 07/21/23,TEVA
25,EJ826088     Corp,4280.0,0.7309336183455887,44135.0,4906266.24,USD,0.0,HIO US Equity,EJ826088     Corp,FCX 5.45 03/15/43,FCX
26,JV588686     Corp,4610.0,0.7603488254229175,44135.0,5103710.76,USD,0.0,HIO US Equity,JV588686     Corp,ISPIM 5.71 01/15/26,ISPIM
27,AW981943     Corp,4760.0,0.7446000778977807,44135.0,4998000.0,USD,0.0,HIO US Equity,AW981943     Corp,COMM 8 ¼ 03/01/27,COMM
28,BK912976     Corp,4970.0,0.6605420529406222,44135.0,4433774.96,USD,4970.0,HIO US Equity,BK912976     Corp,OXY 5 ⅞ 09/01/25,OXY
29,AM225189     Corp,4935.0,0.7700757769915418,44135.0,5169001.25,USD,-1250.0,HIO US Equity,AM225189     Corp,ARGID 6 02/15/25,ARGID
30,AW940417     Corp,4490.0,0.7307220836908056,44135.0,4904846.350000001,USD,-1010.0,HIO US Equity,AW940417     Corp,UBS 7 PERP,UBS
31,AP327113     Corp,4850.0,0.6604779365869757,44135.0,4433344.59,USD,1020.0,HIO US Equity,AP327113     Corp,UAL 4 ¼ 10/01/22,UAL
32,AU388731     Corp,4320.0,0.7042652793923634,44135.0,4727259.600000001,USD,0.0,HIO US Equity,AU388731     Corp,CS 7 ¼ PERP,CS
33,AZ826935     Corp,5305.599999999999,0.5381265523787853,44135.0,3612081.96,USD,0.0,HIO US Equity,AZ826935     Corp,GALCLD 6 ½ 09/15/24,GALCLD
34,AQ657786     Corp,4523.0,0.6816961694598236,44135.0,4575768.33,USD,0.0,HIO US Equity,AQ657786     Corp,AXL 6 ½ 04/01/27,AXL
35,AS247903     Corp,4660.0,0.6628763056542124,44135.0,4449443.23,USD,-880.0,HIO US Equity,AS247903     Corp,DAL 3.8 04/19/23,DAL
36,QZ123790     Corp,4660.0,0.6203319578155978,44135.0,4163871.61,USD,0.0,HIO US Equity,QZ123790     Corp,DISH 3 ⅜ 08/15/26,DISH
37,LW134792     Corp,4500.0,0.698821439394274,44135.0,4690718.76,USD,0.0,HIO US Equity,LW134792     Corp,MR 8 ⅞ 07/15/23,MR
38,AP302778     Corp,4230.0,0.6696893472037067,44135.0,4495174.600000001,USD,0.0,HIO US Equity,AP302778     Corp,PPC 5 ⅞ 09/30/27,PPC
39,AM195794     Corp,4321.0,0.6932831835699806,44135.0,4653544.17,USD,0.0,HIO US Equity,AM195794     Corp,CHTR 5 ⅛ 05/01/27,CHTR
40,EI138329     Corp,4344.0,0.1173279020908125,44135.0,787543.37,USD,0.0,HIO US Equity,EI138329     Corp,BNTNF 10 01/01/21,BNTNF
41,BG387298     Corp,3790.0,0.6509038842792453,44135.0,4369080.41,USD,0.0,HIO US Equity,BG387298     Corp,SFRFP 10 ½ 05/15/27,SFRFP
42,BJ304053     Corp,3480.0,0.6055880762527299,44135.0,4064905.84,USD,0.0,HIO US Equity,BJ304053     Corp,,
43,LW952932     Corp,3480.0,0.5816911021404567,44135.0,3904501.51,USD,0.0,HIO US Equity,LW952932     Corp,,
44,EJ273399     Corp,3770.0,0.6436672698691115,44135.0,4320505.88,USD,0.0,HIO US Equity,EJ273399     Corp,,
45,BH538705     Corp,3710.0,0.6027165658298723,44135.0,4045631.32,USD,0.0,HIO US Equity,BH538705     Corp,,
46,EK344672     Corp,3190.0,0.5588237678093706,44135.0,3751008.46,USD,0.0,HIO US Equity,EK344672     Corp,,
47,BH962214     Corp,3280.0,0.577553773074969,44135.0,3876730.4,USD,0.0,HIO US Equity,BH962214     Corp,,
48,EH996852     Corp,2960.0,0.5401175814034073,44135.0,3625446.4,USD,0.0,HIO US Equity,EH996852     Corp,,
49,EJ483136     Corp,3980.0,0.5845775760750839,44135.0,3923876.47,USD,0.0,HIO US Equity,EJ483136     Corp,,
50,EK345032     Corp,3630.0,0.5804337917232065,44135.0,3896062.03,USD,-4070.0,HIO US Equity,EK345032     Corp,,
51,QZ083475     Corp,3829.0,0.5527145014559521,44135.0,3710001.06,USD,-1510.0,HIO US Equity,QZ083475     Corp,,
52,AM424252     Corp,3750.0,0.5826499348938281,44135.0,3910937.51,USD,0.0,HIO US Equity,AM424252     Corp,,
53,BJ878470     Corp,3480.0,0.5697180967654285,44135.0,3824134.77,USD,0.0,HIO US Equity,BJ878470     Corp,,
54,AS323079     Corp,3510.0,0.5284962185549626,44135.0,3547440.0,USD,0.0,HIO US Equity,AS323079     Corp,,
55,AO422333     Corp,3663.0,0.5560427341918969,44135.0,3732341.25,USD,0.0,HIO US Equity,AO422333     Corp,,
56,EI490904     Corp,3675.0,0.5690144109571172,44135.0,3819411.4,USD,0.0,HIO US Equity,EI490904     Corp,,
57,AQ745494     Corp,3410.0,0.5092464145002907,44135.0,3418229.0,USD,-1750.0,HIO US Equity,AQ745494     Corp,,
58,BL269077 Corp,3740310.08,0.522844371739194,44135.0,3509502.95,USD,0.0,HIO US Equity,BL269077 Corp,,
59,JK774647     Corp,3440.0,0.5400803096852221,44135.0,3625196.22,USD,0.0,HIO US Equity,JK774647     Corp,,
60,AT956014     Corp,3202.0,0.5172227081918891,44135.0,3471768.5,USD,0.0,HIO US Equity,AT956014     Corp,,
61,EP040047     Pfd,130709.0,0.5009422956519474,44135.0,3362489.03,USD,0.0,HIO US Equity,EP040047     Pfd,,
