,ID,ID.POSITION,ID.WEIGHTS,ID.AS_OF_DATE,ID.REPORTED_MKT_VAL,ID.CURRENCY,ID.LATEST_CHANGE,ID.ORIG_IDS,ID,,
1,BL248162 Corp,5230000.0,2.465190053758334,44012.0,5191000.0,USD,0.0,HYB US Equity,BL248162 Corp, ,ASUCOR
2,AX565544     Corp,3215.0,1.538191212506886,44012.0,3239000.0,USD,0.0,HYB US Equity,AX565544     Corp,POWSOL 8 ½ 05/15/27,POWSOL
3,LW689167     Corp,3090.0,1.62319776608476,44012.0,3418000.0,USD,0.0,HYB US Equity,LW689167     Corp,INTEL 9 ½ 09/30/22,INTEL
4,AV183514     Corp,2625.0,1.449385483350113,44012.0,3052000.0,USD,0.0,HYB US Equity,AV183514     Corp,NFLX 6 ⅜ 05/15/29,NFLX
5,AP288382     Corp,3020.0,1.219060463879338,44012.0,2567000.0,USD,0.0,HYB US Equity,AP288382     Corp,VIICN 5 ⅜ 09/30/25,VIICN
6,JK025356     Corp,2945.0,1.426590429876717,44012.0,3004000.0,USD,0.0,HYB US Equity,JK025356     Corp,SLH 10 ½ 03/01/24,SLH
7,ED760625     Corp,2385.0,1.350606918298729,44012.0,2844000.0,USD,0.0,HYB US Equity,ED760625     Corp,PCG 6.05 03/01/34,PCG
8,ZS463498     Corp,2612.0,1.135003704196189,44012.0,2390000.0,USD,0.0,HYB US Equity,ZS463498     Corp,IHRT 8 ⅜ 05/01/27,IHRT
9,EK553678     Corp,2194.0,1.17631973861672,44012.0,2477000.0,USD,0.0,HYB US Equity,EK553678     Corp,S 7 ⅛ 06/15/24,S
10,AU388760     Corp,2190.0,1.125980662196303,44012.0,2371000.0,USD,0.0,HYB US Equity,AU388760     Corp,FINRSK 8 ¼ 11/15/26,FINRSK
11,AO635535     Corp,2260.0,1.107934578196531,44012.0,2333000.0,USD,0.0,HYB US Equity,AO635535     Corp,CHTR 5 02/01/28,CHTR
12,BL338868 Corp,2100000.0,1.012005394829322,44012.0,2131000.0,USD,0.0,HYB US Equity,BL338868 Corp, ,ULTI
13,AS706899     Corp,1920.0,0.9735387420929659,44012.0,2050000.0,USD,0.0,HYB US Equity,AS706899     Corp,BHCCN 8 ½ 01/31/27,BHCCN
14,AW959806     Corp,1830.0,0.8666869289364209,44012.0,1825000.0,USD,0.0,HYB US Equity,AW959806     Corp,TDG 6 ¼ 03/15/26,TDG
15,AN258612     Corp,1750.0,0.8643124441996087,44012.0,1820000.0,USD,0.0,HYB US Equity,AN258612     Corp,SATS 6 ⅝ 08/01/26,SATS
16,EP057163     Pfd,22270.0,0.6069182987291758,44012.0,1278000.0,USD,0.0,HYB US Equity,EP057163     Pfd,AVTR 6 ¼ 05/15/22,AVTR
17,AS350093     Corp,1555.0,0.8381931120946755,44012.0,1765000.0,USD,0.0,HYB US Equity,AS350093     Corp,NFLX 5 ⅞ 11/15/28,NFLX
18,AR182096     Corp,1795.0,0.8396178029367627,44012.0,1768000.0,USD,0.0,HYB US Equity,AR182096     Corp,GLBL 6 ⅛ 03/01/26,GLBL
