,,Weights
"1,49",STK,0.02041
"1,49",ADX,0.82937
"1,49",CHN,0.00298
"1,49",MIE,0.0132
"1,49",SZC,0.13298
"1,49",CII,2e-05
"1,49",GRF,2e-05
"1,49",BCX,2e-05
"1,49",CRF,2e-05
"1,49",CEN,2e-05
"1,49",ASA,2e-05
"1,49",AGD,2e-05
"1,49",AIO,2e-05
"1,49",RFI,2e-05
"1,49",BME,2e-05
"1,49",CPZ,2e-05
"1,49",CEM,2e-05
"1,49",BSTZ,2e-05
"1,49",NFJ,2e-05
"1,49",RNP,2e-05
"1,49",EXD,2e-05
"1,49",EOI,2e-05
"1,49",CTR,2e-05
"1,49",GLQ,2e-05
"1,49",BGR,2e-05
"1,49",JEQ,2e-05
"1,49",DSE,2e-05
"1,49",BDJ,2e-05
"1,49",SRV,2e-05
"1,49",CLM,2e-05
"1,49",EMO,2e-05
"1,49",DPG,2e-05
"1,49",AWP,2e-05
"1,49",EOS,2e-05
"1,49",BIF,2e-05
"1,49",ETJ,2e-05
"1,49",IAF,2e-05
"1,49",AOD,2e-05
"1,49",BGY,2e-05
"1,49",BMEZ,2e-05
"1,49",CET,2e-05
"1,49",UTF,2e-05
"1,49",BOE,2e-05
"1,49",IGR,2e-05
"1,49",PEO,2e-05
"1,49",DNP,2e-05
"1,49",RQI,2e-05
"1,49",AEF,2e-05
"1,49",BUI,2e-05
"1,48",CLM,0.0
"1,48",DNP,0.0
"1,48",BME,0.0
"1,48",UTF,0.0
"1,48",ETJ,0.0003
"1,48",BUI,0.0
"1,48",EOS,0.0
"1,48",RFI,0.00503
"1,48",STK,0.00553
"1,48",BMEZ,0.00528
"1,48",EOI,0.08554
"1,48",EXD,0.005
"1,48",RQI,0.0025
"1,48",RNP,0.00307
"1,48",BSTZ,0.00336
"1,48",AIO,0.00397
"1,48",CII,0.02459
"1,48",BDJ,0.03201
"1,48",CHN,0.00068
"1,48",BGY,0.00206
"1,48",IAF,0.00242
"1,48",AWP,0.00279
"1,48",BOE,0.01433
"1,48",DPG,0.00233
"1,48",NFJ,0.00274
"1,48",AGD,0.0
"1,48",AEF,0.0
"1,48",ADX,0.44067
"1,48",AOD,0.00467
"1,48",BGR,0.00257
"1,48",CPZ,0.0009
"1,48",GLQ,0.0
"1,48",BCX,0.0
"1,48",JEQ,0.0
"1,48",IGR,0.0
"1,48",ASA,0.00067
"1,48",PEO,0.03151
"1,48",BIF,0.0
"1,48",CEM,0.0
"1,48",MIE,9e-05
"1,48",CET,0.16259
"1,48",DSE,0.0
"1,48",CTR,0.0014
"1,48",GRF,0.0954
"1,48",EMO,0.0
"1,48",SRV,0.00457
"1,48",SZC,0.04457
"1,48",CEN,0.00687
"1,47",DNP,0.0
"1,47",BME,0.00028
"1,47",UTF,0.00072
"1,47",ETJ,0.00118
"1,47",BUI,0.0
